DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
APPRART	APPRART		APPRART	am		«	Am	andern Morgen weckte ihn jemand auf , der ihn fest umschlang .	Der Parkettplatz kostete vier Groschen .« Am andern Morgen weckte ihn jemand auf , der ihn fest umschlang .Aber o Himmel , das schwierigste bei	9394	1	99250-Stendhal.tsv
APPRART	APPRART		APPRART	am		« Wenn ich nun	am	Tage ohne Rast den üblichen Frauenpflichten nachgegangen war , oft genug auf Kosten meiner Gesundheit , nahm ich mir späte Abendstunden und oft genug die nächtlichen zu meinen schriftstellerischen Versuchen .	nie fünf unbenutzte Minuten beobachtet « .« Wenn ich nun am Tage ohne Rast den üblichen Frauenpflichten nachgegangen war , oft genug auf Kosten meiner Gesundheit , nahm ich mir späte Abendstunden und oft genug die nächtlichen zu meinen schriftstellerischen Versuchen .In Gedanken schon die nächste Aufgabe organisieren	267	4	14296-Boy_Ed__Ida.tsv
APPRART	APPRART		APPRART	am		« – » Hoho , « erwiderte Meister Abraham , » hoho ,	am	Ende ist unser Prinzeßlein eine Art von Gymnotus electricus oder Raja torpedo oder Trichiurus indicus , wie in gewisser Art meine süße Chiara es war , oder auch wohl nur eine muntere Hausmaus , wie jene , die dem wackern Signor Cotugno eine tüchtige Ohrfeige versetzte , als er sie beim Rücken erfaßte , um sie zu sezieren , was Ihr freilich mit der Prinzessin nicht im Sinn haben konntet !	Schlag fährt mir durch alle Glieder .« – » Hoho , « erwiderte Meister Abraham , » hoho , am Ende ist unser Prinzeßlein eine Art von Gymnotus electricus oder Raja torpedo oder Trichiurus indicus , wie in gewisser Art meine süße Chiara es war , oder auch wohl nur eine muntere Hausmaus , wie jene , die dem wackern Signor Cotugno eine tüchtige Ohrfeige versetzte , als er sie beim Rücken erfaßte , um sie zu sezieren , was Ihr freilich mit der Prinzessin nicht im Sinn haben konntet !Doch ich springe hin , öffne den	879	13	62300-Hoffmann__E__T__A_.tsv
APPRART	APPRART		APPRART	am		Wenn er	am	Lager ankam , waren jedenfalls alle Augen und Ohren auf ihn gerichtet , und so bekam er die Weisung , sich ungefähr zehn Minuten nach unserer Entfernung bei den Feuern sehen zu lassen .	ebenso unbemerkt hinter sie zu schleichen .Wenn er am Lager ankam , waren jedenfalls alle Augen und Ohren auf ihn gerichtet , und so bekam er die Weisung , sich ungefähr zehn Minuten nach unserer Entfernung bei den Feuern sehen zu lassen .Für den Jäger konnte es keinen schönern	6663	2	79315-May__Karl.tsv
APPRART	APPRART		APPRART	am		Gegen Abend landete Kai-Koumou	am	Fuße der Berge , deren erste Ausläufer an dem schmalen Ufer lothrecht herabfielen .	Stücke Papier , die aneinander hingen .Gegen Abend landete Kai-Koumou am Fuße der Berge , deren erste Ausläufer an dem schmalen Ufer lothrecht herabfielen .Man mußte einen Hammer gebrauchen , weil	4370	4	107493-Verne__Jules.tsv
APPRART	APPRART		APPRART	beim		« – » Hoho , « erwiderte Meister Abraham , » hoho , am Ende ist unser Prinzeßlein eine Art von Gymnotus electricus oder Raja torpedo oder Trichiurus indicus , wie in gewisser Art meine süße Chiara es war , oder auch wohl nur eine muntere Hausmaus , wie jene , die dem wackern Signor Cotugno eine tüchtige Ohrfeige versetzte , als er sie	beim	Rücken erfaßte , um sie zu sezieren , was Ihr freilich mit der Prinzessin nicht im Sinn haben konntet !	Schlag fährt mir durch alle Glieder .« – » Hoho , « erwiderte Meister Abraham , » hoho , am Ende ist unser Prinzeßlein eine Art von Gymnotus electricus oder Raja torpedo oder Trichiurus indicus , wie in gewisser Art meine süße Chiara es war , oder auch wohl nur eine muntere Hausmaus , wie jene , die dem wackern Signor Cotugno eine tüchtige Ohrfeige versetzte , als er sie beim Rücken erfaßte , um sie zu sezieren , was Ihr freilich mit der Prinzessin nicht im Sinn haben konntet !Doch ich springe hin , öffne den	879	64	62300-Hoffmann__E__T__A_.tsv
APPRART	APPRART		APPRART	im		« – » Hoho , « erwiderte Meister Abraham , » hoho , am Ende ist unser Prinzeßlein eine Art von Gymnotus electricus oder Raja torpedo oder Trichiurus indicus , wie in gewisser Art meine süße Chiara es war , oder auch wohl nur eine muntere Hausmaus , wie jene , die dem wackern Signor Cotugno eine tüchtige Ohrfeige versetzte , als er sie beim Rücken erfaßte , um sie zu sezieren , was Ihr freilich mit der Prinzessin nicht	im	Sinn haben konntet !	Schlag fährt mir durch alle Glieder .« – » Hoho , « erwiderte Meister Abraham , » hoho , am Ende ist unser Prinzeßlein eine Art von Gymnotus electricus oder Raja torpedo oder Trichiurus indicus , wie in gewisser Art meine süße Chiara es war , oder auch wohl nur eine muntere Hausmaus , wie jene , die dem wackern Signor Cotugno eine tüchtige Ohrfeige versetzte , als er sie beim Rücken erfaßte , um sie zu sezieren , was Ihr freilich mit der Prinzessin nicht im Sinn haben konntet !Doch ich springe hin , öffne den	879	80	62300-Hoffmann__E__T__A_.tsv
APPRART	APPRART		APPRART	im		Christophorus ist von schöner Gestalt , und noch schönerem Gemüthe , gläntzet	im	Gesichte , leuchtet im Hertzen , schimmert mit den Haaren , hat Christum im Munde und Hertzen .	auch wider das Gifft gebrauchet wird .Christophorus ist von schöner Gestalt , und noch schönerem Gemüthe , gläntzet im Gesichte , leuchtet im Hertzen , schimmert mit den Haaren , hat Christum im Munde und Hertzen .Wann aber solche Geister an einem Ort	2268	12	14949-Br_uner__Johann_Jacob.tsv
APPRART	APPRART		APPRART	im		Christophorus ist von schöner Gestalt , und noch schönerem Gemüthe , gläntzet im Gesichte , leuchtet	im	Hertzen , schimmert mit den Haaren , hat Christum im Munde und Hertzen .	auch wider das Gifft gebrauchet wird .Christophorus ist von schöner Gestalt , und noch schönerem Gemüthe , gläntzet im Gesichte , leuchtet im Hertzen , schimmert mit den Haaren , hat Christum im Munde und Hertzen .Wann aber solche Geister an einem Ort	2268	16	14949-Br_uner__Johann_Jacob.tsv
APPRART	APPRART		APPRART	im		Christophorus ist von schöner Gestalt , und noch schönerem Gemüthe , gläntzet im Gesichte , leuchtet im Hertzen , schimmert mit den Haaren , hat Christum	im	Munde und Hertzen .	auch wider das Gifft gebrauchet wird .Christophorus ist von schöner Gestalt , und noch schönerem Gemüthe , gläntzet im Gesichte , leuchtet im Hertzen , schimmert mit den Haaren , hat Christum im Munde und Hertzen .Wann aber solche Geister an einem Ort	2268	26	14949-Br_uner__Johann_Jacob.tsv
APPRART	APPRART		APPRART	im		Wie sie nun	im	Anfange keine fremde Götter aufnahmen , ob sie wohl die Götter jedes fremden Landes schoneten , so sollte auch ihren Göttern der alte Dienst , durch den sie Römer geworden waren , bleiben .	war dies die ganze Sache nicht .Wie sie nun im Anfange keine fremde Götter aufnahmen , ob sie wohl die Götter jedes fremden Landes schoneten , so sollte auch ihren Göttern der alte Dienst , durch den sie Römer geworden waren , bleiben .Mit allen Staats- und Kriegshandlungen war Religion	1340	3	61281-Herder__Johann_Gottfried.tsv
APPRART	APPRART		APPRART	im		Ursache : weil ich keine Winde	im	Bauche habe .	nannten den Namen des jungen Menschen .Ursache : weil ich keine Winde im Bauche habe .Sie fragten die Träger , wen sie	1212	6	83116-Nebel__Ernst_Ludwig_Wilhelm.tsv
APPRART	APPRART		APPRART	im		Mir ging an der Seite des Bruders und mitten	im	civilisirten Leben eine neue Welt auf , von der ich mich nicht trennen zu können vermeinte .	Geiste des Krieges und der Waffen .Mir ging an der Seite des Bruders und mitten im civilisirten Leben eine neue Welt auf , von der ich mich nicht trennen zu können vermeinte .Aber ebenso wuchs auch das Verlangen des	1967	9	79370-May__Karl.tsv
APPRART	APPRART		APPRART	im		Hier stehen Eltern und Kinder gegeneinander , man schmaust	im	Familienkreise ; aber damit der Beschauer auch wisse , woher die Wohlhäbigkeit komme , ziehen beladene Saumrosse einher , Gewerb und Handel wird auf mancherlei Weise vorgestellt .	jemand an jenes Monument gedacht hätte .Hier stehen Eltern und Kinder gegeneinander , man schmaust im Familienkreise ; aber damit der Beschauer auch wisse , woher die Wohlhäbigkeit komme , ziehen beladene Saumrosse einher , Gewerb und Handel wird auf mancherlei Weise vorgestellt .Genau betrachtet , ist eins und ebendasselbe	700	9	32622-Goethe__Johann_Wolfgang.tsv
APPRART	APPRART		APPRART	im		Denn zu betteln war in Abdera nicht erlaubt ; welches (	im	Vorbeigehen zu sagen ) das einzige war , was die Fremden an der abderitischen Polizei zu loben fanden .	man sie um ihren Beistand ansprach .Denn zu betteln war in Abdera nicht erlaubt ; welches ( im Vorbeigehen zu sagen ) das einzige war , was die Fremden an der abderitischen Polizei zu loben fanden .Indessen , da die Sykophanten wenigstens den	616	11	110271-Wieland__Christoph_Martin.tsv
APPRART	APPRART		APPRART	im		Nur Pitt Holbers schien	im	voraus von der Art und Weise des Ausganges überzeugt zu sein , schob die hageren Finger gemütlich zwischen Leib und Gürtel und streckte die unendlichen Beine so weit wie möglich von sich , als seien sie ihm bei der Beobachtung seines schweigsamen Freundes im Wege .	er die Aufforderung wirklich vernommen habe .Nur Pitt Holbers schien im voraus von der Art und Weise des Ausganges überzeugt zu sein , schob die hageren Finger gemütlich zwischen Leib und Gürtel und streckte die unendlichen Beine so weit wie möglich von sich , als seien sie ihm bei der Beobachtung seines schweigsamen Freundes im Wege .Willst du die Höhle des Königsschatzes sehen	10666	4	79314-May__Karl.tsv
APPRART	APPRART		APPRART	im		Nur Pitt Holbers schien im voraus von der Art und Weise des Ausganges überzeugt zu sein , schob die hageren Finger gemütlich zwischen Leib und Gürtel und streckte die unendlichen Beine so weit wie möglich von sich , als seien sie ihm bei der Beobachtung seines schweigsamen Freundes	im	Wege .	er die Aufforderung wirklich vernommen habe .Nur Pitt Holbers schien im voraus von der Art und Weise des Ausganges überzeugt zu sein , schob die hageren Finger gemütlich zwischen Leib und Gürtel und streckte die unendlichen Beine so weit wie möglich von sich , als seien sie ihm bei der Beobachtung seines schweigsamen Freundes im Wege .Willst du die Höhle des Königsschatzes sehen	10666	48	79314-May__Karl.tsv
APPRART	APPRART		APPRART	vom		Aber so wir 's nicht geschickt angreifen , bleibt es ein Ast , den wir	vom	Baume reißen , und der Baum steht da und lacht uns aus .	daß es ein leichtes Ding ist ?Aber so wir 's nicht geschickt angreifen , bleibt es ein Ast , den wir vom Baume reißen , und der Baum steht da und lacht uns aus .Ich sage Euch , wenn wir uns	3214	15	965-Alexis__Willibald.tsv
APPRART	APPRART		APPRART	zum		Dann aus eurer Gestalt uñ Sitten erkenne ich vor gewiß / daß ihr in diesen Morgenlåndern nicht gezeuget seyd ; werdet euch demnach unbeschweret finden / mich eures Zustandes zuberichten / welches euch	zum	ärgesten nicht gedeyen sol .	/ über welchen sie zihen musten .Dann aus eurer Gestalt uñ Sitten erkenne ich vor gewiß / daß ihr in diesen Morgenlåndern nicht gezeuget seyd ; werdet euch demnach unbeschweret finden / mich eures Zustandes zuberichten / welches euch zum ärgesten nicht gedeyen sol .Es hatte aber der älteste von den	3047	33	15210-Buchholtz__Andreas_Heinrich.tsv
APPRART	APPRART		APPRART	zum		Beschäftigen wir uns also nicht mit dem , was das Geschick uns möglicher Weise vorbehalten hat , sondern halten wir uns an das gute englische Sprichwort : Wer	zum	Hängen geboren ist , wird nie den Tod des Ertrinkens sterben .	zu leichte Zielscheibe für eine Kugel .Beschäftigen wir uns also nicht mit dem , was das Geschick uns möglicher Weise vorbehalten hat , sondern halten wir uns an das gute englische Sprichwort : Wer zum Hängen geboren ist , wird nie den Tod des Ertrinkens sterben .Sie können versichert sein , daß ich	3474	28	107489-Verne__Jules.tsv
APPRART	APPRART		APPRART	zum		‹ – Ich stürzte	zum	Saal heraus , vergebens sucht' ich in dicker Finsternis die Tür des Hauses .	die sich heulend am Boden krümmte .‹ – Ich stürzte zum Saal heraus , vergebens sucht' ich in dicker Finsternis die Tür des Hauses .‹ – Ich wandte mich rasch um	240	4	62309-Hoffmann__E__T__A_.tsv
