DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
PWS	PWS		PWS	was			Was	man nicht Alles in der Hauptstadt lernt !	nur halb verborgenen Lippen beifällig schmunzelten .Was man nicht Alles in der Hauptstadt lernt !« Sie hatte die Hofthür gehen hören	3796	0	ebers_homosum_homosum.tsv
PWS	PWS		PWS	was		»	Was	?	Rudolf sich den Beiden wieder zu .» Was ?» Ja , « antwortete der Sohn	597	1	may_wegglue4_wegglue4.tsv
PWS	PWS		PWS	was			Was	hir !	Komm komm mein Schwerdt !Was hir !Start dise Faust die West vnd Ost	677	0	gryphius_catharin_catharin.tsv
PWS	PWS		PWS	was			Was	ist dann vor ihr gewesen , was wird nach ihr sein ?	, alles muß ein Gleiches sein !Was ist dann vor ihr gewesen , was wird nach ihr sein ?Wenn die Welt ein Ewiges ist ,	14443	0	ganghofe_hschein_hschein.tsv
PWS	PWS		PWS	was			Was	nützt das Stillstehen , da wir doch nichts wissen , da nur die Götter wissen , was unser harrt am Ende dieses mühevollen , unebenen , staubigen Weges , der unserm Lebensweg gleicht ?	Aber so ist das Leben .Was nützt das Stillstehen , da wir doch nichts wissen , da nur die Götter wissen , was unser harrt am Ende dieses mühevollen , unebenen , staubigen Weges , der unserm Lebensweg gleicht ?Wir sehen sie vielleicht nie wieder .	5955	0	couperus_komoedia_komoedia.tsv
PWS	PWS		PWS	was			Was	das Schicksal mit uns vorhat , können wir beide nicht wissen .	warf einen schnellen Blick auf Eva .Was das Schicksal mit uns vorhat , können wir beide nicht wissen ."Waren Sie von jeher Branntweinhändler ?	483	0	meyrink_gruenges_gruenges.tsv
PWS	PWS		PWS	was			Was	waren das einst für stolze Bauern .	die ihrem Kleide als Gürtel dienen .Was waren das einst für stolze Bauern .So steht sie nun da , erfüllt	3155	0	heer_notvest_notvest.tsv
PWS	PWS		PWS	was			Was	liegt denn auch daran , ob ich dort oder hier schlafe ?	wieder und sprangen an ihm hinauf .Was liegt denn auch daran , ob ich dort oder hier schlafe ?« Bald darauf hielt Rafael vor Bertrands	427	0	gerstaec_aguila_aguila.tsv
PWS	PWS		PWS	was		« Als der Schweinsbraten mit den bräunlich geschmorten Speckschwarten kam und in Zimmtwein gebeizte Semmelschnitten zur Zuspeise erschienen , sagte der Knabe : »	Was	wird der Vater jetzt essen ?	und keinen Krieg zwischen den Völkern .« Als der Schweinsbraten mit den bräunlich geschmorten Speckschwarten kam und in Zimmtwein gebeizte Semmelschnitten zur Zuspeise erschienen , sagte der Knabe : » Was wird der Vater jetzt essen ?Die wenigen Thoren , die ihm entgegen	4212	24	rosegger_petermay_petermay.tsv
PWS	PWS		PWS	was		»	Was	liegt denn da mir dro ?	gleich zu seiner Bäuerin hinausgehen sollte .» Was liegt denn da mir dro ?.	7268	1	thoma_ruepp_ruepp.tsv
