DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
ITJ	NN		ITJ	ach			Ach	!	, wer gibt es ihr zurück ?Ach !Was sie gewann , wer will es	735	0	goethe_nattocht_nattocht.tsv
ITJ	NE		NN	ach		« »	Ach	so , um an einem zum voraus bezeichneten Ort zusammenzutreffen « , kicherte die Alte nach einem kurzen Schweigen und einer scharfen Musterung seines Gesichtes .	Euren Briefen wurde Ed'ard Cuttle überliefert .« » Ach so , um an einem zum voraus bezeichneten Ort zusammenzutreffen « , kicherte die Alte nach einem kurzen Schweigen und einer scharfen Musterung seines Gesichtes .» Sol Gills , die Bemerkung ,	6099	2	dickens_dombey2_dombey2.tsv
ITJ	NE		NN	ach		»	Ach	, Mirabili , ich kenne diese vornehmen Herren nicht , und es will mir nicht gelingen , mich mit ihnen auf den Thron der Tugend zu setzen .	ausgelöscht und aus der Mitte getan .» Ach , Mirabili , ich kenne diese vornehmen Herren nicht , und es will mir nicht gelingen , mich mit ihnen auf den Thron der Tugend zu setzen .Er sah sich selbst als seinen Kanzler	1505	1	cfmeyer_anborgia_anborgia.tsv
ITJ	NN		ITJ	ach			Ach	, du verstehst mich nicht .	un – alles wär andersch gekommen .Ach , du verstehst mich nicht .Da wärn Se heite ein andrer Mann	2341	0	stehr_metakone_metakone.tsv
ITJ	NE		NN	ach		»	Ach	, meine Seele « , sagte Herr Kortüm und blieb wieder stehen : » Einmal neu beginnen können !	« rief eine zornige Stimme .» Ach , meine Seele « , sagte Herr Kortüm und blieb wieder stehen : » Einmal neu beginnen können !« » Machen Sie doch wenigstens kein	16366	1	kluge_kortuem_kortuem.tsv
ITJ	NN		ITJ	ach			Ach	, wenn Sie in den Korrespondenzen , den wenigen Zeugnissen der Zeitgenossen lesen , die man klugerweise daselbst vor der Fackel der Geschichte bewahrte , ach , Sie werden so viel Perücken und Schlafröcke sehen , daß Ihnen die großen Männer darüber verschwinden .	« » Was ist Größe !Ach , wenn Sie in den Korrespondenzen , den wenigen Zeugnissen der Zeitgenossen lesen , die man klugerweise daselbst vor der Fackel der Geschichte bewahrte , ach , Sie werden so viel Perücken und Schlafröcke sehen , daß Ihnen die großen Männer darüber verschwinden .Wer denn nun ?	14065	0	alexis_ruhe_ruhe.tsv
ITJ	NE		NN	ach		« »	Ach	so .	Herr Kortüm sah ihn gespannt an .« » Ach so .Er dachte offenbar über Kortüms höfliches Ansinnen	15017	2	kluge_kortuem_kortuem.tsv
ITJ	VVFIN		VVFIN	ach		Ach , wenn Sie in den Korrespondenzen , den wenigen Zeugnissen der Zeitgenossen lesen , die man klugerweise daselbst vor der Fackel der Geschichte bewahrte ,	ach	, Sie werden so viel Perücken und Schlafröcke sehen , daß Ihnen die großen Männer darüber verschwinden .	« » Was ist Größe !Ach , wenn Sie in den Korrespondenzen , den wenigen Zeugnissen der Zeitgenossen lesen , die man klugerweise daselbst vor der Fackel der Geschichte bewahrte , ach , Sie werden so viel Perücken und Schlafröcke sehen , daß Ihnen die großen Männer darüber verschwinden .Wer denn nun ?	14065	26	alexis_ruhe_ruhe.tsv
ITJ	NE		NE	haha			Haha	.	So liegen die Verhältnisse !Haha .Untersteh dich also nicht .	3344	0	dickens_3weihnac_3weihnac.tsv
ITJ	ADV		ADV	ja		« » Ja , ach	ja	!	diesem Schauspiel keinen Höllenlärm machen würde .« » Ja , ach ja !» Ich gehe diese Nacht noch zu	4677	5	vossr_brutusdu_brutusdu.tsv
ITJ	ADV		ADV	ja		– » O	ja	, « war Gerhards von einem Lächeln begleitete Antwort .	» Schöne Blumen das !– » O ja , « war Gerhards von einem Lächeln begleitete Antwort .Als er aber am Abend , vor	2229	3	hoefer_8erlauch_8erlauch.tsv
ITJ	NE		ITJ	na			Na	!	kleinen Posten gefiel ihm gar nicht .Na !Wenn ihm nur irgend ein Coup einfiele	2895	0	bierbaum_stilpe_stilpe.tsv
ITJ	NE		NE	na		»	Na	, sag' mal , du dummer , schlimmer Junge , was machst du für Geschichten ?	Bitte – « Markus nickte lustig .» Na , sag' mal , du dummer , schlimmer Junge , was machst du für Geschichten ?Dem Sohne hatte er Unsummen gegeben und	331	1	wohlbrue_mannsein_mannsein.tsv
ITJ	NE		NE	na		»	Na	, selbstverständlich war sie die ganze Zeit dort !	und setzte seine Ermittelungen weiter fort .» Na , selbstverständlich war sie die ganze Zeit dort !« fragte er schnell .	2473	1	wallacee_bogensch_bogensch.tsv
ITJ	ADJA		ITJ	na			na	– mit Augen , Ich sage weiter nichts davon .	und nichts als Hammel- Und Katzenfell .na – mit Augen , Ich sage weiter nichts davon .Da war keine Haut mehr , Ich	3592	0	ludwig_scuderil_scuderil.tsv
ITJ	NE		NE	o		»	O	– in den Dachstuben hausen die Mädchen und die Knechte « , scherzte sie .	wie wenig Schwester Elisabeth ihr aufpaßte .» O – in den Dachstuben hausen die Mädchen und die Knechte « , scherzte sie .Ich möchte dich nur überzeugen ... «	2685	1	reuterga_frauseel_frauseel.tsv
ITJ	NE		ITJ	o		»	O	nein !	und Universitäten für das weibliche Geschlecht .» O nein !Die Regierung wird augenscheinlich von allgemeinen Erwägungen	5316	1	tolstoi_annakar1_annakar1.tsv
ITJ	NE		NE	o		« »	O	tu's schnell , tu 's schnell !	Ihr habt ja gefochten wie toll !« » O tu's schnell , tu 's schnell !Florian streckte freudig die Hand dem Landsknechte	925	2	eyth_landskn_landskn.tsv
ITJ	NE		NE	o		– »	O	ja , « war Gerhards von einem Lächeln begleitete Antwort .	» Schöne Blumen das !– » O ja , « war Gerhards von einem Lächeln begleitete Antwort .Als er aber am Abend , vor	2229	2	hoefer_8erlauch_8erlauch.tsv
ITJ	NE		NE	o		« »	O	, « rief ich , » nicht allein hier am Hofe genießt er Liebe .	bestellt habe , auch mein Geld .« » O , « rief ich , » nicht allein hier am Hofe genießt er Liebe .« – » Das ist meine Meinung	318	2	sue_paris_paris.tsv
ITJ	NE		NE	o		« »	O	, schrecklich schlecht !	« fragte der alte Kobold .« » O , schrecklich schlecht !» Was ist das für ein Herumstreichen	11367	2	andersen_saemmaer_saemmaer.tsv
ITJ	NE		NE	oh		–	Oh	!	– Unbesonnener !– Oh !– Und dann kam ich , um	4599	1	dumasalt_musk20-1_musk20-1.tsv
ITJ	NE		NN	oh			Oh	!	doch hiervon , das ist gut .Oh !Sie wissen gar nicht , wie reizend	2702	0	balzac_goriot_goriot.tsv
ITJ	NE		ADV	oh		" "	Oh	nichts !	" Dann reisen Sie mit Gott !" " Oh nichts !Vertehrt sall ‘ t warden un dat	1618	2	reuter_bellingn_bellingn.tsv
ITJ	NE		NE	oho		»	Oho	!	sie , den Ring zu behalten .» Oho !» Sie hat eine Mutter gefunden ,	2395	1	retcliff_magent3_magent3.tsv
