DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
VAFIN	VAFIN		VAFIN	haben		» Ja , ja « , machte der Greis , seine Schätze überblickend , » heute	haben	wir wieder reich geerntet .	ihm nach und nach auch gelang .» Ja , ja « , machte der Greis , seine Schätze überblickend , » heute haben wir wieder reich geerntet .Das Marieli aber hatte die Wintergünschen seiner	1174	16	lienert_euland_euland.tsv
VAFIN	VAFIN		VAFIN	haben		Er	hat	die Ranken von den Grabsteinen weggeschnitten und dann die Namen gelesen .	fürchte , es gelingt ihm nicht .Er hat die Ranken von den Grabsteinen weggeschnitten und dann die Namen gelesen .Das ist ein alter Herr , der	245	1	niese_reifezei_reifezei.tsv
VAFIN	VAFIN		VAFIN	haben		was mag das sein ?! « 11 Betrachten wir das in sich selbst überaus lockere Wasser , das sich doch ohne allen fühlbaren Widerstand in zahllose kleinste Tröpfchen zerteilen läßt ; dieses höchstwichtige Naturelement , das in sich alle Urkeime des animalen wie des planetaren Lebens birgt , und zugleich von dir nie berechenbaren Kräften geschwängert ist , gehorcht im freien Zustande ganz unbedingt dem ihm innewohnenden Gesetze der Schwere ; laut diesem Gesetze , dessen es durch ein eigenes Wahrnehmungsvermögen gewahr wird , empfindet es die leiseste Abdachung ( Gefälle ) irgend eines Territoriums , fängt da sogleich an , nach einer größeren Niederung hin sich fort zu bewegen , und	hat	so lange keine Rast und Ruhe , als bis es des Meeres größte Territorialniederung vollends erreicht hat .	Erde ein mächtiger Schlag geschehen wäre ?was mag das sein ?! « 11 Betrachten wir das in sich selbst überaus lockere Wasser , das sich doch ohne allen fühlbaren Widerstand in zahllose kleinste Tröpfchen zerteilen läßt ; dieses höchstwichtige Naturelement , das in sich alle Urkeime des animalen wie des planetaren Lebens birgt , und zugleich von dir nie berechenbaren Kräften geschwängert ist , gehorcht im freien Zustande ganz unbedingt dem ihm innewohnenden Gesetze der Schwere ; laut diesem Gesetze , dessen es durch ein eigenes Wahrnehmungsvermögen gewahr wird , empfindet es die leiseste Abdachung ( Gefälle ) irgend eines Territoriums , fängt da sogleich an , nach einer größeren Niederung hin sich fort zu bewegen , und hat so lange keine Rast und Ruhe , als bis es des Meeres größte Territorialniederung vollends erreicht hat .« 1 Blum , Messenhauser und Becher	1490	112	lorber_rblum1_rblum1.tsv
VAFIN	VAFIN		VAFIN	haben		was mag das sein ?! « 11 Betrachten wir das in sich selbst überaus lockere Wasser , das sich doch ohne allen fühlbaren Widerstand in zahllose kleinste Tröpfchen zerteilen läßt ; dieses höchstwichtige Naturelement , das in sich alle Urkeime des animalen wie des planetaren Lebens birgt , und zugleich von dir nie berechenbaren Kräften geschwängert ist , gehorcht im freien Zustande ganz unbedingt dem ihm innewohnenden Gesetze der Schwere ; laut diesem Gesetze , dessen es durch ein eigenes Wahrnehmungsvermögen gewahr wird , empfindet es die leiseste Abdachung ( Gefälle ) irgend eines Territoriums , fängt da sogleich an , nach einer größeren Niederung hin sich fort zu bewegen , und hat so lange keine Rast und Ruhe , als bis es des Meeres größte Territorialniederung vollends erreicht	hat	.	Erde ein mächtiger Schlag geschehen wäre ?was mag das sein ?! « 11 Betrachten wir das in sich selbst überaus lockere Wasser , das sich doch ohne allen fühlbaren Widerstand in zahllose kleinste Tröpfchen zerteilen läßt ; dieses höchstwichtige Naturelement , das in sich alle Urkeime des animalen wie des planetaren Lebens birgt , und zugleich von dir nie berechenbaren Kräften geschwängert ist , gehorcht im freien Zustande ganz unbedingt dem ihm innewohnenden Gesetze der Schwere ; laut diesem Gesetze , dessen es durch ein eigenes Wahrnehmungsvermögen gewahr wird , empfindet es die leiseste Abdachung ( Gefälle ) irgend eines Territoriums , fängt da sogleich an , nach einer größeren Niederung hin sich fort zu bewegen , und hat so lange keine Rast und Ruhe , als bis es des Meeres größte Territorialniederung vollends erreicht hat .« 1 Blum , Messenhauser und Becher	1490	129	lorber_rblum1_rblum1.tsv
VAFIN	VAFIN		VAFIN	haben		Pfeilwunden	hatte	fast ein jeder der Soldaten und Hauptleute aufzuweisen .	die Morgenstunden wurde das Siegesfest gefeiert .Pfeilwunden hatte fast ein jeder der Soldaten und Hauptleute aufzuweisen .Verwirrt durch den Anblick des toten Hundes	9163	1	stucken_weissgo1_weissgo1.tsv
VAFIN	VAFIN		VAFIN	haben		Der Tag war sehr regnerisch gewesen ; die kiesbestreuten Gänge	hatten	das Wasser bereits wieder eingesogen , aber es tropfte noch immer von den Zweigen , von den Blättern .	blieb er in derselben Stellung sitzen .Der Tag war sehr regnerisch gewesen ; die kiesbestreuten Gänge hatten das Wasser bereits wieder eingesogen , aber es tropfte noch immer von den Zweigen , von den Blättern .rief Amélie eifrig ; we are seven	1390	10	spielhag_inreih2_inreih2.tsv
VAFIN	VAFIN		VAFIN	haben		Ein Ereignis verdient besonders hervorgehoben zu werden , da es das Verhalten der Truppe trefflich charakterisiert und wenigstens ein Beispiel dafür gibt , dass die Truppen ansatzweise zu Pflicht und Gehorsam zurückgefunden	hatten	.	zu Cassius Dio ( 80,2 ) .Ein Ereignis verdient besonders hervorgehoben zu werden , da es das Verhalten der Truppe trefflich charakterisiert und wenigstens ein Beispiel dafür gibt , dass die Truppen ansatzweise zu Pflicht und Gehorsam zurückgefunden hatten .Alexanders Regierung war ein nutzloser Kampf gegen	51	32	gibbon_verfall1_verfall1.tsv
VAFIN	VAFIN		VAFIN	sein		« Ich	bin	mehrere Tage daheim geblieben .	» Das willst du doch !« Ich bin mehrere Tage daheim geblieben .« Solch Fest ist Punkt zehn beendet	1660	2	megede_ueberka2_ueberka2.tsv
VAFIN	VAFIN		VAFIN	sein		– Also : die Kraft der allgemeinen Anziehung	ist	überall proportional der Quantität von Materie , heißt eigentlich : die Kraft der Anziehung ist überall der Kraft der Anziehung gleich .	– nach der Schwere ?– Also : die Kraft der allgemeinen Anziehung ist überall proportional der Quantität von Materie , heißt eigentlich : die Kraft der Anziehung ist überall der Kraft der Anziehung gleich .– Nach was bestimmen wir sie ?	3255	8	ritter_jungpsys_jungphys.tsv
VAFIN	VAFIN		VAFIN	sein		– Also : die Kraft der allgemeinen Anziehung ist überall proportional der Quantität von Materie , heißt eigentlich : die Kraft der Anziehung	ist	überall der Kraft der Anziehung gleich .	– nach der Schwere ?– Also : die Kraft der allgemeinen Anziehung ist überall proportional der Quantität von Materie , heißt eigentlich : die Kraft der Anziehung ist überall der Kraft der Anziehung gleich .– Nach was bestimmen wir sie ?	3255	23	ritter_jungpsys_jungphys.tsv
