DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
ITJ	NE		NN	ach		« »	Ach	, du verstehst mich nicht , Jim , ein Wappen ist ja ganz ' was andres .	Grund , daß Harry nicht kommt ?« » Ach , du verstehst mich nicht , Jim , ein Wappen ist ja ganz ' was andres .Sah ich einen Baumstamm , hielt ich	735	2	106907-Twain__Mark.tsv
ITJ	NN		ITJ	ach			Ach	, Helene !	Welches ?Ach , Helene !Einmal hatte Egon gesagt : Ein Geheimniß	9553	0	56355-Gutzkow__Karl.tsv
ITJ	NE		NN	ach		»	Ach	!	abtreten und selbst im Alkoven schlafen .» Ach !Und um sein Vergehen gutzumachen und seinen	6409	1	26039-Flaubert__Gustave.tsv
ITJ	NN		ITJ	ach			Ach	, jawohl , ich wollte dich nur fragen , ob du heute schon im Pferdestalle gewesen wärst .	« » Ich ?Ach , jawohl , ich wollte dich nur fragen , ob du heute schon im Pferdestalle gewesen wärst .Es ist schon genug , daß ich	740	0	108932-Weerth__Georg.tsv
ITJ	NE		NN	ach		–	Ach	, gegen alle Regel , Mylord , ganz gegen die Grammatik ; Haupwort und Adjektiv , die in Zahl , Casus und Geschlecht doch übereinstimmen müssen , riß er so auseinander , machte dazwischen solche Pausen , als ob die Sache noch zweifelhaft wäre , und zwischen dem Nominativ , der , wie Ew. Herrlichkeit wissen werden , jedenfalls das Verbum regiert , hielt er im Epilog genau nach der Uhr wohl ein Dutzendmal die Stimme 3-3 3/5 Sekunden lang an .	Tode gestichelt und gequält zu werden .– Ach , gegen alle Regel , Mylord , ganz gegen die Grammatik ; Haupwort und Adjektiv , die in Zahl , Casus und Geschlecht doch übereinstimmen müssen , riß er so auseinander , machte dazwischen solche Pausen , als ob die Sache noch zweifelhaft wäre , und zwischen dem Nominativ , der , wie Ew. Herrlichkeit wissen werden , jedenfalls das Verbum regiert , hielt er im Epilog genau nach der Uhr wohl ein Dutzendmal die Stimme 3-3 3/5 Sekunden lang an .– Vielleicht noch was Schlimmeres , sagte	5087	1	99260-Sterne__Laurence.tsv
ITJ	NN		ITJ	ach			Ach	, Fürst , du bist ganz wie ein kleines Kind : du möchtest ein Spielzeug haben ; › gib her , gib her !	geht es nun einmal nicht ab .Ach , Fürst , du bist ganz wie ein kleines Kind : du möchtest ein Spielzeug haben ; › gib her , gib her !Skandalszenen sind äußerst selten , wiewohl sie	12680	0	22510-Dostoevskij__F_dor_Michajlovi_.tsv
ITJ	NE		NN	ach		»	Ach	so , jene vierhundert Rubel meinen Sie !	Der Fürst schwieg wieder .» Ach so , jene vierhundert Rubel meinen Sie !‹ fragte er erstaunt .	7045	1	22510-Dostoevskij__F_dor_Michajlovi_.tsv
ITJ	VVFIN		VVFIN	ach		Mit Zittern betrat ich ihr Haus und wurde sehr liebreich empfangen ; aber	ach	, auch hier kein Trost !	Frau , welche daselbst verheiratet ist .Mit Zittern betrat ich ihr Haus und wurde sehr liebreich empfangen ; aber ach , auch hier kein Trost !Ich frage den Leser : wenn ihm	1303	13	68619-Kotzebue__August_von.tsv
ITJ	ADJD		ADJD	ach		Und	ach	ach !	auff ein andermahl schon halten soltest .Und ach ach !Was wiltu junge Metze mich auch noch	562	1	15210-Buchholtz__Andreas_Heinrich.tsv
ITJ	ADJD		VVPP	ach		Und ach	ach	!	auff ein andermahl schon halten soltest .Und ach ach !Was wiltu junge Metze mich auch noch	562	2	15210-Buchholtz__Andreas_Heinrich.tsv
ITJ	NE		NE	ahoi		»	Ahoi	, Kapt 'n !	Si-kua 46 , Si-kua !» Ahoi , Kapt 'n !» Li-chy 45 , Li-chy !	4517	1	79318-May__Karl.tsv
ITJ	ADJA		NN	gluck		Es ist mir so viel lieber / ( sagte Aramena ) weil ich sehe / wie beliebt allhier dieser Prinz ist : und kan es leichtlich seyn / daß ihn ein gleichmåsiges	glůck	beim leben erhalten / wie den jungen König Marsius / welchen man in selbiger schlacht auch fälschlich todt gesaget .	O nein !Es ist mir so viel lieber / ( sagte Aramena ) weil ich sehe / wie beliebt allhier dieser Prinz ist : und kan es leichtlich seyn / daß ihn ein gleichmåsiges glůck beim leben erhalten / wie den jungen König Marsius / welchen man in selbiger schlacht auch fälschlich todt gesaget .Ich weiß nit anderst / ( sagte	12406	32	3459-Anton_Ulrich_Herzog_von_Braunschweig.tsv
ITJ	ADV		ADV	ja		« » O	ja	, das fühlen wir auch , « entgegneten die Beiden einstimmig ; und die eine setzte boshaft hinzu : » Wir scheinen doch nicht recht in dieses Bild zu passen , « worauf sie sich langsam erhoben , um sachte auf die Seite und von der Estrade hinab zu rutschen .	von der ich dir schon gesprochen .« » O ja , das fühlen wir auch , « entgegneten die Beiden einstimmig ; und die eine setzte boshaft hinzu : » Wir scheinen doch nicht recht in dieses Bild zu passen , « worauf sie sich langsam erhoben , um sachte auf die Seite und von der Estrade hinab zu rutschen .» Ich hatte nicht erwartet , Sie	1438	3	56361-Hackl_nder__Friedrich_Wilhelm_von.tsv
ITJ	ADV		VVFIN	jawohl		Ach ,	jawohl	, ich wollte dich nur fragen , ob du heute schon im Pferdestalle gewesen wärst .	« » Ich ?Ach , jawohl , ich wollte dich nur fragen , ob du heute schon im Pferdestalle gewesen wärst .Es ist schon genug , daß ich	740	2	108932-Weerth__Georg.tsv
ITJ	VVFIN		NN	kling		Er grabt 's gar in die Erd ein , es war aber umsonst , und blieb bei dem alten	kling	, kling , so lang und so viel , bis der h. Mann seine Esel wieder bekommen .	, sondern immerzu kling , kling .Er grabt 's gar in die Erd ein , es war aber umsonst , und blieb bei dem alten kling , kling , so lang und so viel , bis der h. Mann seine Esel wieder bekommen .Der erste , so herzukommen , war	972	19	4-Abraham_a_Sancta_Clara.tsv
ITJ	VVFIN		NN	kling		Er grabt 's gar in die Erd ein , es war aber umsonst , und blieb bei dem alten kling ,	kling	, so lang und so viel , bis der h. Mann seine Esel wieder bekommen .	, sondern immerzu kling , kling .Er grabt 's gar in die Erd ein , es war aber umsonst , und blieb bei dem alten kling , kling , so lang und so viel , bis der h. Mann seine Esel wieder bekommen .Der erste , so herzukommen , war	972	21	4-Abraham_a_Sancta_Clara.tsv
ITJ	NE		NE	na		»	Na	, Hans « , sag ich , als er näher kommt , » du holst dir auch wohl dein Bier jetzt von dem neuen Brauer ?	Pikas sich von der Kette losgerissen .» Na , Hans « , sag ich , als er näher kommt , » du holst dir auch wohl dein Bier jetzt von dem neuen Brauer ?‹ Aber Lorenz schüttelte den Kopf .	399	1	99890-Storm__Theodor.tsv
