DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
APZR	APZR		APZR	an		Von nun	an	aber wußte Walpurga nichts mehr .	und jeden Tag zweimal Bericht erstattend .Von nun an aber wußte Walpurga nichts mehr .Man sollte mehr als ein Mensch sein	2331	2	auerbach_hoehe1_hoehe1.tsv
APZR	APZR		APZR	aus		Jedesmal , wenn sie einen Tagemarsch hinter sich hatten , schlugen sie ein Lager auf und brandschatzten und raubten von dort	aus	in allen Dörfern und Städten der Umgebung .	zuchtlosen Söldnerhaufen sprach aller Menschlichkeit Hohn .Jedesmal , wenn sie einen Tagemarsch hinter sich hatten , schlugen sie ein Lager auf und brandschatzten und raubten von dort aus in allen Dörfern und Städten der Umgebung .Die Furcht , die das heranrückende Heer	1288	21	schrecke_wartburg_wartburg.tsv
APZR	APPR		APZR	aus		In goldigem Eigenlicht wie die Morgenröte strahlend , mit nie gesehenen Verzierungen geschmückt , bewegte sich ein glänzender Zug kleiner Luftgondeln , in Mannshöhe über dem Boden schwebend , durch die Straßen ; von den Fenstern	aus	überschütteten die Damen den Zug , trotz der frühen Jahreszeit , mit kostbaren Blumen .	Mars sollte vom Kaiser empfangen werden .In goldigem Eigenlicht wie die Morgenröte strahlend , mit nie gesehenen Verzierungen geschmückt , bewegte sich ein glänzender Zug kleiner Luftgondeln , in Mannshöhe über dem Boden schwebend , durch die Straßen ; von den Fenstern aus überschütteten die Damen den Zug , trotz der frühen Jahreszeit , mit kostbaren Blumen .Es war ein Festtag in Berlin ,	2325	36	lasswitz_auf2plan_auf2plan.tsv
APZR	APZR		APZR	aus		Er that das , weil er ganz genau wußte , daß er von dort	aus	gar nicht gesehen werden konnte .	sein Bild in demselben sehen konnte .Er that das , weil er ganz genau wußte , daß er von dort aus gar nicht gesehen werden konnte .« nickte Steinbach mit feinem Lächeln .	2949	14	may_deuther4_deuther4.tsv
APZR	APZR		APZR	aus		Das gelbe Fieber , das ihn mit äußerster Heftigkeit packte , trieb ihn auf kurze Zeit nach Frankreich zurück , von wo	aus	er dann im Jahre 1802 zur Vollendung seiner seemännischen Ausbildung nach den Antillen ging .	gestört oder gar gewarnt zu werden .Das gelbe Fieber , das ihn mit äußerster Heftigkeit packte , trieb ihn auf kurze Zeit nach Frankreich zurück , von wo aus er dann im Jahre 1802 zur Vollendung seiner seemännischen Ausbildung nach den Antillen ging .Mag sein , daß diese freimütige Kritik	2976	22	braun_titanen_titanen.tsv
APZR	ADV		APZR	her		Seit Marie Touchets Abwesenheit hatte sich der unbeschäftigte Karl der Neunte vorgenommen , alles um sich	her	zu beobachten .	heutigen Louvre nicht mehr vorhanden ist .Seit Marie Touchets Abwesenheit hatte sich der unbeschäftigte Karl der Neunte vorgenommen , alles um sich her zu beobachten .« Im Augenblick , wo diese kleine	2896	16	balzac_k-medici_k-medici.tsv
APZR	APZR		APZR	her		Aber wie ich von dem Nordbahnhof	her	meinen Sekretär , Herrn Lery , anklingele , meldet er mir , daß aller telegrafischer und telefonischer Verkehr mit Deutschland abgebrochen sei .	heraus , in München beim Delphin-Verlag .Aber wie ich von dem Nordbahnhof her meinen Sekretär , Herrn Lery , anklingele , meldet er mir , daß aller telegrafischer und telefonischer Verkehr mit Deutschland abgebrochen sei .Der Pariser Kritiker Maurice Raynals hat ein	4267	6	auburtin_feuillet_feuillet.tsv
APZR	APZR		APZR	heraus		Das schlanke Boot gehorchte rasch dem Steuer , und der Deutsche erkannte jetzt ebenfalls einen dunklen schmalen Gegenstand , der aus dem Schatten	heraus	quer über den Strom hielt – es war jedenfalls ein Boot oder Kanu und mußte auf diesem Weg mit ihnen zusammentreffen .	sobald sie des Reitertrupps ansichtig wurden .Das schlanke Boot gehorchte rasch dem Steuer , und der Deutsche erkannte jetzt ebenfalls einen dunklen schmalen Gegenstand , der aus dem Schatten heraus quer über den Strom hielt – es war jedenfalls ein Boot oder Kanu und mußte auf diesem Weg mit ihnen zusammentreffen .Die Pampas blieb sich hier vollkommen gleich	4330	23	gerstaec_pehu_pehu.tsv
APZR	APZR		APZR	herum		Es ist die Helene Odilon , und wenn's um sie	herum	jetzt ein bißchen enger ist und sie sich auf der einen Seite nicht mehr ganz so flink bewegt , aus ihren Augen schießt , in ihrem Lachen lockt noch immer der anonyme Reiz , durch den einst so viele helle Berliner , so viele gaukelnde Wiener verrückt wurden .	Lachen , das Lachen ihrer Haubenlerche !Es ist die Helene Odilon , und wenn's um sie herum jetzt ein bißchen enger ist und sie sich auf der einen Seite nicht mehr ganz so flink bewegt , aus ihren Augen schießt , in ihrem Lachen lockt noch immer der anonyme Reiz , durch den einst so viele helle Berliner , so viele gaukelnde Wiener verrückt wurden .Die Hochstaplerin bin schon ich selber .	192	10	bahr_kritik_kritik.tsv
APZR	APZR		APZR	herum		« Sie ging , zum König und sagte ihm die fröhliche Botschaft , und als die Zeit	herum	war , gebar sie einen Sohn , und der König war in großer Freude .	einen Sohn oder eine Tochter bescheren .« Sie ging , zum König und sagte ihm die fröhliche Botschaft , und als die Zeit herum war , gebar sie einen Sohn , und der König war in großer Freude .« * * * Es war eine	10515	17	grimm_khmaerch_khmaerch.tsv
