DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
PTKVZ	PTKVZ		PTKVZ	ab		Der Commandant verweilte einige Tage bei seinen Freunden , die ihn durch dramatische Vorstellungen zu ergötzen suchten , und segelte am 6. Mai nach der , bei seiner ersten Fahrt nur oberflächlich untersuchten Legiep-Gruppe	ab	.	» Nadiejeda « bald vollendet wären .Der Commandant verweilte einige Tage bei seinen Freunden , die ihn durch dramatische Vorstellungen zu ergötzen suchten , und segelte am 6. Mai nach der , bei seiner ersten Fahrt nur oberflächlich untersuchten Legiep-Gruppe ab .Dieser führte sich damit ein , daß	2099	34	107559-Verne__Jules.tsv
PTKVZ	PTKVZ		PTKVZ	ab		Von der Küche	ab	ging ein zweiter langer Gang in ein bis zu einem fremden Hause reichendes abgesondertes Zimmer , das die Köchin bewohnte , die in Folge eines Fehltritts mit dem auch Schreibersdienste leistenden Bedienten verheiratet war , welche beide dort eine Art abgesonderten Haushalt bildeten .	, Sie brauchen es nur niederzuschreiben .Von der Küche ab ging ein zweiter langer Gang in ein bis zu einem fremden Hause reichendes abgesondertes Zimmer , das die Köchin bewohnte , die in Folge eines Fehltritts mit dem auch Schreibersdienste leistenden Bedienten verheiratet war , welche beide dort eine Art abgesonderten Haushalt bildeten .Anderseits scheinen mir alle diese Ausschließungs-Maßregeln ja	1694	3	50601-Grillparzer__Franz.tsv
PTKVZ	PTKVZ		PTKVZ	an		Es ist wahr , die Dichter fangen	an	, auf immer luftigeren Bahnen zu wandeln : sie schaffen sich ihre eignen Welten mit Thronen , die ihre Phantasie erbaute , mit Richterstühlen , die ihre eigne Gesetzgebung haben , mit einem Gottesdienst , dessen » Liebes Kind « , sagte ihr Gatte ; » mein Bruder– « Wörtlich seine Worte wiederzugeben ist schwer .	als den Hahn seines Pistols zurücklegen .Es ist wahr , die Dichter fangen an , auf immer luftigeren Bahnen zu wandeln : sie schaffen sich ihre eignen Welten mit Thronen , die ihre Phantasie erbaute , mit Richterstühlen , die ihre eigne Gesetzgebung haben , mit einem Gottesdienst , dessen » Liebes Kind « , sagte ihr Gatte ; » mein Bruder– « Wörtlich seine Worte wiederzugeben ist schwer .Jeronimo hatte keine Empfindung als für das	1087	7	56354-Gutzkow__Karl.tsv
PTKVZ	PTKVZ		PTKVZ	an		« Und kaum hatte er so gesprochen , so hub er von neuem bitterlich zu weinen	an	.	, so will ich's Euch sagen .« Und kaum hatte er so gesprochen , so hub er von neuem bitterlich zu weinen an .« Herr Chapelet weinte noch in einem	8002	16	13915-Boccaccio__Giovanni.tsv
PTKVZ	PTKVZ		VVINF	anheim		Das beste ist wohl , wir stellen es Ihrem eigenen Gewissen	anheim	; meinen Sie nicht ?	Das ist ja nicht möglich .Das beste ist wohl , wir stellen es Ihrem eigenen Gewissen anheim ; meinen Sie nicht ?Aber wie soll man andrerseits die Neigung	5408	11	22510-Dostoevskij__F_dor_Michajlovi_.tsv
PTKVZ	PTKVZ		PTKVZ	auf		« Der Mond stieg über den Ahornbäumen	auf	.	Studie in Rot. « » Geld ?« Der Mond stieg über den Ahornbäumen auf .Auch die Familie Mankow ist malerisch .	2714	7	66884-Keyserling__Eduard_von.tsv
PTKVZ	PTKVZ		PTKVZ	auf		Am anderen Tage stand er mittags gegen zwei Uhr	auf	.	gesellschaftlichen Standpunkt hat man vielleicht recht .Am anderen Tage stand er mittags gegen zwei Uhr auf .Dann forderte er nachlässig eine Empfangsbestätigung .	129	9	26038-Flaubert__Gustave.tsv
PTKVZ	ADV		PTKVZ	da		Die Birken standen	da	und konnten , gleich weiß verkleideten Heiligen , das Licht kaum unterdrücken , das in ihnen war .	immer bewegt , und ohne Glanz .Die Birken standen da und konnten , gleich weiß verkleideten Heiligen , das Licht kaum unterdrücken , das in ihnen war .Oft war er weithin mit Heide überzogen	376	3	89061-Rilke__Rainer_Maria.tsv
PTKVZ	PTKVZ		PTKVZ	dar		Es fügt sich , das der Apt starb und der Convent erwölt zwen andere , und satzten sie	dar	.	erwölt und ußschůb zu einem Apt .Es fügt sich , das der Apt starb und der Convent erwölt zwen andere , und satzten sie dar .‹ Da lacht jederman , und het	789	18	84231-Pauli__Johannes.tsv
PTKVZ	PTKVZ		PTKVZ	ein		Eine bildet ihr	ein	, sie sey eine Katz worden 245 .	Nacht , von Ewigkeit zu Ewigkeit .Eine bildet ihr ein , sie sey eine Katz worden 245 .Da ich nun ( sagt ermeldter Author	7529	3	84969-Pfitzer__Johann_Nikolaus.tsv
