DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
PWAT	PWAV		PWAT	welch		« Von nun an war Erdmuthe überaus heiter , der Knecht und die Magd berichteten , man habe gar nicht gewußt ,	welch	ein lustiger Vogel die Erdmuthe sei ; sie trällere den ganzen Tag und wisse beim Ausruhen gar wunderbare Geschichten zu erzählen , daß man sich wie in einer andern Welt vorkäme und jede Arbeit gehe ihr so flink von der Hand , als hätte sie schon Jahre lang die schwersten Geschäfte verrichtet .	wieder abgerundete Ackerflächen zusammengelegt werden sollten .« Von nun an war Erdmuthe überaus heiter , der Knecht und die Magd berichteten , man habe gar nicht gewußt , welch ein lustiger Vogel die Erdmuthe sei ; sie trällere den ganzen Tag und wisse beim Ausruhen gar wunderbare Geschichten zu erzählen , daß man sich wie in einer andern Welt vorkäme und jede Arbeit gehe ihr so flink von der Hand , als hätte sie schon Jahre lang die schwersten Geschäfte verrichtet .Spürte er vielleicht die Blutsverwandtschaft ?	493	22	5256-Auerbach__Berthold.tsv
PWAT	NN		PWAT	welche			Welche	Mißverständnisse !	Schaar wilder Gänse desselben Weges geflogen !Welche Mißverständnisse !hätte diese Ausströmung des Lichtes so leicht	1028	0	99260-Sterne__Laurence.tsv
PWAT	NN		PWAT	welche			Welche	edle Ruhe in dieser Großstadt-Oase » Stadtpark « !	ohne je krank gewesen zu sein !Welche edle Ruhe in dieser Großstadt-Oase » Stadtpark « !Das Fenster ging auf zwei vom Wasserstaub	1292	0	1351-Altenberg__Peter.tsv
PWAT	NN		PWS	welche		»	Welche	Frage !	ärztliche , aber keine theologische Angelegenheit .» Welche Frage !Es bezog sich alles nur auf die	3281	1	79321-May__Karl.tsv
PWAT	ADJA		PWAT	welche			welche	GOttes Wort etwas bey ihnen gelten lassen .	Das ein und zwantzigste Capitel .welche GOttes Wort etwas bey ihnen gelten lassen .Er sprach nein , sondern ich bin	710	0	84969-Pfitzer__Johann_Nikolaus.tsv
PWAT	ADJA		PRELS	welche		Daselbst fand er zwey weißgekleidete Leute /	welche	Wasser schöpfften .	mit dem Dymel-Flusse vereinbart / entspringet .Daselbst fand er zwey weißgekleidete Leute / welche Wasser schöpfften .Catumer war hierüber sehr froh / hielt	52597	7	78039-Lohenstein__Daniel_Casper_von.tsv
PWAT	PWAT		PRELS	welche		Der mitlere Stengel in dieser Blum præsentirt ein kleine Saul sambt ihrem Postoment , und Capitäl / 5. sich in einander flechtende Gertlein mit 72. Spitzlein versehen / stellen vor die dörnene Cron Cristi /	welche	72. spitzige Dörner gehabt hat : Ferners ist in dieser Wunder-Blum auch ein Creutz zu sehen mit etwas / so 3. oder 4. Näglen gleichet / wie auch etwas / so die Strick und Band / die Lantzen / und das Moß-Rohr vorbildet : absonderlich aber erscheinen auf dieser Blum die heiligen 5. Wunden Christi / durch 5. Blut-rothe Dupffen vorgebildet etc .	der Natur entworffen zu sehen seynd .Der mitlere Stengel in dieser Blum præsentirt ein kleine Saul sambt ihrem Postoment , und Capitäl / 5. sich in einander flechtende Gertlein mit 72. Spitzlein versehen / stellen vor die dörnene Cron Cristi / welche 72. spitzige Dörner gehabt hat : Ferners ist in dieser Wunder-Blum auch ein Creutz zu sehen mit etwas / so 3. oder 4. Näglen gleichet / wie auch etwas / so die Strick und Band / die Lantzen / und das Moß-Rohr vorbildet : absonderlich aber erscheinen auf dieser Blum die heiligen 5. Wunden Christi / durch 5. Blut-rothe Dupffen vorgebildet etc .Du wirst samt dem Pferdt / samt	6936	35	68510-Kobolt__Willibald.tsv
PWAT	PWAT		PWAT	welche		Für den guten Lehrer aber war dies zu stark , der Fall war nun zum außerordentlichen Ereignisse gediehen , und er ließ mich daher stracks los , mit aufrichtiger Bekümmernis darüber nachdenkend ,	welche	Behandlungsart hier angemessen sei .	Sondern erlöse uns von dem Bösen !Für den guten Lehrer aber war dies zu stark , der Fall war nun zum außerordentlichen Ereignisse gediehen , und er ließ mich daher stracks los , mit aufrichtiger Bekümmernis darüber nachdenkend , welche Behandlungsart hier angemessen sei .Als daher der Schulmeister sah , daß	4285	33	66065-Keller__Gottfried.tsv
PWAT	PWAT		PWAT	welche		Word Da jetzt der zweite Teil der Musik in jene sehnsüchtige Überfülle , wie in tiefe Wogen , einsank ,	welche	gewaltsamer als alle Adagios den innersten Boden der Sehnsucht heiß aus tiefem Meer aufhebt – und da die Menschen und die Lichter flogen und wirbelten – und das weite Klingen und Rauschen die Verhüllten wieder in sich selber einhüllte , so sagte Vult im Fluge , aber polnisch : » Mit großblätterigen Blumengewinden rauscht die Lust um uns .	und keine Erde hat , Nonne ?Word Da jetzt der zweite Teil der Musik in jene sehnsüchtige Überfülle , wie in tiefe Wogen , einsank , welche gewaltsamer als alle Adagios den innersten Boden der Sehnsucht heiß aus tiefem Meer aufhebt – und da die Menschen und die Lichter flogen und wirbelten – und das weite Klingen und Rauschen die Verhüllten wieder in sich selber einhüllte , so sagte Vult im Fluge , aber polnisch : » Mit großblätterigen Blumengewinden rauscht die Lust um uns .Word Da jetzt der zweite Teil der	0	20	64896-Jean_Paul.tsv
PWAT	PWAT		PWAT	welche		Word Einzelne Leute gibt es ,	welche	anderen Menschen es am Gesichte ansehen können , ob sie bald sterben müssen ; sie lesen den Menschen , auch wenn sie noch in blühender Gesundheit stehen , den Tod auf dem Gesichte .	nicht geringe Angst ( Ovelg. ) .Word Einzelne Leute gibt es , welche anderen Menschen es am Gesichte ansehen können , ob sie bald sterben müssen ; sie lesen den Menschen , auch wenn sie noch in blühender Gesundheit stehen , den Tod auf dem Gesichte .Word Einzelne Leute gibt es , welche	0	6	100477-Strackerjan__Ludwig.tsv
PWAT	PWAT		PWAT	welche		Aber um zu erfahren , auf	welche	Weise dies kam , und um aus solcher Kenntniß Nutzen zu ziehen , wird es nöthig sein , die beiden folgenden Kapitel zu lesen , welche so viel von seinem Leben und seinen Aeußerungen enthalten sollen , um die Moral deutlich herauszustellen .	bischen durchs Schlüsselloch gucken zu können .Aber um zu erfahren , auf welche Weise dies kam , und um aus solcher Kenntniß Nutzen zu ziehen , wird es nöthig sein , die beiden folgenden Kapitel zu lesen , welche so viel von seinem Leben und seinen Aeußerungen enthalten sollen , um die Moral deutlich herauszustellen .Ich will mich daher bemühen , denselben	1412	6	99260-Sterne__Laurence.tsv
PWAT	PWAT		PWAT	welchen		Einige verwunderten sich über den Leibhund Sr. Durchlaucht , der schon in drei Sprachen bewandert war , andere über Hans Dampfs bisher unbekannt gewesene Geschicklichkeit , Tiere reden zu lehren ; andere betrachteten mit Ehrfurcht die Würden und Ämter , zu	welchen	der Staatsbaumeister plötzlich emporsteigen sollte , da man gerade das Gegenteil erwartet hatte ; andere zitterten nun vor der Rache des großen Mannes , der aus dem Gefängnis in die Nähe eines Thrones versetzt , Stadt und Republik Lalenburg in seiner Gewalt hatte .	» Dann bekommt Er neue Gehaltszulage !Einige verwunderten sich über den Leibhund Sr. Durchlaucht , der schon in drei Sprachen bewandert war , andere über Hans Dampfs bisher unbekannt gewesene Geschicklichkeit , Tiere reden zu lehren ; andere betrachteten mit Ehrfurcht die Würden und Ämter , zu welchen der Staatsbaumeister plötzlich emporsteigen sollte , da man gerade das Gegenteil erwartet hatte ; andere zitterten nun vor der Rache des großen Mannes , der aus dem Gefängnis in die Nähe eines Thrones versetzt , Stadt und Republik Lalenburg in seiner Gewalt hatte .Er war rastlos tätig , man möchte	691	41	112142-Zschokke__Heinrich.tsv
PWAT	PWAT		PWAT	welchen		Es ist mir so viel lieber / ( sagte Aramena ) weil ich sehe / wie beliebt allhier dieser Prinz ist : und kan es leichtlich seyn / daß ihn ein gleichmåsiges glůck beim leben erhalten / wie den jungen König Marsius /	welchen	man in selbiger schlacht auch fälschlich todt gesaget .	O nein !Es ist mir so viel lieber / ( sagte Aramena ) weil ich sehe / wie beliebt allhier dieser Prinz ist : und kan es leichtlich seyn / daß ihn ein gleichmåsiges glůck beim leben erhalten / wie den jungen König Marsius / welchen man in selbiger schlacht auch fälschlich todt gesaget .Ich weiß nit anderst / ( sagte	12406	43	3459-Anton_Ulrich_Herzog_von_Braunschweig.tsv
