DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
VVIMP	NE		NN	behüten		« »	Behüte	!	sie Brunnenholds Thiere und zerrißen sie .« » Behüte !Darauf aber suchten der Löwe , der	274	2	71785-L_hr__Johann_Andreas_Christian.tsv
VVIMP	NN		VVFIN	denken			Denke	Er aber bei dem Testiren auch an mich und Seine Braut !	will ich Ihm allerdings gerathen haben .Denke Er aber bei dem Testiren auch an mich und Seine Braut !Das hat Er ruhig und geduldig hingenommen	481	0	79357-May__Karl.tsv
VVIMP	VVFIN		VVIMP	erzählen			Erzählt	sie doch von Anfang an , Mütterchen , ich bitte Euch !	› Nein !Erzählt sie doch von Anfang an , Mütterchen , ich bitte Euch !Ich schickte mich denn in Geduld und	3288	0	3481-Apuleius.tsv
VVIMP	ADJA		ADJA	fressen		) So heißt es bei einer Sexualordnung wie der unsrigen :	friß	Vogel oder stirb .	an , durch Kälte zu reizen .) So heißt es bei einer Sexualordnung wie der unsrigen : friß Vogel oder stirb .» Wer von einem Paar am geringsten	82	11	79544-Meisel_Hess__Grete.tsv
VVIMP	VVIMP		VVIMP	geben		Ach , Fürst , du bist ganz wie ein kleines Kind : du möchtest ein Spielzeug haben ; ›	gib	her , gib her !	geht es nun einmal nicht ab .Ach , Fürst , du bist ganz wie ein kleines Kind : du möchtest ein Spielzeug haben ; › gib her , gib her !Skandalszenen sind äußerst selten , wiewohl sie	12680	19	22510-Dostoevskij__F_dor_Michajlovi_.tsv
VVIMP	VVIMP		VVIMP	geben		Ach , Fürst , du bist ganz wie ein kleines Kind : du möchtest ein Spielzeug haben ; › gib her ,	gib	her !	geht es nun einmal nicht ab .Ach , Fürst , du bist ganz wie ein kleines Kind : du möchtest ein Spielzeug haben ; › gib her , gib her !Skandalszenen sind äußerst selten , wiewohl sie	12680	22	22510-Dostoevskij__F_dor_Michajlovi_.tsv
VVIMP	ADJA		VVFIN	geben			gieb	mir demnach monatlich etwas / daß ich als dein bruder ehrlich leben kan .	daß ihm solches wohl bekandt wäre .gieb mir demnach monatlich etwas / daß ich als dein bruder ehrlich leben kan .Ein topff-händler erschiene vor einem Türckischen Kayser	190	0	3454-Anonym.tsv
VVIMP	VVIMP		VVFIN	gestehen		» Ich habe selbst schon an dergleichen gedacht « , antwortete der Alte , »	gestehe	Dir aber , daß ich durch alles , was ich von Berliner Pensionsanstalten gesehen und geprüft habe , geradezu zurückgeschreckt worden bin .	hin eine wiederum viel ventilierte wurde .» Ich habe selbst schon an dergleichen gedacht « , antwortete der Alte , » gestehe Dir aber , daß ich durch alles , was ich von Berliner Pensionsanstalten gesehen und geprüft habe , geradezu zurückgeschreckt worden bin .Er schläft noch .	24468	15	26867-Fontane__Theodor.tsv
VVIMP	NE		VVFIN	grüßen		« »	Grüß	Dich Gott , lieber Uriel , « sagte Regina mit der ihr eigentümlichen Innigkeit in Blick und Ton , indem sie ihm die Hand bot .	« » Gott vergelts !« » Grüß Dich Gott , lieber Uriel , « sagte Regina mit der ihr eigentümlichen Innigkeit in Blick und Ton , indem sie ihm die Hand bot .» Wie seltsam das ist , «	3159	2	57425-Hahn_Hahn__Ida_Gr_fin_von.tsv
VVIMP	VVFIN		ADJD	helfen		› Sei unbesorgt , Kamerad ‹ , wird mir geantwortet , › aber	hilf	mir , daß ich auch hineingelange , das Fenster ist verdammt hoch .	, ums Himmels willen , still !› Sei unbesorgt , Kamerad ‹ , wird mir geantwortet , › aber hilf mir , daß ich auch hineingelange , das Fenster ist verdammt hoch .‹ ruft mir auf einmal mit hohler	376	13	58802-Hebbel__Friedrich.tsv
VVIMP	NE		NN	küssen		« »	Küsse	ihn !	« » Nein , nein !« » Küsse ihn !» Danke sehr !	5651	2	26039-Flaubert__Gustave.tsv
VVIMP	NE		VVIMP	lassen			Laß	Dich weder darauf , noch überhaupt auf das ein , was Partei und Faktion genannt werden kann , wenn du mit Annehmlichkeit leben willst .	Prätensionen , ränkevolle und unsittliche Leute .Laß Dich weder darauf , noch überhaupt auf das ein , was Partei und Faktion genannt werden kann , wenn du mit Annehmlichkeit leben willst .Wähle nicht unter ihnen Deinen Umgang .	2629	0	68043-Knigge__Adolph_Freiherr_von.tsv
VVIMP	NE		VVIMP	lassen		Boulevard des Capucins numéro dix sept , fragen Sie nur nach Mademoiselle Eleonore –	Laß	und allein , Nadeska , aber bleib' im Nebenzimmer , sagte die Fürstin .	er einen Entschluß gefaßt zu haben .Boulevard des Capucins numéro dix sept , fragen Sie nur nach Mademoiselle Eleonore – Laß und allein , Nadeska , aber bleib' im Nebenzimmer , sagte die Fürstin .Der Fürst sah aus , wie Jemand	5876	14	99024-Spielhagen__Friedrich.tsv
