DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
VMFIN	VMFIN		VMFIN	dürfen		– In faden Harmlosigkeiten freilich	darf	ich mich dabei nicht ergehen , auf einige Verblüffung läuft es immer hinaus – dem Geschmack der Zeit muß man Konzessionen machen ... man muß ... Welcher Künstler ist groß geworden und hat das nicht getan ?	läßt sich darin nicht finden !.. .– In faden Harmlosigkeiten freilich darf ich mich dabei nicht ergehen , auf einige Verblüffung läuft es immer hinaus – dem Geschmack der Zeit muß man Konzessionen machen ... man muß ... Welcher Künstler ist groß geworden und hat das nicht getan ?Jetzt sind Sie 's nicht .	479	5	23119-Ebner_Eschenbach__Marie_von.tsv
VMFIN	VMFIN		VMFIN	dürfen		« Es ist mir nicht erlaubt , eine Beschreibung des Apparates zu geben , doch	darf	ich versichern , daß , als der » junge Adler « uns alles erklärt hatte , wir beide Tatellah-Satah und ich , von der Sicherheit und der Verläßlichkeit des Apparates derart überzeugt waren , daß in uns sofort der Wunsch aufstieg , uns seiner recht bald einmal bedienen zu dürfen .	« » Ah ?« Es ist mir nicht erlaubt , eine Beschreibung des Apparates zu geben , doch darf ich versichern , daß , als der » junge Adler « uns alles erklärt hatte , wir beide Tatellah-Satah und ich , von der Sicherheit und der Verläßlichkeit des Apparates derart überzeugt waren , daß in uns sofort der Wunsch aufstieg , uns seiner recht bald einmal bedienen zu dürfen .Oder doch , oder doch ?	7274	15	79326-May__Karl.tsv
VMFIN	VMFIN		VMFIN	können		Dieser Mann	kann	mich nicht beleidigen .	welcher Horde er wohl gehören mag ?Dieser Mann kann mich nicht beleidigen .Das ist gut , sehr gut !	1217	2	79315-May__Karl.tsv
VMFIN	VMFIN		VMFIN	können		Rette sich , wer	kann	!	in die Kirche hinein : Mörder !Rette sich , wer kann !Alle spähten im ersten Moment ratlos nach	1401	4	62191-Heyse__Paul.tsv
VMFIN	VMFIN		VMFIN	können		Schwimmen	konnten	sie als echte Beduinen nicht .	welche säckevoll bei den Kamelen lagen .Schwimmen konnten sie als echte Beduinen nicht .Der , welcher bis jetzt in ihrem	5446	1	79309-May__Karl.tsv
VMFIN	VMFIN		VMFIN	können		« Der Lange trug sie hin und sprach » ich wollte ihn wohl herausholen , wenn ich ihn nur sehen	könnte	.	geholt werden , nun schafft Rat .« Der Lange trug sie hin und sprach » ich wollte ihn wohl herausholen , wenn ich ihn nur sehen könnte .» Daß du mir einen Ring herbeibringst	31	20	50958-Grimm__Jacob_und_Wilhelm.tsv
VMFIN	VMFIN		VMFIN	mögen		Ich	möchte	gestorben sein – ein Engel – ein Geist von der , die Du so geliebt hast .	« seufzte Elmerice .Ich möchte gestorben sein – ein Engel – ein Geist von der , die Du so geliebt hast .« – » Könnte ich Dir doch	3234	1	83757-Paalzow__Henriette_von.tsv
VMFIN	VMFIN		VMFIN	mögen		Denn wie er keinen Paßport bey dem Gouverneur auf zuweisen hatte / sagte dieser mit einer zwar höflichen doch unanständigen Mine ; er	möchte	sich so lange gedulten / biß auf gethanen Bericht andre Ordre deswegen vor Sr. Majestät einlieffe / weil ihm bey hoher Lebens-Straffe und sonder Betrachtung des Standes gebothen / diesen Befehl genau nachzukommen .	die andern Gefangenen vor Renardens Zimmer .Denn wie er keinen Paßport bey dem Gouverneur auf zuweisen hatte / sagte dieser mit einer zwar höflichen doch unanständigen Mine ; er möchte sich so lange gedulten / biß auf gethanen Bericht andre Ordre deswegen vor Sr. Majestät einlieffe / weil ihm bey hoher Lebens-Straffe und sonder Betrachtung des Standes gebothen / diesen Befehl genau nachzukommen .Wie nun Rosantes seinen Fürstlichen Stand offenbahret	1374	23	64549-Hunold__Christian_Friedrich.tsv
VMFIN	VMFIN		VMFIN	mögen		Serra , ein Meer-Fisch / hat seinen Nahmen von der That / dann Serra heißt ein Sägen : der Fisch aber solle auf dem Rucken so scharpffe Stachlen haben / daß / wann er unter einem Schiff herschwimmt / und sich an selbem sehr starck reibet / es durchschneiden	möge	.	dritten Tag wird er uns auferwecken .Serra , ein Meer-Fisch / hat seinen Nahmen von der That / dann Serra heißt ein Sägen : der Fisch aber solle auf dem Rucken so scharpffe Stachlen haben / daß / wann er unter einem Schiff herschwimmt / und sich an selbem sehr starck reibet / es durchschneiden möge .Und dises ist / was der Prophet	8555	49	68510-Kobolt__Willibald.tsv
VMFIN	VVINF		VMFIN	mögen		Da sagte der Jäger Jürge : › Ach , bittet hier die gute alte Mutter , daß sie doch morgen mit dem Töchterlein ihrer seligen Base bei meinem Rechte zugegen sein	mögen	; das wird mir das Herz stärken in meiner letzten Stunde .	, er wolle mit ihm beten .Da sagte der Jäger Jürge : › Ach , bittet hier die gute alte Mutter , daß sie doch morgen mit dem Töchterlein ihrer seligen Base bei meinem Rechte zugegen sein mögen ; das wird mir das Herz stärken in meiner letzten Stunde .« Er hieß mich zu seiner Köchin	495	31	14643-Brentano__Clemens.tsv
