DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
KOKOM	APPR		KOKOM	als		Ihr verzweifeltes wesen / so diese worte begleitete / fürete mich so aus mir selber / daß ich kein wort /	als	daß ich ihr gehorsamẽ wolte / herfürbringen kunte .	befihlet mir / euch zu lieben .Ihr verzweifeltes wesen / so diese worte begleitete / fürete mich so aus mir selber / daß ich kein wort / als daß ich ihr gehorsamẽ wolte / herfürbringen kunte .Inzwischen wurde ich / zu ihr zu	27898	21	3459-Anton_Ulrich_Herzog_von_Braunschweig.tsv
KOKOM	KOKOM		KOKOM	als		« Kaum hatte Sancho diese Worte gesprochen , als sich die silberne Nymphe erhob , die neben dem Geiste des Merlin saß , den durchsichtigen Schleier aufhob und ein Gesicht zeigte , welches allen mehr	als	überflüssig reizend erschien , mit männlichem Anstande und einer nicht zu zarten Stimme sich gerade gegen Sancho Pansa wandte und sagte : » O du nichtsnutziger Stallmeister , du gemeine Seele , du Felsenherz , du mit dem Gemüt von Kieseln , mit Eingeweiden von Feuerstein !	wo seine Augen sie nimmermehr wiederfänden .« Kaum hatte Sancho diese Worte gesprochen , als sich die silberne Nymphe erhob , die neben dem Geiste des Merlin saß , den durchsichtigen Schleier aufhob und ein Gesicht zeigte , welches allen mehr als überflüssig reizend erschien , mit männlichem Anstande und einer nicht zu zarten Stimme sich gerade gegen Sancho Pansa wandte und sagte : » O du nichtsnutziger Stallmeister , du gemeine Seele , du Felsenherz , du mit dem Gemüt von Kieseln , mit Eingeweiden von Feuerstein !« » Ich habe sie nicht gekannt	1870	35	17702-Cervantes_Saavedra__Miguel_de.tsv
KOKOM	KOKOM		APPR	als		Staunend über diese neuen Entdeckungen , die sie darauf sich gegenseitig machten , verloren sie zwar die Spur des plötzlich wie verschwundenen flüchtigen Fremden , aber sie sagten doch : Siegbert , erstaunend über die Aufregung des Bruders , konnte nichts	als	, alle Gegenrede vermeidend , ihn bitten , deutlicher zu werden und in Ruhe zu erzählen , was er ihm anzuvertrauen hätte .	Priesterrock und Weihe , wahre Ruhe .Staunend über diese neuen Entdeckungen , die sie darauf sich gegenseitig machten , verloren sie zwar die Spur des plötzlich wie verschwundenen flüchtigen Fremden , aber sie sagten doch : Siegbert , erstaunend über die Aufregung des Bruders , konnte nichts als , alle Gegenrede vermeidend , ihn bitten , deutlicher zu werden und in Ruhe zu erzählen , was er ihm anzuvertrauen hätte .Das Bedürfniß der Beichte ist der Wahrheitsdrang	35527	41	56355-Gutzkow__Karl.tsv
KOKOM	KOKOM		KOKOM	als		« Longarine sagte : » Ehrbare Frauen brauchen nichts anderes	als	die Liebe ihrer Männer , die allein sie zufriedenstellen kann .	ihr immer Unruhe genug verursacht hat .« Longarine sagte : » Ehrbare Frauen brauchen nichts anderes als die Liebe ihrer Männer , die allein sie zufriedenstellen kann .« » Mir sollte es jedenfalls sehr	9	10	83111-Navarra__Margarete_von.tsv
KOKOM	KOKOM		KOKOM	als		Wäre Adam nicht so gut vor	als	nach dem Falle gestorben ( in der höhern Ordenssprache verwandelt worden ) ?	zwischen mehr und nur so groß ?Wäre Adam nicht so gut vor als nach dem Falle gestorben ( in der höhern Ordenssprache verwandelt worden ) ?öffentlich seine Sporen trägt , zur Hochwürde	7005	6	62296-Hippel__Theodor_Gottlieb_von.tsv
KOKOM	APPR		KOKOM	als		132 Dise Geschicht / wo man sie nach der Natur will ermessen / ist sie vnmöglich : vnnd glichwol ist sie so war /	als	klar die Sonn scheinet .	dann Strabo vnd Plinius hierinn einstimmen .132 Dise Geschicht / wo man sie nach der Natur will ermessen / ist sie vnmöglich : vnnd glichwol ist sie so war / als klar die Sonn scheinet .Wiewol solche Geister mehrheils heimisch oder Familiar	5498	24	14106-Bodin__Jean.tsv
KOKOM	KOKOM		KOKOM	als		Unter der Erde lag alles noch durcheinander , und obwohl auch hier jede Stein- , Kristall- und Metallart ihre Beschaffenheit von dem Lande nimmt , in dem sie wuchs , und hiernach die eigensten Verschiedenheiten giebet , so ist man doch in diesem Reich des Pluto noch lange nicht zu der allgemeinen geographischen Übersicht und zu den ordnenden Grundsätzen gekommen	als	im schönen Reich der Flora .	Aussichten und Gesetzen der Natur vorbereitet .Unter der Erde lag alles noch durcheinander , und obwohl auch hier jede Stein- , Kristall- und Metallart ihre Beschaffenheit von dem Lande nimmt , in dem sie wuchs , und hiernach die eigensten Verschiedenheiten giebet , so ist man doch in diesem Reich des Pluto noch lange nicht zu der allgemeinen geographischen Übersicht und zu den ordnenden Grundsätzen gekommen als im schönen Reich der Flora .Noch ist also , bei der gegenwärtigen	5159	60	61281-Herder__Johann_Gottfried.tsv
KOKOM	KOKOM		KOKOM	als		Ist dahero nicht besser gethan ,	als	daß man ihnen bey Zeiten die Hälse breche , und ist sonst kein ander Unglück zu besorgen , als daß man nun ins künfftige wenig Eyer mehr von solchen Hünern bekomme , und solchergestalt ihnen das Futter umsonst geben werde .	und der Prophetin der Halß abgeschnitten .Ist dahero nicht besser gethan , als daß man ihnen bey Zeiten die Hälse breche , und ist sonst kein ander Unglück zu besorgen , als daß man nun ins künfftige wenig Eyer mehr von solchen Hünern bekomme , und solchergestalt ihnen das Futter umsonst geben werde .Wenn man von einem Orte hinweg gehet	4478	6	97156-Schmidt__Johann_Georg.tsv
KOKOM	KOKOM		KOKOM	als		Ist dahero nicht besser gethan , als daß man ihnen bey Zeiten die Hälse breche , und ist sonst kein ander Unglück zu besorgen ,	als	daß man nun ins künfftige wenig Eyer mehr von solchen Hünern bekomme , und solchergestalt ihnen das Futter umsonst geben werde .	und der Prophetin der Halß abgeschnitten .Ist dahero nicht besser gethan , als daß man ihnen bey Zeiten die Hälse breche , und ist sonst kein ander Unglück zu besorgen , als daß man nun ins künfftige wenig Eyer mehr von solchen Hünern bekomme , und solchergestalt ihnen das Futter umsonst geben werde .Wenn man von einem Orte hinweg gehet	4478	25	97156-Schmidt__Johann_Georg.tsv
KOKOM	KOKOM		KOKOM	als		Jeder Frau aber , die einen Mann liebt , wäre diese verbindende stillere Zärtlichkeit der Herzen , der Interessen viel mehr wert	als	das Rasen der Leidenschaft .	er dieses Gefühl gar nicht zu .Jeder Frau aber , die einen Mann liebt , wäre diese verbindende stillere Zärtlichkeit der Herzen , der Interessen viel mehr wert als das Rasen der Leidenschaft .Der Ehefrau gegenüber hat der Mann noch	4077	22	79544-Meisel_Hess__Grete.tsv
