DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
PAV	PROAV		PROAV	dabei		Top errang sich	dabei	alle Anerkennung , und Dank seiner hurtigen Gewandtheit war keine einzige Jagdbeute verloren gegangen .	seinen Mitwissern verabredete Ort des Zusammentreffens .Top errang sich dabei alle Anerkennung , und Dank seiner hurtigen Gewandtheit war keine einzige Jagdbeute verloren gegangen .Nachdem die Gesellschaft ziemlich nahe an jene	2171	3	107501-Verne__Jules.tsv
PAV	PROAV		PROAV	dabei		Alexei Alexandrowitsch fand keine große Mühe	dabei	, sich von der Richtigkeit dieser Auffassung zu überzeugen .	während des Ankleidens alles Erforderliche meldete .Alexei Alexandrowitsch fand keine große Mühe dabei , sich von der Richtigkeit dieser Auffassung zu überzeugen .Aber sie hatte nicht übertrieben , als	12838	6	104939-Tolstoj__Lev_Nikolaevi_.tsv
PAV	PROAV		PROAV	dabei		Seht da , das sechste Cabinet hat als Medaillon eine Nymphe , die sich im Wasser spiegelt und sich	dabei	selber kopirt , mit einer Stecknadel nämlich auf einem großen Feigenblatt , das ihr ein Satyr hinreicht .	Komme doch , holde Schöne !Seht da , das sechste Cabinet hat als Medaillon eine Nymphe , die sich im Wasser spiegelt und sich dabei selber kopirt , mit einer Stecknadel nämlich auf einem großen Feigenblatt , das ihr ein Satyr hinreicht .Komme doch !	24983	19	56355-Gutzkow__Karl.tsv
PAV	PROAV		PROAV	dadurch		Den Leuten im Dorfe wurde er	dadurch	unheimlich .	, auf dem er sie vermutete .Den Leuten im Dorfe wurde er dadurch unheimlich .Trotz der tageshellen Beleuchtung konnte er das	2697	6	85692-Polenz__Wilhelm_von.tsv
PAV	PROAV		PROAV	dafür		Glauben Sie mir denn nicht , daß ich jetzt das halbe Leben	dafür	geben würde , um Ihr Lachen zu hören und Ihre Tränen nicht zu sehen ... « Das Märchen hielt in Oblomowka nicht nur die Kinder , sondern auch die Erwachsenen bis ans Ende des Lebens in seinem Bann .	» Es ist noch nicht Zeit !Glauben Sie mir denn nicht , daß ich jetzt das halbe Leben dafür geben würde , um Ihr Lachen zu hören und Ihre Tränen nicht zu sehen ... « Das Märchen hielt in Oblomowka nicht nur die Kinder , sondern auch die Erwachsenen bis ans Ende des Lebens in seinem Bann .» Wenn es aber wahr ist ,	10990	12	48338-Gon_arov__Ivan_Aleksandrovi_.tsv
PAV	PROAV		PROAV	dahin		Marie , die bis	dahin	von ihrer Handarbeit nicht aufgeblickt hatte , sah Kathinka mit ihren großen Augen an .	doch schließlich von ziemlich zweifelhaftem Gepräge .Marie , die bis dahin von ihrer Handarbeit nicht aufgeblickt hatte , sah Kathinka mit ihren großen Augen an .» Ich fürchte fast « , sagte	7700	4	26850-Fontane__Theodor.tsv
PAV	PROAV		PROAV	dahinter		Er drehte sich wieder um und sah – denn seine große Aufregung hatte ihn denselben einen Moment früher nicht sehen lassen – einen daherfahrenden Karren , sogar eine ganze Reihe dieser gewöhnlichen Todtenkarren , mit dem gewöhnlichen Geleite ,	dahinter	, in einiger Entfernung , einen anderen Haufen Leute , die auch gern über den Salber hergefallen wären und hin zerrissen hätten ; aber auch sie wurden von dem nämlichen Hinderniß zurückgehalten .	man thun kann , zu berichten .Er drehte sich wieder um und sah – denn seine große Aufregung hatte ihn denselben einen Moment früher nicht sehen lassen – einen daherfahrenden Karren , sogar eine ganze Reihe dieser gewöhnlichen Todtenkarren , mit dem gewöhnlichen Geleite , dahinter , in einiger Entfernung , einen anderen Haufen Leute , die auch gern über den Salber hergefallen wären und hin zerrissen hätten ; aber auch sie wurden von dem nämlichen Hinderniß zurückgehalten .« » Eh , ich wollte es	5702	39	78504-Manzoni__Alessandro.tsv
PAV	PROAV		PROAV	damit		Sie richten	damit	Ihre Carrière zu Grunde , denn kein Minister des Aeußern wird einen Narren zu Ambassadeur machen !	ist theuer , aber es passirt !Sie richten damit Ihre Carrière zu Grunde , denn kein Minister des Aeußern wird einen Narren zu Ambassadeur machen !‹ – Der angehende Diplomat findet im	25730	2	31528-Goedsche__Herrmann.tsv
PAV	PROAV		PROAV	damit		den also sagt sanct Pauel allen Christen › Ein ygliche seele ( ich [ Rand : Röm. 13 , 1 ff. ] halt des Bapsts auch ) sol unterthan sein der ubirkeit , den sie tregt nit umbsonst das schwert , sie dienet got	damit	, zur straff der bosen , und zu lob den frumen ‹ , auch sanct Petrus › Seyt unterthan allen menschlichen ordnungen [ Rand : 1. Petr. 2 , 13. ] umb gottis willen , der es szo haben wil ‹ .	Romischen stuel durch reformiern zuschaffen gebe .den also sagt sanct Pauel allen Christen › Ein ygliche seele ( ich [ Rand : Röm. 13 , 1 ff. ] halt des Bapsts auch ) sol unterthan sein der ubirkeit , den sie tregt nit umbsonst das schwert , sie dienet got damit , zur straff der bosen , und zu lob den frumen ‹ , auch sanct Petrus › Seyt unterthan allen menschlichen ordnungen [ Rand : 1. Petr. 2 , 13. ] umb gottis willen , der es szo haben wil ‹ .Warumb das ?	775	44	78120-Luther__Martin.tsv
PAV	PROAV		PROAV	damit		Nie hätte ich gedacht , daß die deutsche Sprache eine solche Kraft besitzt ; man könnte	damit	den Montblanc in Staub verwandeln .	muß er leichten Kies dazu gebrauchen .Nie hätte ich gedacht , daß die deutsche Sprache eine solche Kraft besitzt ; man könnte damit den Montblanc in Staub verwandeln .Man schrieb mir von dort , er	6251	16	6289-B_rne__Ludwig.tsv
