DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
PPER	PPER		PPER	du			Du	bleibst hier und schwörst , oder du kommst in des Rates Gefängnis .	Dresden mit ihm wider uns aufreizest !Du bleibst hier und schwörst , oder du kommst in des Rates Gefängnis .Ihrer Hunderte oder Taufende sind erstochen ,	7	0	schrecke_meyenbur_meyenbur.tsv
PPER	PPER		PPER	du		» Höre , Cäsar , ich hoffe ,	du	lädtst den Herrn Abbé Loraux zum Diner ein !	Mein Bruder !» Höre , Cäsar , ich hoffe , du lädtst den Herrn Abbé Loraux zum Diner ein !» Mein Bruder !	1455	8	balzac_birottea_birottea.tsv
PPER	PPER		PPER	du		Du bleibst hier und schwörst , oder	du	kommst in des Rates Gefängnis .	Dresden mit ihm wider uns aufreizest !Du bleibst hier und schwörst , oder du kommst in des Rates Gefängnis .Ihrer Hunderte oder Taufende sind erstochen ,	7	7	schrecke_meyenbur_meyenbur.tsv
PPER	PPER		PPER	er			Er	scheint sich nicht schlecht gehalten zu haben , wenn man ihn hört .	wir Ulmer die Wiener überflügelt hätten ?Er scheint sich nicht schlecht gehalten zu haben , wenn man ihn hört .Meine Tante schreibt mir , er sei	4745	0	eyth_ulm_ulm.tsv
PPER	PPER		PPER	er		« Ein Schauer überlief Espel ;	er	schob alles zusammen mit einer hastigen Bewegung heftig von sich in die dunkelste Ecke seines Schreibtisches unter das darüber angebrachte Büchergestell .	Wer von euch führt mich hin ?« Ein Schauer überlief Espel ; er schob alles zusammen mit einer hastigen Bewegung heftig von sich in die dunkelste Ecke seines Schreibtisches unter das darüber angebrachte Büchergestell .Wo wohnt er ?	131	6	herbert_rufnacht_rufnacht.tsv
PPER	PPER		PPER	er		Unaufhörlich Lenz gelesen und mir aus	ihm	– so steht es mit mir – Besinnung geholt .	, wie eine Wetterfahne im Gebirge .Unaufhörlich Lenz gelesen und mir aus ihm – so steht es mit mir – Besinnung geholt .Zu jener Zeit , die heute niemand	5986	6	kafka_tagebuch_tagebuch.tsv
PPER	PPER		PPER	er		Die Alte sagte zu	ihm	, er solle auf ihren Sohn warten , er werde bald kommen .	Bauer ging wieder zu den Winden .Die Alte sagte zu ihm , er solle auf ihren Sohn warten , er werde bald kommen .« – Da sprach zu ihm der	2029	4	dietrich_russmaer_russmaer.tsv
PPER	PPER		PPER	er		Ich brauch'	ihn	!	Nein , das will ich nicht !Ich brauch' ihn !Und der Hals mußte frei sein .	1986	2	buelowf_novellen_novellen.tsv
PPER	PPER		PPER	er		Er scheint sich nicht schlecht gehalten zu haben , wenn man	ihn	hört .	wir Ulmer die Wiener überflügelt hätten ?Er scheint sich nicht schlecht gehalten zu haben , wenn man ihn hört .Meine Tante schreibt mir , er sei	4745	11	eyth_ulm_ulm.tsv
PPER	PPER		PPER	es		Dies plötzliche nun in die Verbannung und in einen Kerker gerufene Glück hatte sogar etwas Romantisches für die Welt , die im Grunde das Regelwidrige dem Regelmäßigen vorzieht , nur darf sie	es	in ihren nächsten Interessen nicht berühren und ihr nicht irgend welche Opfer auferlegen .	der Gerechtigkeit schon müssen aufhalten lassen .Dies plötzliche nun in die Verbannung und in einen Kerker gerufene Glück hatte sogar etwas Romantisches für die Welt , die im Grunde das Regelwidrige dem Regelmäßigen vorzieht , nur darf sie es in ihren nächsten Interessen nicht berühren und ihr nicht irgend welche Opfer auferlegen .Warum sollte man das Ergebniß jener zweihundertjährigen	24893	32	gutzkow_ritter_ritter.tsv
PPER	PPER		PPER	es		Unaufhörlich Lenz gelesen und mir aus ihm – so steht	es	mit mir – Besinnung geholt .	, wie eine Wetterfahne im Gebirge .Unaufhörlich Lenz gelesen und mir aus ihm – so steht es mit mir – Besinnung geholt .Zu jener Zeit , die heute niemand	5986	10	kafka_tagebuch_tagebuch.tsv
PPER	PPER		PPER	ich			Ich	brauch' ihn !	Nein , das will ich nicht !Ich brauch' ihn !Und der Hals mußte frei sein .	1986	0	buelowf_novellen_novellen.tsv
PPER	PPER		PPER	ich		Wie	ich	genauer hinsehe , erkenne ich in allen Dingen dieselbe Schwermut , jeder Menschenblick ist ängstlich und falsch , jeder Ton gebrochen ... Auf allen Dingen liegt ein grauer Nebel , der jedes Licht verdeckt und jede Freude erstickt .	Wir fahren immer weiter und weiter .Wie ich genauer hinsehe , erkenne ich in allen Dingen dieselbe Schwermut , jeder Menschenblick ist ängstlich und falsch , jeder Ton gebrochen ... Auf allen Dingen liegt ein grauer Nebel , der jedes Licht verdeckt und jede Freude erstickt .Daß er ein Mensch war , der	1600	1	antholog_pfeiffen_pfeiffen.tsv
PPER	PPER		PPER	ich		Wie ich genauer hinsehe , erkenne	ich	in allen Dingen dieselbe Schwermut , jeder Menschenblick ist ängstlich und falsch , jeder Ton gebrochen ... Auf allen Dingen liegt ein grauer Nebel , der jedes Licht verdeckt und jede Freude erstickt .	Wir fahren immer weiter und weiter .Wie ich genauer hinsehe , erkenne ich in allen Dingen dieselbe Schwermut , jeder Menschenblick ist ängstlich und falsch , jeder Ton gebrochen ... Auf allen Dingen liegt ein grauer Nebel , der jedes Licht verdeckt und jede Freude erstickt .Daß er ein Mensch war , der	1600	6	antholog_pfeiffen_pfeiffen.tsv
PPER	PPER		PPER	ich		Unaufhörlich Lenz gelesen und	mir	aus ihm – so steht es mit mir – Besinnung geholt .	, wie eine Wetterfahne im Gebirge .Unaufhörlich Lenz gelesen und mir aus ihm – so steht es mit mir – Besinnung geholt .Zu jener Zeit , die heute niemand	5986	4	kafka_tagebuch_tagebuch.tsv
PPER	PPER		PPER	ich		Unaufhörlich Lenz gelesen und mir aus ihm – so steht es mit	mir	– Besinnung geholt .	, wie eine Wetterfahne im Gebirge .Unaufhörlich Lenz gelesen und mir aus ihm – so steht es mit mir – Besinnung geholt .Zu jener Zeit , die heute niemand	5986	12	kafka_tagebuch_tagebuch.tsv
PPER	PPER		PPER	sie		» Nennen	Sie	den Namen nicht , Herr !	Sie den Namen nicht , Herr !» Nennen Sie den Namen nicht , Herr !« » Das kann nicht sein ,	642	2	scott_altertu2_altertu2.tsv
PPER	PPER		PPER	sie		»	Sie	werden sich ärgern .	nicht getan « , entgegnete Jovian .» Sie werden sich ärgern .» Ja freilich « , brach Lysias	9791	1	dahn_julian_julian.tsv
PPER	PPER		PPER	sie		Wie kann sie's nur wagen , anständige Personen um ihren Besuch zu bitten , alles bloß , um	ihnen	etwas von ihrer Unschuld vorzuklagen ?	hat , ist kaum zu glauben .Wie kann sie's nur wagen , anständige Personen um ihren Besuch zu bitten , alles bloß , um ihnen etwas von ihrer Unschuld vorzuklagen ?.	1292	18	fontane_5schloes_5schloes.tsv
