DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
PRELS	PRELS		PRELS	die		Es fügt sich ,	das	der Apt starb und der Convent erwölt zwen andere , und satzten sie dar .	erwölt und ußschůb zu einem Apt .Es fügt sich , das der Apt starb und der Convent erwölt zwen andere , und satzten sie dar .‹ Da lacht jederman , und het	789	4	84231-Pauli__Johannes.tsv
PRELS	PRELS		PRELS	die		Die Birken standen da und konnten , gleich weiß verkleideten Heiligen , das Licht kaum unterdrücken ,	das	in ihnen war .	immer bewegt , und ohne Glanz .Die Birken standen da und konnten , gleich weiß verkleideten Heiligen , das Licht kaum unterdrücken , das in ihnen war .Oft war er weithin mit Heide überzogen	376	17	89061-Rilke__Rainer_Maria.tsv
PRELS	PRELS		PRELS	die		Vielleicht weiß er auch einen Hof , an	dem	er gern sein gebranntes Lager rächen würde .	sie das Volksheer gegen ihn führen .Vielleicht weiß er auch einen Hof , an dem er gern sein gebranntes Lager rächen würde .Den Fremden graut vor anderen Göttern ,	18061	8	27046-Freytag__Gustav.tsv
PRELS	ART		PRELS	die		Ich bin immer rein , wasche mich so oft ich pipi gemacht habe ausgezeichnet sowohl durch Wollust , als durch Zartgefühl , denn dieser Ort ,	den	Sie so reizend finden , ist immer so heiß , daß ich ihn nie ins Wasser stecken kann , ohne eine Wollust zu empfinden , die an die Befriedigung heranreicht .	einmal , so ist es vernünftig .Ich bin immer rein , wasche mich so oft ich pipi gemacht habe ausgezeichnet sowohl durch Wollust , als durch Zartgefühl , denn dieser Ort , den Sie so reizend finden , ist immer so heiß , daß ich ihn nie ins Wasser stecken kann , ohne eine Wollust zu empfinden , die an die Befriedigung heranreicht .Schonen Sie sich , teurer Vater ,	2616	26	88417-Restif_de_la_Bretonne__Nicolas__dm_.tsv
PRELS	ART		PRELS	die		Aber daß es wahr ist , beweiset der schwarze See ,	den	man an ihrer Stelle findet .	mit Allem , was darinnen war .Aber daß es wahr ist , beweiset der schwarze See , den man an ihrer Stelle findet .Word Die Stadt Grimmen hat früher an	3	11	102675-Temme__Jodocus_Deodatus_Hubertus.tsv
PRELS	ART		PRELS	die		Als sie nach kurzem wieder herabkam , trug sie einen langen , sorgfältig in Zeitungspapier eingewickelten Gegenstand in der Hand ,	den	sie unter dem Mantel verbarg .	fortsetzend fort : » Ein Unglück ?Als sie nach kurzem wieder herabkam , trug sie einen langen , sorgfältig in Zeitungspapier eingewickelten Gegenstand in der Hand , den sie unter dem Mantel verbarg .Einen Augenblick packte es Marianne mit wütendem	475	21	23057-Duncker__Dora.tsv
PRELS	PRELS		PRELS	die		Ein Arzt ,	der	einem Schaden vorbeugt , ist theurer und werther , als einer , der ihn heilt .	die Zinsen auf den Tag fallen .Ein Arzt , der einem Schaden vorbeugt , ist theurer und werther , als einer , der ihn heilt .Sieh !	17901	3	62295-Hippel__Theodor_Gottlieb_von.tsv
PRELS	PRELS		PRELS	die		Ein Arzt , der einem Schaden vorbeugt , ist theurer und werther , als einer ,	der	ihn heilt .	die Zinsen auf den Tag fallen .Ein Arzt , der einem Schaden vorbeugt , ist theurer und werther , als einer , der ihn heilt .Sieh !	17901	16	62295-Hippel__Theodor_Gottlieb_von.tsv
PRELS	ART		PRELS	die		Und dennoch verzweifelte dieser große , unbezähmbare und unermüdliche Geist ,	der	allen Prüfungen trotzte , noch immer nicht .	Existenz als die des großen Seefahrers ?Und dennoch verzweifelte dieser große , unbezähmbare und unermüdliche Geist , der allen Prüfungen trotzte , noch immer nicht .Er ließ sich also in Cordova ,	3959	11	107557-Verne__Jules.tsv
PRELS	PRELS		PRELS	die		Denn gewiß , zu viele Lebhaftigkeit hindert die Grazie des Verstandes und der Geberden , wie es bisher mit mir geschehen ist ; und dann hat es seine gegründeten Ursachen , daß man den ,	der	immer gleich gut scheint , mehr liebt , und ihm mehr Dank weiß , als dem , der sagt : Ich will gut mit Euch seyn ; – ich will Euch ertragen .	eine Blume nicht gut geordnet haben .Denn gewiß , zu viele Lebhaftigkeit hindert die Grazie des Verstandes und der Geberden , wie es bisher mit mir geschehen ist ; und dann hat es seine gegründeten Ursachen , daß man den , der immer gleich gut scheint , mehr liebt , und ihm mehr Dank weiß , als dem , der sagt : Ich will gut mit Euch seyn ; – ich will Euch ertragen .Jede Art von Stärke , oder Gewalt	6542	35	72270-La_Roche__Sophie_von.tsv
PRELS	PRELS		PRELS	die		Denn gewiß , zu viele Lebhaftigkeit hindert die Grazie des Verstandes und der Geberden , wie es bisher mit mir geschehen ist ; und dann hat es seine gegründeten Ursachen , daß man den , der immer gleich gut scheint , mehr liebt , und ihm mehr Dank weiß , als dem ,	der	sagt : Ich will gut mit Euch seyn ; – ich will Euch ertragen .	eine Blume nicht gut geordnet haben .Denn gewiß , zu viele Lebhaftigkeit hindert die Grazie des Verstandes und der Geberden , wie es bisher mit mir geschehen ist ; und dann hat es seine gegründeten Ursachen , daß man den , der immer gleich gut scheint , mehr liebt , und ihm mehr Dank weiß , als dem , der sagt : Ich will gut mit Euch seyn ; – ich will Euch ertragen .Jede Art von Stärke , oder Gewalt	6542	53	72270-La_Roche__Sophie_von.tsv
PRELS	PRELS		PRELS	die		Am Rütsch bei Camern sieht man oft einen Reiter mit drei schwarzen Pferden ,	der	ruft dem Begegnenden zu : » set di up « ; das thut er dreimal , leistet dann derselbe der Aufforderung keine Folge , so reitet er weiter und man sieht große gewaltige Funken unter den Hufen der Pferde hervorsprühen .	dahin geht 's im sausenden Fluge .Word Mündlich aus Camern .Word Mündlich aus Camern .	1	14	69391-Kuhn__Adalbert.tsv
PRELS	PRELS		PRELS	die		Der weichliche , sanft einschmeichelnde Pietismus dagegen , zumal wenn er Mode wird und zeitliche Vorteile in Aussicht stellt , erzeugt gar leicht heuchlerische Tartüffe , oder , wo er tiefer gegriffen , einen geistlichen Dünkel und Fanatismus ,	der	das ganze folgende Leben vergiftet .	eben zum sonderlichen Heile der Jugend .Der weichliche , sanft einschmeichelnde Pietismus dagegen , zumal wenn er Mode wird und zeitliche Vorteile in Aussicht stellt , erzeugt gar leicht heuchlerische Tartüffe , oder , wo er tiefer gegriffen , einen geistlichen Dünkel und Fanatismus , der das ganze folgende Leben vergiftet .Daher der absonderliche Haß der Pietisten gegen	19	39	24830-Eichendorff__Joseph_von.tsv
PRELS	PRELS		PRELS	die		Ich bin immer rein , wasche mich so oft ich pipi gemacht habe ausgezeichnet sowohl durch Wollust , als durch Zartgefühl , denn dieser Ort , den Sie so reizend finden , ist immer so heiß , daß ich ihn nie ins Wasser stecken kann , ohne eine Wollust zu empfinden ,	die	an die Befriedigung heranreicht .	einmal , so ist es vernünftig .Ich bin immer rein , wasche mich so oft ich pipi gemacht habe ausgezeichnet sowohl durch Wollust , als durch Zartgefühl , denn dieser Ort , den Sie so reizend finden , ist immer so heiß , daß ich ihn nie ins Wasser stecken kann , ohne eine Wollust zu empfinden , die an die Befriedigung heranreicht .Schonen Sie sich , teurer Vater ,	2616	52	88417-Restif_de_la_Bretonne__Nicolas__dm_.tsv
PRELS	PRELS		PRELS	die		Reinhart einen ballen nam ,	die	an einem ort uffschneid .	ihnen aber das verborgen gewesen wer .Reinhart einen ballen nam , die an einem ort uffschneid .Der graff unnd die gräffin grosse klag	320	5	110197-Wickram__Georg.tsv
PRELS	PRELS		PRELS	die		Jedenfalls glaubte der Ingenieur den Vorsitzenden und den Schriftführer des Weldon-Instituts aufmerksam machen zu sollen , daß es die höchste Zeit sei , sich die Königin des Sudans zu betrachten ,	die	sich jetzt in den Händen der Tuaregs von Laganet befindet .	die Messungen keinen schätzenswerthen Unterschied ergaben .Jedenfalls glaubte der Ingenieur den Vorsitzenden und den Schriftführer des Weldon-Instituts aufmerksam machen zu sollen , daß es die höchste Zeit sei , sich die Königin des Sudans zu betrachten , die sich jetzt in den Händen der Tuaregs von Laganet befindet .Welches Wunder !	2995	31	107516-Verne__Jules.tsv
PRELS	PRELS		PRELS	die		Es ist wahr , die Dichter fangen an , auf immer luftigeren Bahnen zu wandeln : sie schaffen sich ihre eignen Welten mit Thronen ,	die	ihre Phantasie erbaute , mit Richterstühlen , die ihre eigne Gesetzgebung haben , mit einem Gottesdienst , dessen » Liebes Kind « , sagte ihr Gatte ; » mein Bruder– « Wörtlich seine Worte wiederzugeben ist schwer .	als den Hahn seines Pistols zurücklegen .Es ist wahr , die Dichter fangen an , auf immer luftigeren Bahnen zu wandeln : sie schaffen sich ihre eignen Welten mit Thronen , die ihre Phantasie erbaute , mit Richterstühlen , die ihre eigne Gesetzgebung haben , mit einem Gottesdienst , dessen » Liebes Kind « , sagte ihr Gatte ; » mein Bruder– « Wörtlich seine Worte wiederzugeben ist schwer .Jeronimo hatte keine Empfindung als für das	1087	25	56354-Gutzkow__Karl.tsv
PRELS	PRELS		PRELS	die		Es ist wahr , die Dichter fangen an , auf immer luftigeren Bahnen zu wandeln : sie schaffen sich ihre eignen Welten mit Thronen , die ihre Phantasie erbaute , mit Richterstühlen ,	die	ihre eigne Gesetzgebung haben , mit einem Gottesdienst , dessen » Liebes Kind « , sagte ihr Gatte ; » mein Bruder– « Wörtlich seine Worte wiederzugeben ist schwer .	als den Hahn seines Pistols zurücklegen .Es ist wahr , die Dichter fangen an , auf immer luftigeren Bahnen zu wandeln : sie schaffen sich ihre eignen Welten mit Thronen , die ihre Phantasie erbaute , mit Richterstühlen , die ihre eigne Gesetzgebung haben , mit einem Gottesdienst , dessen » Liebes Kind « , sagte ihr Gatte ; » mein Bruder– « Wörtlich seine Worte wiederzugeben ist schwer .Jeronimo hatte keine Empfindung als für das	1087	33	56354-Gutzkow__Karl.tsv
PRELS	PRELS		PRELS	die		Zu der inneren Not gesellte sich äußere Bedrängnis ; was ihn aufrecht hielt , war ein starkes Gottvertrauen und das bestimmte Gefühl , daß neue Not und neue Kämpfe bevorstünden , gegen	die	es geboten sei , sich zu waffnen .	ihn doppelt hart am eigenen Herd .Zu der inneren Not gesellte sich äußere Bedrängnis ; was ihn aufrecht hielt , war ein starkes Gottvertrauen und das bestimmte Gefühl , daß neue Not und neue Kämpfe bevorstünden , gegen die es geboten sei , sich zu waffnen .Die Erfahrungen der letzten Monate , die	9940	32	26867-Fontane__Theodor.tsv
PRELS	PRELS		PRELS	die		Welches Interesse könnte diese Frau ,	die	aus Polen stammt und in mir ganz fremden Verhältnissen aufwuchs , veranlassen , sich um unsere Vergangenheit zu bekümmern ?	Spionage ?Welches Interesse könnte diese Frau , die aus Polen stammt und in mir ganz fremden Verhältnissen aufwuchs , veranlassen , sich um unsere Vergangenheit zu bekümmern ?In Bielau ?	2094	6	56355-Gutzkow__Karl.tsv
PRELS	PRELS		PRELS	die		Auch diesen umgab man mit einer Palissade und sorgte für verschiedenerlei Unterkommen für die Thiere ,	die	ihn bevölkern sollten .	Dir fast die Arme zu zerbrechen .Auch diesen umgab man mit einer Palissade und sorgte für verschiedenerlei Unterkommen für die Thiere , die ihn bevölkern sollten .Die Künstler vergaßen natürlich auch nicht ,	104	16	107501-Verne__Jules.tsv
PRELS	PRELS		PIS	was		Was nicht einzelnes Atom ist das um sich selber dreht , sondern lebendige Kraft die in sich gebunden und geschlossen nach außen strahlt , das bildet und schließt das durchdringbare nähere oder fernere Wesen sich ein , verselbt es und verinnert es , und da diese Kraft überall einfach und ganz ist , so wird , wie weit sie auch reicht , einfach und ganz	was	ihr sich eint : nur der Umfang kann wachsen , nicht die Rundheit und die Bindung .	keine Mache , sondern ein Gesetz .Was nicht einzelnes Atom ist das um sich selber dreht , sondern lebendige Kraft die in sich gebunden und geschlossen nach außen strahlt , das bildet und schließt das durchdringbare nähere oder fernere Wesen sich ein , verselbt es und verinnert es , und da diese Kraft überall einfach und ganz ist , so wird , wie weit sie auch reicht , einfach und ganz was ihr sich eint : nur der Umfang kann wachsen , nicht die Rundheit und die Bindung .Die Gotteskunde ist aufgehendes und übergehendes Menschtum	276	65	56347-Gundolf__Friedrich.tsv
PRELS	PRELS		PRELS	was		Laura hatte wohl nur durch das Zimmer gewollt , denn der Glanz ihres Auges verrieth nicht , daß sie gelauscht , noch von dem ,	was	hier über sie gesprochen worden , eine Ahnung hatte .	Sache , « fiel Bovillard ein .Laura hatte wohl nur durch das Zimmer gewollt , denn der Glanz ihres Auges verrieth nicht , daß sie gelauscht , noch von dem , was hier über sie gesprochen worden , eine Ahnung hatte .Man glaubt ihn los zu sein ,	3983	25	966-Alexis__Willibald.tsv
