DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
PTKANT	NE		PTKANT	danke		ABENDWIND	Danke	!	Arthur zeigend , leise mit ihm .ABENDWIND Danke !ABENDWIND , ATALA , HO-GU , MEHRERE	365	1	nestroy_abendwnd_abendwnd.tsv
PTKANT	NN		NN	ja		So lange das	Ja	oder Nein nur das Ja oder Nein deines Verstandes ist , so lange hast du noch Herrschaft darüber .	, der die Herzen berühren kann .So lange das Ja oder Nein nur das Ja oder Nein deines Verstandes ist , so lange hast du noch Herrschaft darüber .So sei es denn auch , und	2402	3	sailerj_glueckse_glueckse.tsv
PTKANT	NN		NN	ja		So lange das Ja oder Nein nur das	Ja	oder Nein deines Verstandes ist , so lange hast du noch Herrschaft darüber .	, der die Herzen berühren kann .So lange das Ja oder Nein nur das Ja oder Nein deines Verstandes ist , so lange hast du noch Herrschaft darüber .So sei es denn auch , und	2402	8	sailerj_glueckse_glueckse.tsv
PTKANT	NN		NN	ja		»	Ja	, ja , ich entsinne mich .	und kann uns denselben genau beschreiben .» Ja , ja , ich entsinne mich .– Die Vendee ist ein Distrikt im	274	1	cooper_ansiedl_ansiedl.tsv
PTKANT	PTKANT		NN	ja		« »	Ja	, er ist leider noch da und nimmt mir viel Platz weg .	» So , so .« » Ja , er ist leider noch da und nimmt mir viel Platz weg .– Sie kamen , verwildert und angetrunken	2826	2	seidelw_jenseits_jenseits.tsv
PTKANT	NE		NN	ja		»	Ja	, singt nur , ihr frommen Schwestern !	schüchtern , um selber damit hervorzutreten .» Ja , singt nur , ihr frommen Schwestern !hatte nicht Schillers Wallenstein doch recht mit	370	1	gjelleru_weltwand_weltwand.tsv
PTKANT	NE		NN	ja		«	Ja	, so hatte der sprechen können , der mit seinen fünfzigmal zehntausend muskelstarrenden , erlesenen Kriegern , funkelnd im Schmucke seiner haarscharfen Waffen , durch diese Schluchten nach Osten gezogen war .	Auch in mir , Pythagoras !« Ja , so hatte der sprechen können , der mit seinen fünfzigmal zehntausend muskelstarrenden , erlesenen Kriegern , funkelnd im Schmucke seiner haarscharfen Waffen , durch diese Schluchten nach Osten gezogen war .Nein , jetzt ist das , was	5736	1	colerus_pythagor_pythagor.tsv
PTKANT	NN		PTKANT	ja			Ja	, wenn wir mit der Dunkelheit der Gläser immer weiter gehen , so bleibt endlich das Augenschwarz statt beider Nuancen allein übrig , und aller Unterschied verschwindet .	noch die Helligkeit des Augenschwarz hinzu .Ja , wenn wir mit der Dunkelheit der Gläser immer weiter gehen , so bleibt endlich das Augenschwarz statt beider Nuancen allein übrig , und aller Unterschied verschwindet .Insofern nach allem Vorstehenden das Schwarz des	1022	0	fechner_epsypht1_epsypht1.tsv
PTKANT	PTKANT		PTKANT	ja			Ja	, ich erinnere mich ganz gut .	Und das stiert mich so an .Ja , ich erinnere mich ganz gut .Die Perle gleicht dem Auge eines toten	805	0	ibsen_fraumeer_fraumeer.tsv
PTKANT	ADV		ITJ	ja		» Ja ,	ja	, ich entsinne mich .	und kann uns denselben genau beschreiben .» Ja , ja , ich entsinne mich .– Die Vendee ist ein Distrikt im	274	3	cooper_ansiedl_ansiedl.tsv
PTKANT	ADV		ADV	ja		Was Ilse in meinem Hause gelernt hat , gibt mir die Sicherheit , daß sie als Frau eines Landwirths ihren Platz vollkommen ausfüllen wird ,	ja	, Sie vermöchte wohl Schwächen ihres Mannes zu ergänzen .	von meinem Schlage noch einen besonderen .Was Ilse in meinem Hause gelernt hat , gibt mir die Sicherheit , daß sie als Frau eines Landwirths ihren Platz vollkommen ausfüllen wird , ja , Sie vermöchte wohl Schwächen ihres Mannes zu ergänzen .Daß unser Beruf so verschieden ist ,	5159	25	freytag_verloren_verloren.tsv
PTKANT	NN		NN	nein		So lange das Ja oder	Nein	nur das Ja oder Nein deines Verstandes ist , so lange hast du noch Herrschaft darüber .	, der die Herzen berühren kann .So lange das Ja oder Nein nur das Ja oder Nein deines Verstandes ist , so lange hast du noch Herrschaft darüber .So sei es denn auch , und	2402	5	sailerj_glueckse_glueckse.tsv
PTKANT	NN		NN	nein		So lange das Ja oder Nein nur das Ja oder	Nein	deines Verstandes ist , so lange hast du noch Herrschaft darüber .	, der die Herzen berühren kann .So lange das Ja oder Nein nur das Ja oder Nein deines Verstandes ist , so lange hast du noch Herrschaft darüber .So sei es denn auch , und	2402	10	sailerj_glueckse_glueckse.tsv
PTKANT	PTKANT		NN	nein		« – »	Nein	, also Eduard Kallem – !	« fragte der andere schnell .« – » Nein , also Eduard Kallem – !Und er hat das Buch bekommen ?	1080	3	bjoernso_aufgott_aufgott.tsv
PTKANT	NE		NN	nein		»	Nein	, « antwortete der Gouverneur schlicht .	der schwülen Luft fast erstickende Lichtzünglein .» Nein , « antwortete der Gouverneur schlicht .Nachdem er das Kuvert zur Seite gelegt	1325	1	andrejew_gouverne_gouverne.tsv
PTKANT	NN		PTKANT	nein			Nein	, nein , Herr , Geister zeigen sich bestimmt nicht in einem solchen Anzuge .	Sie mich , wenn Sie können .Nein , nein , Herr , Geister zeigen sich bestimmt nicht in einem solchen Anzuge .« Jones antwortete : » es ist	1849	0	fielding_tomjone5_tomjone5.tsv
PTKANT	NE		NN	nein		« »	Nein	!	Uhrkasten , » wie sich's trifft .« » Nein !Als er zum Abschied seinen Kopf bedeckte	7266	2	beckera_nonnesus_nonnesus.tsv
PTKANT	PTKANT		NN	nein		»	Nein	, nein .	in der dritten , nicht wahr ?» Nein , nein .In der ersten sind nur sechs Plätze	545	1	presber_untermen_untermen.tsv
PTKANT	PTKANT		PTKANT	nein		Doch	nein	, ich beleidige mich selbst , indem ich dies für möglich halte .	dennoch beharr' ich und wanke nicht !Doch nein , ich beleidige mich selbst , indem ich dies für möglich halte .Ich erstarrte , aber ich gehorchte ;	1525	1	hebbel_judith_judith.tsv
PTKANT	PTKANT		PTKANT	nein		Und war 's auch –	nein	, du lächelst darüber .	ihm schrieb , kümmert dich das ?Und war 's auch – nein , du lächelst darüber .« » Bist du wieder einmal um	4475	5	alexis_cabanis_cabanis.tsv
