DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
APZR	APPR		APPR	an		Der Hühnerhund , der auf einem der Paduaer Fresken	an	Sankt Joachim aufspringt , der Esel , auf dem ebenda der heilige Joseph reitet , und die drei Kamele auf dem Bilde der Anbetung der Könige in Assisi sind an naturalistischer Durchbildung wohl das Hervorragendste , was Giotto auf dem Gebiet der Tierdarstellung leistete .	was er im fremden Lande gesehen .Der Hühnerhund , der auf einem der Paduaer Fresken an Sankt Joachim aufspringt , der Esel , auf dem ebenda der heilige Joseph reitet , und die drei Kamele auf dem Bilde der Anbetung der Könige in Assisi sind an naturalistischer Durchbildung wohl das Hervorragendste , was Giotto auf dem Gebiet der Tierdarstellung leistete .Wie im 19. Jahrhundert die deutschen Maler	981	9	muther_ges-mal1_ges-mal1.tsv
APZR	APPR		APZR	an		« Das Erstaunen des jungen Mannes , als er für seinen Hut , dessen Ränder zum Glück schon leicht abgegriffen waren , eine numerierte Marke erhielt , zeugte deutlich genug von einer noch unverdorbenen Seele , daher sandte ihm auch der kleine Alte , den der Fieberrausch des Spielerlebens von Jugend	an	verzehrt zu haben schien , einen trüben teilnahmslosen Blick , aus dem ein Philosoph das Elend der Spitäler , das unstete Dasein der Gescheiterten , Protokolle unzähliger Selbstmorde , lebenslänglicher Zwangsarbeit oder Verbannungen an den CoatzacoalcoCoatzacoalco : Fluß in Mexiko , an dem Frankreich 1823 versuchsweise eine Strafkolonie einrichtete hätte herauslesen können .	Vorwand eine fette Gänseleberpastete zu essen .« Das Erstaunen des jungen Mannes , als er für seinen Hut , dessen Ränder zum Glück schon leicht abgegriffen waren , eine numerierte Marke erhielt , zeugte deutlich genug von einer noch unverdorbenen Seele , daher sandte ihm auch der kleine Alte , den der Fieberrausch des Spielerlebens von Jugend an verzehrt zu haben schien , einen trüben teilnahmslosen Blick , aus dem ein Philosoph das Elend der Spitäler , das unstete Dasein der Gescheiterten , Protokolle unzähliger Selbstmorde , lebenslänglicher Zwangsarbeit oder Verbannungen an den CoatzacoalcoCoatzacoalco : Fluß in Mexiko , an dem Frankreich 1823 versuchsweise eine Strafkolonie einrichtete hätte herauslesen können .) Man habe einen dicken fetten Onkel	2986	51	balzac_chagrinl_chagrinl.tsv
APZR	APZR		APZR	an		Von nun	an	hatte ich die Mehrheit auf meiner Seite .	Schluchzend brach ich zusammen .Von nun an hatte ich die Mehrheit auf meiner Seite .O , daß er nur ein einziges	6998	2	braun_memoire2_memoire2.tsv
APZR	APZR		APZR	aus		« Von hier	aus	bot das Tal den beiden Reitern einen freien Überblick über die echt australische Szenerie des inneren Landes .	Anrede hier ganz allein halten lassen ?« Von hier aus bot das Tal den beiden Reitern einen freien Überblick über die echt australische Szenerie des inneren Landes .» Kapitän Walker , wenn ich bitten	3389	3	gerstaec_straefli_straefli.tsv
APZR	APPR		APZR	aus		Aber es ging alles ganz natürlich zu ; von Haus	aus	waren wir beide arm ; also in diesem Punkte einander gleich .	Ich ward es noch diesen Abend .Aber es ging alles ganz natürlich zu ; von Haus aus waren wir beide arm ; also in diesem Punkte einander gleich .Christinen in ihre alten Rechte auf den	118	10	heun_graenzko_graenzko.tsv
APZR	APZR		APZR	her		Ich hab 's die ganze Woche	her	erwartet ; wenn er die Hand aufhob , meint' ich , er deutet nach dem Gärtchen , und war bereit , wie ein armer Sünder hinter ihm her zu gehen .	ihn einer von uns : Warum ?Ich hab 's die ganze Woche her erwartet ; wenn er die Hand aufhob , meint' ich , er deutet nach dem Gärtchen , und war bereit , wie ein armer Sünder hinter ihm her zu gehen .Und hast du ihn je gefragt :	1026	6	ludwig_himmerde_himmerde.tsv
APZR	ADV		APZR	her		Ich hab 's die ganze Woche her erwartet ; wenn er die Hand aufhob , meint' ich , er deutet nach dem Gärtchen , und war bereit , wie ein armer Sünder hinter ihm	her	zu gehen .	ihn einer von uns : Warum ?Ich hab 's die ganze Woche her erwartet ; wenn er die Hand aufhob , meint' ich , er deutet nach dem Gärtchen , und war bereit , wie ein armer Sünder hinter ihm her zu gehen .Und hast du ihn je gefragt :	1026	34	ludwig_himmerde_himmerde.tsv
APZR	ADV		APZR	her		Zu Anfang blickte der junge Isländer mißvergnügt um sich	her	auf die ebnen , wohlangebauten Ufer zu beyden Seiten des Flusses .	171 Gesange den Schwedenkönig gegrüßt habe .Zu Anfang blickte der junge Isländer mißvergnügt um sich her auf die ebnen , wohlangebauten Ufer zu beyden Seiten des Flusses .« Gunlaugur fand Freude an den in	3070	9	fouque_gunlaug_gunlaug.tsv
APZR	ADV		APZR	her		– Was aber die sogenannte sittliche Entrüstung anbelangt , so muß sie wohl keine rechte Tugend sein , weil wir so eifrig dahinter	her	sind .	kurzweg : Es ist nicht wahr !– Was aber die sogenannte sittliche Entrüstung anbelangt , so muß sie wohl keine rechte Tugend sein , weil wir so eifrig dahinter her sind .Also schweigen wir darüber , oder nehmen	30	23	wbusch_kritik_kritik.tsv
APZR	APZR		PTKVZ	her		« » Ja , für einen echten Russen sind allerdings die Fragen , ob es einen Gott und eine Unsterblichkeit gibt , oder wie du dich ausdrückst , die › Fragen vom anderen Ende	her	‹ die allerwichtigsten , und so muß es auch sein « , sagte Aljoscha und sah seinen Bruder immer noch mit einem stillen , forschenden Lächeln an .	er etwas in deinem Schicksal voraus ?« » Ja , für einen echten Russen sind allerdings die Fragen , ob es einen Gott und eine Unsterblichkeit gibt , oder wie du dich ausdrückst , die › Fragen vom anderen Ende her ‹ die allerwichtigsten , und so muß es auch sein « , sagte Aljoscha und sah seinen Bruder immer noch mit einem stillen , forschenden Lächeln an .Warum mag er nur die Bestimmung getroffen	6048	34	dostojew_karamaso_karamaso.tsv
