DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
APPR	APPR		APPR	an		Wir waren	an	einer Stelle , wo die deutsche Linie nur 45 Meter entfernt war .	hier bald dort in unsere Reihen .Wir waren an einer Stelle , wo die deutsche Linie nur 45 Meter entfernt war .Jetzt waren wir nichts als willenloses Werkzeug	2769	2	paasche_kirsch_kirsch.tsv
APPR	APPR		APPR	auf		Wie ich genauer hinsehe , erkenne ich in allen Dingen dieselbe Schwermut , jeder Menschenblick ist ängstlich und falsch , jeder Ton gebrochen ...	Auf	allen Dingen liegt ein grauer Nebel , der jedes Licht verdeckt und jede Freude erstickt .	Wir fahren immer weiter und weiter .Wie ich genauer hinsehe , erkenne ich in allen Dingen dieselbe Schwermut , jeder Menschenblick ist ängstlich und falsch , jeder Ton gebrochen ... Auf allen Dingen liegt ein grauer Nebel , der jedes Licht verdeckt und jede Freude erstickt .Daß er ein Mensch war , der	1600	24	antholog_pfeiffen_pfeiffen.tsv
APPR	APPR		APPR	auf		Von dem einsamen Zimmer aus flogen seine Gedanken in entgegengesetzter Richtung , bald nach den Sanddünen , zwischen denen das einsame Gut des Großvaters lag , bald nach dem lebhaften Edelhofe	auf	Fühnen , wo die neuen Freunde wohnten .	dem Theater eine wirklich reizende Erscheinung .Von dem einsamen Zimmer aus flogen seine Gedanken in entgegengesetzter Richtung , bald nach den Sanddünen , zwischen denen das einsame Gut des Großvaters lag , bald nach dem lebhaften Edelhofe auf Fühnen , wo die neuen Freunde wohnten .» Denkt euch nur , mitten in	644	31	andersen_oz_oz.tsv
APPR	APPR		APPR	gegen		« Dann stürzte sie wiederum , als habe sie ein Unrecht	gegen	Paaker begangen , zu dem Leichnam zurück , neben dem sie zusammensank .	Nebsecht , « rief ein Unterbefehlshaber .« Dann stürzte sie wiederum , als habe sie ein Unrecht gegen Paaker begangen , zu dem Leichnam zurück , neben dem sie zusammensank .Und wäre das Postament dort Mena's Zelt	5207	11	ebers_uarda_uarda.tsv
APPR	APPR		APPR	in		« Ein Schauer überlief Espel ; er schob alles zusammen mit einer hastigen Bewegung heftig von sich	in	die dunkelste Ecke seines Schreibtisches unter das darüber angebrachte Büchergestell .	Wer von euch führt mich hin ?« Ein Schauer überlief Espel ; er schob alles zusammen mit einer hastigen Bewegung heftig von sich in die dunkelste Ecke seines Schreibtisches unter das darüber angebrachte Büchergestell .Wo wohnt er ?	131	17	herbert_rufnacht_rufnacht.tsv
APPR	APPR		APPR	in		Wie ich genauer hinsehe , erkenne ich	in	allen Dingen dieselbe Schwermut , jeder Menschenblick ist ängstlich und falsch , jeder Ton gebrochen ... Auf allen Dingen liegt ein grauer Nebel , der jedes Licht verdeckt und jede Freude erstickt .	Wir fahren immer weiter und weiter .Wie ich genauer hinsehe , erkenne ich in allen Dingen dieselbe Schwermut , jeder Menschenblick ist ängstlich und falsch , jeder Ton gebrochen ... Auf allen Dingen liegt ein grauer Nebel , der jedes Licht verdeckt und jede Freude erstickt .Daß er ein Mensch war , der	1600	7	antholog_pfeiffen_pfeiffen.tsv
APPR	APPR		APPR	in		Was man nicht Alles	in	der Hauptstadt lernt !	nur halb verborgenen Lippen beifällig schmunzelten .Was man nicht Alles in der Hauptstadt lernt !« Sie hatte die Hofthür gehen hören	3796	4	ebers_homosum_homosum.tsv
APPR	APPR		APPR	in		Darab erzählte , daß man Schehanna	in	dem Viertel der Eingeborenen gefunden hatte – hilflos und verstört , von Tür zu Tür schwankend , um nach ihrer Mutter zu fragen .	er wieder seiner Stimme Herr wurde .Darab erzählte , daß man Schehanna in dem Viertel der Eingeborenen gefunden hatte – hilflos und verstört , von Tür zu Tür schwankend , um nach ihrer Mutter zu fragen .Aber laßt uns den Todeskampf kurz machen	1893	6	bruun_unbgott2_unbgott2.tsv
APPR	APPR		APPR	in		Du bleibst hier und schwörst , oder du kommst	in	des Rates Gefängnis .	Dresden mit ihm wider uns aufreizest !Du bleibst hier und schwörst , oder du kommst in des Rates Gefängnis .Ihrer Hunderte oder Taufende sind erstochen ,	7	9	schrecke_meyenbur_meyenbur.tsv
APPR	APPR		APPR	in		Dies plötzliche nun	in	die Verbannung und in einen Kerker gerufene Glück hatte sogar etwas Romantisches für die Welt , die im Grunde das Regelwidrige dem Regelmäßigen vorzieht , nur darf sie es in ihren nächsten Interessen nicht berühren und ihr nicht irgend welche Opfer auferlegen .	der Gerechtigkeit schon müssen aufhalten lassen .Dies plötzliche nun in die Verbannung und in einen Kerker gerufene Glück hatte sogar etwas Romantisches für die Welt , die im Grunde das Regelwidrige dem Regelmäßigen vorzieht , nur darf sie es in ihren nächsten Interessen nicht berühren und ihr nicht irgend welche Opfer auferlegen .Warum sollte man das Ergebniß jener zweihundertjährigen	24893	3	gutzkow_ritter_ritter.tsv
