DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
PTKVZ	APPR		PTKVZ	ab		– Wie kann einer mit Gott sich vernehmen wollen , daß der in ihm walten soll , der Sinn und Leben in uns erst frei erschaffen , er aber zwingt sie in eherne Bande und fordert Tag für Tag widersinnigen Gebrauch ihnen	ab	?	anders vernimmt als den freien Geist .– Wie kann einer mit Gott sich vernehmen wollen , daß der in ihm walten soll , der Sinn und Leben in uns erst frei erschaffen , er aber zwingt sie in eherne Bande und fordert Tag für Tag widersinnigen Gebrauch ihnen ab ?Ja , was soll sie auch widerhallen	3817	42	4089-Arnim__Bettina_von.tsv
PTKVZ	APPR		PTKVZ	an		Abwechselnd blickte er den Krämer und die Schrift	an	: » Lügst Du , oder dies Geständniß ?	Joachim öffnete und las es .Abwechselnd blickte er den Krämer und die Schrift an : » Lügst Du , oder dies Geständniß ?« Es trat ein Kammerherr ein und	6929	8	965-Alexis__Willibald.tsv
PTKVZ	APPR		PTKVZ	an		« » Was geht Euch mein Hals	an	!	Ist das wahr , du Schurke ?« » Was geht Euch mein Hals an !Und Old Shatterhand und Old Surehand auch	5023	7	79313-May__Karl.tsv
PTKVZ	PTKVZ		PTKVZ	an		Uber dieses alles trifft David auf die fünfftehalb Centner ungemüntzet Gold , 14. Centner Silber , 2. Schlag- Fässer voll Perlen , und drey Kisten voll gemüntztes Gold und Silber	an	, von dessen Glantze , indem er an seiner Jugend-Jahre gedenckt , seine Augen gantz verblendet werden .	sich ferner zu fürchten Ursach hätten .Uber dieses alles trifft David auf die fünfftehalb Centner ungemüntzet Gold , 14. Centner Silber , 2. Schlag- Fässer voll Perlen , und drey Kisten voll gemüntztes Gold und Silber an , von dessen Glantze , indem er an seiner Jugend-Jahre gedenckt , seine Augen gantz verblendet werden .Langrogge , der Musicus , mit einer	3213	30	97159-Schnabel__Johann_Gottfried.tsv
PTKVZ	PTKVZ		PTKVZ	an		16 Denn etliche da sie höreten / richteten eine verbitterung	an	/ Aber nicht alle / die von Egypten ausgiengen durch Mosen .	/ bis ans ende feste behalten .16 Denn etliche da sie höreten / richteten eine verbitterung an / Aber nicht alle / die von Egypten ausgiengen durch Mosen .2 Darumb so die Bösen / meine	14083	10	78101-Luther__Martin.tsv
PTKVZ	PTKVZ		PTKVZ	an		Da stand der greise Kobold von Dovre mit der Krone von gehärteten Eis- und polierten Tannenzapfen ; übrigens hatte er einen Bärenpelz und große Stiefel	an	, die Söhne hingegen gingen mit bloßem Halse und in Hosen ohne Tragbänder , denn es waren Kraftmänner .	auch das meinige gethan zu haben !Da stand der greise Kobold von Dovre mit der Krone von gehärteten Eis- und polierten Tannenzapfen ; übrigens hatte er einen Bärenpelz und große Stiefel an , die Söhne hingegen gingen mit bloßem Halse und in Hosen ohne Tragbänder , denn es waren Kraftmänner .Die Elfe faßte ihn um das Handgelenk	137	25	1399-Andersen__Hans_Christian.tsv
PTKVZ	APPR		APPR	auf		‹ und wenn der Hofhund sein Rüdengebell heulte , so war die Täuschung so vollkommen , daß sich meine Blicke ängstlich an die schlecht verriegelte Türe hefteten , denn ich glaubte nicht anders , als › Ritter Urian trete	auf	‹ .	ein Mensch durch Leichtsinn kommen könne .‹ und wenn der Hofhund sein Rüdengebell heulte , so war die Täuschung so vollkommen , daß sich meine Blicke ängstlich an die schlecht verriegelte Türe hefteten , denn ich glaubte nicht anders , als › Ritter Urian trete auf ‹ .Er trete mir Luisen ab , ich	664	39	58301-Hauff__Wilhelm.tsv
PTKVZ	PTKVZ		PTKVZ	auf		Bei Tafel forderte er die Frauenzimmer	auf	, daß sie sich wünschen sollten , was sie nur möchten .	antwortete : » Wie der Wind .Bei Tafel forderte er die Frauenzimmer auf , daß sie sich wünschen sollten , was sie nur möchten .Faustus sagte : » Geh wieder hin	69	6	86834-Pr_hle__Heinrich.tsv
PTKVZ	PTKVZ		PTKVZ	aus		Sieht es nicht schon	aus	wie jene weißen Masken , jene Gipsabgüsse , worin wir die Züge der Verstorbenen zu bewahren suchen ?	eine deutsche Stiftsdame von vierundsechzig Ahnen .Sieht es nicht schon aus wie jene weißen Masken , jene Gipsabgüsse , worin wir die Züge der Verstorbenen zu bewahren suchen ?Denn wie Sie wissen , bei uns	554	4	59682-Heine__Heinrich.tsv
PTKVZ	PTKVZ		PTKVZ	ein		Er kam von selbst auf den Gedanken , noch an diesem Tage mit dem alten Simon zu sprechen , und lud mich	ein	, mit ihm nach Bornheim zu fahren , wo der Schabbes heute die noble Welt des alten Judenquartiers , der neuen Judenstraße , überhaupt alle Stämme Israels versammelt habe .	Was kommt dort von der Höh !Er kam von selbst auf den Gedanken , noch an diesem Tage mit dem alten Simon zu sprechen , und lud mich ein , mit ihm nach Bornheim zu fahren , wo der Schabbes heute die noble Welt des alten Judenquartiers , der neuen Judenstraße , überhaupt alle Stämme Israels versammelt habe .» Ach das verstehst du nicht «	2553	22	58301-Hauff__Wilhelm.tsv
PTKVZ	PTKVZ		PTKVZ	ein		Diese Bilder stürmten so heftig auf ihn	ein	, daß ihm ganz schwindelig wurde .	Wandbretter , was für chinesische Vasen !Diese Bilder stürmten so heftig auf ihn ein , daß ihm ganz schwindelig wurde .Er wird sie bei sich empfangen ,	5476	7	26039-Flaubert__Gustave.tsv
PTKVZ	PTKVZ		PTKVZ	ein		Die anderen Metalle treten , ebenso wie Wasser und unverändertes Gestein , nur in sehr verschwindender Menge in die Mischungsbestandtheile unseres Sphäroïds	ein	.	, ich könne meine Collegen verrathen ?Die anderen Metalle treten , ebenso wie Wasser und unverändertes Gestein , nur in sehr verschwindender Menge in die Mischungsbestandtheile unseres Sphäroïds ein .rief J. T. Maston , Sie hätten	102	22	107521-Verne__Jules.tsv
PTKVZ	PTKVZ		PTKVZ	ein		Was nicht einzelnes Atom ist das um sich selber dreht , sondern lebendige Kraft die in sich gebunden und geschlossen nach außen strahlt , das bildet und schließt das durchdringbare nähere oder fernere Wesen sich	ein	, verselbt es und verinnert es , und da diese Kraft überall einfach und ganz ist , so wird , wie weit sie auch reicht , einfach und ganz was ihr sich eint : nur der Umfang kann wachsen , nicht die Rundheit und die Bindung .	keine Mache , sondern ein Gesetz .Was nicht einzelnes Atom ist das um sich selber dreht , sondern lebendige Kraft die in sich gebunden und geschlossen nach außen strahlt , das bildet und schließt das durchdringbare nähere oder fernere Wesen sich ein , verselbt es und verinnert es , und da diese Kraft überall einfach und ganz ist , so wird , wie weit sie auch reicht , einfach und ganz was ihr sich eint : nur der Umfang kann wachsen , nicht die Rundheit und die Bindung .Die Gotteskunde ist aufgehendes und übergehendes Menschtum	276	35	56347-Gundolf__Friedrich.tsv
PTKVZ	PTKVZ		PTKVZ	ein		– Nehmen wir sie zuerst , wie sie gerade ist , warf Gordon	ein	; selbst wenn es darin etwas eng herginge .	Jolle kaum eine Meile stromaufwärts weiter .– Nehmen wir sie zuerst , wie sie gerade ist , warf Gordon ein ; selbst wenn es darin etwas eng herginge .Sobald diese vom Land gelöst war ,	80	13	107519-Verne__Jules.tsv
PTKVZ	PTKVZ		PTKVZ	einher		Hier stehen Eltern und Kinder gegeneinander , man schmaust im Familienkreise ; aber damit der Beschauer auch wisse , woher die Wohlhäbigkeit komme , ziehen beladene Saumrosse	einher	, Gewerb und Handel wird auf mancherlei Weise vorgestellt .	jemand an jenes Monument gedacht hätte .Hier stehen Eltern und Kinder gegeneinander , man schmaust im Familienkreise ; aber damit der Beschauer auch wisse , woher die Wohlhäbigkeit komme , ziehen beladene Saumrosse einher , Gewerb und Handel wird auf mancherlei Weise vorgestellt .Genau betrachtet , ist eins und ebendasselbe	700	27	32622-Goethe__Johann_Wolfgang.tsv
PTKVZ	PTKVZ		PTKVZ	fort		» Nein « , erwiderte er , » der ist schon gestern abend nach Lemberg	fort	.	Also auf Wiedersehen am 1. März .» Nein « , erwiderte er , » der ist schon gestern abend nach Lemberg fort .Was Geld betrifft , hast Du keins	7256	15	26919-Franzos__Karl_Emil.tsv
PTKVZ	ADV		PTKVZ	her		« » Weil ich die Leggins verliere ; sie schwimmen schon halb hinter mir	her	.	mir auf die Sprünge , Sir .« » Weil ich die Leggins verliere ; sie schwimmen schon halb hinter mir her .« » Hm !	1528	14	79313-May__Karl.tsv
PTKVZ	ADV		PTKVZ	her		Sein Auge schaute ängstlich zu uns	her	.	oben und traten in die Halle .Sein Auge schaute ängstlich zu uns her .Ich habe dir also nichts zu verzeihen	9402	6	79322-May__Karl.tsv
PTKVZ	PTKVZ		PTKVZ	heraus		‹ – Ich stürzte zum Saal	heraus	, vergebens sucht' ich in dicker Finsternis die Tür des Hauses .	die sich heulend am Boden krümmte .‹ – Ich stürzte zum Saal heraus , vergebens sucht' ich in dicker Finsternis die Tür des Hauses .‹ – Ich wandte mich rasch um	240	6	62309-Hoffmann__E__T__A_.tsv
PTKVZ	PTKVZ		PTKVZ	nieder		Fastrade ging zu ihm und kniete an seinem Stuhle	nieder	.	wie die Lichter am Baume niederbrannten .Fastrade ging zu ihm und kniete an seinem Stuhle nieder .Knechte und Mägde sangen mit ihren schweren	571	9	66883-Keyserling__Eduard_von.tsv
PTKVZ	ADV		PTKVZ	weiter		Darnach machte er das Loch zu und ging	weiter	, da kam er in das Zimmer , wo die Prinzessin lag und schlief und die war gar schön , so daß er still stand und sie betrachtete und den Athem anhielt .	duns 1 ihn dann vollends herein .Darnach machte er das Loch zu und ging weiter , da kam er in das Zimmer , wo die Prinzessin lag und schlief und die war gar schön , so daß er still stand und sie betrachtete und den Athem anhielt .Da nahm er den Säbel von der	68	8	50771-Grimm__Jacob_und_Wilhelm.tsv
PTKVZ	ADV		PTKVZ	weiter		Als sie einige Zeit so gearbeitet hatten , wanderten sie	weiter	.	und so bekam Petrus nocheinmal Prügel .Als sie einige Zeit so gearbeitet hatten , wanderten sie weiter .« Der kam auch bald wieder und	12	10	99007-Spiegel__Karl.tsv
PTKVZ	PTKVZ		PTKVZ	zu		Darnach machte er das Loch	zu	und ging weiter , da kam er in das Zimmer , wo die Prinzessin lag und schlief und die war gar schön , so daß er still stand und sie betrachtete und den Athem anhielt .	duns 1 ihn dann vollends herein .Darnach machte er das Loch zu und ging weiter , da kam er in das Zimmer , wo die Prinzessin lag und schlief und die war gar schön , so daß er still stand und sie betrachtete und den Athem anhielt .Da nahm er den Säbel von der	68	5	50771-Grimm__Jacob_und_Wilhelm.tsv
PTKVZ	PTKVZ		PTKVZ	zu		Melo aber eilte mit seinen vier tausend Reitern / welches alles Sicambrische und Tencterische Ritter oder Edelleute waren / dem härtesten Stande	zu	; wo der Graf von Oldenburg mehr keinen Athem / wenig Blut / ja nicht einen unverwundeten Soldaten / gleichwohl aber noch das Hertze hatte zwölff tausend Römern durch Hülffe des vortheilhaften Ortes die Stirne zu bieten .	/ und Hoffnung zu überwinden hätten .Melo aber eilte mit seinen vier tausend Reitern / welches alles Sicambrische und Tencterische Ritter oder Edelleute waren / dem härtesten Stande zu ; wo der Graf von Oldenburg mehr keinen Athem / wenig Blut / ja nicht einen unverwundeten Soldaten / gleichwohl aber noch das Hertze hatte zwölff tausend Römern durch Hülffe des vortheilhaften Ortes die Stirne zu bieten .Und ich werde mit iedem vergnügt seyn	681	22	78039-Lohenstein__Daniel_Casper_von.tsv
PTKVZ	PTKVZ		PTKVZ	übrig		Uns bleibt nichts	übrig	, als der Grille nachzugeben .	Brautbetts ein wahrer salto mortale sei .Uns bleibt nichts übrig , als der Grille nachzugeben .Die kindischen Thränen – knüpfte sie nach	7399	3	104263-Th_mmel__Moritz_August_von.tsv
