DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
PTKZU	PTKZU		PTKZU	zu		« Die von der Lokomotive nachgeschleppten Wagen sind so eingerichtet , daß die Passagiere die Reise durch ganz Amerika machen können , ohne nötig	zu	haben , nur einmal auszusteigen .	obgleich er sich immer so stellt .« Die von der Lokomotive nachgeschleppten Wagen sind so eingerichtet , daß die Passagiere die Reise durch ganz Amerika machen können , ohne nötig zu haben , nur einmal auszusteigen .» Sonnenstrahl hat seinen Willen durchgesetzt .	1568	24	kraftr_vestali4_vestali4.tsv
PTKZU	PTKZU		PTKZU	zu		Ihre Stirn wurde auch zu gelb ; und da ihre Schläfen	zu	glänzen anfingen , legte sie Weiß auf und stellte die Adern der Jugend durch leichte blaue Netze dar .	malerisch » Wagenräder « genannt wurden .Ihre Stirn wurde auch zu gelb ; und da ihre Schläfen zu glänzen anfingen , legte sie Weiß auf und stellte die Adern der Jugend durch leichte blaue Netze dar .« Madame Soudry erlaubte sich , Mademoiselle	444	11	balzac_landleb_landleb.tsv
PTKZU	PTKZU		PTKZU	zu		« Unser Freund bemühte sich , ernst	zu	blicken .	, um überhaupt segelfähig zu bleiben .« Unser Freund bemühte sich , ernst zu blicken .« » Der Ladung wegen ?	884	7	woerisho_robert_robert.tsv
PTKZU	PTKZU		PTKA	zu		Es war eine gefährliche Genossenschaft , nicht immer vermochte die eiserne Härte der alten Zeit sie	zu	bändigen .	täglich ein Pfund Fleisch haben müsse .Es war eine gefährliche Genossenschaft , nicht immer vermochte die eiserne Härte der alten Zeit sie zu bändigen .Auf Kirchhöfen und öffentlichen Plätzen lagen die	3591	16	freytag_dvergang_dvergang.tsv
PTKZU	PTKZU		PTKZU	zu		Leichtfüßig schritt sie den Gang entlang , um ihren Cousin nicht	zu	wecken ; doch konnte sie sich nicht enthalten , vor seiner Tür stehenzubleiben und seinen regelmäßigen Atemzügen zu lauschen .	« sagte Vater Grandet .Leichtfüßig schritt sie den Gang entlang , um ihren Cousin nicht zu wecken ; doch konnte sie sich nicht enthalten , vor seiner Tür stehenzubleiben und seinen regelmäßigen Atemzügen zu lauschen .– nichts !	4296	11	balzac_eugenie_eugenie.tsv
PTKZU	PTKZU		PTKZU	zu		Leichtfüßig schritt sie den Gang entlang , um ihren Cousin nicht zu wecken ; doch konnte sie sich nicht enthalten , vor seiner Tür stehenzubleiben und seinen regelmäßigen Atemzügen	zu	lauschen .	« sagte Vater Grandet .Leichtfüßig schritt sie den Gang entlang , um ihren Cousin nicht zu wecken ; doch konnte sie sich nicht enthalten , vor seiner Tür stehenzubleiben und seinen regelmäßigen Atemzügen zu lauschen .– nichts !	4296	29	balzac_eugenie_eugenie.tsv
PTKZU	PTKZU		PTKZU	zu		Ein anderer Edelmann hatte viel von Hinzelmann erzählen gehört und war begierig , selbst etwas von ihm	zu	erfahren .	eilte und seine Liebe ganz vergaß .Ein anderer Edelmann hatte viel von Hinzelmann erzählen gehört und war begierig , selbst etwas von ihm zu erfahren .Als man den Schreiber darum fragte ,	137	17	grimm_sagen_g076.tsv
PTKZU	PTKZU		PTKZU	zu		Die Schüler galoppierten hinterdrein und zwangen die Vorübergehenden , sich an die Häuser	zu	drücken , wenn sie nicht umgeworfen werden wollten ; die Kaufleute erschienen erschreckt in den Türen , sie meinten , eine Revolution sei ausgebrochen .	und warf sich in die Brandstraße .Die Schüler galoppierten hinterdrein und zwangen die Vorübergehenden , sich an die Häuser zu drücken , wenn sie nicht umgeworfen werden wollten ; die Kaufleute erschienen erschreckt in den Türen , sie meinten , eine Revolution sei ausgebrochen .Die Schar hatte , ohne den Gang	4527	13	zola_kunstwer_kunstwer.tsv
PTKZU	PTKZU		PTKZU	zu		« Zum Glück traf es sich nach fünf oder sechs Jahren , daß die Gräfin eine große Freundschaft zu einem sehr reichen jungen Manne faßte , der auch Busenfreund des Grafen war und es sich nicht nehmen ließ , ihnen das schönste englische Vollblutgespann , das es damals in Mailand gab , seine Loge in der Scala und sein Landschloß zur Verfügung	zu	stellen .	seit dieser verhängnisvolle Befehl ergangen ist .« Zum Glück traf es sich nach fünf oder sechs Jahren , daß die Gräfin eine große Freundschaft zu einem sehr reichen jungen Manne faßte , der auch Busenfreund des Grafen war und es sich nicht nehmen ließ , ihnen das schönste englische Vollblutgespann , das es damals in Mailand gab , seine Loge in der Scala und sein Landschloß zur Verfügung zu stellen .Signorina wissen ja besser als ich ,	2655	62	stendhal_kartause_kartause.tsv
PTKZU	PTKZU		ADV	zu		Als hochbedeutsamer Ersatz für die mir entzogene Möglichkeit , meine geistigen Kräfte in anderer Weise im Dienste der Menschheit	zu	verwerten und mir damit Ehre oder Ruhm vor Menschen zu erwerben , kommt dabei die Erkenntnis Gottes und göttlicher Dinge in Betracht , die ich durch die unausgesetzte Berührung mit göttlichen Strahlen erlangt habe .	zur Gewöhnung an derartige Vorstellungen zwingt .Als hochbedeutsamer Ersatz für die mir entzogene Möglichkeit , meine geistigen Kräfte in anderer Weise im Dienste der Menschheit zu verwerten und mir damit Ehre oder Ruhm vor Menschen zu erwerben , kommt dabei die Erkenntnis Gottes und göttlicher Dinge in Betracht , die ich durch die unausgesetzte Berührung mit göttlichen Strahlen erlangt habe .Demnach glaube ich für eine vielleicht nicht	266	19	schreber_nervenkr_nervenkr.tsv
