DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
VAIMP	NE		VAFIN	sein		« »	Sei	still !	Was reitet ihr ?« » Sei still !Ich hätte mich nicht zurückweisen lassen ;	6044	2	79321-May__Karl.tsv
VAIMP	NN		VAFIN	sein		›	Sei	unbesorgt , Kamerad ‹ , wird mir geantwortet , › aber hilf mir , daß ich auch hineingelange , das Fenster ist verdammt hoch .	, ums Himmels willen , still !› Sei unbesorgt , Kamerad ‹ , wird mir geantwortet , › aber hilf mir , daß ich auch hineingelange , das Fenster ist verdammt hoch .‹ ruft mir auf einmal mit hohler	376	1	58802-Hebbel__Friedrich.tsv
VAIMP	NE		VAFIN	sein		David fuhr erschrocken in die Höhe , der Vater hielt ihn zurück : »	Sei	ruhig , mein Sohn , « sagte er gelassen , » ich scheide mit Freuden von hinnen , wenn ich nur gewiß bin , meinem Hause einen Herrn und meinen Kindern einen Versorger zu hinterlassen .	Alter und meine Mutter geworden ist .David fuhr erschrocken in die Höhe , der Vater hielt ihn zurück : » Sei ruhig , mein Sohn , « sagte er gelassen , » ich scheide mit Freuden von hinnen , wenn ich nur gewiß bin , meinem Hause einen Herrn und meinen Kindern einen Versorger zu hinterlassen .Wie kam es hierher ?	46	14	26912-Fran_ois__Louise_von.tsv
VAIMP	NE		VAFIN	sein		»	Sei	still , Kind , « sagte Ilse , indem sie sich mit überströmenden Augen rasch erhob .	und faltete die ungeschlachten Hände ineinander .» Sei still , Kind , « sagte Ilse , indem sie sich mit überströmenden Augen rasch erhob .» Ist's denn wirklich wahr , Ilse	1360	1	78773-Marlitt__Eugenie.tsv
VAIMP	NE		VAFIN	sein			Sei	herzlich von uns Allen gegrüßt !	sie sich einen schönen Hammel holen .Sei herzlich von uns Allen gegrüßt !Word Ernestine ist gestern wieder abgereist ;	3	0	16696-Busch__Wilhelm.tsv
VAIMP	NE		VAFIN	sein		« Der Doktor wollte eine Frage thun , doch kam ihm Katharine zuvor , indem sie fortfuhr : »	Sei	ehrlich !	zu diesem Zwecke anzeigen zu lassen .« Der Doktor wollte eine Frage thun , doch kam ihm Katharine zuvor , indem sie fortfuhr : » Sei ehrlich !Sie erwarten Herrn Beil , Herr Beil	14359	19	56361-Hackl_nder__Friedrich_Wilhelm_von.tsv
VAIMP	NE		VAFIN	sein			Sei	überzeugt , daß ich ganz in deinem Sinne handeln werde .	Schärfe deines Auges zu verdanken ist .Sei überzeugt , daß ich ganz in deinem Sinne handeln werde .Hanneh , die Beglückerin unseres Scheikes ,	4104	0	79321-May__Karl.tsv
VAIMP	NE		VAFIN	sein		939. An Adolf Nöldeke	Sei	herzl .	gegrüßt !Word Wiedensahl Freitag .Word Wiedensahl Freitag .	2	4	16837-Busch__Wilhelm.tsv
VAIMP	NE		VAFIN	sein			Sei	Sinn strebt nach freier Geischteswelt – die Richtung derf mr ihm net störe .	im stand sein , mich z'ernähre .Sei Sinn strebt nach freier Geischteswelt – die Richtung derf mr ihm net störe .tuscht jetzt begreife , warom ich nimmer	9607	0	110544-Wille__Bruno.tsv
VAIMP	NE		VAFIN	sein		»	Sei	still , Kind , deine Mutter ist nicht da ; schlafe wieder ein , « sagte die Köchin mürrisch , während sie sich entkleidete .	Das war unmöglich !» Sei still , Kind , deine Mutter ist nicht da ; schlafe wieder ein , « sagte die Köchin mürrisch , während sie sich entkleidete .Im Verteidigungseifer war ihr nicht eingefallen ,	102	1	78772-Marlitt__Eugenie.tsv
