DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
PTKZU	PTKZU		PTKZU	zu		Sie stehen zum letztenmal freigelassen hier vor meiner segnenden Hand , um Ihren gereiften frommen Entschluß	zu	bestätigen und zu erfüllen , und so wird es Ihnen wohlgehen und Sie lange leben auf Erden .	erste Gebot , das Verheißung hat .Sie stehen zum letztenmal freigelassen hier vor meiner segnenden Hand , um Ihren gereiften frommen Entschluß zu bestätigen und zu erfüllen , und so wird es Ihnen wohlgehen und Sie lange leben auf Erden .Der Glanz ihrer Sterbestunde erhelle die gegenwärtige	8205	16	thuemmel_provinz_provinz.tsv
PTKZU	PTKZU		PTKZU	zu		Sie stehen zum letztenmal freigelassen hier vor meiner segnenden Hand , um Ihren gereiften frommen Entschluß zu bestätigen und	zu	erfüllen , und so wird es Ihnen wohlgehen und Sie lange leben auf Erden .	erste Gebot , das Verheißung hat .Sie stehen zum letztenmal freigelassen hier vor meiner segnenden Hand , um Ihren gereiften frommen Entschluß zu bestätigen und zu erfüllen , und so wird es Ihnen wohlgehen und Sie lange leben auf Erden .Der Glanz ihrer Sterbestunde erhelle die gegenwärtige	8205	19	thuemmel_provinz_provinz.tsv
PTKZU	PTKZU		PTKZU	zu		« Dann erinnerte ich mich , daß ich jetzt alle diese Dinge reichlich besitze und mich auf dem Wege befinde , mir meinen Unterhalt auch ohne die Gewehre verschaffen	zu	können , wenn meine Munition einmal verbraucht sein würde .	, ohne alle Nothwendigkeiten des Lebens .« Dann erinnerte ich mich , daß ich jetzt alle diese Dinge reichlich besitze und mich auf dem Wege befinde , mir meinen Unterhalt auch ohne die Gewehre verschaffen zu können , wenn meine Munition einmal verbraucht sein würde .Ich hatte einen Theil des Tages für	800	29	defoe_crusoe_crusoe.tsv
PTKZU	PTKZU		PTKZU	zu		» « Er scheint ein ordentlicher Mann geworden	zu	sein » , fuhr der Freiherr mit Überwindung fort .	Hoffnung – ist's das Mitgefühl allein ?» « Er scheint ein ordentlicher Mann geworden zu sein » , fuhr der Freiherr mit Überwindung fort .» Sabine schwieg lange , und von	11221	8	freytag_sollhabn_sollhabn.tsv
PTKZU	PTKZU		PTKZU	zu		« » Soweit brauchen wir gar nimmer	zu	gehen .	Darf ich nach ihr fragen ?« » Soweit brauchen wir gar nimmer zu gehen .« » Sie kann keine große sein	17383	7	may_wegglue3_wegglue3.tsv
PTKZU	PTKZU		PTKZU	zu		Wer wollte sich die Mühe geben , einen solchen Satz erst durch tiefsinnige Erörterungen	zu	beweisen ?	, was wir ihm geradezu wegläugnen .Wer wollte sich die Mühe geben , einen solchen Satz erst durch tiefsinnige Erörterungen zu beweisen ?Rousseau hätte vieler Bemühungen des Geistes bey	1643	14	wieland_geheim_geheim.tsv
PTKZU	PTKZU		PTKZU	zu		Diesen Erscheinungen der Verliebtheit werden wir jetzt eingehendere Aufmerksamkeit zuwenden , in der begründeten Erwartung , an ihnen Verhältnisse	zu	finden , die sich auf die Bindungen in den Massen übertragen lassen .	des Triebes von seinem Sexualziel entsprechen .Diesen Erscheinungen der Verliebtheit werden wir jetzt eingehendere Aufmerksamkeit zuwenden , in der begründeten Erwartung , an ihnen Verhältnisse zu finden , die sich auf die Bindungen in den Massen übertragen lassen .Wir haben es hier mit Liebestrieben zu	216	19	freud_massen_massen.tsv
PTKZU	PTKZU		PTKZU	zu		« Dem Wirt gefielen die Späße seines Gastes durchaus nicht , und er beschloß , es kurz	zu	machen und ihm den verwünschten Ritterschlag sogleich zu erteilen , ehe ein neues Unglück dazwischenkomme .	ist in solchen Schenken das Übliche .« Dem Wirt gefielen die Späße seines Gastes durchaus nicht , und er beschloß , es kurz zu machen und ihm den verwünschten Ritterschlag sogleich zu erteilen , ehe ein neues Unglück dazwischenkomme .» Ihr seid ein alberner , nichtsnutziger	1709	17	cervante_quijote1_quijote1.tsv
PTKZU	PTKZU		PTKZU	zu		« Dem Wirt gefielen die Späße seines Gastes durchaus nicht , und er beschloß , es kurz zu machen und ihm den verwünschten Ritterschlag sogleich	zu	erteilen , ehe ein neues Unglück dazwischenkomme .	ist in solchen Schenken das Übliche .« Dem Wirt gefielen die Späße seines Gastes durchaus nicht , und er beschloß , es kurz zu machen und ihm den verwünschten Ritterschlag sogleich zu erteilen , ehe ein neues Unglück dazwischenkomme .» Ihr seid ein alberner , nichtsnutziger	1709	25	cervante_quijote1_quijote1.tsv
PTKZU	PTKZU		PTKZU	zu		Ich dachte nicht daran , den Vertreter der großen englischen Fabrik in den Straßengräben	zu	suchen .	« Keine Antwort .Ich dachte nicht daran , den Vertreter der großen englischen Fabrik in den Straßengräben zu suchen .Er muß mir die Maschine laufen lassen	5117	14	eyth_imstrom2_imstrom2.tsv
