DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
PTKANT	ADV		ADV	also			Also	, es wird begonnen !	, schon im nächsten Zimmer standen .Also , es wird begonnen !Er trat auf uns zu , um	9025	0	79317-May__Karl.tsv
PTKANT	NN		ADV	also			Also	, ich falle nicht um !	« » Ich ?Also , ich falle nicht um !« » Ja , leider , leider	3692	0	79326-May__Karl.tsv
PTKANT	NN		NN	bitte		»	Bitte	zeigen Sie uns Ihre Zimmer , Maam , « sagte meine Tante .	Meine Tante folgte genau meinem Beispiel .» Bitte zeigen Sie uns Ihre Zimmer , Maam , « sagte meine Tante .« Traddles lachte und schüttelte den Kopf	6743	1	22325-Dickens__Charles.tsv
PTKANT	NE		PTKANT	ja		« »	Ja	freilich , eine wunderhübsche .	steht einer offen von Jugend auf .« » Ja freilich , eine wunderhübsche .Das macht das Kind , ja ,	2062	2	23122-Ebner_Eschenbach__Marie_von.tsv
PTKANT	NN		PTKANT	ja			Ja	, ich will ihnen die große Dame spielen ... Ganz Paris soll darüber die Augen aufreißen ... 1 Eine Gattung tieferer Logen .	Ich bedarf ja ihrer nicht mehr .Ja , ich will ihnen die große Dame spielen ... Ganz Paris soll darüber die Augen aufreißen ... 1 Eine Gattung tieferer Logen .Wenn sie wüßten , wie ich mich	988	0	112135-Zola___mile.tsv
PTKANT	NE		PTKANT	ja		« »	Ja	so !	mir konn do aa net hexen !« » Ja so !Dee wern do net ohne Essen furt	105	2	18367-Christ__Lena.tsv
PTKANT	NE		NN	ja		»	Ja	.	obigen Annahme im Irrtum befunden habe .» Ja .Sollte das ein ägyptischer Beamter lesen und	7228	1	79309-May__Karl.tsv
PTKANT	PTKANT		NN	ja		« »	Ja	, Liebe !	Befriedigung derer , womit ich lebe .« » Ja , Liebe !Ihre Unterscheidung der hohen und herablassenden menschenfreundlichen	5235	2	72270-La_Roche__Sophie_von.tsv
PTKANT	NE		NN	ja		»	Ja	, wo ist denn der Bauer ?	so macht 's die Bäuerin auch .» Ja , wo ist denn der Bauer ?Wie er ins Haus kommt , stößt	7	1	15633-Busch__Wilhelm.tsv
PTKANT	PTKANT		ADV	ja		So grosse Freude nun bey Euphronia Brüder / so grosser Neid ist bey Sostene Söhnen Tadee und Androg entstanden / aus ungezweiffeltem Wahn / ihr Vater nehme ihnen das Brod und theile es seinen armen Schwägern mit :	ja	sie scheuten sich nicht zu sagen / daß sie ihren alten kindischen Vater betrogen / und mit ihme recht verrähterisch gehandelt hetten / etc .	andern / auch nachgehende Erzehlung beglauben .So grosse Freude nun bey Euphronia Brüder / so grosser Neid ist bey Sostene Söhnen Tadee und Androg entstanden / aus ungezweiffeltem Wahn / ihr Vater nehme ihnen das Brod und theile es seinen armen Schwägern mit : ja sie scheuten sich nicht zu sagen / daß sie ihren alten kindischen Vater betrogen / und mit ihme recht verrähterisch gehandelt hetten / etc .Sie sind Scorpionen / welche allen Gifft	1906	38	58089-Harsd_rffer__Georg_Philipp.tsv
PTKANT	PTKANT		PTKANT	nein		Jakob :	Nein	, die Frauen ziehen sich immer gut aus der Schlinge , wenn man sie nicht auf frischer Tat ertappt hat .	gnädige Frau , tausendmal um Verzeihung !Jakob : Nein , die Frauen ziehen sich immer gut aus der Schlinge , wenn man sie nicht auf frischer Tat ertappt hat .» Und wer ist sein Herr ?	2158	2	22329-Diderot__Denis.tsv
PTKANT	NN		PTKANT	nein			Nein	.	, Ihre Hitze reißt Sie fort .Nein .Denn im Vertrauen gesagt , das Kränken	2944	0	26850-Fontane__Theodor.tsv
PTKANT	PTKANT		NN	nein		« »	Nein	, auch dich !	meiner Rückkehr dasselbe Experiment zu wiederholen .« » Nein , auch dich !Die beiden Gefangenen saßen rechts unter den	360	2	79308-May__Karl.tsv
PTKANT	PTKANT		NN	nein		« »	Nein	, denn dazu ist die Zeit zu kurz .	nur mit äußerster Vorsicht thun werden .« » Nein , denn dazu ist die Zeit zu kurz .Wenn sie bemerken , daß wir ihnen	8766	2	79312-May__Karl.tsv
PTKANT	NE		NN	nein		« »	Nein	, geben Sie mir lieber noch einmal die Hand .	gewöhnlich Mittwoch , Freitag und Sonntag .« » Nein , geben Sie mir lieber noch einmal die Hand .) » Ach so , ich vergaß	6	2	99034-Spitteler__Carl.tsv
PTKANT	PTKANT		NN	nein		–	Nein	, es sind nur wenige Jahre , aber woher vermuthen Sie das ?	, die mir dieses Glück verschafte ?– Nein , es sind nur wenige Jahre , aber woher vermuthen Sie das ?– Die junge Leute giengen in ihre	70	1	72280-La_Roche__Sophie_von.tsv
PTKANT	PTKANT		PTKANT	nein			Nein	, ich bin und bleibe deine Frau und halte das Kränzchen wie mein Leben fest .	mit , wie meine selige Mutter .Nein , ich bin und bleibe deine Frau und halte das Kränzchen wie mein Leben fest .» Mein Brautkränzchen ?	534	0	64892-Jean_Paul.tsv
PTKANT	NN		PTKANT	nein			Nein	.	Ich wollte den Compaß befragen .Nein .Ich begab mich zweimal in den Salon	7702	0	107494-Verne__Jules.tsv
PTKANT	NE		NN	nein		»	Nein	, Mutterle !	bei den Franken einspringen zu können .» Nein , Mutterle !Einer von den Freiwilligen , die mit	12460	1	27056-Ganghofer__Ludwig.tsv
PTKANT	PTKANT		NN	nein		»	Nein	, nein !	dem schwülen Zimmer für nötiger hältst .» Nein , nein !« fuhr er verweisend fort .	3335	1	78772-Marlitt__Eugenie.tsv
PTKANT	PTKANT		NN	nein		– –	Nein	, o nein !	Graut Dir vor dem Sterben ?– – Nein , o nein !Kreis bürgerlicher Geselligkeit verschlossen , wo die	48	2	952-Ahlefeld__Charlotte_von.tsv
