DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
PTKA	PTKA		PTKA	allzu		Die Schulphilosophie , welche jederzeit das Verdienst hat , alles dasjenige , wornach der Mensch nur fragen kann , nach angenommenen Grundsätzen , in einer beliebten Ordnung , unter bestimmten Rubriken vorzutragen , hatte sich durch das oft Dunkle und Unnützscheinende ihres Inhalts , durch unzeitige Anwendung einer an sich respektabeln Methode und durch die	allzu	große Verbreitung über so viele Gegenstände der Menge fremd , ungenießbar und endlich entbehrlich gemacht .	sich von Verlegern unabhängig zu machen .Die Schulphilosophie , welche jederzeit das Verdienst hat , alles dasjenige , wornach der Mensch nur fragen kann , nach angenommenen Grundsätzen , in einer beliebten Ordnung , unter bestimmten Rubriken vorzutragen , hatte sich durch das oft Dunkle und Unnützscheinende ihres Inhalts , durch unzeitige Anwendung einer an sich respektabeln Methode und durch die allzu große Verbreitung über so viele Gegenstände der Menge fremd , ungenießbar und endlich entbehrlich gemacht .Sie verglichen ihren eignen , sehr mäßigen	6437	55	32619-Goethe__Johann_Wolfgang.tsv
PTKA	PTKA		PTKA	allzu		Ich sollte zwar diesem Buche auch die Merkwürdigkeiten von allerhand Sachen , wie in meinem Studiosi Joviali beygesetzt haben ; weil es aber wider meine Meynung	allzu	groß angewachsen , so habe ich diese hieher gehörigen Merkwürdigkeiten ausgelassen , und aus selben ein besonders Buch , unter dem Titel : Nützliche Zeitanwendung ; oder Auszug der merkwürdigsten Sachen , von den Menschen , Thieren , vermischten Sachen , und unterschiedlichen Kunststücken machen müssen , welchem nun noch ein anders Werklein : Der vorsichtige und nach heutigem Geschmacke wohlerfahrne Speisemeister , sammt einer Anweisung zum Kochen , Tranchiren und einigen sonderheitlichen Komplimenten , mit beygefügten allgemeinen Tischregeln , nachgefolget ist .	Reprimande , Verweis , Ausscheltung .Ich sollte zwar diesem Buche auch die Merkwürdigkeiten von allerhand Sachen , wie in meinem Studiosi Joviali beygesetzt haben ; weil es aber wider meine Meynung allzu groß angewachsen , so habe ich diese hieher gehörigen Merkwürdigkeiten ausgelassen , und aus selben ein besonders Buch , unter dem Titel : Nützliche Zeitanwendung ; oder Auszug der merkwürdigsten Sachen , von den Menschen , Thieren , vermischten Sachen , und unterschiedlichen Kunststücken machen müssen , welchem nun noch ein anders Werklein : Der vorsichtige und nach heutigem Geschmacke wohlerfahrne Speisemeister , sammt einer Anweisung zum Kochen , Tranchiren und einigen sonderheitlichen Komplimenten , mit beygefügten allgemeinen Tischregeln , nachgefolget ist .Virtus post funera vivit .	1710	26	97256-Schreger__Odilo.tsv
PTKA	PTKA		APPRART	am		Natürlich gibt man dieser noch unbewohnten Ansiedlung gleich einen lockenden ,	am	liebsten recht patriotisch klingenden Namen , z.B. Neuwittelsbach , Neugermanien u. s.w .	einem Sumpfe , aus der Erde .Natürlich gibt man dieser noch unbewohnten Ansiedlung gleich einen lockenden , am liebsten recht patriotisch klingenden Namen , z.B. Neuwittelsbach , Neugermanien u. s.w .Da werden im Fabrikbetrieb gleich eine ganze	2496	11	18884-Conrad__Michael_Georg.tsv
PTKA	PTKA		PTKA	am		Das hat man selbst	am	ärgsten , am schlimmsten Feinde anzuerkennen und wird ihn , wenn es möglich ist , hiernach behandeln .	, konnte uns aber nicht verwundern .Das hat man selbst am ärgsten , am schlimmsten Feinde anzuerkennen und wird ihn , wenn es möglich ist , hiernach behandeln .Ich kann sagen , daß sie alle	1290	4	79323-May__Karl.tsv
PTKA	PTKA		PTKA	am		Aber Lärm muß dabei sein ,	am	liebsten Höllenlärm .	Liebe Kinder , diese Römer .Aber Lärm muß dabei sein , am liebsten Höllenlärm .Und das gefällt mir auch .	364	6	22499-Dohm__Hedwig.tsv
PTKA	PTKA		ADV	zu		Kaum bei Monbaça vorüber , sahen sie sich gezwungen , den Sam Raphael zu verbrennen , denn die Mannschaften waren	zu	sehr gelichtet , um drei Fahrzeuge zu bedienen .	neuen Kolonien jedenfalls unermeßliche Schätze bargen .Kaum bei Monbaça vorüber , sahen sie sich gezwungen , den Sam Raphael zu verbrennen , denn die Mannschaften waren zu sehr gelichtet , um drei Fahrzeuge zu bedienen .Am Ufer des Hayna-Flusses hatte ein Sklave	5274	20	107557-Verne__Jules.tsv
PTKA	PTKA		PTKA	zu		L*** war	zu	fein , um nicht alle Vortheile dieser Umstände bei Sara zu benuzen .	einigemal wiederholte , um so werther .L*** war zu fein , um nicht alle Vortheile dieser Umstände bei Sara zu benuzen .Seitdem schlich der Geist der Zwietracht eine	2417	2	64147-Huber__Therese.tsv
PTKA	PTKA		PTKA	zu		replicirte ich , ihr seyd von der gantzen Sache entweder gar zu viel oder gar	zu	wenig unterrichtet ; ich bin die erste Frau des van Steen , und habe noch niemahls einen andern Mann , als ihn , erkannt , auch hat mich der Himmel sonderlich davor bewahret , eines andern Kebs-Weib zu werden , wie es aber um eure eigene Ehre stehet , könnet ihr am allerbesten nachdencken und wissen .	ihr geschiedener mit mir zu verheyrathen .replicirte ich , ihr seyd von der gantzen Sache entweder gar zu viel oder gar zu wenig unterrichtet ; ich bin die erste Frau des van Steen , und habe noch niemahls einen andern Mann , als ihn , erkannt , auch hat mich der Himmel sonderlich davor bewahret , eines andern Kebs-Weib zu werden , wie es aber um eure eigene Ehre stehet , könnet ihr am allerbesten nachdencken und wissen .Ist ihnen etwa nicht wohl ?	1424	15	97159-Schnabel__Johann_Gottfried.tsv
PTKA	PTKA		PTKA	zu		Er aber eilte sogleich nach einer Landspitze an der Au und bat Björn , hinter ihn zu treten ; er dürfe sich aber nicht	zu	weit nach der Seite hin hervorwagen .	sich nieder , um zu schlafen .Er aber eilte sogleich nach einer Landspitze an der Au und bat Björn , hinter ihn zu treten ; er dürfe sich aber nicht zu weit nach der Seite hin hervorwagen .An der Skaptau theilten sie sich .	715	24	3448-Anonym.tsv
PTKA	PTKA		PTKA	zu		Es ist nicht immer der Fall , daß in dem gesunden Körper auch eine gesunde Seele wohnt und sie untergräbt nur	zu	oft , trotz aller Mittel , die äußerlich angewendet werden , von innen heraus die blühenden Wangen und die Fülle der jugendlichen Erscheinung .	spätere Lebensalter nach sich ziehen kann .Es ist nicht immer der Fall , daß in dem gesunden Körper auch eine gesunde Seele wohnt und sie untergräbt nur zu oft , trotz aller Mittel , die äußerlich angewendet werden , von innen heraus die blühenden Wangen und die Fülle der jugendlichen Erscheinung .Denn es gibt kleinere Vergehen , kleinere	65	21	10090-B_chner__Luise.tsv
