DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
PWS	PWS		PWS	was		Ich beginne zur Ansicht der Männer zu neigen :	Was	für ein erbärmliches Ding ist doch Frauentugend !	Stimme des Fleisches die des Geistes ?Ich beginne zur Ansicht der Männer zu neigen : Was für ein erbärmliches Ding ist doch Frauentugend !Vermag so ein plötzliches Aufwallen des Blutes	1786	9	27165-Gautier__Th_ophile.tsv
PWS	PWS		PWS	was			Was	sollten sie ?	verschwinden – was kümmert es sie ?Was sollten sie ?Millionen Sphären rollen über den Häuptern der	9147	0	104263-Th_mmel__Moritz_August_von.tsv
PWS	PWS		PWS	was			Was	geschieht aber ?	Verletzung zum Beweisthum seiner Unschuld getragen .Was geschieht aber ?Zu Wittenberg in Sachsen ist einmal eine	4008	0	4-Abraham_a_Sancta_Clara.tsv
PWS	PWS		PWS	was		Nur eine Art beklommener Scheu kam jetzt doch über den jungen Fürsten , eine gewisse Verlegenheit , ja wenn er ganz aufrichtig sagen wollte , was ihm geschah , so mußte er eingestehen , ein gewisses Mistrauen regte sich in ihm , und ein wenig auf dem Stuhle rückend , gleichsam als wollte er abbrechen , sagte er :	Was	ist ?	über des Mannes ganzer Erscheinung lag .Nur eine Art beklommener Scheu kam jetzt doch über den jungen Fürsten , eine gewisse Verlegenheit , ja wenn er ganz aufrichtig sagen wollte , was ihm geschah , so mußte er eingestehen , ein gewisses Mistrauen regte sich in ihm , und ein wenig auf dem Stuhle rückend , gleichsam als wollte er abbrechen , sagte er : Was ist ?Er hatte also einen werdenden Autor vor	30348	59	56355-Gutzkow__Karl.tsv
PWS	PWS		PWS	was			Was	trägst du in diesem Korbe ?	» Rede !Was trägst du in diesem Korbe ?Die Zofe , zum Tode erschrocken ,	19	0	94173-Sch_ppner__Alexander.tsv
PWS	PWS		PWS	was		Darum hab' ich mir gedacht , ob du uns nicht die Liebe erweisen und mit Dorsday reden könntest ‹ –	Was	?	schon früher einmal dem Papa beigesprungen .Darum hab' ich mir gedacht , ob du uns nicht die Liebe erweisen und mit Dorsday reden könntest ‹ – Was ?‹ – › Im Residenzklub hat Papa	364	20	97230-Schnitzler__Arthur.tsv
PWS	PWS		PIS	was		Quid est – Es verdroß mich , daß ich in einem fremden Lande , wo ich mein Geld und , im Fall der Noth , mein ἀνέχου καὶ ἀπέχου auszugeben Willens war , und wo es keinen	was	anging , ob ich als Edelmann oder als Bürger äß' und tränke , durchaus Adel oder Unadel documentiren sollte – und wie ?	Auch bei Erholungen will man Zweck .Quid est – Es verdroß mich , daß ich in einem fremden Lande , wo ich mein Geld und , im Fall der Noth , mein ἀνέχου καὶ ἀπέχου auszugeben Willens war , und wo es keinen was anging , ob ich als Edelmann oder als Bürger äß' und tränke , durchaus Adel oder Unadel documentiren sollte – und wie ?Sonst aber glaub' ich , je weiter	5513	37	62295-Hippel__Theodor_Gottlieb_von.tsv
PWS	PRELS		PWS	was		Es war doch alles mögliche ,	was	diese Lena erreicht hatte , und eine gute Portion Fleiss und Tüchtigkeit gehörte bei allem Glück dazu , es so weit zu bringen .	wenigen Monaten in Berlin schon gelernt .Es war doch alles mögliche , was diese Lena erreicht hatte , und eine gute Portion Fleiss und Tüchtigkeit gehörte bei allem Glück dazu , es so weit zu bringen .« wandte Lotte schüchtern ein .	1754	6	23055-Duncker__Dora.tsv
PWS	PRELS		PWS	was		So kam er mit würdigem Anstande herbei , der Herzogin die Hand zu küssen , die indessen ihren Gemahl , den Herzog , hatte rufen lassen , dem sie , während Don Quixote näher kam , seine Abgesandtschaft erzählte ; und da beide den ersten Teil dieser Historie gelesen hatten und daraus die wunderliche Sinnesart des Don Quixote kannten , so erwarteten sie ihn mit dem größten Vergnügen und der heftigsten Neugier , indem sie sich vornahmen , seiner Laune zu folgen und in allem ,	was	er sagen würde , mit ihm übereinzustimmen , ihn , solange er bei ihnen bliebe , ganz wie einen irrenden Ritter zu behandeln , mit allen jenen Zeremonien , die in den Ritterbüchern gebräuchlich sind , welche sie gelesen hatten und überdies sehr liebten .	und Höflichkeit bis zum Himmel erhob .So kam er mit würdigem Anstande herbei , der Herzogin die Hand zu küssen , die indessen ihren Gemahl , den Herzog , hatte rufen lassen , dem sie , während Don Quixote näher kam , seine Abgesandtschaft erzählte ; und da beide den ersten Teil dieser Historie gelesen hatten und daraus die wunderliche Sinnesart des Don Quixote kannten , so erwarteten sie ihn mit dem größten Vergnügen und der heftigsten Neugier , indem sie sich vornahmen , seiner Laune zu folgen und in allem , was er sagen würde , mit ihm übereinzustimmen , ihn , solange er bei ihnen bliebe , ganz wie einen irrenden Ritter zu behandeln , mit allen jenen Zeremonien , die in den Ritterbüchern gebräuchlich sind , welche sie gelesen hatten und überdies sehr liebten .« versetzte Don Quixote , » wende	6146	86	17702-Cervantes_Saavedra__Miguel_de.tsv
PWS	PWS		PWS	was		Abermals erfaßte ihn die Verzweiflung , und als er die Via Portuensis , die geradeswegs zu dem Viertel jenseit des Tiber führte , erreicht hatte , kam er erst beim Tore wieder zur Besinnung , wo ihm wiederholt wurde ,	was	er schon vorher von den Flüchtlingen gehört hatte , daß der größte Teil dieser Stadtgegend noch nicht in Flammen stehe , daß sich das Feuer aber schon an mehreren Stellen über den Fluß verbreitet habe .	galt es , Lygia zu retten .Abermals erfaßte ihn die Verzweiflung , und als er die Via Portuensis , die geradeswegs zu dem Viertel jenseit des Tiber führte , erreicht hatte , kam er erst beim Tore wieder zur Besinnung , wo ihm wiederholt wurde , was er schon vorher von den Flüchtlingen gehört hatte , daß der größte Teil dieser Stadtgegend noch nicht in Flammen stehe , daß sich das Feuer aber schon an mehreren Stellen über den Fluß verbreitet habe .Aber diese Gedanken , die aus seinem	10483	40	98460-Sienkiewicz__Henryk.tsv
