DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
TRUNC	TRUNC		TRUNC	an-		Wenn ein Wissen reif ist , Wissenschaft zu werden , so muß notwendig eine Krise entstehen ; denn es wird die Differenz offenbar zwischen denen , die das Einzelne trennen und getrennt darstellen , und solchen , die das Allgemeine im Auge haben und gern das Besondere	an-	und einfügen möchten .	schätzt , als man wert ist .Wenn ein Wissen reif ist , Wissenschaft zu werden , so muß notwendig eine Krise entstehen ; denn es wird die Differenz offenbar zwischen denen , die das Einzelne trennen und getrennt darstellen , und solchen , die das Allgemeine im Auge haben und gern das Besondere an- und einfügen möchten .Die Ohrenbeichte im besten Sinne ist eine	425	47	32559-Goethe__Johann_Wolfgang.tsv
TRUNC	NN		TRUNC	auf-		Sie sagte während des	Auf-	und Niederschreitens : » Ich glaube , wir bleiben in dieser Wohnung .	« ( Alle neigten sich vor .Sie sagte während des Auf- und Niederschreitens : » Ich glaube , wir bleiben in dieser Wohnung .Die Frau ließ sich nicht stören :	345	4	89039-Rilke__Rainer_Maria.tsv
TRUNC	TRUNC		TRUNC	auf-		Ich kenne keinen größern geistigen Tumult – kaum einen süßern – in einem jungen Menschen , als wenn er in der Stube	auf-	und abgeht und den kühnen Entschluß fasset , ein Buch Konzeptpapier zu nehmen und ein Manuskript daraus zu machen – ja man kann darüber disputieren , ob der Konrektor Winckelmann und der Feldherr Hannibal hurtiger die Stube auf- und abliefen , als beide des ebenso kühnen Sinnes wurden , nach Rom zu gehen .	Buch , obwohl ein satirisches 21 .Ich kenne keinen größern geistigen Tumult – kaum einen süßern – in einem jungen Menschen , als wenn er in der Stube auf- und abgeht und den kühnen Entschluß fasset , ein Buch Konzeptpapier zu nehmen und ein Manuskript daraus zu machen – ja man kann darüber disputieren , ob der Konrektor Winckelmann und der Feldherr Hannibal hurtiger die Stube auf- und abliefen , als beide des ebenso kühnen Sinnes wurden , nach Rom zu gehen .Er wußte aber schon voraus , daß	552	22	64892-Jean_Paul.tsv
TRUNC	TRUNC		TRUNC	auf-		Ich kenne keinen größern geistigen Tumult – kaum einen süßern – in einem jungen Menschen , als wenn er in der Stube auf- und abgeht und den kühnen Entschluß fasset , ein Buch Konzeptpapier zu nehmen und ein Manuskript daraus zu machen – ja man kann darüber disputieren , ob der Konrektor Winckelmann und der Feldherr Hannibal hurtiger die Stube	auf-	und abliefen , als beide des ebenso kühnen Sinnes wurden , nach Rom zu gehen .	Buch , obwohl ein satirisches 21 .Ich kenne keinen größern geistigen Tumult – kaum einen süßern – in einem jungen Menschen , als wenn er in der Stube auf- und abgeht und den kühnen Entschluß fasset , ein Buch Konzeptpapier zu nehmen und ein Manuskript daraus zu machen – ja man kann darüber disputieren , ob der Konrektor Winckelmann und der Feldherr Hannibal hurtiger die Stube auf- und abliefen , als beide des ebenso kühnen Sinnes wurden , nach Rom zu gehen .Er wußte aber schon voraus , daß	552	60	64892-Jean_Paul.tsv
TRUNC	TRUNC		TRUNC	bruder-		Sigismund hat ein weiches , gottesfürchtiges Herz ; er liebt es , Alles um sich her zufrieden zu sehen , und beginnt unstreitig bei den Blutsfreunden seiner Huldin , wenn sie vorsichtig einwilligen , ihren	Bruder-	und Oheimsnamen als Schild zu Schutz und Trutz vor die verschwiegne Minne halten , und durch solche Wache den Kaiser beglücken , bis dieser die Geliebte – der Sache ein Ende zu machen – einem reichen Magnaten als Gattin schenkt .	nicht an Ring und Priestersegen bindet ?Sigismund hat ein weiches , gottesfürchtiges Herz ; er liebt es , Alles um sich her zufrieden zu sehen , und beginnt unstreitig bei den Blutsfreunden seiner Huldin , wenn sie vorsichtig einwilligen , ihren Bruder- und Oheimsnamen als Schild zu Schutz und Trutz vor die verschwiegne Minne halten , und durch solche Wache den Kaiser beglücken , bis dieser die Geliebte – der Sache ein Ende zu machen – einem reichen Magnaten als Gattin schenkt .Wie räumt sich denn das ?	8045	35	99030-Spindler__Carl.tsv
TRUNC	TRUNC		TRUNC	buchen-		Die Eindrücke ihrer ersten Jugend , die träumerischen , sehnsuchtsvollen , unbestimmten , großartigen Bilder , welche am Meeresufer , in	Buchen-	und Eichenwäldern , in Herbstnebeln an ihr vorüber gezogen sind , haben ihrer Seele die entsprechende Färbung aufgedrückt , und ihre Phantasie über alles Maß hinaus entwickelt .	meine Seele lobe den Herrn !Die Eindrücke ihrer ersten Jugend , die träumerischen , sehnsuchtsvollen , unbestimmten , großartigen Bilder , welche am Meeresufer , in Buchen- und Eichenwäldern , in Herbstnebeln an ihr vorüber gezogen sind , haben ihrer Seele die entsprechende Färbung aufgedrückt , und ihre Phantasie über alles Maß hinaus entwickelt .Halleluja !	2353	21	57424-Hahn_Hahn__Ida_Gr_fin_von.tsv
TRUNC	TRUNC		TRUNC	bugen-		Word Zwischen Wunsiedel und Redwitz ist ein Bergwald gelegen , der heißt der	Bugen-	oder Butzenreut , das ist ein ächtes rechtes Jagdrevier des , nach dem es heißt , jagenden Waldschrats oder Höllenbutzen , darinnen , wie auch im Zeitelmoos , über den hohen Steinwaldberg über Redwitz und über das ganze Fichtelgebirge , auch über die Hundsbrücke , er gar wild und toll jagt , von seinem Butzenheer begleitet , und mag wohl der Name des Waldes hier nicht von reuten , ausroden , kommen , wie unzählige Ortsnamen dieser Gegend , sondern von reiten , weil der Butz dort reitet als Nachtjäger , Spuk und arger Pötz auf seinem dreibeinigen Roß , von seinen Höllenhunden umklifft und umklafft .	Nachts nicht gar sicher zu reisen .Word Zwischen Wunsiedel und Redwitz ist ein Bergwald gelegen , der heißt der Bugen- oder Butzenreut , das ist ein ächtes rechtes Jagdrevier des , nach dem es heißt , jagenden Waldschrats oder Höllenbutzen , darinnen , wie auch im Zeitelmoos , über den hohen Steinwaldberg über Redwitz und über das ganze Fichtelgebirge , auch über die Hundsbrücke , er gar wild und toll jagt , von seinem Butzenheer begleitet , und mag wohl der Name des Waldes hier nicht von reuten , ausroden , kommen , wie unzählige Ortsnamen dieser Gegend , sondern von reiten , weil der Butz dort reitet als Nachtjäger , Spuk und arger Pötz auf seinem dreibeinigen Roß , von seinen Höllenhunden umklifft und umklafft .Word Zwischen Wunsiedel und Redwitz ist ein	0	13	94943-Sch_ppner__Alexander.tsv
TRUNC	TRUNC		TRUNC	drei-		Dann begab er sich in sein Schlafzimmer , wo er meist nicht über sieben Stunden schlief und selbst diese nicht hintereinander weg , weil er wohl während dieser Zeit	drei-	bis viermal aufwachte .	sein Studierzimmer auf sein Arbeitssofa zurück .Dann begab er sich in sein Schlafzimmer , wo er meist nicht über sieben Stunden schlief und selbst diese nicht hintereinander weg , weil er wohl während dieser Zeit drei- bis viermal aufwachte .78. Nach dem Pranzo pflegte er vollständig	20	29	102336-Suetonius_Tranquillus__Gaius.tsv
TRUNC	TRUNC		TRUNC	freund-		Es finden sich in der Natur verborgene	Freund-	und Feindschafften / deren Ursachen uns unbewust wie auch unter den Menschen : daß Falcidia / auff befragen / warumb sie Nicolin nicht liebte / kein andere Ursach einwenden können / als diese / weil sie ihn nicht liebte .	sich über ihn nicht zu erheben .Es finden sich in der Natur verborgene Freund- und Feindschafften / deren Ursachen uns unbewust wie auch unter den Menschen : daß Falcidia / auff befragen / warumb sie Nicolin nicht liebte / kein andere Ursach einwenden können / als diese / weil sie ihn nicht liebte .Ach wann das Frauen Volck also verfähret	2310	7	58090-Harsd_rffer__Georg_Philipp.tsv
TRUNC	TRUNC		TRUNC	helden-		Auch als diese in die Volkssprache überzugehen anfing , begann man von geistlichen Dingen , die auf eine seltsame Weise mit	Helden-	und Ritterfabeln vermengt wurden , übrigens kümmerten weder Papst noch Kaiser 289 sich um die Literatur , als ein Mittel der Aufklärung betrachtet ; die einzige Rechtswissenschaft ausgenommen , die beiden in ihren Anmaßungen unentbehrlich ward .	, waren im großen bald erschöpfet .Auch als diese in die Volkssprache überzugehen anfing , begann man von geistlichen Dingen , die auf eine seltsame Weise mit Helden- und Ritterfabeln vermengt wurden , übrigens kümmerten weder Papst noch Kaiser 289 sich um die Literatur , als ein Mittel der Aufklärung betrachtet ; die einzige Rechtswissenschaft ausgenommen , die beiden in ihren Anmaßungen unentbehrlich ward .Selbst die Geschichte ward nicht für den	865	21	61281-Herder__Johann_Gottfried.tsv
TRUNC	TRUNC		TRUNC	hexen-		Eines Morgens sollte Knaggen Harm , der Knecht des Zellers Knagge , die Pferde einholen , fand sie aber nahe beim	Hexen-	oder Lünzhopsberge , der zwischen beiden Eschen liegt , weiden und sah die Hexen auf dem Berge tanzen .	und ging auf die Pferde zu .Word Vor etwa vier Menschenaltern lagen die Esche von Drantum und Garthe , Ksp .Word Vor etwa vier Menschenaltern lagen die	2	21	100948-Strackerjan__Ludwig.tsv
TRUNC	TRUNC		TRUNC	kaffee-		Da war die Kirche mit ihrer dämmerigen Halle , wo sichs so herrlich träumen ließ , oder der alte	Kaffee-	und Zuckerladen an der nächsten Ecke , wo man gegen geringes Entgelt auch Bücher zu leihen bekam .	das sie sprach , mehr gefesselt .Da war die Kirche mit ihrer dämmerigen Halle , wo sichs so herrlich träumen ließ , oder der alte Kaffee- und Zuckerladen an der nächsten Ecke , wo man gegen geringes Entgelt auch Bücher zu leihen bekam .Sie konnte nicht recht klug aus ihm	3814	19	64860-Janitschek__Maria.tsv
TRUNC	TRUNC		TRUNC	kampf-		Auch befördert jede Art von Uniform einen militärischen Sinn sowie ein knapperes , strackeres Betragen , und alle Knaben sind ja ohnehin geborne Soldaten ; man sehe nur ihre	Kampf-	und Streitspiele , ihr Erstürmen und Erklettern .	Kinder in Uniform zu gehen anhalte .Auch befördert jede Art von Uniform einen militärischen Sinn sowie ein knapperes , strackeres Betragen , und alle Knaben sind ja ohnehin geborne Soldaten ; man sehe nur ihre Kampf- und Streitspiele , ihr Erstürmen und Erklettern .« sagte der Gehülfe und wollte weiter	1325	29	32553-Goethe__Johann_Wolfgang.tsv
TRUNC	TRUNC		TRUNC	leibes-		Die meisten Europäer sind heut zu Tage , durch ihre Kochkunst , Selbstmörder ,	Leibes-	und zugleich Seelenmörder .	abgestumpften Nerven im krankhaften Leibe entwickeln !Die meisten Europäer sind heut zu Tage , durch ihre Kochkunst , Selbstmörder , Leibes- und zugleich Seelenmörder .Ich besuchte sie wöchentlich nur ein- oder	625	14	112144-Zschokke__Heinrich.tsv
TRUNC	NE		TRUNC	manns-		Nach der Richtschnur derselben erfand ich vor die Menschen eine Art zu leben , die mehr englisch als menschlich sein könnte , wann sich nämlich eine Gesellschaft zusammentäte , beides , von verehlichten und ledigen , so	Manns-	als Weibspersonen , die auf Manier der Wiedertäufer allein sich beflissen , unter einem verständigen Vorsteher durch ihrer Hände Arbeit ihren leiblichen Unterhalt zu gewinnen und sich die übrige Zeiten mit dem Lob und Dienst Gottes und ihrer Seelen Seligkeit zu bemühen .	, welche mich dann trefflich delektiereten .Nach der Richtschnur derselben erfand ich vor die Menschen eine Art zu leben , die mehr englisch als menschlich sein könnte , wann sich nämlich eine Gesellschaft zusammentäte , beides , von verehlichten und ledigen , so Manns- als Weibspersonen , die auf Manier der Wiedertäufer allein sich beflissen , unter einem verständigen Vorsteher durch ihrer Hände Arbeit ihren leiblichen Unterhalt zu gewinnen und sich die übrige Zeiten mit dem Lob und Dienst Gottes und ihrer Seelen Seligkeit zu bemühen .Das , was die Grammatici und Schulfüchse	4479	37	50637-Grimmelshausen__Hans_Jakob_Christoffel_von.tsv
TRUNC	TRUNC		TRUNC	roggen-		Der Sieg des Spargelbeets über das	Roggen-	und Kartoffelfeld !	ein neues System immer neu anzupassen .Der Sieg des Spargelbeets über das Roggen- und Kartoffelfeld !Beständige Meliorationen , auch Ankäufe , steigerten	2095	6	26867-Fontane__Theodor.tsv
TRUNC	TRUNC		TRUNC	roman-		Daher sind sogenannte Charaktere – wie etwa die vorkömmlichen bei Goethe , oder gar bei Shakespeare , ja wie nur bei Lessing – gerade das , wodurch sich die neueren	Roman-	und Drama-Dichter am wenigsten charakterisieren , sondern es ist ihnen genug – sobald nur sonst gehörige Romantik da ist – , wenn die Charaktere bloß so halb und halb etwa etwas vorstellen , im ganzen aber nichts bedeuten .	zum wahren Vorteile der Dichter geändert .Daher sind sogenannte Charaktere – wie etwa die vorkömmlichen bei Goethe , oder gar bei Shakespeare , ja wie nur bei Lessing – gerade das , wodurch sich die neueren Roman- und Drama-Dichter am wenigsten charakterisieren , sondern es ist ihnen genug – sobald nur sonst gehörige Romantik da ist – , wenn die Charaktere bloß so halb und halb etwa etwas vorstellen , im ganzen aber nichts bedeuten .Neben ihm lagen zwei spitze Steinchen ,	1459	30	64889-Jean_Paul.tsv
TRUNC	TRUNC		TRUNC	ruhms-		Der Rath / welcher wohl wuste : daß die Römer mit den Deutschen nicht	Ruhms-	sondern ihrer Wohlfahrt halber zu fechten hätten / erwieß den Gesandten grosse Ehre / zeigte ihnen alle denckwürdige Sachen der Stadt / und unter andern die unschätzbaren Bilder und Gemälde / welche Mu & ius aus der eingeäscherten Stadt Corinth nach Rom bracht hatte ; unter welchen ein auff einen alten Stab sich lehnender Hirte überaus hochgehalten ward .	er vorher seinen Anspruch ihnen eroffnen .Der Rath / welcher wohl wuste : daß die Römer mit den Deutschen nicht Ruhms- sondern ihrer Wohlfahrt halber zu fechten hätten / erwieß den Gesandten grosse Ehre / zeigte ihnen alle denckwürdige Sachen der Stadt / und unter andern die unschätzbaren Bilder und Gemälde / welche Mu & ius aus der eingeäscherten Stadt Corinth nach Rom bracht hatte ; unter welchen ein auff einen alten Stab sich lehnender Hirte überaus hochgehalten ward .Dieser Vortrag und Erbieten bewegte die Deutschen	1754	14	78039-Lohenstein__Daniel_Casper_von.tsv
TRUNC	TRUNC		TRUNC	scheide-		– und ich soll mir hier eigenhändig meinen	Scheide-	und Urias-Brief auszeichnen ?	» Auch das soll mich treffen ?– und ich soll mir hier eigenhändig meinen Scheide- und Urias-Brief auszeichnen ?Er konnt' es recht schicklich bei der	3598	8	64892-Jean_Paul.tsv
TRUNC	ADJD		NE	schreck-		« » Das wäre ja	schreck–	« , fing Frau von Bredow an , aber sie verschluckte das Wort wieder und faltete ihre Hände zu einem stillen Gebet .	ein unserer Wünsche , unserer Gedanken .« » Das wäre ja schreck– « , fing Frau von Bredow an , aber sie verschluckte das Wort wieder und faltete ihre Hände zu einem stillen Gebet .Versteht mich , alles nur im Traum	5310	5	965-Alexis__Willibald.tsv
TRUNC	NN		NN	sich-		Die Schönheit , sei sie seelisch oder leiblich , erheischt wie jedes Ding auf Erden zunächst ein ernstes	Sich-	damit-Beschäftigen .	einreden , irgendeine Stümperei sei gut .Die Schönheit , sei sie seelisch oder leiblich , erheischt wie jedes Ding auf Erden zunächst ein ernstes Sich- damit-Beschäftigen .« Aus alledem folgt naturgemäß , daß	4142	18	27165-Gautier__Th_ophile.tsv
TRUNC	TRUNC		TRUNC	sprach-		« Unser Meister mußte bei seinem sauren Wein der	Sprach-	und Tanzkunst verschiedene Kränze aushängen .	ich mehr Zähne und mehr Magen .« Unser Meister mußte bei seinem sauren Wein der Sprach- und Tanzkunst verschiedene Kränze aushängen .Diese Methode erforderte Fleiß und Häuslichkeit ,	7628	9	62295-Hippel__Theodor_Gottlieb_von.tsv
TRUNC	TRUNC		TRUNC	zeter-		Ich hätte sogleich in Ohnmacht sincken mögen , da ich durch mein Gucke-Loch diese jämmerliche Mord-Geschichte mit ansahe , allein der Printzeßin erstaunliches	Zeter-	und Mord-Geschrey trieb nicht allein diese zurück , sondern lockte auch etliche Mann von der Wache herbey , welche sogleich die Thür eintraten , um zu sehen , was vorgienge .	Altvater seinem Enckel Nicolao vorziehen würde .Ich hätte sogleich in Ohnmacht sincken mögen , da ich durch mein Gucke-Loch diese jämmerliche Mord-Geschichte mit ansahe , allein der Printzeßin erstaunliches Zeter- und Mord-Geschrey trieb nicht allein diese zurück , sondern lockte auch etliche Mann von der Wache herbey , welche sogleich die Thür eintraten , um zu sehen , was vorgienge .Allein ich lage lange biß nach Mitternacht	7028	23	97159-Schnabel__Johann_Gottfried.tsv
TRUNC	TRUNC		TRUNC	zornes-		Wie wenn bei einem fröhlichen Mahle plötzlich ein fremder Eindringling durch eine ungeheure Beleidigung der ganzen Gesellschaft den Fehdehandschuh hinwirft – anfangs ist alles lautlos und gleichsam versteinert , mit einem Male aber springt jeder auf und läßt das verletzte Gefühl in Blick , Gebärde , Drohung ,	Zornes-	und Racheworten ausschäumen , so wirkte hier die unerwartete Erscheinung des fremden Zeugen anfangs nur ein atemloses Staunen und die Bauern sahen ihm , ohne ein Wort zu sagen , nach , bis er im Forste verschwunden war .	was allenthalben unter ähnlichen Umständen geschieht .Wie wenn bei einem fröhlichen Mahle plötzlich ein fremder Eindringling durch eine ungeheure Beleidigung der ganzen Gesellschaft den Fehdehandschuh hinwirft – anfangs ist alles lautlos und gleichsam versteinert , mit einem Male aber springt jeder auf und läßt das verletzte Gefühl in Blick , Gebärde , Drohung , Zornes- und Racheworten ausschäumen , so wirkte hier die unerwartete Erscheinung des fremden Zeugen anfangs nur ein atemloses Staunen und die Bauern sahen ihm , ohne ein Wort zu sagen , nach , bis er im Forste verschwunden war .Keiner kannte den erwählten Schiedsrichter ; das	8299	48	64595-Immermann__Karl.tsv
TRUNC	TRUNC		TRUNC	zwei-		Ja , jenes Cap , welches	zwei-	bis dreihundert Fuß hoch sein mag , muß das Steilufer überragen .	zu dürfen , setzte Doniphan hinzu .Ja , jenes Cap , welches zwei- bis dreihundert Fuß hoch sein mag , muß das Steilufer überragen .– Es ist ein Guanako ( eine	3638	6	107519-Verne__Jules.tsv
