DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
PDS	PDS		PDS	die			Das	wäre gleich eine Dummheit !	sich Julian auf das sorgfältigste an .Das wäre gleich eine Dummheit !Wieder in Paris , legte Julian dem	571	0	99250-Stendhal.tsv
PDS	PDS		PDS	die			Das	ist Gaga , sagte Fauchery einfach .	fügte Prullière hinzu .Das ist Gaga , sagte Fauchery einfach .Auf die Armee !	5264	0	112135-Zola___mile.tsv
PDS	PDS		PDS	die		«	Das	ist die Amerikomanie des Herrn von Eckstein .	gut sein ; ländlich , sittlich .« Das ist die Amerikomanie des Herrn von Eckstein .Wem es in Algier nicht gefällt ,	1482	1	6286-B_rne__Ludwig.tsv
PDS	PDS		PDS	die		« »	Das	weiß ich nicht , « erwiderte Uriel .	ganz in der Ordnung finden werden .« » Das weiß ich nicht , « erwiderte Uriel .» Liebe Schwägerin , « erwiderte der	8399	2	57425-Hahn_Hahn__Ida_Gr_fin_von.tsv
PDS	PDS		PDS	die		Wenn du	das	nicht anerkennst , so lasse ich dich einfach sitzen !	ja , Wiegenlied – – – !Wenn du das nicht anerkennst , so lasse ich dich einfach sitzen !« » Warum ?	9231	2	79315-May__Karl.tsv
PDS	PDS		PDS	die		Uebrigens verrathen sich die Fortschritte des Feuers äußerlich noch auf keine Weise , und	das	ist ein gutes Zeichen .	Herbey , er könnte uns hören !Uebrigens verrathen sich die Fortschritte des Feuers äußerlich noch auf keine Weise , und das ist ein gutes Zeichen .Seit wann hat mein Sohn , haben	714	14	107498-Verne__Jules.tsv
PDS	ART		PDS	die		Was nicht einzelnes Atom ist das um sich selber dreht , sondern lebendige Kraft die in sich gebunden und geschlossen nach außen strahlt ,	das	bildet und schließt das durchdringbare nähere oder fernere Wesen sich ein , verselbt es und verinnert es , und da diese Kraft überall einfach und ganz ist , so wird , wie weit sie auch reicht , einfach und ganz was ihr sich eint : nur der Umfang kann wachsen , nicht die Rundheit und die Bindung .	keine Mache , sondern ein Gesetz .Was nicht einzelnes Atom ist das um sich selber dreht , sondern lebendige Kraft die in sich gebunden und geschlossen nach außen strahlt , das bildet und schließt das durchdringbare nähere oder fernere Wesen sich ein , verselbt es und verinnert es , und da diese Kraft überall einfach und ganz ist , so wird , wie weit sie auch reicht , einfach und ganz was ihr sich eint : nur der Umfang kann wachsen , nicht die Rundheit und die Bindung .Die Gotteskunde ist aufgehendes und übergehendes Menschtum	276	24	56347-Gundolf__Friedrich.tsv
PDS	ART		ART	die		Melo aber eilte mit seinen vier tausend Reitern / welches alles Sicambrische und Tencterische Ritter oder Edelleute waren / dem härtesten Stande zu ; wo der Graf von Oldenburg mehr keinen Athem / wenig Blut / ja nicht einen unverwundeten Soldaten / gleichwohl aber noch	das	Hertze hatte zwölff tausend Römern durch Hülffe des vortheilhaften Ortes die Stirne zu bieten .	/ und Hoffnung zu überwinden hätten .Melo aber eilte mit seinen vier tausend Reitern / welches alles Sicambrische und Tencterische Ritter oder Edelleute waren / dem härtesten Stande zu ; wo der Graf von Oldenburg mehr keinen Athem / wenig Blut / ja nicht einen unverwundeten Soldaten / gleichwohl aber noch das Hertze hatte zwölff tausend Römern durch Hülffe des vortheilhaften Ortes die Stirne zu bieten .Und ich werde mit iedem vergnügt seyn	681	45	78039-Lohenstein__Daniel_Casper_von.tsv
PDS	ART		PDS	die		Fräulein Ännchen führte einen tüchtigen Spaten ,	das	mußte ihr der hämische Neid lassen .	Obstbau ging ihr aber der Gemüsegarten .Fräulein Ännchen führte einen tüchtigen Spaten , das mußte ihr der hämische Neid lassen .Sie liebte Gänse und Enten und Hühner	705	7	62357-Hoffmann__E__T__A_.tsv
PDS	PDS		PDS	die		Semilasso erzählt in seiner Autophysiologie , daß er reichlich bei der Hälfte seines Lebens angelangt ;	das	bin ich auch .	der grünen Perruche nicht wetteifern können ?Semilasso erzählt in seiner Autophysiologie , daß er reichlich bei der Hälfte seines Lebens angelangt ; das bin ich auch .Aber grüner Lack und weißes Tuch sind	1055	16	6290-B_rne__Ludwig.tsv
PDS	PDS		PDS	die		Am Rütsch bei Camern sieht man oft einen Reiter mit drei schwarzen Pferden , der ruft dem Begegnenden zu : » set di up « ;	das	thut er dreimal , leistet dann derselbe der Aufforderung keine Folge , so reitet er weiter und man sieht große gewaltige Funken unter den Hufen der Pferde hervorsprühen .	dahin geht 's im sausenden Fluge .Word Mündlich aus Camern .Word Mündlich aus Camern .	1	26	69391-Kuhn__Adalbert.tsv
PDS	PDS		PDS	die		Da schon des Begräbnisses erwähnt war , so hat der Selige , dacht' ich , mit seinem und für die Dorfarmen gemeint ; denn in Wahrheit ,	das	waren bei seinen Umständen seine nächsten Anverwandten .	, ich sollte nur Alexander werden .Da schon des Begräbnisses erwähnt war , so hat der Selige , dacht' ich , mit seinem und für die Dorfarmen gemeint ; denn in Wahrheit , das waren bei seinen Umständen seine nächsten Anverwandten .– Die Frau Pastorin haben Leute ,	19126	27	62295-Hippel__Theodor_Gottlieb_von.tsv
PDS	PDS		PDS	die		» Wie kannst du	das	nur essen ?	duldete , daß man ihn liebte .» Wie kannst du das nur essen ?Niels namentlich war schnell bei der Hand	1662	4	64746-Jacobsen__Jens_Peter.tsv
PDS	PDS		PDS	die		Mr. Bartlett ,	das	ist nämlich der Aufseher , soll immer strenger gewesen sein als ein Anderer , aber erst als Mr. Morton seit den letzten Monaten so kränklich war und nur selten hinkam , ist er so schlimm geworden , daß es jeden Tag blutige Rücken gegeben hat .	zu , und gehörte Mr. Morton .Mr. Bartlett , das ist nämlich der Aufseher , soll immer strenger gewesen sein als ein Anderer , aber erst als Mr. Morton seit den letzten Monaten so kränklich war und nur selten hinkam , ist er so schlimm geworden , daß es jeden Tag blutige Rücken gegeben hat .« erwiderte er , augenscheinlich etwas verwundert	3042	3	89978-Ruppius__Otto.tsv
PDS	ART		PDS	die		Davon rissen die Reuter aus und ließen nicht allein	das	eroberte Rindviehe zurück , sondern warfen auch Sack und Pack von sich , schlugen also ihre ganze Beute in Wind , damit sie nicht selbst den Bauren zur Beute würden ; doch kamen ihnen teils in die Hände , mit denen sie leiden übel umgiengen .	man in ein Wespennest gestochen hätte .Davon rissen die Reuter aus und ließen nicht allein das eroberte Rindviehe zurück , sondern warfen auch Sack und Pack von sich , schlugen also ihre ganze Beute in Wind , damit sie nicht selbst den Bauren zur Beute würden ; doch kamen ihnen teils in die Hände , mit denen sie leiden übel umgiengen .« N. N .	2312	9	50637-Grimmelshausen__Hans_Jakob_Christoffel_von.tsv
PDS	PDS		PDS	die		Als er	das	gesagt hatte , reichte er plötzlich stumm und lächelnd der Schwester die Hand .	aus ; seine Augen waren geschlossen .Als er das gesagt hatte , reichte er plötzlich stumm und lächelnd der Schwester die Hand .Er nahm seine Mütze ab , legte	9379	2	22509-Dostoevskij__F_dor_Michajlovi_.tsv
PDS	ART		NE	die		» Nein « , erwiderte er , »	der	ist schon gestern abend nach Lemberg fort .	Also auf Wiedersehen am 1. März .» Nein « , erwiderte er , » der ist schon gestern abend nach Lemberg fort .Was Geld betrifft , hast Du keins	7256	8	26919-Franzos__Karl_Emil.tsv
PDS	PDS		PDS	die		Wer mit dem Künstler wegen des Kostüms rechten wollte ,	der	dürfte sich nur sagen , es habe eine Geschichte des sechzehnten Jahrhunderts gemalt werden sollen , und so ist alles abgetan .	sind , gegen eine gewisse Miete .Wer mit dem Künstler wegen des Kostüms rechten wollte , der dürfte sich nur sagen , es habe eine Geschichte des sechzehnten Jahrhunderts gemalt werden sollen , und so ist alles abgetan .Übrigens hat Venedig nichts zu besorgen ;	4513	10	32620-Goethe__Johann_Wolfgang.tsv
PDS	PDS		PDS	die		Darnach machte er das Loch zu und ging weiter , da kam er in das Zimmer , wo die Prinzessin lag und schlief und	die	war gar schön , so daß er still stand und sie betrachtete und den Athem anhielt .	duns 1 ihn dann vollends herein .Darnach machte er das Loch zu und ging weiter , da kam er in das Zimmer , wo die Prinzessin lag und schlief und die war gar schön , so daß er still stand und sie betrachtete und den Athem anhielt .Da nahm er den Säbel von der	68	24	50771-Grimm__Jacob_und_Wilhelm.tsv
