DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
PTKANT	NN		PTKANT	danke			Danke	Gott , wenn du es dir je verzeihen kannst – ich kann es mir nicht vergeben .	siehst du , wohin es führt .Danke Gott , wenn du es dir je verzeihen kannst – ich kann es mir nicht vergeben .Immer und immer wieder habe ich es	944	0	twain_skizbuch_skizbuch.tsv
PTKANT	NE		PTKANT	danke		»	Danke	!	es ohne Aufenthalt leer wie Wasser .» Danke !Der Maler sah lange in das Gesicht	9008	1	roth_radetzky_radetzky.tsv
PTKANT	NE		ADV	gewiß		–	Gewiß	.	und ging es mit ihnen durch .– Gewiß .hieß er lernen , doch auch hierin	670	1	xenophon_erinneru_erinneru.tsv
PTKANT	NE		NN	ja		« »	Ja	.	« » Allah !« » Ja .« » Allerdings .	3243	2	may_bagdad_0inhalt.tsv
PTKANT	NE		NN	ja		»	Ja	, jetzt geht 's doch nicht mehr !	der nördlichen Ausläufer des Libanon sichtbar .» Ja , jetzt geht 's doch nicht mehr !Sie drückten sich die Hand und suchten	880	1	lindaup_sidon_sidon.tsv
PTKANT	NN		NN	ja		»	Ja	, ja « , machte der Greis , seine Schätze überblickend , » heute haben wir wieder reich geerntet .	ihm nach und nach auch gelang .» Ja , ja « , machte der Greis , seine Schätze überblickend , » heute haben wir wieder reich geerntet .Das Marieli aber hatte die Wintergünschen seiner	1174	1	lienert_euland_euland.tsv
PTKANT	PTKANT		NN	ja		« »	Ja	, aber eine junge Dame – ganz einsam – und nun soll ich ... « » Hoho !	Ich weiß alles .« » Ja , aber eine junge Dame – ganz einsam – und nun soll ich ... « » Hoho !Eine nette Komödie !	2683	2	kraftr_nobody1_nobody1.tsv
PTKANT	NN		ADV	ja			Ja	damals – Morgen , wenn ich erwache , erster Feiertag , spitzenfrische Morgenröte und draußen Kinder , die stolz und neidesfroh die Vorzüge ihrer Puppen spazieren führen und minderbeglückten , weniger bedachten Gespielinnen gegenüber preisen .	Und ein purpurnes Laken von Disteln .Ja damals – Morgen , wenn ich erwache , erster Feiertag , spitzenfrische Morgenröte und draußen Kinder , die stolz und neidesfroh die Vorzüge ihrer Puppen spazieren führen und minderbeglückten , weniger bedachten Gespielinnen gegenüber preisen .Dummheit , erhabene Göttin , Unsere Patronin	11	0	hille_ichbin_ichbin.tsv
PTKANT	NE		NN	ja		« »	Ja	.	Oder hast kein Herz ?« » Ja .« » So geh doch mal hinein	8401	2	may_wegglue3_wegglue3.tsv
PTKANT	NE		NN	ja		»	Ja	, soll denn ich , der ich mir keinen Kuß entgehen lasse , ganz leer ausgehen ?	und es herrschte ein scharfer Frost .» Ja , soll denn ich , der ich mir keinen Kuß entgehen lasse , ganz leer ausgehen ?« Ich hätte mich prügeln können .	1911	1	stevenso_catriona_catriona.tsv
