DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
PWAT	PWAT		PWAT	welch		Wenn doch , in	welch	einer Bedrängnis ich mich dann wiederfände !	und damit hinter mir zu lassen .Wenn doch , in welch einer Bedrängnis ich mich dann wiederfände !Mein liebster Onkel , » Sie dachten	414	4	doyle_beryll_beryll.tsv
PWAT	VVFIN		PWAT	welch		Welch eine Begabung ,	welch	ein Blick , welch kräftige Hand !	tatkräftig und klug erwiesen wie Ernst .Welch eine Begabung , welch ein Blick , welch kräftige Hand !Er hatte am Vormittag einen Brief seiner	4882	4	zola_mutterer_mutterer.tsv
PWAT	PIAT		PWAT	welch		Welch eine Begabung , welch ein Blick ,	welch	kräftige Hand !	tatkräftig und klug erwiesen wie Ernst .Welch eine Begabung , welch ein Blick , welch kräftige Hand !Er hatte am Vormittag einen Brief seiner	4882	8	zola_mutterer_mutterer.tsv
PWAT	PWAT		PWAT	welche			Welche	Frömmigkeit , Majestät , habe ich hier gefunden !	Jahrhunderte gedüngte Brache voll unermeßlicher Kraft .Welche Frömmigkeit , Majestät , habe ich hier gefunden !Sie sind dem steinigen Felde vergleichbar ,	5138	0	spielhag_inreih2_inreih2.tsv
PWAT	PWAT		PWAT	welche		Außer meinen Studien beschäftigte mich eigentlich nur der Gedanke an die Möglichkeit , wie ich mich als Student durchbringen und	welche	Mittel ich erfinden würde , die unentbehrlichsten Zuschüsse aufzutreiben , wobei ich freilich zunächst auf meinen ausdauernden Willen und auf die Fähigkeit baute , mir durch Unterricht in guten Familien etwas zu erwerben .	Eifer und Ehrgeiz frische Nahrung gab .Außer meinen Studien beschäftigte mich eigentlich nur der Gedanke an die Möglichkeit , wie ich mich als Student durchbringen und welche Mittel ich erfinden würde , die unentbehrlichsten Zuschüsse aufzutreiben , wobei ich freilich zunächst auf meinen ausdauernden Willen und auf die Fähigkeit baute , mir durch Unterricht in guten Familien etwas zu erwerben .Wie müssige Bettler an manchen Orten gern	4277	20	holtei_schwarzw_schwarzw.tsv
PWAT	PWAT		PWAT	welche		Ihr Anzug bestand in einem altmodischen Cattun-Ueberrock und gekräuselten Busenstreifen von demselben Stoff , mit sehr kurzer Taille ; vor sich hatte sie feine Damenwäsche , der sie mit einem kleinen zierlichen Bügeleisen die letzte Vollendung gab ; zu ihrer Linken war eine Näherin , der die fehlerhaften Stücke hingereicht wurden , und	welche	Knöpfe und Bändel hinnähen mußte .	ihm von allen Seiten gespendet wurden .Ihr Anzug bestand in einem altmodischen Cattun-Ueberrock und gekräuselten Busenstreifen von demselben Stoff , mit sehr kurzer Taille ; vor sich hatte sie feine Damenwäsche , der sie mit einem kleinen zierlichen Bügeleisen die letzte Vollendung gab ; zu ihrer Linken war eine Näherin , der die fehlerhaften Stücke hingereicht wurden , und welche Knöpfe und Bändel hinnähen mußte .Bald krähte er wie ein Hahn und	1069	53	hacklaen_namenlo1_namenlo1.tsv
PWAT	PWAT		PRELS	welche		Es mischten sich in dasselbe nicht nur Soldaten zu Fuß und zu Roß , sondern auch zahllose Lastwagen , Karren und Elefanten , die Caracalla besonders schätzte , weil der große Alexander diese Tiere geliebt , Lastpferde , Maultiere und Esel ,	welche	Ballen , Kisten , Zelte , Lager und Küchengeräte trugen .	nannte , die an ihnen vorüberzogen .Es mischten sich in dasselbe nicht nur Soldaten zu Fuß und zu Roß , sondern auch zahllose Lastwagen , Karren und Elefanten , die Caracalla besonders schätzte , weil der große Alexander diese Tiere geliebt , Lastpferde , Maultiere und Esel , welche Ballen , Kisten , Zelte , Lager und Küchengeräte trugen .« Das alles fand indes bei Melissa	6884	42	ebers_aspera_aspera.tsv
PWAT	PWAT		PWAT	welche		« » Und wenn einmal die Zeit kommt , wie es eines Tages ja geschehen muß – ich wundere mich nur , daß sie nicht schon längst gekommen ist , aber Grace muß es ja am besten wissen , denn sie hat immer recht – , wo sie eines Freundes bedarf , um ihm das ganze Herz auszuschütten , der ihr ein Teil von dem sein soll , was sie uns gewesen ist , dann , Marion , dann wollen wir beweisen ,	welche	Wonne es für uns ist , zu wissen , daß unsere liebe gute Schwester liebt und wieder geliebt wird , wie sie es verdient .	» Folge ihr !« » Und wenn einmal die Zeit kommt , wie es eines Tages ja geschehen muß – ich wundere mich nur , daß sie nicht schon längst gekommen ist , aber Grace muß es ja am besten wissen , denn sie hat immer recht – , wo sie eines Freundes bedarf , um ihm das ganze Herz auszuschütten , der ihr ein Teil von dem sein soll , was sie uns gewesen ist , dann , Marion , dann wollen wir beweisen , welche Wonne es für uns ist , zu wissen , daß unsere liebe gute Schwester liebt und wieder geliebt wird , wie sie es verdient .Er warf dann noch einen Blick auf	3564	83	dickens_3weihnac_3weihnac.tsv
PWAT	PWAT		PWAT	welchem		» Du weißt , Gewiera , in	welchem	Ansehen Reb Nochem bei allen gestanden hat , wie sie von weit und breit gekommen sind , ihn zu sehen , zu hören , sich von ihm segnen zu lassen und wie sein Segen angegangen ist und jedes seiner Worte hat seine Ehre gemehrt .	Ein hastiger Griff nach dem Briefkuvert .» Du weißt , Gewiera , in welchem Ansehen Reb Nochem bei allen gestanden hat , wie sie von weit und breit gekommen sind , ihn zu sehen , zu hören , sich von ihm segnen zu lassen und wie sein Segen angegangen ist und jedes seiner Worte hat seine Ehre gemehrt .Wann war es ?	1423	7	pappenhe_erzaehlg_erzaehlg.tsv
PWAT	PWAT		PWAT	welchem		zwar erscheint jetzt das goth. markreitus I Tim. 2 , 9 nach μαργαρίτης und mit lautverschiebung gebildet ,	welchem	ahd. marchrîz zu entsprechen hätte .	quidem inventores ejus aliud quam margaritae .zwar erscheint jetzt das goth. markreitus I Tim. 2 , 9 nach μαργαρίτης und mit lautverschiebung gebildet , welchem ahd. marchrîz zu entsprechen hätte .unserm alterthum galt sie für einen im	2814	18	grimm_demyth_demyth.tsv
