DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
PWS	PWS		PWS	was			Was	tun die Menschen mit den nun freien Händen ?	Schuldig blieben alle .Was tun die Menschen mit den nun freien Händen ?Er erbte die Sünde samt der Dummheit	10731	0	weisse_letham_letham.tsv
PWS	PWS		PWS	was		»	Was	willst du ?	« schrie Nathan vom Wagen herunter .» Was willst du ?« » Ist das der Dank dafür	898	1	wichert_wilddieb_wilddieb.tsv
PWS	PWS		PWS	was			Was	ist " obstinat " ?	sie gegenwärtig noch mehr als sonst .Was ist " obstinat " ?– Begabte Menschen , die aber träge	644	0	nietzsch_wanderer_wanderer.tsv
PWS	PWS		PWS	was		« »	Was	willst Du ?	daher ist er nicht Militär geworden .« » Was willst Du ?Er that es vor Angst .	3234	2	may_ulan02_ulan02.tsv
PWS	PWS		PWS	was			Was	wird denn von Euch verlangt ?	so eilig , « sagte Bracy .Was wird denn von Euch verlangt ?» Will er das Pfand nicht annehmen	753	0	scott_ivanhoe_ivanhoe.tsv
PWS	PWS		PWS	was			Was	soll die Frau Gräfin dabei ?	Frau Gräfin seit ihrem Hiersein geht .Was soll die Frau Gräfin dabei ?Ihr Zustand ist bejammernswert .	2241	0	guenthea_heilige2_heilige2.tsv
PWS	PWS		PWS	was			Was	?	den Löwen der Macht zu ringen– ?Was ?Was denn fordert Ihr alle wie aus	9246	0	ibsen_kaiser_kaiser.tsv
PWS	PWS		PWS	was			Was	sagt ihr da , meine edlen Herren ?	der Papst und die Inquisition herrschen .Was sagt ihr da , meine edlen Herren ?« An einem der Pflöcke des Zeltes	7111	0	coster_ulenspie_ulenspie.tsv
PWS	PWS		PWS	was		»	Was	meinst du wohl , großer König : es sei da ein Priester , sei da ein Bürger , sei da ein Diener , der breche in Häuser ein , oder raube fremdes Gut , oder stehle , oder betrüge , oder verführe Ehefrauen ; und wenn deine Leute ihn fassten und dir brächten : › Hier , o König , ist ein Räuber , ein Verbrecher : was du ihm bestimmst , diese Strafe gebiete !	, der Brāhmane , der Akaser .» Was meinst du wohl , großer König : es sei da ein Priester , sei da ein Bürger , sei da ein Diener , der breche in Häuser ein , oder raube fremdes Gut , oder stehle , oder betrüge , oder verführe Ehefrauen ; und wenn deine Leute ihn fassten und dir brächten : › Hier , o König , ist ein Räuber , ein Verbrecher : was du ihm bestimmst , diese Strafe gebiete !‹ Und Pesso , der Sohn des	1876	1	neumannk_buddho2_buddho2.tsv
PWS	PWS		PWS	was			Was	ist Euch , Lord ?	Vermessener !Was ist Euch , Lord ?) Maria .	2743	0	schiller_stuart_maria.tsv
