DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
$.	$.		$.	!		» Höre , Cäsar , ich hoffe , du lädtst den Herrn Abbé Loraux zum Diner ein	!		Mein Bruder !» Höre , Cäsar , ich hoffe , du lädtst den Herrn Abbé Loraux zum Diner ein !» Mein Bruder !	1455	17	balzac_birottea_birottea.tsv
$.	$.		$.	!		Die Langeweile ist eine Tochter des Lichts , eine sogenannte Soiree ist nichts als eine mit Apollo- oder Milly- oder Wachskerzen beleuchtete Langeweile	!		Hörerinnen , braucht die meisten Kerzen .Die Langeweile ist eine Tochter des Lichts , eine sogenannte Soiree ist nichts als eine mit Apollo- oder Milly- oder Wachskerzen beleuchtete Langeweile !Mein Bedienter wollte ihr nachstürzen , ich	535	23	saphir_albumges_albumges.tsv
$.	$.		$.	!		Was man nicht Alles in der Hauptstadt lernt	!		nur halb verborgenen Lippen beifällig schmunzelten .Was man nicht Alles in der Hauptstadt lernt !« Sie hatte die Hofthür gehen hören	3796	8	ebers_homosum_homosum.tsv
$.	$.		$.	!		Ich brauch' ihn	!		Nein , das will ich nicht !Ich brauch' ihn !Und der Hals mußte frei sein .	1986	3	buelowf_novellen_novellen.tsv
$.	$.		$.	!		» Nennen Sie den Namen nicht , Herr	!		Sie den Namen nicht , Herr !» Nennen Sie den Namen nicht , Herr !« » Das kann nicht sein ,	642	8	scott_altertu2_altertu2.tsv
$.	$.		$.	!		« » Yes	!		, denn wir werden uns maskieren .« » Yes !« » Ihr meint , daß sie	6273	3	may_surehan1_0inhalt.tsv
$.	$.		$.	.		Beide , Selmann und Tobias , waren vor allen Dingen geschäftig , ihn loszumachen , und schnitten mit Messern so lange , bis alle Bande entzwei waren	.		« – Tobias Knaut !Beide , Selmann und Tobias , waren vor allen Dingen geschäftig , ihn loszumachen , und schnitten mit Messern so lange , bis alle Bande entzwei waren .Ein so unbeweglicher lange anhaltender Blick mußte	4068	27	wezel_knaut_knaut.tsv
$.	$.		$.	.		‹ » Kind , Würmle , « suchte sie die Kleine zu trösten , » was fallt dir denn ein – wer wird so weine , dummes Dingele – « Sie schöpfte Atem : » Jetz isch 's Kätterle lang tot ; ihr ältster Bub hat's Häusle und e Stub voller Kinder	.		« bat die Frau .‹ » Kind , Würmle , « suchte sie die Kleine zu trösten , » was fallt dir denn ein – wer wird so weine , dummes Dingele – « Sie schöpfte Atem : » Jetz isch 's Kätterle lang tot ; ihr ältster Bub hat's Häusle und e Stub voller Kinder .Es ist nicht auszudenken , was aus	459	52	villinge_rebaechl_rebaechl.tsv
$.	$.		$.	.		Und ihr kam die Frage , warum der Geliebte nicht hier sein könnte , in diesen Räumen , statt des anderen , für den ihr Herz längst erstorben war	.		stieg ihr unwillkürlich Stassingks Bild auf .Und ihr kam die Frage , warum der Geliebte nicht hier sein könnte , in diesen Räumen , statt des anderen , für den ihr Herz längst erstorben war .Dann , Maria , wirft Du vielleicht	483	29	ompteda_maria_maria.tsv
$.	$.		$.	.		10. Lebensmelodien	.		8. Der Tod Oskars .10. Lebensmelodien .7. Hermann und Thusnelda .	4212	2	lipsius_musistud_musistud.tsv
$.	$.		$.	.		« Erstes Kapitel Womit meine Lebensgeschichte eingeleitet wird Meine vielfachen Bitten , mir die Angabe der Ursache zu einer an ihr vorher nie bemerkten Gemüthsaufregung nicht länger vorzuenthalten , fanden nach langem Widerstande Eingang in ihr Ohr , und ich erfuhr Folgendes : daß ihr Verlobter ihr am Morgen begegnet habe , als sie von einer Standesperson aus unserer Kundschaft auf dem Wege Behufs neuer Bestellungen angesprochen worden	.		Kauflustiger , so leicht verirren konnte .« Erstes Kapitel Womit meine Lebensgeschichte eingeleitet wird Meine vielfachen Bitten , mir die Angabe der Ursache zu einer an ihr vorher nie bemerkten Gemüthsaufregung nicht länger vorzuenthalten , fanden nach langem Widerstande Eingang in ihr Ohr , und ich erfuhr Folgendes : daß ihr Verlobter ihr am Morgen begegnet habe , als sie von einer Standesperson aus unserer Kundschaft auf dem Wege Behufs neuer Bestellungen angesprochen worden .Bedeutende Summen an die verschiedenen Behörden gespendet	1055	68	kohn_jgilblas_jgilblas.tsv
$.	$.		$.	.		Dann ging der Jäger hinaus und schnitt sehr süßes Zuckerrohr ab	.		und steckte es in seine Schultertasche .Dann ging der Jäger hinaus und schnitt sehr süßes Zuckerrohr ab .Der Jäger kochte den Honig mit Wasser	4842	11	frobeniu_dekaschw_dekaschw.tsv
