DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
ITJ	NE		NN	ach		–	Ach	, bester Herr !	das alles würklich also begegnet ist .– Ach , bester Herr !Nur muß ich mich darauf verlassen können	1104	1	68046-Knigge__Adolph_Freiherr_von.tsv
ITJ	NE		NN	ach		« »	Ach	, « antwortete es , » ich soll ein Körbchen voll Erdbeeren suchen und darf nicht eher nach Hause kommen , als bis ich es mitbringe .	entzwei und gab ihnen die Hälfte .« » Ach , « antwortete es , » ich soll ein Körbchen voll Erdbeeren suchen und darf nicht eher nach Hause kommen , als bis ich es mitbringe .Die Haulemännerchen sprachen » gib uns auch	47	2	50832-Grimm__Jacob_und_Wilhelm.tsv
ITJ	NN		ITJ	ach			Ach	, wie hast du mich so betrüben können ?	wäre beinahe gestorben an dem Glauben .Ach , wie hast du mich so betrüben können ?Wer unter der Heimlichkeit einhergeht , der	4439	0	64595-Immermann__Karl.tsv
ITJ	NN		ITJ	ach			Ach	ich bin doppelt froh des Lichtes , das ich in Dir sehe , denn alles , was ich Dir schreibe und sage , kommt mir vor , als gehe es von Dir aus , und ich bin so stolz in Dir , weil Du oft mich anredest , als ob es die Stimme der Weisheit sei , auf die ich lange gehorcht habe in die Ferne , und jetzt ist sie mir so nah in Dir , daß ich sie von mir selber nicht unterscheide .	Gegenstand , ich bin es selber .Ach ich bin doppelt froh des Lichtes , das ich in Dir sehe , denn alles , was ich Dir schreibe und sage , kommt mir vor , als gehe es von Dir aus , und ich bin so stolz in Dir , weil Du oft mich anredest , als ob es die Stimme der Weisheit sei , auf die ich lange gehorcht habe in die Ferne , und jetzt ist sie mir so nah in Dir , daß ich sie von mir selber nicht unterscheide .Denn der Baum kann nicht selber sich	423	0	4083-Arnim__Bettina_von.tsv
ITJ	NE		NN	ach		»	Ach	!	mich in mein Zimmer zu schicken .» Ach !– Ich sah sie ankleiden , ich	340	1	25795-Fischer__Caroline_Auguste.tsv
ITJ	NE		NN	ach		« »	Ach	!	als möglich von dannen zu ziehen .« » Ach !Sehr wohl .	7389	2	99030-Spindler__Carl.tsv
ITJ	NN		ITJ	ach			Ach	, das is ein langes Kapitel , Stine .	un Olga muß in die Schule .Ach , das is ein langes Kapitel , Stine .Gewiß , arbeiten is gut , un	1008	0	26855-Fontane__Theodor.tsv
ITJ	NE		NN	ach		»	Ach	, Sie meinen mich ?	, was von Ihnen da steht ?» Ach , Sie meinen mich ?« – » Man weiß in Paris	7566	1	966-Alexis__Willibald.tsv
ITJ	NE		NN	ach		« »	Ach	, sagte er ganz grob und trotzig , geht ihr nur hin , ich komme doch eher wieder , als ihr alle miteinander .	er aber lag noch im Bett .« » Ach , sagte er ganz grob und trotzig , geht ihr nur hin , ich komme doch eher wieder , als ihr alle miteinander .Das war der Amtmann zufrieden , denn	40	2	50747-Grimm__Jacob_und_Wilhelm.tsv
ITJ	NE		NN	ach		»	Ach	so !	der alle seine Glieder erbeben machte .» Ach so !» Deine Sorg ' war ganz ohn'	1183	1	79348-May__Karl.tsv
ITJ	NE		NN	ach		–	Ach	, wär es möglich , daß eine fremde Sprache eine andre fremde Sprache mit ihren Klängen und Wortarten so ganz decke , daß einer einen Roman in der einen schrieb , der andre in der Meinung , es sei die andre Sprache , in ihr diesen in der ersten geschriebnen Roman läse ?	Clemens für des Gärtners Pflichtniederlassung hält .– Ach , wär es möglich , daß eine fremde Sprache eine andre fremde Sprache mit ihren Klängen und Wortarten so ganz decke , daß einer einen Roman in der einen schrieb , der andre in der Meinung , es sei die andre Sprache , in ihr diesen in der ersten geschriebnen Roman läse ?– Wenn er Deinen Franken in Ägypten	3188	1	4083-Arnim__Bettina_von.tsv
ITJ	NN		ITJ	ach			Ach	, auch darum muß ich Danebrand freundlich sein !	ist mein Karl finster gegen mich .Ach , auch darum muß ich Danebrand freundlich sein !Sie kleiner Engel haben nicht so viel	17977	0	56355-Gutzkow__Karl.tsv
ITJ	NN		ITJ	ach			Ach	!	liebe ihn zu gleich anzuflammen begunten .Ach !Die Königin / so den Baleus mit	19713	0	3459-Anton_Ulrich_Herzog_von_Braunschweig.tsv
ITJ	NE		NE	ha		Als sein Knabe mit Gruß und Brief von Madame Spürhauß hereinkam , riß er ihm den Brief aus der Hand und rief triumphirend : »	Ha	!	, an den unglücklichen Magister ab .Als sein Knabe mit Gruß und Brief von Madame Spürhauß hereinkam , riß er ihm den Brief aus der Hand und rief triumphirend : » Ha !Doch , sei unbekümmert ; Nerven kannte	1665	25	107239-Unger__Friederike_Helene.tsv
ITJ	NE		NE	haha			Haha	, Kriechen !	uns in Euer Vatterland heimführen möchten .Haha , Kriechen !« Da war nun guter Rat teur	3585	0	50637-Grimmelshausen__Hans_Jakob_Christoffel_von.tsv
ITJ	NE		VVFIN	he		Der Wirth zupfte ihn beim Ohrenläpple und sagte : »	He	, Gevattersmann !	stehe , kann ich nicht sagen .Der Wirth zupfte ihn beim Ohrenläpple und sagte : » He , Gevattersmann !Seit der Zeit besteht auch zwischen den	186	10	5410-Aurbacher__Ludwig.tsv
ITJ	NE		NE	hm			Hm	!	, daß Ihr zwei Männer sucht ?Hm !« nickte er .	1091	0	79400-May__Karl.tsv
ITJ	NE		NE	ho		»	Ho	, ho !	, und warf vorüberziehend etwas herab .» Ho , ho !Da beflügelte das Flügelroß noch mehr seinen	391	1	50633-Grimm__Albert_Ludewig.tsv
ITJ	XY		NE	ho		» Ho ,	ho	!	, und warf vorüberziehend etwas herab .» Ho , ho !Da beflügelte das Flügelroß noch mehr seinen	391	3	50633-Grimm__Albert_Ludewig.tsv
ITJ	NE		NE	hä		« »	Hä	?	» Verlaß dich drauf !« » Hä ?« Sein Tenor war jetzt übergeschnappt ,	207	2	64092-Holz__Arno.tsv
ITJ	NE		ITJ	na		–	Na	na , Bürschchen , Du siehst doch , daß ich nur scherze !	stürzten Wasserfälle an den Seiten hinunter .– Na na , Bürschchen , Du siehst doch , daß ich nur scherze !Im übrigen schlug es auf beiden Seiten	2904	1	107534-Verne__Jules.tsv
ITJ	ADJA		ITJ	na		As nu de Spektakel ut weer , so neem se den Hund mit	na	Dennewerk ; da sünd noch wecke van dit Slag Hunde .	bi enen groten Boom to wenen .As nu de Spektakel ut weer , so neem se den Hund mit na Dennewerk ; da sünd noch wecke van dit Slag Hunde .Da dach de Deern : » Ach	8	13	80955-M_llenhoff__Karl.tsv
ITJ	VVFIN		ITJ	na		– Na	na	, Bürschchen , Du siehst doch , daß ich nur scherze !	stürzten Wasserfälle an den Seiten hinunter .– Na na , Bürschchen , Du siehst doch , daß ich nur scherze !Im übrigen schlug es auf beiden Seiten	2904	2	107534-Verne__Jules.tsv
ITJ	NE		NE	o		–	O	, gewiß !	vorstellen , ihn aufgeben zu sollen .– O , gewiß !– Was willst Du denn , mein	4922	1	107526-Verne__Jules.tsv
ITJ	NN		NN	tennewerk		As nu de Spektakel ut weer , so neem se den Hund mit na	Dennewerk	; da sünd noch wecke van dit Slag Hunde .	bi enen groten Boom to wenen .As nu de Spektakel ut weer , so neem se den Hund mit na Dennewerk ; da sünd noch wecke van dit Slag Hunde .Da dach de Deern : » Ach	8	14	80955-M_llenhoff__Karl.tsv
