DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
PTKZU	PTKZU		PTKZU	zu		Er weigerte sich ,	zu	erwachen , und murmelte : » Tölpel , noch ist es nicht Zeit .	« So entschlief er .Er weigerte sich , zu erwachen , und murmelte : » Tölpel , noch ist es nicht Zeit .Wenn ich nur wissen könnte , wie	18320	4	27046-Freytag__Gustav.tsv
PTKZU	PTKZU		PTKZU	zu		Jeder bejahte regelmäßig die Frage darnach und war froh , nicht über sich selbst sprechen	zu	müssen .	ein besonderes Vergehen zu sein schien .Jeder bejahte regelmäßig die Frage darnach und war froh , nicht über sich selbst sprechen zu müssen .» Hast du am Hause erklärt ,	6029	15	66066-Keller__Gottfried.tsv
PTKZU	PTKZU		PTKZU	zu		Die Frau Basen und die jungen Madels , die sonst wenig ins Freie kommen , unterlassen es nicht , sich in großer Anzahl einzufinden , und wenn sich nun der Zug der Weiber	zu	bewegen anfängt und der Wind sich in die großen Schleifen setzt , so ist es nicht anders , als wenn ein ganzes Heer von schwarzen Raben oder Adlern jählings wach werde und den rauschenden Flug beginnen wolle .	der sich eben in Bewegung setzte .Die Frau Basen und die jungen Madels , die sonst wenig ins Freie kommen , unterlassen es nicht , sich in großer Anzahl einzufinden , und wenn sich nun der Zug der Weiber zu bewegen anfängt und der Wind sich in die großen Schleifen setzt , so ist es nicht anders , als wenn ein ganzes Heer von schwarzen Raben oder Adlern jählings wach werde und den rauschenden Flug beginnen wolle .Ich weiß , auf welche Weise er	530	33	62373-Hoffmann__E__T__A_.tsv
PTKZU	PTKZU		ADV	zu		Es war zeit zur heurraht	zu	schreiten .	seine eigene haus- oder hof-haltung führen .Es war zeit zur heurraht zu schreiten .Er hatte nunmehr beinahe das dreissigste jahr	1703	5	110854-Zesen__Philipp_von.tsv
PTKZU	PTKZU		PTKZU	zu		« – » Hoho , « erwiderte Meister Abraham , » hoho , am Ende ist unser Prinzeßlein eine Art von Gymnotus electricus oder Raja torpedo oder Trichiurus indicus , wie in gewisser Art meine süße Chiara es war , oder auch wohl nur eine muntere Hausmaus , wie jene , die dem wackern Signor Cotugno eine tüchtige Ohrfeige versetzte , als er sie beim Rücken erfaßte , um sie	zu	sezieren , was Ihr freilich mit der Prinzessin nicht im Sinn haben konntet !	Schlag fährt mir durch alle Glieder .« – » Hoho , « erwiderte Meister Abraham , » hoho , am Ende ist unser Prinzeßlein eine Art von Gymnotus electricus oder Raja torpedo oder Trichiurus indicus , wie in gewisser Art meine süße Chiara es war , oder auch wohl nur eine muntere Hausmaus , wie jene , die dem wackern Signor Cotugno eine tüchtige Ohrfeige versetzte , als er sie beim Rücken erfaßte , um sie zu sezieren , was Ihr freilich mit der Prinzessin nicht im Sinn haben konntet !Doch ich springe hin , öffne den	879	70	62300-Hoffmann__E__T__A_.tsv
PTKZU	PTKZU		PTKZU	zu		Aber was noch mehr ist , er hat Mittel gefunden , die Syrakusaner für seinen Plan einzunehmen und in eine so fanatische Begeisterung	zu	setzen , daß jedermann sich in die Wette beeifert , seine Absichten zu befördern , seine Befehle zu vollziehen und seinen Beifall zu verdienen .	einem Tauben die Ohren gellen möchten .Aber was noch mehr ist , er hat Mittel gefunden , die Syrakusaner für seinen Plan einzunehmen und in eine so fanatische Begeisterung zu setzen , daß jedermann sich in die Wette beeifert , seine Absichten zu befördern , seine Befehle zu vollziehen und seinen Beifall zu verdienen .153 Wie diese prophetische Vermuthung Aristipps vornehmlich	7563	23	110273-Wieland__Christoph_Martin.tsv
PTKZU	PTKZU		PTKZU	zu		Aber was noch mehr ist , er hat Mittel gefunden , die Syrakusaner für seinen Plan einzunehmen und in eine so fanatische Begeisterung zu setzen , daß jedermann sich in die Wette beeifert , seine Absichten	zu	befördern , seine Befehle zu vollziehen und seinen Beifall zu verdienen .	einem Tauben die Ohren gellen möchten .Aber was noch mehr ist , er hat Mittel gefunden , die Syrakusaner für seinen Plan einzunehmen und in eine so fanatische Begeisterung zu setzen , daß jedermann sich in die Wette beeifert , seine Absichten zu befördern , seine Befehle zu vollziehen und seinen Beifall zu verdienen .153 Wie diese prophetische Vermuthung Aristipps vornehmlich	7563	36	110273-Wieland__Christoph_Martin.tsv
PTKZU	PTKZU		PTKZU	zu		Aber was noch mehr ist , er hat Mittel gefunden , die Syrakusaner für seinen Plan einzunehmen und in eine so fanatische Begeisterung zu setzen , daß jedermann sich in die Wette beeifert , seine Absichten zu befördern , seine Befehle	zu	vollziehen und seinen Beifall zu verdienen .	einem Tauben die Ohren gellen möchten .Aber was noch mehr ist , er hat Mittel gefunden , die Syrakusaner für seinen Plan einzunehmen und in eine so fanatische Begeisterung zu setzen , daß jedermann sich in die Wette beeifert , seine Absichten zu befördern , seine Befehle zu vollziehen und seinen Beifall zu verdienen .153 Wie diese prophetische Vermuthung Aristipps vornehmlich	7563	41	110273-Wieland__Christoph_Martin.tsv
PTKZU	PTKZU		PTKZU	zu		Aber was noch mehr ist , er hat Mittel gefunden , die Syrakusaner für seinen Plan einzunehmen und in eine so fanatische Begeisterung zu setzen , daß jedermann sich in die Wette beeifert , seine Absichten zu befördern , seine Befehle zu vollziehen und seinen Beifall	zu	verdienen .	einem Tauben die Ohren gellen möchten .Aber was noch mehr ist , er hat Mittel gefunden , die Syrakusaner für seinen Plan einzunehmen und in eine so fanatische Begeisterung zu setzen , daß jedermann sich in die Wette beeifert , seine Absichten zu befördern , seine Befehle zu vollziehen und seinen Beifall zu verdienen .153 Wie diese prophetische Vermuthung Aristipps vornehmlich	7563	46	110273-Wieland__Christoph_Martin.tsv
PTKZU	PTKZU		PTKZU	zu		Wir werden ihn schon noch zwingen , uns	zu	zeigen , was er mit seiner Sonntagsbüchse zu leisten vermag !	» Seht ihn an !Wir werden ihn schon noch zwingen , uns zu zeigen , was er mit seiner Sonntagsbüchse zu leisten vermag !« lachte er höhnisch , und die	384	8	79397-May__Karl.tsv
