DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
PDS	VVFIN		PDS	det		Sowie er	det	jroße Schiff jewahr wird , schreit er in seiner Muttersprache : » Wer da ?	Mensch mit einem Feigenblatt darauf steht .Sowie er det jroße Schiff jewahr wird , schreit er in seiner Muttersprache : » Wer da ?Er steht aber ruhig an det Mast	277	2	benjamin_radio_radio.tsv
PDS	ART		PDS	die		« »	Das	mußt jetzt so sagen .	nicht in dem frömmsten Rufe stehen .« » Das mußt jetzt so sagen .« » Das behaupte ich nicht .	9302	2	may_wegglue5_wegglue5.tsv
PDS	PDS		PDS	die			Das	ist davon übrig geblieben !	Verstehst du ?Das ist davon übrig geblieben !» Das ist mein Larsenhof , Inge	4012	0	antholog_meistno2_meistno2.tsv
PDS	PDS		PDS	die		Er schleicht sich in der Nacht herbei ;	das	ist gewiß .	Erscheinen hier so sehr entzückt bin !Er schleicht sich in der Nacht herbei ; das ist gewiß .Später !	9929	8	may_deuther6_deuther6.tsv
PDS	ART		PDS	die		– ja , wenn es Bill wäre , das arme Herz , aber	das	schläft schon lange in seinem nassen kalten Grabe .	sagte aber schluchzend die junge Frau .– ja , wenn es Bill wäre , das arme Herz , aber das schläft schon lange in seinem nassen kalten Grabe .» Könnt ich nicht einmal mit Jack	196	13	gerstaec_jackbill_jackbill.tsv
PDS	PDS		PDS	die		« » Hätt's lieber auch verkaufen sollen , die Liegenschaften von meinem seligen Weib , « sagte er , » die Wirtschaft ist unter fremden Händen nicht besser geworden ; alle Jahr' einmal hinreisen ,	das	ist zu weit .	Der mußte auf der Stelle abdanken .« » Hätt's lieber auch verkaufen sollen , die Liegenschaften von meinem seligen Weib , « sagte er , » die Wirtschaft ist unter fremden Händen nicht besser geworden ; alle Jahr' einmal hinreisen , das ist zu weit .Das Meer lag in matter Bläue ,	1594	35	rosegger_abelsber_abelsber.tsv
PDS	PDS		PDS	die		» Wie , Väterchen ,	das	soll nicht Dubrowskij sein ?	zu erscheinen .» Wie , Väterchen , das soll nicht Dubrowskij sein ?« Der Abend war dunkel , der	1319	5	puschkin_erzaehlg_dubrowsk.tsv
PDS	PDS		PDS	die		Aber entsetzlich weit dacht' ich mir das Land , weit drunten hinter Spanien , und	das	war eben so schön , daß es weit entfernt lag .	eine Hauptsache für's Wohlbefinden zu sein .Aber entsetzlich weit dacht' ich mir das Land , weit drunten hinter Spanien , und das war eben so schön , daß es weit entfernt lag .Die Tyroler hatten mich nämlich in früher	2160	15	laube_reisnov2_reisnov2.tsv
PDS	PDS		PDS	die		Allein der Lakai kam immer wieder auf die Erbacher Dreiborde und ihre Zahl und meinte , es sei wohl ein unsinniger Einfall , wenn die Herrschaften dort überführen ,	das	sei übrigens nun einmal gerade wie mit dem Namen Kastor – une fantaisie .	Personen , ans linke Ufer überzusetzen .Allein der Lakai kam immer wieder auf die Erbacher Dreiborde und ihre Zahl und meinte , es sei wohl ein unsinniger Einfall , wenn die Herrschaften dort überführen , das sei übrigens nun einmal gerade wie mit dem Namen Kastor – une fantaisie .Kehren wir lieber zum Wasser zurück ,	195	29	riehl_kultnov2_kultnov2.tsv
PDS	ART		PDS	die		« » Wer sagt	das	?	Das begreift dieser Mann vielleicht nicht .« » Wer sagt das ?Aber ' raus muß ich unbedingt ,	9991	4	may_oelprinz_0inhalt.tsv
PDS	PDS		ART	die		Ada Ist	das	die ?	Ich habe schon oft geklopft .Ada Ist das die ?Ich habe geklopft .	1615	2	horvath_schoenau_schoenau.tsv
PDS	PDS		PDS	die		« » Wenn	das	ist , so sollen Sie Ihren Willen haben .	» Warum nicht ?« » Wenn das ist , so sollen Sie Ihren Willen haben .« rief er .	9537	3	may_deuther5_deuther5.tsv
PDS	PRELS		PDS	die		Über Kreuzburg im Werratale , Mihla gegenüber , wo der Herren von Harstall uraltes Geschlecht noch blüht , lag ein herrliches Kloster ,	das	hieß Münsterkirchen .	ihn zum Grundstein des Ordenshaupthauses Marienburg .Über Kreuzburg im Werratale , Mihla gegenüber , wo der Herren von Harstall uraltes Geschlecht noch blüht , lag ein herrliches Kloster , das hieß Münsterkirchen .Als die Kreuzherren in dem Heiligen Lande	5711	23	bechstei_dtsagen_dtsagen.tsv
PDS	ART		PDS	die		rief Maston ,	das	paßt ja in unser Programm .	Der Dampfer wurde im Sturm besetzt .rief Maston , das paßt ja in unser Programm .Maston lief zu ihm , und rief	2098	3	verne_erdemond_erdemond.tsv
PDS	PDS		PDS	die		« – » Glücklich die Kinder , welche in den Armen ihrer Eltern sterben « , sagte Oswald , » und an dem Herzen	dessen	, der ihnen das Leben gab , auch den Tod empfangen ; so verliert selbst dieser seinen Stachel .	das fast noch ganz erhalten ist .« – » Glücklich die Kinder , welche in den Armen ihrer Eltern sterben « , sagte Oswald , » und an dem Herzen dessen , der ihnen das Leben gab , auch den Tod empfangen ; so verliert selbst dieser seinen Stachel .Den Geliebten da , sich gegenüber zu	2977	24	stael_corinna_corinna.tsv
PDS	PDS		PDS	die		Und wenn er sich	dessen	erinnere , ob er dem Hauptmann nachtrage oder sich selbst für den schuldigen Teil halte ?	Gedächtnis wie ein schriller Mißton haften .Und wenn er sich dessen erinnere , ob er dem Hauptmann nachtrage oder sich selbst für den schuldigen Teil halte ?Die Universität war mir verschlossen , meine	461	4	korolenk_zeitgen2_zeitgen2.tsv
PDS	PDS		PDS	die		In dem bisher so bleichen Gesichte des jungen Fürsten schlug es jetzt wie eine Flamme auf ; er wagte es nicht , dem Auge der Mutter zu begegnen , und wandte sich statt	dessen	mit jäh aufloderndem Trotze zu seinem Bruder .	, eine ganz neue Stellung einzunehmen .In dem bisher so bleichen Gesichte des jungen Fürsten schlug es jetzt wie eine Flamme auf ; er wagte es nicht , dem Auge der Mutter zu begegnen , und wandte sich statt dessen mit jäh aufloderndem Trotze zu seinem Bruder .Waldemar wußte offenbar zu viel .	4575	33	wernere_vineta_vineta.tsv
PDS	ADJA		PDS	diejenige		Daß aber wirklich dieser Stein seine elektrische Polarität der ungleichförmigen Erregbarkeit ( durch Wärme ) verdankt , erhellt daraus , daß seine Pole , wenn er erkältet wird , ihre Elektrizitäten vertauschen ; daß also	derjenige	Pol , der durch positive Erwärmung negativ-elektrisch wurde , durch negative Erwärmung positiv-elektrisch wird .	seine Pole eine ungleiche Wärmekapazität haben .Daß aber wirklich dieser Stein seine elektrische Polarität der ungleichförmigen Erregbarkeit ( durch Wärme ) verdankt , erhellt daraus , daß seine Pole , wenn er erkältet wird , ihre Elektrizitäten vertauschen ; daß also derjenige Pol , der durch positive Erwärmung negativ-elektrisch wurde , durch negative Erwärmung positiv-elektrisch wird .Es ist gewiß , daß der Turmalin	36	35	schellin_weltseel_weltseel.tsv
PDS	PDS		PDS	diejenige		Sie war minder hoch gewachsen als Madeline , und obwohl nicht so schmächtig , um die Rundung und Fülle weiblicher Schönheit zu entbehren , erschien ihre Gestalt doch dünner , schwächer und in ihren Verhältnissen minder reich als	diejenige	der Schwester .	mochten , als diejenigen ihrer Schwester .Sie war minder hoch gewachsen als Madeline , und obwohl nicht so schmächtig , um die Rundung und Fülle weiblicher Schönheit zu entbehren , erschien ihre Gestalt doch dünner , schwächer und in ihren Verhältnissen minder reich als diejenige der Schwester .Ohne einen Schatten von Mißgunst war sie	6530	38	bulwer_eugenara_eugenara.tsv
PDS	PDS		PDS	diese			Dies	setzte uns sofort in den beabsichtigten Respekt , so daß wir nun ungehindert eintreten konnten .	mein Gesicht und leuchtete erschrocken auf .Dies setzte uns sofort in den beabsichtigten Respekt , so daß wir nun ungehindert eintreten konnten .« Auch er hatte aufgeblickt .	4562	0	may_amstille_0inhalt.tsv
