DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
KOKOM	KOKOM		KOKOM	als		Ihr Haar war dunkelblond , ein wenig heller	als	das des Bruders , die Augen fast schwarz , funkelnd und stolz , zugleich aber zuweilen ungewöhnlich gütig .	nicht der Weichheit und Grazie beraubte .Ihr Haar war dunkelblond , ein wenig heller als das des Bruders , die Augen fast schwarz , funkelnd und stolz , zugleich aber zuweilen ungewöhnlich gütig .Rasumichin war mit seiner plötzlichen , im	9034	8	22509-Dostoevskij__F_dor_Michajlovi_.tsv
KOKOM	KOKOM		APPR	als		ich sah nichts ....	als	jenen schwarzen Abgrund vor mir , in mir , in welchem Alles !	lehnte meine Stirn an den Marmor .ich sah nichts .... als jenen schwarzen Abgrund vor mir , in mir , in welchem Alles !Langsam ging er der Thür zu .	5477	4	57424-Hahn_Hahn__Ida_Gr_fin_von.tsv
KOKOM	KOKOM		KOKOM	als		Begleitete mich dagegen jenes junge Mädchen , so müßte ich ja in Aller Augen weit mehr	als	der Kaufmann Nicolaus Korpanoff meines Podaroshna erscheinen .	Verdacht wegen meiner Person zu zerstreuen .Begleitete mich dagegen jenes junge Mädchen , so müßte ich ja in Aller Augen weit mehr als der Kaufmann Nicolaus Korpanoff meines Podaroshna erscheinen .» Ja , sagte er sich ,	5271	16	107503-Verne__Jules.tsv
KOKOM	KOKOM		KOKOM	als		Den so einen mus man herschlahgen	als	wie dich und fileichd erwiesche ich eine bassende Gelehgenheid und lase Dich herum mit einen Oxenfisel das dier die Lumberei fileichd ferget , so lase ich dich herum du hunzheitener Batsi .	begient es weiter drohben beim Main .Den so einen mus man herschlahgen als wie dich und fileichd erwiesche ich eine bassende Gelehgenheid und lase Dich herum mit einen Oxenfisel das dier die Lumberei fileichd ferget , so lase ich dich herum du hunzheitener Batsi .Eigenlich begient das Ausland ieber der Dohnau	164	6	104520-Thoma__Ludwig.tsv
KOKOM	APPR		KOKOM	als		Nicht	als	ob wir des frommen Glaubens lebten , auch nur eine von Ihnen für uns gewinnen zu können .	machten wir unserem Arzt die Abschiedsvisite .Nicht als ob wir des frommen Glaubens lebten , auch nur eine von Ihnen für uns gewinnen zu können .Aus den vertiertesten Gesichtern brach ein Schein	7934	1	14315-Braun__Lily.tsv
KOKOM	KOKOM		KOKOM	als		Die Frau Basen und die jungen Madels , die sonst wenig ins Freie kommen , unterlassen es nicht , sich in großer Anzahl einzufinden , und wenn sich nun der Zug der Weiber zu bewegen anfängt und der Wind sich in die großen Schleifen setzt , so ist es nicht anders ,	als	wenn ein ganzes Heer von schwarzen Raben oder Adlern jählings wach werde und den rauschenden Flug beginnen wolle .	der sich eben in Bewegung setzte .Die Frau Basen und die jungen Madels , die sonst wenig ins Freie kommen , unterlassen es nicht , sich in großer Anzahl einzufinden , und wenn sich nun der Zug der Weiber zu bewegen anfängt und der Wind sich in die großen Schleifen setzt , so ist es nicht anders , als wenn ein ganzes Heer von schwarzen Raben oder Adlern jählings wach werde und den rauschenden Flug beginnen wolle .Ich weiß , auf welche Weise er	530	52	62373-Hoffmann__E__T__A_.tsv
KOKOM	KOKOM		KOKOM	als		Man erkannte unter ihnen – heute strahlender	als	je – den Oberst Bloomsberry , Tom Hunter mit den Stelzbeinen und ihren Collegen Bilsby mit den ruhelosen Füßen .	gegen die amerikanische Gesellschaft zu bilden .Man erkannte unter ihnen – heute strahlender als je – den Oberst Bloomsberry , Tom Hunter mit den Stelzbeinen und ihren Collegen Bilsby mit den ruhelosen Füßen .Dennoch war der Major Donellan bereits im	1105	7	107521-Verne__Jules.tsv
KOKOM	KOKOM		APPR	als		– – Ich glaube wirklich , ich habe damals gut gespielt ; denn mich erfüllte nichts	als	die Schönheit des Werkes und der begeisterte Drang , die Freude des Verständnisses auch andern mitzuteilen ; meine alte Meisterin hätte mich gelobt , so denke ich noch jetzt ; aber sie besuchte niemals eine öffentliche Aufführung .	alle sollen durch dich selig werden !– – Ich glaube wirklich , ich habe damals gut gespielt ; denn mich erfüllte nichts als die Schönheit des Werkes und der begeisterte Drang , die Freude des Verständnisses auch andern mitzuteilen ; meine alte Meisterin hätte mich gelobt , so denke ich noch jetzt ; aber sie besuchte niemals eine öffentliche Aufführung .Mutig schlug ich ein paar Akkordfolgen an	28	16	99882-Storm__Theodor.tsv
KOKOM	KOKOM		KON	als		Nur eine Art beklommener Scheu kam jetzt doch über den jungen Fürsten , eine gewisse Verlegenheit , ja wenn er ganz aufrichtig sagen wollte , was ihm geschah , so mußte er eingestehen , ein gewisses Mistrauen regte sich in ihm , und ein wenig auf dem Stuhle rückend , gleichsam	als	wollte er abbrechen , sagte er : Was ist ?	über des Mannes ganzer Erscheinung lag .Nur eine Art beklommener Scheu kam jetzt doch über den jungen Fürsten , eine gewisse Verlegenheit , ja wenn er ganz aufrichtig sagen wollte , was ihm geschah , so mußte er eingestehen , ein gewisses Mistrauen regte sich in ihm , und ein wenig auf dem Stuhle rückend , gleichsam als wollte er abbrechen , sagte er : Was ist ?Er hatte also einen werdenden Autor vor	30348	51	56355-Gutzkow__Karl.tsv
KOKOM	KOKOM		KOKOM	als		Beide Eigenschaften , deren innige Wechselwirkung und Vereinigung den Poeten eigentlich ausmacht , finden sich bei diesem Schriftsteller in ungewöhnlich hohem Grad , und nichts fehlt ,	als	daß sie sich auch wirklich miteinander vereinigt äußerten , daß seine Selbsttätigkeit sich mehr in sein Empfinden , daß seine Empfänglichkeit sich mehr in sein Denken mischte .	behaupten , seinem Leser mitteilen muß .Beide Eigenschaften , deren innige Wechselwirkung und Vereinigung den Poeten eigentlich ausmacht , finden sich bei diesem Schriftsteller in ungewöhnlich hohem Grad , und nichts fehlt , als daß sie sich auch wirklich miteinander vereinigt äußerten , daß seine Selbsttätigkeit sich mehr in sein Empfinden , daß seine Empfänglichkeit sich mehr in sein Denken mischte .Sein ernster Charakter läßt ihn zwar nie	434	27	96456-Schiller__Friedrich.tsv
KOKOM	KOKOM		KOKOM	wie		Gleich dem Hiob habe ihn der grausame Gott , der überhaupt der Grund alles Übels in der Welt sei , weil er mit dem Menschen experimentiere	wie	ein Vivisektor mit seinen Versuchstieren – ihm , dem Mister John , seine Familie und seine Reichtümer genommen und , nicht zufrieden mit dem angestifteten Unheil , auch noch seine Freunde gegen ihn aufgehetzt und seine Gesundheit geschädigt .	Er hat mich selbst darauf gebracht .Gleich dem Hiob habe ihn der grausame Gott , der überhaupt der Grund alles Übels in der Welt sei , weil er mit dem Menschen experimentiere wie ein Vivisektor mit seinen Versuchstieren – ihm , dem Mister John , seine Familie und seine Reichtümer genommen und , nicht zufrieden mit dem angestifteten Unheil , auch noch seine Freunde gegen ihn aufgehetzt und seine Gesundheit geschädigt .» Bah , man müßte ihn nur	2381	26	18884-Conrad__Michael_Georg.tsv
KOKOM	KOKOM		KOKOM	wie		Seine jugendfrische Schönheit übermannte sie , die wahre Liebe hielt ihren Einzug , und hätte nicht ihre königliche Majestät dem im Wege gestanden , so würde sie die verlockenden Bäckchen , die	wie	zweifrische Apfel schimmerten , sofort abgeküßt haben .	Anmut eines zuckersüßen kleinen kichernden Backfischs .Seine jugendfrische Schönheit übermannte sie , die wahre Liebe hielt ihren Einzug , und hätte nicht ihre königliche Majestät dem im Wege gestanden , so würde sie die verlockenden Bäckchen , die wie zweifrische Apfel schimmerten , sofort abgeküßt haben .Er war schlank , aufrecht wie eine	12	32	6235-Balzac__Honor__de.tsv
