DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
PTKANT	ADV		VVFIN	bitte		» Nein	bitte	– küssen Sie mich nicht .	Sind Sie es , Miß Linton ?» Nein bitte – küssen Sie mich nicht .« Jetzt hielt sie die Tränen nicht	1555	2	brontee_sturmhei_sturmhei.tsv
PTKANT	NE		NN	ja		»	Ja	, ja !	sich tausend Gewalten in wildem Begehren .» Ja , ja !Als Tag und Stunde kam , wo	970	1	hauptmac_einhart_einhart.tsv
PTKANT	NE		NN	ja		« »	Ja	– nein , ich habe eigentlich nicht gespeist « , sagte Mr. Merdle .	Altro !« » Ja – nein , ich habe eigentlich nicht gespeist « , sagte Mr. Merdle .Einer kleinen , sehr hübschen , sehr	8903	2	dickens_dorrit2_dorrit2.tsv
PTKANT	PTKANT		NN	ja		Dennoch sagte sie mit plötzlich aufsteigender Bedenklichkeit : »	Ja	, wie soll das fertig werden ?	demütigen und die Herrnbauersmädchen unglücklich machen !Dennoch sagte sie mit plötzlich aufsteigender Bedenklichkeit : » Ja , wie soll das fertig werden ?Zwei – drei Fliegen auf einen Schlag	3290	9	schaumbe_reinhard_reinhard.tsv
PTKANT	NE		NN	ja		« – »	Ja	« , antwortete sie .	vom Kampfplatz her ein wildes Triumphgeheul .« – » Ja « , antwortete sie .« Juan Franzisko , Herrscher der freien	3681	3	may_waldro42_waldro42.tsv
PTKANT	NE		NN	ja		« »	Ja	, ach ja !	diesem Schauspiel keinen Höllenlärm machen würde .« » Ja , ach ja !» Ich gehe diese Nacht noch zu	4677	2	vossr_brutusdu_brutusdu.tsv
PTKANT	NN		PTKANT	ja			Ja	, ich glaube fast , ich würde ein paar tausend Dollar auf Sie wagen .	« sagte er .Ja , ich glaube fast , ich würde ein paar tausend Dollar auf Sie wagen .» Ach , wirklich ?	1428	0	elvestad_gehzimme_gehzimme.tsv
PTKANT	NN		PTKANT	ja			Ja	, Herr , antwortete Jem Olikainen .	; damit erobere Rußland die Welt !Ja , Herr , antwortete Jem Olikainen .Vor manchen Häusern standen Schildwachen in langen	9717	0	muegge_randal_randal.tsv
PTKANT	PTKANT		NN	ja		»	Ja	doch – ja doch !	, soll ich im Stehen lesen ?» Ja doch – ja doch !» Sie sehen hier zwei treffliche Präparate	1970	1	schiroka_parzen_parzen.tsv
PTKANT	PTKANT		NN	ja		« »	Ja	, aber warum ?	als Reibstock für das Getreide verwendet .« » Ja , aber warum ?Die Früchte besitzen in reifem Zustande eine	2526	2	may_mahdi3_0inhalt.tsv
PTKANT	NE		NN	ja		–	Ja	, ja , ja !	Hinter die Bücher !– Ja , ja , ja !Hinter die Bücher !	695	1	bierbaum_student2_student2.tsv
PTKANT	NE		NN	ja		»	Ja	, was tun wir ?	» Natürlich beieinander sein !» Ja , was tun wir ?« fragte Günther seine Frau , als	3135	1	keyserlg_mareile_mareile.tsv
PTKANT	ADV		ITJ	ja		» Ja ,	ja	!	sich tausend Gewalten in wildem Begehren .» Ja , ja !Als Tag und Stunde kam , wo	970	3	hauptmac_einhart_einhart.tsv
PTKANT	ADV		ADV	ja		« und ein Seufzen , ein schmachtendes Fächerwiegen : » ich weiß	ja	, alles ist natürlich !	lassen Sie sein , geliebter Freund !« und ein Seufzen , ein schmachtendes Fächerwiegen : » ich weiß ja , alles ist natürlich !ihr , der ich entrinnen wollte und	252	12	dehmel_venus_venus.tsv
PTKANT	ADV		ITJ	ja		– Ja ,	ja	, ja !	Hinter die Bücher !– Ja , ja , ja !Hinter die Bücher !	695	3	bierbaum_student2_student2.tsv
PTKANT	ADV		PTKANT	ja		– Ja , ja ,	ja	!	Hinter die Bücher !– Ja , ja , ja !Hinter die Bücher !	695	5	bierbaum_student2_student2.tsv
PTKANT	NE		NN	nein		»	Nein	bitte – küssen Sie mich nicht .	Sind Sie es , Miß Linton ?» Nein bitte – küssen Sie mich nicht .« Jetzt hielt sie die Tränen nicht	1555	1	brontee_sturmhei_sturmhei.tsv
PTKANT	PTKANT		NN	nein		« – »	Nein	, was Herr von Willig dir nicht schon alles erzählt hat !	– Herrschaft , der Tisch-Tamtam dröhnt !« – » Nein , was Herr von Willig dir nicht schon alles erzählt hat !Aber ich weiß nicht – ich kann	2711	3	adlersfe_amoenen_amoenen.tsv
PTKANT	NE		NN	nein		« Er , »	Nein	?	Donnerwetter , Donnerwetter , o ja !« Er , » Nein ?« Ich : » Zum Donnerwetter ,	651	4	bierbaum_yankeedo_yankeedo.tsv
PTKANT	PTKANT		NN	nein		« »	Nein	.	» Du liebst die Prinzessin ?« » Nein .« » Hier bin ich , «	10216	2	may_scepter_scepter.tsv
PTKANT	NE		NN	nein		Da glitt das Kind hinab von seinem Sitz zu den Füßen Fränzis , umschlang ihre Kniee und flehte weinerlich : »	Nein	, Fränzi , nein , sterben müßt' ich und den Kopf würde es mir zersprengen , wenn ich jetzt nicht mit Euch reden könnte .	der Tau an Baum und Strauch .Da glitt das Kind hinab von seinem Sitz zu den Füßen Fränzis , umschlang ihre Kniee und flehte weinerlich : » Nein , Fränzi , nein , sterben müßt' ich und den Kopf würde es mir zersprengen , wenn ich jetzt nicht mit Euch reden könnte .Und er kündigt mir den Brief auf	3806	21	heer_heilwass_heilwass.tsv
PTKANT	PTKANT		PTKANT	nein		« » Ja –	nein	, ich habe eigentlich nicht gespeist « , sagte Mr. Merdle .	Altro !« » Ja – nein , ich habe eigentlich nicht gespeist « , sagte Mr. Merdle .Einer kleinen , sehr hübschen , sehr	8903	4	dickens_dorrit2_dorrit2.tsv
