DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
VAFIN	VAFIN		VAFIN	haben		So	hat	es Homer mit dem Fusse des Ulysses gemacht , daran ihn seine Amme erkannt .	nicht zu der Handlung des Wolfes .So hat es Homer mit dem Fusse des Ulysses gemacht , daran ihn seine Amme erkannt .Aesopus würde auslachenswürdig seyn , wenn er	7840	1	48521-Gottsched__Johann_Christoph.tsv
VAFIN	VAFIN		VAFIN	haben		« Es ist mir nicht erlaubt , eine Beschreibung des Apparates zu geben , doch darf ich versichern , daß , als der » junge Adler « uns alles erklärt	hatte	, wir beide Tatellah-Satah und ich , von der Sicherheit und der Verläßlichkeit des Apparates derart überzeugt waren , daß in uns sofort der Wunsch aufstieg , uns seiner recht bald einmal bedienen zu dürfen .	« » Ah ?« Es ist mir nicht erlaubt , eine Beschreibung des Apparates zu geben , doch darf ich versichern , daß , als der » junge Adler « uns alles erklärt hatte , wir beide Tatellah-Satah und ich , von der Sicherheit und der Verläßlichkeit des Apparates derart überzeugt waren , daß in uns sofort der Wunsch aufstieg , uns seiner recht bald einmal bedienen zu dürfen .Oder doch , oder doch ?	7274	30	79326-May__Karl.tsv
VAFIN	VAFIN		VAFIN	haben		« – Ich gieng mit der Frau des Hauses in ein Fenster , wo ich mich über ihren Sohn beklagte , der die Ursache dieser Scene war , da er seinem Freund von meinem ihm ertheilten Lobe gesagt	hatte	.	– Die Mademoiselle C** .« – Ich gieng mit der Frau des Hauses in ein Fenster , wo ich mich über ihren Sohn beklagte , der die Ursache dieser Scene war , da er seinem Freund von meinem ihm ertheilten Lobe gesagt hatte .die Schönheit der Seele ist allezeit mit	10424	38	72270-La_Roche__Sophie_von.tsv
VAFIN	VAFIN		VAFIN	haben		– Mit Ew. Gnaden Verlaub , sagte Trim : – König Wilhelm war der Meinung , daß Alles in der Welt voraus bestimmt sei ; er pflegte zu seinen Soldaten zu sagen : jede Kugel	hätte	ihren Zettel .	, als meines Onkel Toby's Stadt .– Mit Ew. Gnaden Verlaub , sagte Trim : – König Wilhelm war der Meinung , daß Alles in der Welt voraus bestimmt sei ; er pflegte zu seinen Soldaten zu sagen : jede Kugel hätte ihren Zettel .– Es war gerade , als Du	86	35	99260-Sterne__Laurence.tsv
VAFIN	VAFIN		VAFIN	sein		« » Heut '	ist	der Teufel los !	Oh bleasure !« » Heut ' ist der Teufel los !Oh fortune !	3788	4	79304-May__Karl.tsv
VAFIN	VAFIN		VAFIN	sein		Herr Dechant , sagte er zu seinem Freunde gewendet , dieser Tag	ist	mir ein Freuden- und Trauer-Tag , den ich nicht leicht vergessen werde .	sie in einen kleinen Sessel legten .Herr Dechant , sagte er zu seinem Freunde gewendet , dieser Tag ist mir ein Freuden- und Trauer-Tag , den ich nicht leicht vergessen werde .Auch der Küster folgte in einiger Entfernung	1299	12	104913-Tieck__Ludwig.tsv
VAFIN	VAFIN		VAFIN	sein		« Es	ist	mir nicht erlaubt , eine Beschreibung des Apparates zu geben , doch darf ich versichern , daß , als der » junge Adler « uns alles erklärt hatte , wir beide Tatellah-Satah und ich , von der Sicherheit und der Verläßlichkeit des Apparates derart überzeugt waren , daß in uns sofort der Wunsch aufstieg , uns seiner recht bald einmal bedienen zu dürfen .	« » Ah ?« Es ist mir nicht erlaubt , eine Beschreibung des Apparates zu geben , doch darf ich versichern , daß , als der » junge Adler « uns alles erklärt hatte , wir beide Tatellah-Satah und ich , von der Sicherheit und der Verläßlichkeit des Apparates derart überzeugt waren , daß in uns sofort der Wunsch aufstieg , uns seiner recht bald einmal bedienen zu dürfen .Oder doch , oder doch ?	7274	2	79326-May__Karl.tsv
VAFIN	VAFIN		VAFIN	sein		Dein Bruder	ist	jetzt abgereist .	Gott !Dein Bruder ist jetzt abgereist .Gott !	2437	2	108015-Waiblinger__Wilhelm.tsv
VAFIN	VAFIN		VAFIN	sein		Eine Sittsamkeit in ihren Reden , die mir noch bei keinem Mädchen so aufgefallen	ist	wie bei dieser – alles die Frucht einer guten Erziehung .	schon auf den rechten Weg bringen .Eine Sittsamkeit in ihren Reden , die mir noch bei keinem Mädchen so aufgefallen ist wie bei dieser – alles die Frucht einer guten Erziehung .‹ › Dein Vater , Patchen ,	1997	14	22329-Diderot__Denis.tsv
VAFIN	VAFIN		VAFIN	sein		Indem ich die Rechnung mit der Haushälterin abschloß , fand ich , daß während der letzten zwei Wochen den Schülerinnen zweimal ein Gabelfrühstück serviert worden	ist	, welches aus Brot und Käse bestand .	nicht zu oft eintreten zu lassen .Indem ich die Rechnung mit der Haushälterin abschloß , fand ich , daß während der letzten zwei Wochen den Schülerinnen zweimal ein Gabelfrühstück serviert worden ist , welches aus Brot und Käse bestand .Das meine ist nicht der Hang zu	10915	25	15086-Bront___Charlotte.tsv
VAFIN	VAFIN		VAFIN	sein		– Mit Ew. Gnaden Verlaub , sagte Trim : – König Wilhelm war der Meinung , daß Alles in der Welt voraus bestimmt	sei	; er pflegte zu seinen Soldaten zu sagen : jede Kugel hätte ihren Zettel .	, als meines Onkel Toby's Stadt .– Mit Ew. Gnaden Verlaub , sagte Trim : – König Wilhelm war der Meinung , daß Alles in der Welt voraus bestimmt sei ; er pflegte zu seinen Soldaten zu sagen : jede Kugel hätte ihren Zettel .– Es war gerade , als Du	86	23	99260-Sterne__Laurence.tsv
VAFIN	VAFIN		VAFIN	sein		An den Tisch der Grafen und edlen Herren von der Lippe sprangen nämlich in geschäftiger Eile mehrere Diener , setzten daran einen großen mit Lorbeeren geschmückten Sessel und verkündeten , daß der Graf Simon von der Lippe soeben gestorben	sei	und gleich erscheinen werde .	hier hießen sie ihn Platz nehmen .An den Tisch der Grafen und edlen Herren von der Lippe sprangen nämlich in geschäftiger Eile mehrere Diener , setzten daran einen großen mit Lorbeeren geschmückten Sessel und verkündeten , daß der Graf Simon von der Lippe soeben gestorben sei und gleich erscheinen werde .so schrie ihn der alte Ritter an	63	39	53994-Gr_sse__Johann_Georg_Theodor.tsv
VAFIN	VAFIN		VAFIN	sein		« Da trat er um mehrere Schritte zur Seite , senkte den Blick und sagte : Es	war	die höchste Zeit für sie .	Sonne dieses dürren Master Chinarindo sein !« Da trat er um mehrere Schritte zur Seite , senkte den Blick und sagte : Es war die höchste Zeit für sie .« frug sie gedehnt .	3740	17	79314-May__Karl.tsv
VAFIN	VAFIN		VAFIN	sein		Die alte Mamsell heftete erstaunt ihren Blick auf Felicitas ' Gesicht ; dieser Ton voll unsäglicher Bitterkeit	war	ihr neu .	jungen Mädchens , ihr sogenannter Sonntagsrock .Die alte Mamsell heftete erstaunt ihren Blick auf Felicitas ' Gesicht ; dieser Ton voll unsäglicher Bitterkeit war ihr neu .‹ ... Und nun hast du ihn	2702	17	78772-Marlitt__Eugenie.tsv
VAFIN	VAFIN		VAFIN	sein		Dieser	war	in Liebe entbrannt gegen die reizende Königstochter , und sie schenkte ihm ihr Herz aus inniger Dankbarkeit .	und versprach ihm den höchsten Lohn .Dieser war in Liebe entbrannt gegen die reizende Königstochter , und sie schenkte ihm ihr Herz aus inniger Dankbarkeit .Nun geschah es , daß der Wunderarzt	7	1	10160-Bechstein__Ludwig.tsv
VAFIN	VAFIN		VAFIN	sein		Der jungen Prinzessin Elisabeth von dem Leben ihrer Mutter Nachricht zu geben , mit ihr vereint sich zu bemühen das Kloster ausfindig zu machen , in welchem die Königinn Marie lebte , dieses	war	das hauptsächlichste , was Albrecht von der Gräfinn von Würtemberg in jenen Stunden des Abschieds forderte .	ihrer ersten Abreise aus Nürnberg gab .Der jungen Prinzessin Elisabeth von dem Leben ihrer Mutter Nachricht zu geben , mit ihr vereint sich zu bemühen das Kloster ausfindig zu machen , in welchem die Königinn Marie lebte , dieses war das hauptsächlichste , was Albrecht von der Gräfinn von Würtemberg in jenen Stunden des Abschieds forderte .schrie Ida mit gerungenen Händen !	4786	33	83002-Naubert__Benedikte.tsv
VAFIN	VAFIN		VAFIN	sein		« – Ich gieng mit der Frau des Hauses in ein Fenster , wo ich mich über ihren Sohn beklagte , der die Ursache dieser Scene	war	, da er seinem Freund von meinem ihm ertheilten Lobe gesagt hatte .	– Die Mademoiselle C** .« – Ich gieng mit der Frau des Hauses in ein Fenster , wo ich mich über ihren Sohn beklagte , der die Ursache dieser Scene war , da er seinem Freund von meinem ihm ertheilten Lobe gesagt hatte .die Schönheit der Seele ist allezeit mit	10424	26	72270-La_Roche__Sophie_von.tsv
VAFIN	VAFIN		VAFIN	sein		Vielleicht	war	es dem nächsten Herrn von Arten , vielleicht war es seinem Sohne einst beschieden , die Güter zurückzukaufen , wenn Renatus jetzt Ordnung in die Verhältnisse des Hauses brachte .	Geschmack an ihnen habe finden können .Vielleicht war es dem nächsten Herrn von Arten , vielleicht war es seinem Sohne einst beschieden , die Güter zurückzukaufen , wenn Renatus jetzt Ordnung in die Verhältnisse des Hauses brachte .Er hatte ein angenehmes Selbstgefühl , als	318	1	73679-Lewald__Fanny.tsv
VAFIN	VAFIN		VAFIN	sein		« Es ist mir nicht erlaubt , eine Beschreibung des Apparates zu geben , doch darf ich versichern , daß , als der » junge Adler « uns alles erklärt hatte , wir beide Tatellah-Satah und ich , von der Sicherheit und der Verläßlichkeit des Apparates derart überzeugt	waren	, daß in uns sofort der Wunsch aufstieg , uns seiner recht bald einmal bedienen zu dürfen .	« » Ah ?« Es ist mir nicht erlaubt , eine Beschreibung des Apparates zu geben , doch darf ich versichern , daß , als der » junge Adler « uns alles erklärt hatte , wir beide Tatellah-Satah und ich , von der Sicherheit und der Verläßlichkeit des Apparates derart überzeugt waren , daß in uns sofort der Wunsch aufstieg , uns seiner recht bald einmal bedienen zu dürfen .Oder doch , oder doch ?	7274	48	79326-May__Karl.tsv
VAFIN	VAFIN		VAFIN	sein		» Gewiß , Vater ; ich will sogar hinzufügen , daß die letzteren in der Mehrheit	waren	.	sich in unseren großen Fluß ergießt !» Gewiß , Vater ; ich will sogar hinzufügen , daß die letzteren in der Mehrheit waren .» Ja , « sagte sie .	6602	16	107522-Verne__Jules.tsv
VAFIN	VAFIN		VAFIN	sein		» Und was sollte das sein , was hier noch zu retten	wäre	?	keine Träne in sein Auge kam .» Und was sollte das sein , was hier noch zu retten wäre ?Er atmete tief , und sein Kopf	1574	12	79543-Meisel_Hess__Grete.tsv
VAFIN	VAFIN		VAFIN	werden		Herr Dechant , sagte er zu seinem Freunde gewendet , dieser Tag ist mir ein Freuden- und Trauer-Tag , den ich nicht leicht vergessen	werde	.	sie in einen kleinen Sessel legten .Herr Dechant , sagte er zu seinem Freunde gewendet , dieser Tag ist mir ein Freuden- und Trauer-Tag , den ich nicht leicht vergessen werde .Auch der Küster folgte in einiger Entfernung	1299	24	104913-Tieck__Ludwig.tsv
VAFIN	VAFIN		VAFIN	werden		An den Tisch der Grafen und edlen Herren von der Lippe sprangen nämlich in geschäftiger Eile mehrere Diener , setzten daran einen großen mit Lorbeeren geschmückten Sessel und verkündeten , daß der Graf Simon von der Lippe soeben gestorben sei und gleich erscheinen	werde	.	hier hießen sie ihn Platz nehmen .An den Tisch der Grafen und edlen Herren von der Lippe sprangen nämlich in geschäftiger Eile mehrere Diener , setzten daran einen großen mit Lorbeeren geschmückten Sessel und verkündeten , daß der Graf Simon von der Lippe soeben gestorben sei und gleich erscheinen werde .so schrie ihn der alte Ritter an	63	43	53994-Gr_sse__Johann_Georg_Theodor.tsv
VAFIN	VAFIN		VAFIN	werden		Kurz , ich erkläre mich schlechterdings wider alle Neuerungen , und gebe meine Stimme dahin : daß alles bey dem alten wohlhergebrachten Reichsherkommen gelassen	werde	.	Wo sind ihre Bestallungsbriefe dazu ?Kurz , ich erkläre mich schlechterdings wider alle Neuerungen , und gebe meine Stimme dahin : daß alles bey dem alten wohlhergebrachten Reichsherkommen gelassen werde .Was haben sie für eine Vollmacht aufzuweisen	1932	24	48520-Gottsched__Johann_Christoph.tsv
VAFIN	VAFIN		VAFIN	werden		« – Und unserer Annah , sagte Ernst ,	wird	die Ehre zufallen , sie zum erstenmale zu läuten !	Jack richtete das Fernrohr danach hin .« – Und unserer Annah , sagte Ernst , wird die Ehre zufallen , sie zum erstenmale zu läuten !Fehlte der Insel also auch ein Kranz	6788	9	107535-Verne__Jules.tsv
