DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
VMFIN	VMFIN		VMFIN	dürfen		Man	darf	Keinem trauen .	Und Freundschaft – pah !Man darf Keinem trauen .Und wenn man nun Niemanden mehr hat	17071	1	13731-Bleibtreu__Karl.tsv
VMFIN	VMFIN		VMFIN	können		Ich bin immer rein , wasche mich so oft ich pipi gemacht habe ausgezeichnet sowohl durch Wollust , als durch Zartgefühl , denn dieser Ort , den Sie so reizend finden , ist immer so heiß , daß ich ihn nie ins Wasser stecken	kann	, ohne eine Wollust zu empfinden , die an die Befriedigung heranreicht .	einmal , so ist es vernünftig .Ich bin immer rein , wasche mich so oft ich pipi gemacht habe ausgezeichnet sowohl durch Wollust , als durch Zartgefühl , denn dieser Ort , den Sie so reizend finden , ist immer so heiß , daß ich ihn nie ins Wasser stecken kann , ohne eine Wollust zu empfinden , die an die Befriedigung heranreicht .Schonen Sie sich , teurer Vater ,	2616	44	88417-Restif_de_la_Bretonne__Nicolas__dm_.tsv
VMFIN	VMFIN		VMFIN	können		Was nicht einzelnes Atom ist das um sich selber dreht , sondern lebendige Kraft die in sich gebunden und geschlossen nach außen strahlt , das bildet und schließt das durchdringbare nähere oder fernere Wesen sich ein , verselbt es und verinnert es , und da diese Kraft überall einfach und ganz ist , so wird , wie weit sie auch reicht , einfach und ganz was ihr sich eint : nur der Umfang	kann	wachsen , nicht die Rundheit und die Bindung .	keine Mache , sondern ein Gesetz .Was nicht einzelnes Atom ist das um sich selber dreht , sondern lebendige Kraft die in sich gebunden und geschlossen nach außen strahlt , das bildet und schließt das durchdringbare nähere oder fernere Wesen sich ein , verselbt es und verinnert es , und da diese Kraft überall einfach und ganz ist , so wird , wie weit sie auch reicht , einfach und ganz was ihr sich eint : nur der Umfang kann wachsen , nicht die Rundheit und die Bindung .Die Gotteskunde ist aufgehendes und übergehendes Menschtum	276	73	56347-Gundolf__Friedrich.tsv
VMFIN	VMFIN		VMFIN	können		» Die › Swallow ‹ ist mir , dem Lieutenant Parker anvertraut ; ich	kann	sie nur auf höhern Befehl einem Andern überlassen .	der gradezu raffinirt genannt werden mußte .» Die › Swallow ‹ ist mir , dem Lieutenant Parker anvertraut ; ich kann sie nur auf höhern Befehl einem Andern überlassen .« Sie legte ihren Arm in den	6052	14	79367-May__Karl.tsv
VMFIN	VMFIN		VMFIN	können		1 Mein Vater	konnte	sich nie zur Herausgabe dieses Lebens entschließen ; das Manuskript nebst einigen andern Abhandlungen befindet sich in den Händen der Familie und soll seiner Zeit dem Publikum nicht vorenthalten werden .	– krink – kronk – krank .1 Mein Vater konnte sich nie zur Herausgabe dieses Lebens entschließen ; das Manuskript nebst einigen andern Abhandlungen befindet sich in den Händen der Familie und soll seiner Zeit dem Publikum nicht vorenthalten werden .Lieber wollte ich der Calliope selbst ein	4789	3	99260-Sterne__Laurence.tsv
VMFIN	VMFIN		VMFIN	können		Das Versprechen	konnte	sie ihm nicht abschlagen .	Weise die Ehre der Vaterschaft ankündigte .Das Versprechen konnte sie ihm nicht abschlagen .Julius fühlte das und freute sich damit	781	2	97133-Schlegel__Friedrich.tsv
VMFIN	VMFIN		VMFIN	können		In einer halben Stunde	konnte	er zum Bankier gehen .	und was dem heute geschehen ist .In einer halben Stunde konnte er zum Bankier gehen .Als der Baron sie schweigend fixierte ,	5538	4	18884-Conrad__Michael_Georg.tsv
VMFIN	VMFIN		VMFIN	können		Als er heimkehrte und zum Schillerbrünnlein kam , stand ihm plötzlich eine Mauer entgegen , so daß er aller Mühe unerachtet nicht weiter	konnte	.	Bild in den Pfarrhof zu bringen .Als er heimkehrte und zum Schillerbrünnlein kam , stand ihm plötzlich eine Mauer entgegen , so daß er aller Mühe unerachtet nicht weiter konnte .Ein protestantischer Reiter , der in diesem	5	23	94804-Sch_ppner__Alexander.tsv
VMFIN	VMFIN		VMFIN	können		Er erlebe wenig Freude an seinen Söhnen , beschloß er , und der Teufel	könne	die Spitzbuben holen , wenn er wolle .	dem lindesten Herzen von der Welt .Er erlebe wenig Freude an seinen Söhnen , beschloß er , und der Teufel könne die Spitzbuben holen , wenn er wolle .Ich warf noch einiges ein zur Entschuldigung	3259	14	64896-Jean_Paul.tsv
VMFIN	VMFIN		VMFIN	können		Aber wir	können	Vermutungen hegen .	schwärzlichen Haufen von ausgejäteten Sauerampferstauden darin .Aber wir können Vermutungen hegen .« 4 ( frz. ) Aber wir	18711	2	104939-Tolstoj__Lev_Nikolaevi_.tsv
