DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
VMFIN	VMFIN		VMFIN	dürfen		da in einer fabel bei Saxo gramm. p. 48 ein Horvendilus filius Gervendili vorkommt und ahd. der eigenname Kêrwentil ( Schm. 2 , 334 ) und Gêrentil ( trad. fuld. 2 , 106 ) , geir ( hasta ) aber besser zu ör stimmt als zu eyra ( auris ) , so	darf	die letzte erklärung auf beifall rechnenso legt auch Uhland ( über Thor s. 47 ff. ) aus , in Grôa sieht er wachsthum der saat , in Örvandill aufschießen des keims .	ist Wendel ein name des teufels .da in einer fabel bei Saxo gramm. p. 48 ein Horvendilus filius Gervendili vorkommt und ahd. der eigenname Kêrwentil ( Schm. 2 , 334 ) und Gêrentil ( trad. fuld. 2 , 106 ) , geir ( hasta ) aber besser zu ör stimmt als zu eyra ( auris ) , so darf die letzte erklärung auf beifall rechnenso legt auch Uhland ( über Thor s. 47 ff. ) aus , in Grôa sieht er wachsthum der saat , in Örvandill aufschießen des keims .soll Wendel auf die verwandlungen des flöteblasenden	11316	52	grimm_demyth_demyth.tsv
VMFIN	VMFIN		VMFIN	dürfen		Aber man	darf	sich da nicht vermessen , ich weiß , ich weiß .	.Aber man darf sich da nicht vermessen , ich weiß , ich weiß .Es gibt eine Stelle , wo das	6943	2	wasserma_mauriz_mauriz.tsv
VMFIN	VMFIN		VMFIN	können		Hei	kann	jo dor doch nicks vör , dat em Dörchläuchten nich ut sinen Löperdeinst gahn laten will .	dat Einzigste , wat hei kann .Hei kann jo dor doch nicks vör , dat em Dörchläuchten nich ut sinen Löperdeinst gahn laten will .– Ach , wo dat susen deiht	2620	1	reuter_doerchlt_doerchlt.tsv
VMFIN	VMFIN		VMFIN	können		» Mein Papa	kann	dich kaufen « , sagte Eva rasch , » und wenn er dich kauft , wirst du es gut haben .	Tieren über Lizzys Brücke zu reiten .» Mein Papa kann dich kaufen « , sagte Eva rasch , » und wenn er dich kauft , wirst du es gut haben .Master Haley braucht uns jetzt nicht mehr	5026	3	beecher_onkeltom_onkeltom.tsv
VMFIN	VMFIN		VMFIN	können		Dann aber sprach er rasch weiter : » Ich sagte schon , daß ich erst im Zusammenhange mit dieser Tat Kylons von Dingen Kenntnis erhielt , die mein Verstand nicht fassen	kann	.	jetzt das Letzte , das Furchtbarste !Dann aber sprach er rasch weiter : » Ich sagte schon , daß ich erst im Zusammenhange mit dieser Tat Kylons von Dingen Kenntnis erhielt , die mein Verstand nicht fassen kann .« erwiderte der Ephebe .	4040	31	colerus_pythagor_pythagor.tsv
VMFIN	VMFIN		VMFIN	können		Der Ton keines Menschen und keines Thieres	kann	eine Vorstellung von dem Lärmen geben , welches sich in diese Aufregung des Meeres mischte .	Höhe , Fluthen in der Tiefe .Der Ton keines Menschen und keines Thieres kann eine Vorstellung von dem Lärmen geben , welches sich in diese Aufregung des Meeres mischte .Unendlicher Schaum bespritzte alle Felsen .	3855	7	hugo_meerarbe_meerarbe.tsv
VMFIN	VMFIN		VMFIN	können		Leichtfüßig schritt sie den Gang entlang , um ihren Cousin nicht zu wecken ; doch	konnte	sie sich nicht enthalten , vor seiner Tür stehenzubleiben und seinen regelmäßigen Atemzügen zu lauschen .	« sagte Vater Grandet .Leichtfüßig schritt sie den Gang entlang , um ihren Cousin nicht zu wecken ; doch konnte sie sich nicht enthalten , vor seiner Tür stehenzubleiben und seinen regelmäßigen Atemzügen zu lauschen .– nichts !	4296	15	balzac_eugenie_eugenie.tsv
VMFIN	VMFIN		VMFIN	können		Wol verstehe ich nicht , wie ich Dir Schrecken einflößen	konnte	– aber ich habe ja kein Recht , Dir angenehm zu sein – und vielleicht , weil Du mich nicht bei der Fürstin erwartetest – – « Nur einmal führten sie das Gespräch , was jetzt folgte , und deshalb heben wir es aus den täglichen Erzählungen hervor , da es hinreichend zeigt , wie nah sich Guntram den Knaben hatte kommen lassen , wie dieser ihm zum Vertrauten heran gewachsen war .	, daß Du ruhig sein willst .Wol verstehe ich nicht , wie ich Dir Schrecken einflößen konnte – aber ich habe ja kein Recht , Dir angenehm zu sein – und vielleicht , weil Du mich nicht bei der Fürstin erwartetest – – « Nur einmal führten sie das Gespräch , was jetzt folgte , und deshalb heben wir es aus den täglichen Erzählungen hervor , da es hinreichend zeigt , wie nah sich Guntram den Knaben hatte kommen lassen , wie dieser ihm zum Vertrauten heran gewachsen war .« » Aber die , « fuhr	2332	10	paalzow_thyrnau1_thyrnau1.tsv
VMFIN	VMFIN		VMFIN	können		Nur mit Mühe	konnte	ihn der Fürst dazu bewegen , Mascha nichts davon merken zu lassen , daß er über ihren Brief unterrichtet sei .	Herr keine eigenen Leute gehabt hätte !Nur mit Mühe konnte ihn der Fürst dazu bewegen , Mascha nichts davon merken zu lassen , daß er über ihren Brief unterrichtet sei .Notwendig , einen Heiden zum Erzieher zu	1199	3	puschkin_postmeis_postmeis.tsv
VMFIN	VMFIN		VMFIN	können		Es war draußen vor unserm Felseneinschnitte so dunkel , daß wir die beiden Komantschen , obgleich sie höchstens drei Meter von uns entfernt lagen , kaum sehen	konnten	.	wurde der Himmel für uns sichtbar .Es war draußen vor unserm Felseneinschnitte so dunkel , daß wir die beiden Komantschen , obgleich sie höchstens drei Meter von uns entfernt lagen , kaum sehen konnten .» Wo pflegt sie zu schlafen ?	6960	27	may_satan3_0inhalt.tsv
