DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
ADJA	ADJA		ADJA	alt		Eine feine ,	alte	Dame in Schwarz tritt auf mich zu und spricht mich an .	, als ich es so ansah .Eine feine , alte Dame in Schwarz tritt auf mich zu und spricht mich an .Als ich die Ähnlichkeit zum ersten Male	130	3	auburtin_feuillet_feuillet.tsv
ADJA	ADJA		ADJA	alt		‹ » Kind , Würmle , « suchte sie die Kleine zu trösten , » was fallt dir denn ein – wer wird so weine , dummes Dingele – « Sie schöpfte Atem : » Jetz isch 's Kätterle lang tot ; ihr	ältster	Bub hat's Häusle und e Stub voller Kinder .	« bat die Frau .‹ » Kind , Würmle , « suchte sie die Kleine zu trösten , » was fallt dir denn ein – wer wird so weine , dummes Dingele – « Sie schöpfte Atem : » Jetz isch 's Kätterle lang tot ; ihr ältster Bub hat's Häusle und e Stub voller Kinder .Es ist nicht auszudenken , was aus	459	43	villinge_rebaechl_rebaechl.tsv
ADJA	PIS		ADJA	ander		Und ihr kam die Frage , warum der Geliebte nicht hier sein könnte , in diesen Räumen , statt des	anderen	, für den ihr Herz längst erstorben war .	stieg ihr unwillkürlich Stassingks Bild auf .Und ihr kam die Frage , warum der Geliebte nicht hier sein könnte , in diesen Räumen , statt des anderen , für den ihr Herz längst erstorben war .Dann , Maria , wirft Du vielleicht	483	20	ompteda_maria_maria.tsv
ADJA	ADJA		ADJA	ausführlich		Ich habe Dich in meinem Brief um häufige und	ausführliche	Nachricht gebeten über alles , was im Hauptquartier vorgeht ; schreibe mir oft , aber ich beschwöre Dich , schreibe mir nie die Wahrheit , schreibe mir nichts von dem , was wirklich dort geschieht , nichts von dem , was ihr hofft und fürchtet – nur das eine , daß Du lebst und meiner gedenkst .	die Hände des abgehenden Kuriers legt .Ich habe Dich in meinem Brief um häufige und ausführliche Nachricht gebeten über alles , was im Hauptquartier vorgeht ; schreibe mir oft , aber ich beschwöre Dich , schreibe mir nie die Wahrheit , schreibe mir nichts von dem , was wirklich dort geschieht , nichts von dem , was ihr hofft und fürchtet – nur das eine , daß Du lebst und meiner gedenkst .« rief Pawjel , seinen Handjar weit	2491	9	meding_plewna_plewna.tsv
ADJA	ADJA		ADJA	bevorzugt		Nichts desto weniger dürfen wir nicht vergessen , daß er nur eine der verschiedenen	bevorzugten	Formen der Primaten ist .	dem Menschen die Entstehung gegeben habe .Nichts desto weniger dürfen wir nicht vergessen , daß er nur eine der verschiedenen bevorzugten Formen der Primaten ist .Dagegen werden die menschenähnlichen Affen , nämlich	1801	14	strauss_glaube_glaube.tsv
ADJA	ADJA		ADJA	dumm		‹ » Kind , Würmle , « suchte sie die Kleine zu trösten , » was fallt dir denn ein – wer wird so weine ,	dummes	Dingele – « Sie schöpfte Atem : » Jetz isch 's Kätterle lang tot ; ihr ältster Bub hat's Häusle und e Stub voller Kinder .	« bat die Frau .‹ » Kind , Würmle , « suchte sie die Kleine zu trösten , » was fallt dir denn ein – wer wird so weine , dummes Dingele – « Sie schöpfte Atem : » Jetz isch 's Kätterle lang tot ; ihr ältster Bub hat's Häusle und e Stub voller Kinder .Es ist nicht auszudenken , was aus	459	26	villinge_rebaechl_rebaechl.tsv
ADJA	ADJA		VVFIN	eigen		Chor : Nicht hilf den Menschen fürder über alles Maß , Des	eignen	Unheils unbekümmert ; denn ich bin Der festen Hoffnung , daß du einst noch , dieser Qual Entfesselt , nicht von mindrer Macht wirst sein denn Zeus .	dem Götterknecht , kein Wort gegönnt !Chor : Nicht hilf den Menschen fürder über alles Maß , Des eignen Unheils unbekümmert ; denn ich bin Der festen Hoffnung , daß du einst noch , dieser Qual Entfesselt , nicht von mindrer Macht wirst sein denn Zeus .Drum wirst du Hüter dieses öden Felsens	239	12	aischylo_promethe_promethe.tsv
ADJA	ADJA		ADJA	ewig		So geht es immerfort im	ewigen	Kreislauf .	Residenzen in Deutschland sie aufweisen können .So geht es immerfort im ewigen Kreislauf .Der hier weit mehr , als man	1075	5	schopenj_niederrh_niederrh.tsv
ADJA	ADJA		ADJA	fein		Eine	feine	, alte Dame in Schwarz tritt auf mich zu und spricht mich an .	, als ich es so ansah .Eine feine , alte Dame in Schwarz tritt auf mich zu und spricht mich an .Als ich die Ähnlichkeit zum ersten Male	130	1	auburtin_feuillet_feuillet.tsv
ADJA	ADJA		ADJA	fest		Chor : Nicht hilf den Menschen fürder über alles Maß , Des eignen Unheils unbekümmert ; denn ich bin Der	festen	Hoffnung , daß du einst noch , dieser Qual Entfesselt , nicht von mindrer Macht wirst sein denn Zeus .	dem Götterknecht , kein Wort gegönnt !Chor : Nicht hilf den Menschen fürder über alles Maß , Des eignen Unheils unbekümmert ; denn ich bin Der festen Hoffnung , daß du einst noch , dieser Qual Entfesselt , nicht von mindrer Macht wirst sein denn Zeus .Drum wirst du Hüter dieses öden Felsens	239	20	aischylo_promethe_promethe.tsv
ADJA	ADJA		ADJA	fürchterlich		Wehe aber , wenn die Gesellschaft , die sich da im Weinhaus zusammenfand , ihm nicht genehm war , wenn beschränkte , spießige Köpfe an der Tafelrunde ihn störten , dann muß er vollständig unerträglich gewesen sein , einen ganz	fürchterlichen	Gebrauch von seiner Kunst , Fratzen zu schneiden , Leute in Verlegenheit zu bringen , zu erschrecken , gemacht haben .	nichts tun als nippen und gähnen .Wehe aber , wenn die Gesellschaft , die sich da im Weinhaus zusammenfand , ihm nicht genehm war , wenn beschränkte , spießige Köpfe an der Tafelrunde ihn störten , dann muß er vollständig unerträglich gewesen sein , einen ganz fürchterlichen Gebrauch von seiner Kunst , Fratzen zu schneiden , Leute in Verlegenheit zu bringen , zu erschrecken , gemacht haben .Im Grunde ist natürlich immer Hoffmann selbst	976	40	benjamin_radio_radio.tsv
