DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
ADV	ADV		ADV	aber		Ihr Haar war dunkelblond , ein wenig heller als das des Bruders , die Augen fast schwarz , funkelnd und stolz , zugleich	aber	zuweilen ungewöhnlich gütig .	nicht der Weichheit und Grazie beraubte .Ihr Haar war dunkelblond , ein wenig heller als das des Bruders , die Augen fast schwarz , funkelnd und stolz , zugleich aber zuweilen ungewöhnlich gütig .Rasumichin war mit seiner plötzlichen , im	9034	23	22509-Dostoevskij__F_dor_Michajlovi_.tsv
ADV	ADV		ADV	aber		« » Einmal muß	aber	die Geschichte doch ein End neh men , meinst nicht ?	Uhr vorbei und die Lene hinausgesperrt !« » Einmal muß aber die Geschichte doch ein End neh men , meinst nicht ?Der Hausmeister trabte durch den Hof und	1747	4	18343-Christen__Ada.tsv
ADV	ADV		ADV	auch		Natur hatte das Ihre gethan , um ihm diese Mühe zu ersparen , das wußte mein Vater , und so hätte er sie sich	auch	ersparen können .	erbärmliches und böswilliges on dit ist .Natur hatte das Ihre gethan , um ihm diese Mühe zu ersparen , das wußte mein Vater , und so hätte er sie sich auch ersparen können .Es ist daher besser , ich werfe	5364	24	99260-Sterne__Laurence.tsv
ADV	ADV		ADV	auch		Ich habe schon im vergangenen Jahre in Neapel ( 1821 ) die Beobachtung gemacht , daß ausgezeichnete Musik –	auch	ein gutes Ballett , ich denke an » Othello « und » Die Vestalin « , Balletts von Viganò , – mich an das denken macht , was tagsüber schon der Gegenstand meiner Träumereien war , und daß ich dabei meine besten Einfälle habe .	, in eine köstliche Frucht verwandelt .Ich habe schon im vergangenen Jahre in Neapel ( 1821 ) die Beobachtung gemacht , daß ausgezeichnete Musik – auch ein gutes Ballett , ich denke an » Othello « und » Die Vestalin « , Balletts von Viganò , – mich an das denken macht , was tagsüber schon der Gegenstand meiner Träumereien war , und daß ich dabei meine besten Einfälle habe .Ist unsre Geliebte unsre vertrauteste Freundin geworden	2182	19	99251-Stendhal.tsv
ADV	ADV		KON	doch		Dit künn dei Mann yrst recht nich fåten un saer tau dei Fruu : » Ja , Koenich sin is	doch	nich slicht !	un haer ne groote Kroon up .Dit künn dei Mann yrst recht nich fåten un saer tau dei Fruu : » Ja , Koenich sin is doch nich slicht !« – Un as dei Mann hen	125	20	64836-Jahn__Ulrich.tsv
ADV	ADV		ADV	einmal		« »	Einmal	muß aber die Geschichte doch ein End neh men , meinst nicht ?	Uhr vorbei und die Lene hinausgesperrt !« » Einmal muß aber die Geschichte doch ein End neh men , meinst nicht ?Der Hausmeister trabte durch den Hof und	1747	2	18343-Christen__Ada.tsv
ADV	ADV		ADV	fast		Ihr Haar war dunkelblond , ein wenig heller als das des Bruders , die Augen	fast	schwarz , funkelnd und stolz , zugleich aber zuweilen ungewöhnlich gütig .	nicht der Weichheit und Grazie beraubte .Ihr Haar war dunkelblond , ein wenig heller als das des Bruders , die Augen fast schwarz , funkelnd und stolz , zugleich aber zuweilen ungewöhnlich gütig .Rasumichin war mit seiner plötzlichen , im	9034	15	22509-Dostoevskij__F_dor_Michajlovi_.tsv
ADV	ADV		ADV	freilich		– In faden Harmlosigkeiten	freilich	darf ich mich dabei nicht ergehen , auf einige Verblüffung läuft es immer hinaus – dem Geschmack der Zeit muß man Konzessionen machen ... man muß ... Welcher Künstler ist groß geworden und hat das nicht getan ?	läßt sich darin nicht finden !.. .– In faden Harmlosigkeiten freilich darf ich mich dabei nicht ergehen , auf einige Verblüffung läuft es immer hinaus – dem Geschmack der Zeit muß man Konzessionen machen ... man muß ... Welcher Künstler ist groß geworden und hat das nicht getan ?Jetzt sind Sie 's nicht .	479	4	23119-Ebner_Eschenbach__Marie_von.tsv
ADV	ADV		ADV	hier		« » Warum	hier	?	einige Augenblicke zu mir , Effendi !« » Warum hier ?Sie hat einige Eigenschaften , welche mein	10842	3	79308-May__Karl.tsv
ADV	ADJA		ADJA	indes		– Hypothesen sind Wesen , die vater- und mutterlos sind , die	indeß	Vernunft und Erfahrung zu natürlichen Vormündern haben .	Mensch , der ohne Täuschungen wäre ?– Hypothesen sind Wesen , die vater- und mutterlos sind , die indeß Vernunft und Erfahrung zu natürlichen Vormündern haben .– Doch glaub' ich mich an dem	5153	12	62296-Hippel__Theodor_Gottlieb_von.tsv
