DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
PIS	PIAT		PIS	alle		«	Alle	lachten lauthals los .	ist ein bißchen zur Ader gelassen .« Alle lachten lauthals los .Er sah alle an , die da	2145	1	loens_wehrwolf_wehrwolf.tsv
PIS	PIAT		PIAT	alle		»	Alle	?	) » Da , hau ab !» Alle ?« ( Der Herzog nimmt die Pflaume	447	1	siebe_kasstrei_kasstrei.tsv
PIS	PIS		PIS	alle		Was man nicht	Alles	in der Hauptstadt lernt !	nur halb verborgenen Lippen beifällig schmunzelten .Was man nicht Alles in der Hauptstadt lernt !« Sie hatte die Hofthür gehen hören	3796	3	ebers_homosum_homosum.tsv
PIS	PIS		PIS	alle		« » Wir haben das ganze Schloß durchsucht , das Mittelgebäude sowohl wie die drei Türme dort , denn zu	allen	von außen sichtbaren Zimmern derselben führten Treppen und Korridore .	Mon dieu !« » Wir haben das ganze Schloß durchsucht , das Mittelgebäude sowohl wie die drei Türme dort , denn zu allen von außen sichtbaren Zimmern derselben führten Treppen und Korridore .« » Wie , das tut er	635	20	galen_jasmund2_jasmund2.tsv
PIS	PIS		PIS	alle		Ich habe Dich in meinem Brief um häufige und ausführliche Nachricht gebeten über	alles	, was im Hauptquartier vorgeht ; schreibe mir oft , aber ich beschwöre Dich , schreibe mir nie die Wahrheit , schreibe mir nichts von dem , was wirklich dort geschieht , nichts von dem , was ihr hofft und fürchtet – nur das eine , daß Du lebst und meiner gedenkst .	die Hände des abgehenden Kuriers legt .Ich habe Dich in meinem Brief um häufige und ausführliche Nachricht gebeten über alles , was im Hauptquartier vorgeht ; schreibe mir oft , aber ich beschwöre Dich , schreibe mir nie die Wahrheit , schreibe mir nichts von dem , was wirklich dort geschieht , nichts von dem , was ihr hofft und fürchtet – nur das eine , daß Du lebst und meiner gedenkst .« rief Pawjel , seinen Handjar weit	2491	13	meding_plewna_plewna.tsv
PIS	PIS		PIS	alle		« Ein Schauer überlief Espel ; er schob	alles	zusammen mit einer hastigen Bewegung heftig von sich in die dunkelste Ecke seines Schreibtisches unter das darüber angebrachte Büchergestell .	Wer von euch führt mich hin ?« Ein Schauer überlief Espel ; er schob alles zusammen mit einer hastigen Bewegung heftig von sich in die dunkelste Ecke seines Schreibtisches unter das darüber angebrachte Büchergestell .Wo wohnt er ?	131	8	herbert_rufnacht_rufnacht.tsv
PIS	PIS		PIS	alle		Wie kann sie's nur wagen , anständige Personen um ihren Besuch zu bitten ,	alles	bloß , um ihnen etwas von ihrer Unschuld vorzuklagen ?	hat , ist kaum zu glauben .Wie kann sie's nur wagen , anständige Personen um ihren Besuch zu bitten , alles bloß , um ihnen etwas von ihrer Unschuld vorzuklagen ?.	1292	14	fontane_5schloes_5schloes.tsv
PIS	NN		PIS	beide			Beide	, Selmann und Tobias , waren vor allen Dingen geschäftig , ihn loszumachen , und schnitten mit Messern so lange , bis alle Bande entzwei waren .	« – Tobias Knaut !Beide , Selmann und Tobias , waren vor allen Dingen geschäftig , ihn loszumachen , und schnitten mit Messern so lange , bis alle Bande entzwei waren .Ein so unbeweglicher lange anhaltender Blick mußte	4068	0	wezel_knaut_knaut.tsv
PIS	PIS		PIS	beide		Wir vermieden	beide	sorgfältig , über diese Gegenstände zu sprechen , und beide beurteilten wir uns falsch .	um seine schwache Seite nicht anzutasten .Wir vermieden beide sorgfältig , über diese Gegenstände zu sprechen , und beide beurteilten wir uns falsch .Sobald die Rede auf das Landleben kam	688	2	tolstoi_gluecehe_gluecehe.tsv
PIS	PIS		PIS	beide		Wir vermieden beide sorgfältig , über diese Gegenstände zu sprechen , und	beide	beurteilten wir uns falsch .	um seine schwache Seite nicht anzutasten .Wir vermieden beide sorgfältig , über diese Gegenstände zu sprechen , und beide beurteilten wir uns falsch .Sobald die Rede auf das Landleben kam	688	12	tolstoi_gluecehe_gluecehe.tsv
