DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
PTKANT	NE		ADV	gewiß		»	Gewiß	, Vater ; ich will sogar hinzufügen , daß die letzteren in der Mehrheit waren .	sich in unseren großen Fluß ergießt !» Gewiß , Vater ; ich will sogar hinzufügen , daß die letzteren in der Mehrheit waren .» Ja , « sagte sie .	6602	1	107522-Verne__Jules.tsv
PTKANT	NE		ADV	gewiß		–	Gewiß	, antwortete Jean , und wenn Sie es wünschen , will ich Ihnen gern die betreffenden Stellen übersetzen .	um allein draußen Wache zu stehen .– Gewiß , antwortete Jean , und wenn Sie es wünschen , will ich Ihnen gern die betreffenden Stellen übersetzen .Kurz , die Unterhaltung artete in keinen	6098	1	107530-Verne__Jules.tsv
PTKANT	NN		PTKANT	ja			Ja	es ereignete sich bey Absonderung der Todten / daß ihrer unterschiedene / welche auff oder nahe an einander lagen / einander in dem letzten Grimme Nasen und Finger abgebissen hatten .	Wallstatt zu herrlicherm Begräbnis-Gepränge weggeführet wurden .Ja es ereignete sich bey Absonderung der Todten / daß ihrer unterschiedene / welche auff oder nahe an einander lagen / einander in dem letzten Grimme Nasen und Finger abgebissen hatten .Die aber / welche von denen Deutschen	37673	0	78039-Lohenstein__Daniel_Casper_von.tsv
PTKANT	NE		NN	ja		Dit künn dei Mann yrst recht nich fåten un saer tau dei Fruu : »	Ja	, Koenich sin is doch nich slicht !	un haer ne groote Kroon up .Dit künn dei Mann yrst recht nich fåten un saer tau dei Fruu : » Ja , Koenich sin is doch nich slicht !« – Un as dei Mann hen	125	15	64836-Jahn__Ulrich.tsv
PTKANT	NE		NN	ja		» So ?! « »	Ja	, 's mag ein wohl wundernehmen .	Schauer und Schauer schüttelte seinen Leib .» So ?! « » Ja , 's mag ein wohl wundernehmen .Ah , der Herr Pfarrer , der	290	5	3477-Anzengruber__Ludwig.tsv
PTKANT	NE		NN	ja		–	Ja	, antwortete der Doctor , ein im Freien und ge schützt vor jeder Rückstrahlung angebrachtes Thermometer steigt nie und nirgends über hundertfünfunddreißig Grad über Null (+ 57 ° hunderttheilig ) , so wie es andererseits nicht unter zweiundsiebenzig Grad (– 58 ° hunderttheilig ) herabsinkt .	Zahl kein Zweifel sein kann .. .– Ja , antwortete der Doctor , ein im Freien und ge schützt vor jeder Rückstrahlung angebrachtes Thermometer steigt nie und nirgends über hundertfünfunddreißig Grad über Null (+ 57 ° hunderttheilig ) , so wie es andererseits nicht unter zweiundsiebenzig Grad (– 58 ° hunderttheilig ) herabsinkt .fragte der Zimmermann .	2196	1	107490-Verne__Jules.tsv
PTKANT	NE		NN	ja		–	Ja	, mein Junge , laß uns trinken .	und der Branntweinzusatz im Grog erhöht .– Ja , mein Junge , laß uns trinken .Wenn durch irgend einen Zufall ein Theil	1695	1	107489-Verne__Jules.tsv
PTKANT	PTKANT		PTKANT	ja			Ja	, ja !	laß dies das einzige Opfer sein !Ja , ja !Ewiger Richter im Himmel !	5924	0	26894-Fouqu___Caroline_de_la_Motte.tsv
PTKANT	NN		PTKANT	ja			Ja	, er hörte sie .	wie keine andere Gegend der Erde .Ja , er hörte sie .Diese Aussicht nach dem Osten und Norden	2032	0	74076-Liliencron__Detlev_von.tsv
PTKANT	NN		PTKANT	ja			Ja	, der zornige Schlesinger tut dem alten Dessauer unrecht , wenn er meint , daß derselbe nicht alle Mittel anwende , um die Kompositionen zum Gehen zu bringen .	Lobes sein krankes Gemüt erheitern könne .Ja , der zornige Schlesinger tut dem alten Dessauer unrecht , wenn er meint , daß derselbe nicht alle Mittel anwende , um die Kompositionen zum Gehen zu bringen .Es ist nicht seine Schuld , daß	491	0	59699-Heine__Heinrich.tsv
