DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
ADJD	NN		ADJD	alt			Alt	ist die Historie , bekannt ist die Geschicht ' , ausgeschrien ist die Begebenheit , welche sich mit dem guten Alt-Vater Noe zugetragen .	O wehe , o wehe solchen !Alt ist die Historie , bekannt ist die Geschicht ' , ausgeschrien ist die Begebenheit , welche sich mit dem guten Alt-Vater Noe zugetragen .Volsäus zu Londen , Albericus zu Prag	3249	0	4-Abraham_a_Sancta_Clara.tsv
ADJD	ADJD		ADJD	amerikanisch		Wenn die Entscheidung zugunsten Amerikas ausfällt , wird ein Teil der Claims am Forty Miles Creek	amerikanisch	.	Herr Skim , entgegnete der Scout .Wenn die Entscheidung zugunsten Amerikas ausfällt , wird ein Teil der Claims am Forty Miles Creek amerikanisch .Doch um von da aus nach der	6333	16	107542-Verne__Jules.tsv
ADJD	ADJD		ADJD	bekannt		Alt ist die Historie ,	bekannt	ist die Geschicht ' , ausgeschrien ist die Begebenheit , welche sich mit dem guten Alt-Vater Noe zugetragen .	O wehe , o wehe solchen !Alt ist die Historie , bekannt ist die Geschicht ' , ausgeschrien ist die Begebenheit , welche sich mit dem guten Alt-Vater Noe zugetragen .Volsäus zu Londen , Albericus zu Prag	3249	5	4-Abraham_a_Sancta_Clara.tsv
ADJD	ADJD		ADJD	erhaben		Die Sucht , recht ätherisch und	erhaben	zu werden , hat die Flachheit geboren ; es ist Alles kahl , glatt , sogar solid langweilig geworden !	genommen für innere und äußere Ausbildung ?Die Sucht , recht ätherisch und erhaben zu werden , hat die Flachheit geboren ; es ist Alles kahl , glatt , sogar solid langweilig geworden !Liebe ist nicht denkbar ohne Hingebung ,	5462	6	110547-Willkomm__Ernst_Adolf.tsv
ADJD	ADJD		ADJD	erstaunt		Jeder der Hausbesitzer erscheint mit einem Polizisten und ist sehr	erstaunt	, einen fremden Bewohner mit fremden Sachen in seinen Räumen zu finden .	Vermögen wieder in Ordnung bringen können .Jeder der Hausbesitzer erscheint mit einem Polizisten und ist sehr erstaunt , einen fremden Bewohner mit fremden Sachen in seinen Räumen zu finden .Mit denen falle ich sogar hinein .	41	10	25343-Ernst__Paul.tsv
ADJD	ADJD		VVPP	gebräuchlich		So kam er mit würdigem Anstande herbei , der Herzogin die Hand zu küssen , die indessen ihren Gemahl , den Herzog , hatte rufen lassen , dem sie , während Don Quixote näher kam , seine Abgesandtschaft erzählte ; und da beide den ersten Teil dieser Historie gelesen hatten und daraus die wunderliche Sinnesart des Don Quixote kannten , so erwarteten sie ihn mit dem größten Vergnügen und der heftigsten Neugier , indem sie sich vornahmen , seiner Laune zu folgen und in allem , was er sagen würde , mit ihm übereinzustimmen , ihn , solange er bei ihnen bliebe , ganz wie einen irrenden Ritter zu behandeln , mit allen jenen Zeremonien , die in den Ritterbüchern	gebräuchlich	sind , welche sie gelesen hatten und überdies sehr liebten .	und Höflichkeit bis zum Himmel erhob .So kam er mit würdigem Anstande herbei , der Herzogin die Hand zu küssen , die indessen ihren Gemahl , den Herzog , hatte rufen lassen , dem sie , während Don Quixote näher kam , seine Abgesandtschaft erzählte ; und da beide den ersten Teil dieser Historie gelesen hatten und daraus die wunderliche Sinnesart des Don Quixote kannten , so erwarteten sie ihn mit dem größten Vergnügen und der heftigsten Neugier , indem sie sich vornahmen , seiner Laune zu folgen und in allem , was er sagen würde , mit ihm übereinzustimmen , ihn , solange er bei ihnen bliebe , ganz wie einen irrenden Ritter zu behandeln , mit allen jenen Zeremonien , die in den Ritterbüchern gebräuchlich sind , welche sie gelesen hatten und überdies sehr liebten .« versetzte Don Quixote , » wende	6146	120	17702-Cervantes_Saavedra__Miguel_de.tsv
ADJD	ADJD		ADJD	genau		Denn wie er keinen Paßport bey dem Gouverneur auf zuweisen hatte / sagte dieser mit einer zwar höflichen doch unanständigen Mine ; er möchte sich so lange gedulten / biß auf gethanen Bericht andre Ordre deswegen vor Sr. Majestät einlieffe / weil ihm bey hoher Lebens-Straffe und sonder Betrachtung des Standes gebothen / diesen Befehl	genau	nachzukommen .	die andern Gefangenen vor Renardens Zimmer .Denn wie er keinen Paßport bey dem Gouverneur auf zuweisen hatte / sagte dieser mit einer zwar höflichen doch unanständigen Mine ; er möchte sich so lange gedulten / biß auf gethanen Bericht andre Ordre deswegen vor Sr. Majestät einlieffe / weil ihm bey hoher Lebens-Straffe und sonder Betrachtung des Standes gebothen / diesen Befehl genau nachzukommen .Wie nun Rosantes seinen Fürstlichen Stand offenbahret	1374	55	64549-Hunold__Christian_Friedrich.tsv
ADJD	ADJD		ADJD	glatt		Die Sucht , recht ätherisch und erhaben zu werden , hat die Flachheit geboren ; es ist Alles kahl ,	glatt	, sogar solid langweilig geworden !	genommen für innere und äußere Ausbildung ?Die Sucht , recht ätherisch und erhaben zu werden , hat die Flachheit geboren ; es ist Alles kahl , glatt , sogar solid langweilig geworden !Liebe ist nicht denkbar ohne Hingebung ,	5462	20	110547-Willkomm__Ernst_Adolf.tsv
ADJD	ADJD		ADJD	kahl		Die Sucht , recht ätherisch und erhaben zu werden , hat die Flachheit geboren ; es ist Alles	kahl	, glatt , sogar solid langweilig geworden !	genommen für innere und äußere Ausbildung ?Die Sucht , recht ätherisch und erhaben zu werden , hat die Flachheit geboren ; es ist Alles kahl , glatt , sogar solid langweilig geworden !Liebe ist nicht denkbar ohne Hingebung ,	5462	18	110547-Willkomm__Ernst_Adolf.tsv
ADJD	ADJD		ADJD	langweilig		Die Sucht , recht ätherisch und erhaben zu werden , hat die Flachheit geboren ; es ist Alles kahl , glatt , sogar solid	langweilig	geworden !	genommen für innere und äußere Ausbildung ?Die Sucht , recht ätherisch und erhaben zu werden , hat die Flachheit geboren ; es ist Alles kahl , glatt , sogar solid langweilig geworden !Liebe ist nicht denkbar ohne Hingebung ,	5462	24	110547-Willkomm__Ernst_Adolf.tsv
ADJD	ADJD		ADJD	nah		So kam er mit würdigem Anstande herbei , der Herzogin die Hand zu küssen , die indessen ihren Gemahl , den Herzog , hatte rufen lassen , dem sie , während Don Quixote	näher	kam , seine Abgesandtschaft erzählte ; und da beide den ersten Teil dieser Historie gelesen hatten und daraus die wunderliche Sinnesart des Don Quixote kannten , so erwarteten sie ihn mit dem größten Vergnügen und der heftigsten Neugier , indem sie sich vornahmen , seiner Laune zu folgen und in allem , was er sagen würde , mit ihm übereinzustimmen , ihn , solange er bei ihnen bliebe , ganz wie einen irrenden Ritter zu behandeln , mit allen jenen Zeremonien , die in den Ritterbüchern gebräuchlich sind , welche sie gelesen hatten und überdies sehr liebten .	und Höflichkeit bis zum Himmel erhob .So kam er mit würdigem Anstande herbei , der Herzogin die Hand zu küssen , die indessen ihren Gemahl , den Herzog , hatte rufen lassen , dem sie , während Don Quixote näher kam , seine Abgesandtschaft erzählte ; und da beide den ersten Teil dieser Historie gelesen hatten und daraus die wunderliche Sinnesart des Don Quixote kannten , so erwarteten sie ihn mit dem größten Vergnügen und der heftigsten Neugier , indem sie sich vornahmen , seiner Laune zu folgen und in allem , was er sagen würde , mit ihm übereinzustimmen , ihn , solange er bei ihnen bliebe , ganz wie einen irrenden Ritter zu behandeln , mit allen jenen Zeremonien , die in den Ritterbüchern gebräuchlich sind , welche sie gelesen hatten und überdies sehr liebten .« versetzte Don Quixote , » wende	6146	33	17702-Cervantes_Saavedra__Miguel_de.tsv
ADJD	ADJD		ADJD	nahe		Ja es ereignete sich bey Absonderung der Todten / daß ihrer unterschiedene / welche auff oder	nahe	an einander lagen / einander in dem letzten Grimme Nasen und Finger abgebissen hatten .	Wallstatt zu herrlicherm Begräbnis-Gepränge weggeführet wurden .Ja es ereignete sich bey Absonderung der Todten / daß ihrer unterschiedene / welche auff oder nahe an einander lagen / einander in dem letzten Grimme Nasen und Finger abgebissen hatten .Die aber / welche von denen Deutschen	37673	16	78039-Lohenstein__Daniel_Casper_von.tsv
ADJD	ADJD		ADJD	schuldig		« sollte er doch die Antwort nicht	schuldig	bleiben .	, und lassen es dabei bewenden .« sollte er doch die Antwort nicht schuldig bleiben .Ich übergehe den allgemeinen Vorwurf , der	3357	7	110273-Wieland__Christoph_Martin.tsv
ADJD	ADJD		ADJD	solid		Die Sucht , recht ätherisch und erhaben zu werden , hat die Flachheit geboren ; es ist Alles kahl , glatt , sogar	solid	langweilig geworden !	genommen für innere und äußere Ausbildung ?Die Sucht , recht ätherisch und erhaben zu werden , hat die Flachheit geboren ; es ist Alles kahl , glatt , sogar solid langweilig geworden !Liebe ist nicht denkbar ohne Hingebung ,	5462	23	110547-Willkomm__Ernst_Adolf.tsv
ADJD	ADJD		ADJD	spät		Wirklich wurden ihm zwei Jahre	später	einige Goldproben aus Neu-Süd-Wales zugesendet , und er entschied die Auswanderung einer großen Anzahl Arbeiter aus Cornwallis nach den Goldregionen Neu-Hollands .	werden ihn wiederfinden , nicht wahr ?Wirklich wurden ihm zwei Jahre später einige Goldproben aus Neu-Süd-Wales zugesendet , und er entschied die Auswanderung einer großen Anzahl Arbeiter aus Cornwallis nach den Goldregionen Neu-Hollands .erwiderte Paganel , und rieb sie heftig	1071	5	107493-Verne__Jules.tsv
ADJD	ADJA		NE	stark		Serra , ein Meer-Fisch / hat seinen Nahmen von der That / dann Serra heißt ein Sägen : der Fisch aber solle auf dem Rucken so scharpffe Stachlen haben / daß / wann er unter einem Schiff herschwimmt / und sich an selbem sehr	starck	reibet / es durchschneiden möge .	dritten Tag wird er uns auferwecken .Serra , ein Meer-Fisch / hat seinen Nahmen von der That / dann Serra heißt ein Sägen : der Fisch aber solle auf dem Rucken so scharpffe Stachlen haben / daß / wann er unter einem Schiff herschwimmt / und sich an selbem sehr starck reibet / es durchschneiden möge .Und dises ist / was der Prophet	8555	44	68510-Kobolt__Willibald.tsv
ADJD	VVPP		ADJD	verrückt		Ich wurde	verrückt	.	blauhaariger Vagabund in verwünschter Notzucht aufgedrungen .Ich wurde verrückt .Acht Monate hatte ich den Krieg getragen	37	2	67348-Klabund.tsv
