DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
VAIMP	NE		VAFIN	sein			Sei	freu 'n sick woll ok , dat Sei en Jungen hewwen .	un lat di en Appel gewen .Sei freu 'n sick woll ok , dat Sei en Jungen hewwen .Dat möt nich lang' hacken un knarren	3139	0	reuter_2franz_2franz.tsv
VAIMP	NE		VAFIN	sein		Und wenn die Eitelkeit zurückkehrte , so brachte sie neuerdings ihren eigenen Spiegel mit , einen Spiegel des neuen Kunstverstandes , und der erklärte : »	Sei	froh , dass du nicht mehr so glatt und rund aussiehst wie die Tuben in den Geschäftsregalen .	Nacht ächzte die Tube vor Kummer .Und wenn die Eitelkeit zurückkehrte , so brachte sie neuerdings ihren eigenen Spiegel mit , einen Spiegel des neuen Kunstverstandes , und der erklärte : » Sei froh , dass du nicht mehr so glatt und rund aussiehst wie die Tuben in den Geschäftsregalen .» Ich bin verunstaltet , « schrie	3	26	fabeln_woerdema_helmu275.tsv
VAIMP	NE		VAFIN	sein		Das war nun nicht wahr , denn Kasperle hatte beim Anblick der Prinzessin gleich ganz tief den Kopf gesenkt ; Marlenchen hatte ihn ermahnt : »	Sei	brav und ärgere sie nicht , Kasperle !	Land hinweg , hinüber nach Lindeneck .Das war nun nicht wahr , denn Kasperle hatte beim Anblick der Prinzessin gleich ganz tief den Kopf gesenkt ; Marlenchen hatte ihn ermahnt : » Sei brav und ärgere sie nicht , Kasperle !« Das ließ sich der gute Haushofmeister	2451	26	siebe_kasphimm_kasphimm.tsv
VAIMP	NE		VAFIN	sein		« »	Sei	ruhig , sei ruhig !	, ich bin's , dein Pate !« » Sei ruhig , sei ruhig !Und doch die Wut , zu schaffen	754	2	zola_daswerk_daswerk.tsv
VAIMP	NE		VAFIN	sein		« »	Sei	ruhig !	» Wie steht es ?« » Sei ruhig !« fragte der Graf halblaut auf polnisch	5588	2	wernere_vineta_vineta.tsv
VAIMP	NE		VAFIN	sein			Sei	tugendhaft , Callias ; fahre fort dich um den Beifall der Geister , und die Gunst der ätherischen Schönen zu bewerben ; rüste dich , dem Ungemach , das dein Platonismus dir in dieser Unterwelt zuziehen wird , großmütig entgegen zu gehen , und tröste dich , wenn du Leute siehst , die niedrig genug sind , sich an irdischen Glückseligkeiten zu weiden , mit dem frommen Gedanken , daß sie in dem andern Leben , wo die Reihe an dich kommt , glücklich zu sein , sich in den Flammen des Phlegeton wälzen werden .	wären , wenn sie allgemein würden ?Sei tugendhaft , Callias ; fahre fort dich um den Beifall der Geister , und die Gunst der ätherischen Schönen zu bewerben ; rüste dich , dem Ungemach , das dein Platonismus dir in dieser Unterwelt zuziehen wird , großmütig entgegen zu gehen , und tröste dich , wenn du Leute siehst , die niedrig genug sind , sich an irdischen Glückseligkeiten zu weiden , mit dem frommen Gedanken , daß sie in dem andern Leben , wo die Reihe an dich kommt , glücklich zu sein , sich in den Flammen des Phlegeton wälzen werden .Die gesunde Vernunft ist nicht für so	83	0	wieland_agathon_agathon.tsv
VAIMP	FM		VAFIN	sein			Sei	gut !	, sie sind mir gleich wert .Sei gut !Jetzt erst beginnt das Leben oder der	1471	0	schickel_benkal_benkal.tsv
VAIMP	NN		VAFIN	sein			Sei	unbeugsam wie eine Eisenstange .	« sagte sie ihm zum Abschluß .Sei unbeugsam wie eine Eisenstange .Sie zeichnete ihm in wenig Worten einen	1055	0	about_badenbad_badenbad.tsv
VAIMP	NE		VAFIN	sein		»	Sei	ruhig , ich gehe in den Stall und bleibe bei ihm , bis er aufwacht , « entgegnete Toni , aber Häspele hielt sie auf ; er wollte etwas zu trinken , denn er müßte schnell auf den Reitersberg , wo die Wache wartete .	wieder flott und selbsthandelnd zu machen .» Sei ruhig , ich gehe in den Stall und bleibe bei ihm , bis er aufwacht , « entgegnete Toni , aber Häspele hielt sie auf ; er wollte etwas zu trinken , denn er müßte schnell auf den Reitersberg , wo die Wache wartete .Dem Michel war unter dem vielen Hin-	38106	1	auerbach_dorfgsch-alle_dorfgsch.tsv
VAIMP	NE		VAFIN	sein			Sei	vernünftig , weine nicht , Gott , der die Raben füttert , welche nicht säen , wird den Gockel von Hanau nicht verderben lassen , der säen kann .	denkt , was soll daraus werden ?Sei vernünftig , weine nicht , Gott , der die Raben füttert , welche nicht säen , wird den Gockel von Hanau nicht verderben lassen , der säen kann .« und die Frau Hinkel immer mehr	1857	0	brentano_gockel_gockel.tsv
