DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
APPR	APPR		APPR	an		Sie hatten keinen gelehrten Begriff von der Kunst , aber eine desto größere Meinung von ihrer eignen Geschicklichkeit ; und wirklich konnt es ihnen	an	Anlage nicht fehlen , da die Abderiten überhaupt geborne Gaukler , Spaßmacher und Pantomimen waren , an denen immer jedes Glied ihres Leibes mit reden half , so wenig auch das , was sie sagten , zu bedeuten haben mochte .	sich sehr viel mit ihrem Theater .Sie hatten keinen gelehrten Begriff von der Kunst , aber eine desto größere Meinung von ihrer eignen Geschicklichkeit ; und wirklich konnt es ihnen an Anlage nicht fehlen , da die Abderiten überhaupt geborne Gaukler , Spaßmacher und Pantomimen waren , an denen immer jedes Glied ihres Leibes mit reden half , so wenig auch das , was sie sagten , zu bedeuten haben mochte .» « Da seht nun selbst ,	862	24	wieland_abdera_abdera.tsv
APPR	APPR		APPR	an		Sie hatten keinen gelehrten Begriff von der Kunst , aber eine desto größere Meinung von ihrer eignen Geschicklichkeit ; und wirklich konnt es ihnen an Anlage nicht fehlen , da die Abderiten überhaupt geborne Gaukler , Spaßmacher und Pantomimen waren ,	an	denen immer jedes Glied ihres Leibes mit reden half , so wenig auch das , was sie sagten , zu bedeuten haben mochte .	sich sehr viel mit ihrem Theater .Sie hatten keinen gelehrten Begriff von der Kunst , aber eine desto größere Meinung von ihrer eignen Geschicklichkeit ; und wirklich konnt es ihnen an Anlage nicht fehlen , da die Abderiten überhaupt geborne Gaukler , Spaßmacher und Pantomimen waren , an denen immer jedes Glied ihres Leibes mit reden half , so wenig auch das , was sie sagten , zu bedeuten haben mochte .» « Da seht nun selbst ,	862	41	wieland_abdera_abdera.tsv
APPR	APPR		APPR	auf			Auf	/ und wo der nechste Back-Ofen ist / da steckt den Betrüger in die volle Glut .	gedencken einer Rebellion schuldig zu seyn .Auf / und wo der nechste Back-Ofen ist / da steckt den Betrüger in die volle Glut .Geon .	1259	0	weise_masaniel_masaniel.tsv
APPR	APPR		APPR	auf		Ruhelos warf sie sich umher	auf	ihrem Lager , und mit heißem Kopf erhob sie sich in aller Herrgottsfrühe .	» Die silbernen Salzlöffelchen , Auguste !Ruhelos warf sie sich umher auf ihrem Lager , und mit heißem Kopf erhob sie sich in aller Herrgottsfrühe .Meiner Seel , Fräulein Liesel , wenn	381	5	heimburg_altelieb_altelieb.tsv
APPR	APPR		APPR	auf		Eine feine , alte Dame in Schwarz tritt	auf	mich zu und spricht mich an .	, als ich es so ansah .Eine feine , alte Dame in Schwarz tritt auf mich zu und spricht mich an .Als ich die Ähnlichkeit zum ersten Male	130	8	auburtin_feuillet_feuillet.tsv
APPR	APPR		APPR	bei			Bei	dem Vorgebirg Vincent Steht ein Turm mit Marmorschwellen ; Eine helle Fackel brennt Dort , den Erdball zu erhellen .	uns stets zu hören sie verlanget .Bei dem Vorgebirg Vincent Steht ein Turm mit Marmorschwellen ; Eine helle Fackel brennt Dort , den Erdball zu erhellen .Kein Fischer am Gestad , Kein Licht	891	0	freiligr_band1-3_band1-3.tsv
APPR	APPR		APPR	hinter		Sie hätte gern die Neugier gestillt , die in ihr lebendig wurde , aber Wicho schob sie vor den Hag hinaus und schloß	hinter	ihr das Tor .	kam Heilwig von den Ställen her .Sie hätte gern die Neugier gestillt , die in ihr lebendig wurde , aber Wicho schob sie vor den Hag hinaus und schloß hinter ihr das Tor .Wicho sprang hinaus auf die offene Lände	5152	23	ganghofe_martinsk_martinsk.tsv
APPR	APPR		APPR	in		Ruhelos warf sie sich umher auf ihrem Lager , und mit heißem Kopf erhob sie sich	in	aller Herrgottsfrühe .	» Die silbernen Salzlöffelchen , Auguste !Ruhelos warf sie sich umher auf ihrem Lager , und mit heißem Kopf erhob sie sich in aller Herrgottsfrühe .Meiner Seel , Fräulein Liesel , wenn	381	16	heimburg_altelieb_altelieb.tsv
APPR	APPR		APPR	in		Auf / und wo der nechste Back-Ofen ist / da steckt den Betrüger	in	die volle Glut .	gedencken einer Rebellion schuldig zu seyn .Auf / und wo der nechste Back-Ofen ist / da steckt den Betrüger in die volle Glut .Geon .	1259	13	weise_masaniel_masaniel.tsv
APPR	APPR		APPR	in		Eine feine , alte Dame	in	Schwarz tritt auf mich zu und spricht mich an .	, als ich es so ansah .Eine feine , alte Dame in Schwarz tritt auf mich zu und spricht mich an .Als ich die Ähnlichkeit zum ersten Male	130	5	auburtin_feuillet_feuillet.tsv
APPR	APPR		APPR	in		Sie hätte gern die Neugier gestillt , die	in	ihr lebendig wurde , aber Wicho schob sie vor den Hag hinaus und schloß hinter ihr das Tor .	kam Heilwig von den Ställen her .Sie hätte gern die Neugier gestillt , die in ihr lebendig wurde , aber Wicho schob sie vor den Hag hinaus und schloß hinter ihr das Tor .Wicho sprang hinaus auf die offene Lände	5152	8	ganghofe_martinsk_martinsk.tsv
