DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
ADJD	ADJD		ADJD	außerordentlich		Das war schwer , sehr schwer und klang aber doch so	außerordentlich	natürlich , so ungewollt , so ganz von selbst .	; hier war das eine Unmöglichkeit .Das war schwer , sehr schwer und klang aber doch so außerordentlich natürlich , so ungewollt , so ganz von selbst .Unser Gesang ist Kunst ; dieser war	2663	11	79322-May__Karl.tsv
ADJD	ADJD		ADJD	bewegungslos		An seinem Bett saß stumm , die dunklen Augen fast	bewegungslos	auf sein Gesicht geheftet , Abdallah ben Zarujah , der Emir aus der Hedjas , und am andern Ende der stumpfsinnige Schützling Nini's .	hob den Vorhang und öffnete sie .An seinem Bett saß stumm , die dunklen Augen fast bewegungslos auf sein Gesicht geheftet , Abdallah ben Zarujah , der Emir aus der Hedjas , und am andern Ende der stumpfsinnige Schützling Nini's .« Trotz aller Vorsicht der Obrigkeit ,	11048	10	31528-Goedsche__Herrmann.tsv
ADJD	PROAV		NN	dunkelblond		Ihr Haar war	dunkelblond	, ein wenig heller als das des Bruders , die Augen fast schwarz , funkelnd und stolz , zugleich aber zuweilen ungewöhnlich gütig .	nicht der Weichheit und Grazie beraubte .Ihr Haar war dunkelblond , ein wenig heller als das des Bruders , die Augen fast schwarz , funkelnd und stolz , zugleich aber zuweilen ungewöhnlich gütig .Rasumichin war mit seiner plötzlichen , im	9034	3	22509-Dostoevskij__F_dor_Michajlovi_.tsv
ADJD	ADJD		NE	edel		Im Anfang des vierzehnten Jahrhunderts nach Christi des Herrn Menschwerdung , hauste auf dem Schlößchen in Trochtelfingen , da wo man gen Bopfingen geht , Herr Gerung von Emmershofen , ein stattlicher Ritter ,	edel	von Geschlecht wie von Gesinnung .	gar sehr ähnliche Knäblein geboren hatte .Im Anfang des vierzehnten Jahrhunderts nach Christi des Herrn Menschwerdung , hauste auf dem Schlößchen in Trochtelfingen , da wo man gen Bopfingen geht , Herr Gerung von Emmershofen , ein stattlicher Ritter , edel von Geschlecht wie von Gesinnung .Emsig und verständig stand Frau Wiltrude ihrem	50	34	94482-Sch_ppner__Alexander.tsv
ADJD	ADJD		ADJD	funkelnd		Ihr Haar war dunkelblond , ein wenig heller als das des Bruders , die Augen fast schwarz ,	funkelnd	und stolz , zugleich aber zuweilen ungewöhnlich gütig .	nicht der Weichheit und Grazie beraubte .Ihr Haar war dunkelblond , ein wenig heller als das des Bruders , die Augen fast schwarz , funkelnd und stolz , zugleich aber zuweilen ungewöhnlich gütig .Rasumichin war mit seiner plötzlichen , im	9034	18	22509-Dostoevskij__F_dor_Michajlovi_.tsv
ADJD	ADJA		ADJD	gerecht		Mit wirbelnden Sinnen und unter tobenden Herzschlägen begann sie dieses Entsetzliche zu verstehen : Die Feinde hatten sie gefangen , hatten ihr das blutige Eisen aus der Faust gewunden und hatten sie zu ewiger Strafe verdammt ; und nun lag sie in diesem finsteren Kerker , zu	gerechter	Buße für die unmenschliche Tat , die sie begangen hatte im Grausen der Schlacht .	und klammerte sieh an das Geländer .Mit wirbelnden Sinnen und unter tobenden Herzschlägen begann sie dieses Entsetzliche zu verstehen : Die Feinde hatten sie gefangen , hatten ihr das blutige Eisen aus der Faust gewunden und hatten sie zu ewiger Strafe verdammt ; und nun lag sie in diesem finsteren Kerker , zu gerechter Buße für die unmenschliche Tat , die sie begangen hatte im Grausen der Schlacht .Ein Wörtl !	8472	47	27055-Ganghofer__Ludwig.tsv
ADJD	VVPP		ADJD	gewunden		Mit wirbelnden Sinnen und unter tobenden Herzschlägen begann sie dieses Entsetzliche zu verstehen : Die Feinde hatten sie gefangen , hatten ihr das blutige Eisen aus der Faust	gewunden	und hatten sie zu ewiger Strafe verdammt ; und nun lag sie in diesem finsteren Kerker , zu gerechter Buße für die unmenschliche Tat , die sie begangen hatte im Grausen der Schlacht .	und klammerte sieh an das Geländer .Mit wirbelnden Sinnen und unter tobenden Herzschlägen begann sie dieses Entsetzliche zu verstehen : Die Feinde hatten sie gefangen , hatten ihr das blutige Eisen aus der Faust gewunden und hatten sie zu ewiger Strafe verdammt ; und nun lag sie in diesem finsteren Kerker , zu gerechter Buße für die unmenschliche Tat , die sie begangen hatte im Grausen der Schlacht .Ein Wörtl !	8472	28	27055-Ganghofer__Ludwig.tsv
ADJD	ADJD		ADJD	groß		– In faden Harmlosigkeiten freilich darf ich mich dabei nicht ergehen , auf einige Verblüffung läuft es immer hinaus – dem Geschmack der Zeit muß man Konzessionen machen ... man muß ... Welcher Künstler ist	groß	geworden und hat das nicht getan ?	läßt sich darin nicht finden !.. .– In faden Harmlosigkeiten freilich darf ich mich dabei nicht ergehen , auf einige Verblüffung läuft es immer hinaus – dem Geschmack der Zeit muß man Konzessionen machen ... man muß ... Welcher Künstler ist groß geworden und hat das nicht getan ?Jetzt sind Sie 's nicht .	479	35	23119-Ebner_Eschenbach__Marie_von.tsv
ADJD	ADJD		ADJD	göttlich		Aus einem Himmelstürmer eine Glucke zu werden , – und dennoch in sich	göttlich	bleiben !	Ist das nicht Selbstverleugnung dem Teufel ?Aus einem Himmelstürmer eine Glucke zu werden , – und dennoch in sich göttlich bleiben !Bloß , um daß in des Genusses	3978	13	4089-Arnim__Bettina_von.tsv
ADJD	ADJD		ADJD	gütig		Ihr Haar war dunkelblond , ein wenig heller als das des Bruders , die Augen fast schwarz , funkelnd und stolz , zugleich aber zuweilen ungewöhnlich	gütig	.	nicht der Weichheit und Grazie beraubte .Ihr Haar war dunkelblond , ein wenig heller als das des Bruders , die Augen fast schwarz , funkelnd und stolz , zugleich aber zuweilen ungewöhnlich gütig .Rasumichin war mit seiner plötzlichen , im	9034	26	22509-Dostoevskij__F_dor_Michajlovi_.tsv
ADJD	ADJD		ADJD	heimlich		Er schaute sie an ,	heimlich	, mit dem inneren Auge , das streng war , und er sah die Veränderung , von der sie gesprochen ; er empfing das Bild , das sie gefordert .	, bis die berufene Helferin eintraf .Er schaute sie an , heimlich , mit dem inneren Auge , das streng war , und er sah die Veränderung , von der sie gesprochen ; er empfing das Bild , das sie gefordert .Die Schirmacher hatte in der Eile die	16135	5	108455-Wassermann__Jakob.tsv
ADJD	ADJD		NE	hell		Ihr Haar war dunkelblond , ein wenig	heller	als das des Bruders , die Augen fast schwarz , funkelnd und stolz , zugleich aber zuweilen ungewöhnlich gütig .	nicht der Weichheit und Grazie beraubte .Ihr Haar war dunkelblond , ein wenig heller als das des Bruders , die Augen fast schwarz , funkelnd und stolz , zugleich aber zuweilen ungewöhnlich gütig .Rasumichin war mit seiner plötzlichen , im	9034	7	22509-Dostoevskij__F_dor_Michajlovi_.tsv
ADJD	ADJD		ADJD	klein		Der Gedanke , die Talente dieser anmutigen Künstlerin mit den seinigen zu verbinden , ihre beiden Existenzen zu einer zu verschmelzen , eine künftige Familie	kleiner	, ihres Vaters und ihrer Mutter würdiger Cascabels zu gründen , lag für den wackeren Gaukler auf der Hand .	scharfsinnigen Manne gewiß nicht überraschen wird .Der Gedanke , die Talente dieser anmutigen Künstlerin mit den seinigen zu verbinden , ihre beiden Existenzen zu einer zu verschmelzen , eine künftige Familie kleiner , ihres Vaters und ihrer Mutter würdiger Cascabels zu gründen , lag für den wackeren Gaukler auf der Hand .... « fiel Ortik ein .	2928	25	107522-Verne__Jules.tsv
ADJD	ADJD		ADJD	leicht		» Ich wünschte ja nur deshalb , sie nur	leicht	von euch bestraft zu sehen , damit sie mir für eine schwere Sühne übrigbleiben .	« » Wer ?» Ich wünschte ja nur deshalb , sie nur leicht von euch bestraft zu sehen , damit sie mir für eine schwere Sühne übrigbleiben .Einem höflichen Worte aber wird mein Ohr	5619	9	79322-May__Karl.tsv
