DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
PIS	NN		NN	alle		Warum wollt Ihr denn bloß wissen , worin des Christen Bestimmung und Beruf bestehe , warum nicht vor	Allem	erfahren , was des Menschen würdig ist ?	Zuhörer in Menge um sich versammeln !Warum wollt Ihr denn bloß wissen , worin des Christen Bestimmung und Beruf bestehe , warum nicht vor Allem erfahren , was des Menschen würdig ist ?Laßt die Lehrer , die man Prediger	91	18	stirner_texte_gegenwor.tsv
PIS	PIS		PIS	alle		Der Präsident erteilte jedoch Kozina eine strenge Rüge und fügte hinzu , dass nach	allem	, was bisher sichergestellt wurde , die Choden sich ihrer Obrigkeit gegenüber wie Rebellen benommen haben , und insbesondere er , Kozina , möge bedenken , was hier auf dem Spiele stehe .	und verschwand dann in der Menge .Der Präsident erteilte jedoch Kozina eine strenge Rüge und fügte hinzu , dass nach allem , was bisher sichergestellt wurde , die Choden sich ihrer Obrigkeit gegenüber wie Rebellen benommen haben , und insbesondere er , Kozina , möge bedenken , was hier auf dem Spiele stehe .Der Greis hob die Hand und segnete	3059	14	jirasek_chodisch_chodisch.tsv
PIS	VVPP		PIS	alle		Das göttlich Gute , das vom Herrn ausgeht , wird	allen	im Himmel im allgemeinen und einzelnen mitgeteilt , doch allenthalben nach der Fähigkeit es aufzunehmen , denn einige nehmen wenig auf , und andere viel .	aus dem himmlisch Guten ; 9511 .Das göttlich Gute , das vom Herrn ausgeht , wird allen im Himmel im allgemeinen und einzelnen mitgeteilt , doch allenthalben nach der Fähigkeit es aufzunehmen , denn einige nehmen wenig auf , und andere viel ." Und sie sahen den Gott Israels	13841	10	swedborg_mose2_mose2.tsv
PIS	PIS		PIS	alle		Vorsehung , die da	alles	lenkt zum Heile , Schenkt durch ihr Licht dem Himmel Ruh , darinnen Ewig der andere kreist mit größter Eile .	ich des Schicksals Willkür gern erfahren .Vorsehung , die da alles lenkt zum Heile , Schenkt durch ihr Licht dem Himmel Ruh , darinnen Ewig der andere kreist mit größter Eile .« In seiner Tiefe sah ich im	4877	4	dante_goettko1_goettko1.tsv
PIS	PIS		PIS	alle		» Sie haben es gut getroffen , heute kann man ihn um	alles	bitten , er hat sich sattgebetet .	« Sie schwieg .» Sie haben es gut getroffen , heute kann man ihn um alles bitten , er hat sich sattgebetet .« » Wir haben ihm die Hände	1848	12	antholog_russchri_russchri.tsv
PIS	PIAT		PIS	alle		Über dem purpurnen langen Ärmelkleid trug sie ein himmelblaues , zart mit Gold gesäumtes , seidenes Obergewand , fast ebenso lang und mit weiten Armschlitzen ,	alles	ohne Gürtel oder andere Zutaten , weit in wallenden Falten .	und schaute unverwandt auf die Erscheinung .Über dem purpurnen langen Ärmelkleid trug sie ein himmelblaues , zart mit Gold gesäumtes , seidenes Obergewand , fast ebenso lang und mit weiten Armschlitzen , alles ohne Gürtel oder andere Zutaten , weit in wallenden Falten .‹ Der Pfad war hier neben dem	1530	26	keller_zuercher_zuercher.tsv
PIS	ADJA		PIS	andere		Vorsehung , die da alles lenkt zum Heile , Schenkt durch ihr Licht dem Himmel Ruh , darinnen Ewig der	andere	kreist mit größter Eile .	ich des Schicksals Willkür gern erfahren .Vorsehung , die da alles lenkt zum Heile , Schenkt durch ihr Licht dem Himmel Ruh , darinnen Ewig der andere kreist mit größter Eile .« In seiner Tiefe sah ich im	4877	20	dante_goettko1_goettko1.tsv
PIS	PIS		PIS	andere		Das göttlich Gute , das vom Herrn ausgeht , wird allen im Himmel im allgemeinen und einzelnen mitgeteilt , doch allenthalben nach der Fähigkeit es aufzunehmen , denn einige nehmen wenig auf , und	andere	viel .	aus dem himmlisch Guten ; 9511 .Das göttlich Gute , das vom Herrn ausgeht , wird allen im Himmel im allgemeinen und einzelnen mitgeteilt , doch allenthalben nach der Fähigkeit es aufzunehmen , denn einige nehmen wenig auf , und andere viel ." Und sie sahen den Gott Israels	13841	34	swedborg_mose2_mose2.tsv
PIS	PIS		PIS	beide		Meine Gründe bekehrten noch manchen andern , namentlich Collins und Ralph ; da sie aber	beide	, ohne die geringste Reue , mir großes Unrecht gethan hatten , und da ich an Keiths , eines anderen Freidenkers , Benehmen , sowie an mein eigenes Verfahren gegen Vernon und Miß Read , welches mich oft sehr quälte , dachte , so geriet ich auf die Vermutung , daß wenn diese Lehre auch wahr sein möchte , sie doch nicht sehr von Nutzen sei .	, als eben die Widerlegung selbst .Meine Gründe bekehrten noch manchen andern , namentlich Collins und Ralph ; da sie aber beide , ohne die geringste Reue , mir großes Unrecht gethan hatten , und da ich an Keiths , eines anderen Freidenkers , Benehmen , sowie an mein eigenes Verfahren gegen Vernon und Miß Read , welches mich oft sehr quälte , dachte , so geriet ich auf die Vermutung , daß wenn diese Lehre auch wahr sein möchte , sie doch nicht sehr von Nutzen sei .Es fielen mir einige Bände gegen den	1163	15	franklin_frankleb_frankleb.tsv
PIS	VVFIN		PIS	dergleichen		Läßt Sokrates sich	dergleichen	irgend angelegen sein ?	des Gefängnisses dir aufmachen gewollt hat .Läßt Sokrates sich dergleichen irgend angelegen sein ?Hippias : Ja .	6908	3	platon_platowr1_platowr1.tsv
