DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
PTKNEG	PTKNEG		PTKNEG	nicht		Bereitet Euch zu freudenvoller Kunde :	Nicht	länger ist Euch dieses Thor versperrt , Euch hält nicht Schloß noch Riegel mehr verwahrt ; Torquato , Ihr seyd frei !	So würde man Euch hingerichtet haben .Bereitet Euch zu freudenvoller Kunde : Nicht länger ist Euch dieses Thor versperrt , Euch hält nicht Schloß noch Riegel mehr verwahrt ; Torquato , Ihr seyd frei !Wer will denn Euren Tod , wem	518	6	zedlitz_kerkkron_kerkkron.tsv
PTKNEG	PTKNEG		PTKNEG	nicht		Ich hörte es , es sagte mir	nicht	viel .	man tötete die Moskitos mit Petroleum .Ich hörte es , es sagte mir nicht viel .Längst hatte ich aufgehört , zu arbeiten	1461	7	schwarze_gltal_gltal.tsv
PTKNEG	PTKNEG		PTKNEG	nicht		Es hat halt	nicht	jeder ein Feld !	sage , aber wahr ist es !Es hat halt nicht jeder ein Feld !» Und soll ich dir noch etwas	2297	3	kompert_ampflug_ampflug.tsv
PTKNEG	PTKNEG		PTKNEG	nicht		Ihr aber kennet mich und wisset , daß ich gottesfürchtig war mein Leben und mich Euch so leicht	nicht	hingegeben , daß Ihr müßtet besorgen , als könnt ich mich leichten Herzens mit einem anderen vergessen .	stellt , wie sie mir sagen .Ihr aber kennet mich und wisset , daß ich gottesfürchtig war mein Leben und mich Euch so leicht nicht hingegeben , daß Ihr müßtet besorgen , als könnt ich mich leichten Herzens mit einem anderen vergessen .Dazu fühlte er sich von unsichtbaren Augen	3573	18	david_hanna1_hanna1.tsv
PTKNEG	PTKNEG		PTKNEG	nicht		« Dem Wirt gefielen die Späße seines Gastes durchaus	nicht	, und er beschloß , es kurz zu machen und ihm den verwünschten Ritterschlag sogleich zu erteilen , ehe ein neues Unglück dazwischenkomme .	ist in solchen Schenken das Übliche .« Dem Wirt gefielen die Späße seines Gastes durchaus nicht , und er beschloß , es kurz zu machen und ihm den verwünschten Ritterschlag sogleich zu erteilen , ehe ein neues Unglück dazwischenkomme .» Ihr seid ein alberner , nichtsnutziger	1709	9	cervante_quijote1_quijote1.tsv
PTKNEG	PTKNEG		PTKNEG	nicht		« entgegnete der Hampelmann , » und ich will mich	nicht	schmutzig machen .	Verstanden ?« entgegnete der Hampelmann , » und ich will mich nicht schmutzig machen .Hebe es sorgfältig in die Polster des	1089	10	collodi_pinocchi_pinocchi.tsv
PTKNEG	PTKNEG		PTKNEG	nicht		« Dann erst er sein Gebet beschloß , ( Weiß	nicht	, ob 's klein war oder groß ) , Sprach dann , sich segnend : » Herr !	küßt' er , der ihm heilig .« Dann erst er sein Gebet beschloß , ( Weiß nicht , ob 's klein war oder groß ) , Sprach dann , sich segnend : » Herr !So traf er in der Nacht einmal	1742	10	antholog_schulged_schulged.tsv
PTKNEG	PTKNEG		PTKNEG	nicht		Ich dachte	nicht	daran , den Vertreter der großen englischen Fabrik in den Straßengräben zu suchen .	« Keine Antwort .Ich dachte nicht daran , den Vertreter der großen englischen Fabrik in den Straßengräben zu suchen .Er muß mir die Maschine laufen lassen	5117	2	eyth_imstrom2_imstrom2.tsv
PTKNEG	PTKNEG		PTKNEG	nicht		Sein Fleisch ging	nicht	aus dem Mann und Weib hervor , sondern wunderbarerweise in meiner Glut aus der lieblichsten Jungfrau .	, welche ein kostbares Salböl ist .Sein Fleisch ging nicht aus dem Mann und Weib hervor , sondern wunderbarerweise in meiner Glut aus der lieblichsten Jungfrau .Unter dem Salböl erhellt , daß mein	375	3	hildegar_wegwelt_wegwelt.tsv
PTKNEG	PTKNEG		PTKNEG	nicht		« » Nein , ich kenne ihn	nicht	, aber ich habe ihn gesehen ; es kann wenigstens kein anderer gewesen sein .	aber in dieser Woche wieder eintreffen .« » Nein , ich kenne ihn nicht , aber ich habe ihn gesehen ; es kann wenigstens kein anderer gewesen sein .Sie haben mich alle lieb , was	6163	7	gerstaec_arkansas_arkansas.tsv
PTKNEG	PTKNEG		PTKNEG	nicht		Warum treten Sie	nicht	in die englische Armee ein ?	will , daß du mich liebst .Warum treten Sie nicht in die englische Armee ein ?« » Ich mache keinen Gebrauch davon	10301	3	kraftr_kaiserk2_kaiserk2.tsv
PTKNEG	PTKNEG		PTKNEG	nicht		Nebenbei freilich blieb es	nicht	aus , daß sich früh ein kleiner Hochmuthsteufel ihr in den Nacken setzte , ihr das Näschen kräftig in die Höhe reckte und ihren Kindergeberden eine seltsam possirliche Würde lieh .	sprach Photinissa kurz mit ruhiger Ueberzeugung .Nebenbei freilich blieb es nicht aus , daß sich früh ein kleiner Hochmuthsteufel ihr in den Nacken setzte , ihr das Näschen kräftig in die Höhe reckte und ihren Kindergeberden eine seltsam possirliche Würde lieh .Folget mir !	442	4	hoffmaha_phaeaken_phaeaken.tsv
PTKNEG	PTKNEG		PTKNEG	nicht		Was das Schicksal mit uns vorhat , können wir beide	nicht	wissen .	warf einen schnellen Blick auf Eva .Was das Schicksal mit uns vorhat , können wir beide nicht wissen ."Waren Sie von jeher Branntweinhändler ?	483	10	meyrink_gruenges_gruenges.tsv
PTKNEG	PTKNEG		PTKNEG	nicht		Sie ließen	nicht	ab , sich in die Augen zu sehen , Wange auf Wange und Lippe auf Lippe zu schmiegen .	» O du ... !Sie ließen nicht ab , sich in die Augen zu sehen , Wange auf Wange und Lippe auf Lippe zu schmiegen .« Er fühlte es selber : Mittagsbrot	3758	2	lauff_heilnied_heilnied.tsv
PTKNEG	PTKNEG		PTKNEG	nicht		Er könne die Mittel übrigens ohne meine Beihilfe auf hunderterlei andere Art erhalten , wenn auch	nicht	ganz so leicht wie von mir – vielleicht werde er sie überhaupt nicht brauchen , und es falle ihm auch vorderhand nicht im entferntesten ein , sie zu benützen .	könne mir das ja gleichgültig sein .Er könne die Mittel übrigens ohne meine Beihilfe auf hunderterlei andere Art erhalten , wenn auch nicht ganz so leicht wie von mir – vielleicht werde er sie überhaupt nicht brauchen , und es falle ihm auch vorderhand nicht im entferntesten ein , sie zu benützen .Er meinte , zu nichts Bösem ;	18784	16	dickens_chuzzlew_chuzzlew.tsv
PTKNEG	PTKNEG		PTKNEG	nicht		Er könne die Mittel übrigens ohne meine Beihilfe auf hunderterlei andere Art erhalten , wenn auch nicht ganz so leicht wie von mir – vielleicht werde er sie überhaupt	nicht	brauchen , und es falle ihm auch vorderhand nicht im entferntesten ein , sie zu benützen .	könne mir das ja gleichgültig sein .Er könne die Mittel übrigens ohne meine Beihilfe auf hunderterlei andere Art erhalten , wenn auch nicht ganz so leicht wie von mir – vielleicht werde er sie überhaupt nicht brauchen , und es falle ihm auch vorderhand nicht im entferntesten ein , sie zu benützen .Er meinte , zu nichts Bösem ;	18784	29	dickens_chuzzlew_chuzzlew.tsv
PTKNEG	PTKNEG		PTKNEG	nicht		Er könne die Mittel übrigens ohne meine Beihilfe auf hunderterlei andere Art erhalten , wenn auch nicht ganz so leicht wie von mir – vielleicht werde er sie überhaupt nicht brauchen , und es falle ihm auch vorderhand	nicht	im entferntesten ein , sie zu benützen .	könne mir das ja gleichgültig sein .Er könne die Mittel übrigens ohne meine Beihilfe auf hunderterlei andere Art erhalten , wenn auch nicht ganz so leicht wie von mir – vielleicht werde er sie überhaupt nicht brauchen , und es falle ihm auch vorderhand nicht im entferntesten ein , sie zu benützen .Er meinte , zu nichts Bösem ;	18784	38	dickens_chuzzlew_chuzzlew.tsv
PTKNEG	PTKNEG		PTKNEG	nicht		Nur draußen auf dem Corridor vernehm' ich deutlich , wie sie ausruft : Ich bin nur ein armes Mädchen , aber dieses Schloß soll eher über mir zusammenstürzen – Damit ging er hinaus und noch denselben Tag verließ er das Schloß , und wir sahen ihn viele Jahre	nicht	wieder .	sie laut und heftig sprechen hörte .Nur draußen auf dem Corridor vernehm' ich deutlich , wie sie ausruft : Ich bin nur ein armes Mädchen , aber dieses Schloß soll eher über mir zusammenstürzen – Damit ging er hinaus und noch denselben Tag verließ er das Schloß , und wir sahen ihn viele Jahre nicht wieder .Bis Mitternacht blieb Alles drüben still .	847	48	heyse_imgrafen_imgrafen.tsv
