DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
PWS	PWS		PWS	was		Xaver	Was	geht das dich an ?	.Xaver Was geht das dich an ?.	149	1	ruederer_morgenrt_morgenrt.tsv
PWS	PWS		PWS	was			Was	den Inhalt der Gedichte betrifft , so besingt er vorzugsweise die Elemente , den Ozean , exotische Landschaften ( nach seiner Reise nach Mexiko ) und die Liebe ( aber nicht die Geliebte ) .	Verse , die an Feth gemahnte .Was den Inhalt der Gedichte betrifft , so besingt er vorzugsweise die Elemente , den Ozean , exotische Landschaften ( nach seiner Reise nach Mexiko ) und die Liebe ( aber nicht die Geliebte ) .Die Welt der nächtigen Seele zieht es	850	0	eliasber_russlite_russlite.tsv
PWS	PWS		PWS	was		Demipho :	Was	?	Ich muß dir zustimmen .Demipho : Was ?Syra geht Charinus : Beim Herkules ,	749	2	plautus_mercator_mercator.tsv
PWS	PWS		PWS	was			Was	sollte er anderes tun , wenn es so dunkel war und er sie erwarten wollte ?	nicht zu Hause , also schade .Was sollte er anderes tun , wenn es so dunkel war und er sie erwarten wollte ?Der Steuermann brauchte es gar nicht bemerkt	2190	0	stoessl_menschdm_menschdm.tsv
PWS	PWS		PWS	was			Was	ist zwischen ihnen vorgefallen ?	habe ihn übrigens lange nicht gesehen .Was ist zwischen ihnen vorgefallen ?» Gut , dass dich Kotyledo nicht	124	0	lasswitz_erz_weltges.tsv
PWS	PWS		PWS	was			Was	sollte mit meinen schönen Nelken werden ?	bringen , und wir stiegen aus .Was sollte mit meinen schönen Nelken werden ?Plötzlich schoß der Wagen einen Abhang hinunter	1889	0	schramm_inkreis_inkreis.tsv
PWS	PWS		PWS	was			Was	du mir nun selbst geraten , das wagte ich nicht , dich zu bitten ; da du mir aber aus Erbarmen selbst den Vorschlag machst , so lohne es dir Gott .	, Der Maie sie getröstet hat .Was du mir nun selbst geraten , das wagte ich nicht , dich zu bitten ; da du mir aber aus Erbarmen selbst den Vorschlag machst , so lohne es dir Gott .Die Vögel singen wie im Streit ,	3610	0	ulrichls_fraudns1_fraudns1.tsv
PWS	PWS		PWS	was		»	Was	?	oder Freude mächtiger in ihm sei .» Was ?Haftete doch an diesen braunen abgenützten Stühlen	1582	1	moerike_nolten_nolten.tsv
PWS	PWS		PWS	was			Was	der Rat durch sein Schellen begehrt hatte , wurde für Gundula sogleich ersichtlich .	und Unruhe fehlte es drum nicht .Was der Rat durch sein Schellen begehrt hatte , wurde für Gundula sogleich ersichtlich .Mittel , um den Gefangenen auszulösen ,	4502	0	gutzkow_hohensch_hohensch.tsv
PWS	PRELS		PWS	was		Darum nehmen wir , wenn sich uns Gelegenheit dazu bietet , die Frauen und Töchter der Weißen gefangen und geben sie ihnen gegen ein Lösegeld zurück , für welches wir uns dann kaufen ,	was	wir brauchen .	wir weder Estanzias noch Ranchos besitzen .Darum nehmen wir , wenn sich uns Gelegenheit dazu bietet , die Frauen und Töchter der Weißen gefangen und geben sie ihnen gegen ein Lösegeld zurück , für welches wir uns dann kaufen , was wir brauchen .« » Nun , kaufen können wir	11072	34	may_sendado2_sendado2.tsv
