DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
PTKNEG	ADJD		NE	nicht		Hei kann jo dor doch nicks vör , dat em Dörchläuchten	nich	ut sinen Löperdeinst gahn laten will .	dat Einzigste , wat hei kann .Hei kann jo dor doch nicks vör , dat em Dörchläuchten nich ut sinen Löperdeinst gahn laten will .– Ach , wo dat susen deiht	2620	11	reuter_doerchlt_doerchlt.tsv
PTKNEG	PTKNEG		PTKNEG	nicht		Ich bin belohnt genug , daß ich	nicht	zu spät kam , um seine Rechnung und sein Vergehn gegen Sie ins Gleiche zu bringen , und durch meine Anzeige die Polizei aufzufordern , ihm das Handwerk , wo nicht ganz zu legen , doch solchem eine zweckmäßigere Richtung für das gemeine Beste zu geben .	über alle gemeine Mitgesellen seiner Kunst .Ich bin belohnt genug , daß ich nicht zu spät kam , um seine Rechnung und sein Vergehn gegen Sie ins Gleiche zu bringen , und durch meine Anzeige die Polizei aufzufordern , ihm das Handwerk , wo nicht ganz zu legen , doch solchem eine zweckmäßigere Richtung für das gemeine Beste zu geben .« Wie Sabathier am Ende seines lehrreichen	9450	7	thuemmel_provinz_provinz.tsv
PTKNEG	PTKNEG		PTKNEG	nicht		Ich bin belohnt genug , daß ich nicht zu spät kam , um seine Rechnung und sein Vergehn gegen Sie ins Gleiche zu bringen , und durch meine Anzeige die Polizei aufzufordern , ihm das Handwerk , wo	nicht	ganz zu legen , doch solchem eine zweckmäßigere Richtung für das gemeine Beste zu geben .	über alle gemeine Mitgesellen seiner Kunst .Ich bin belohnt genug , daß ich nicht zu spät kam , um seine Rechnung und sein Vergehn gegen Sie ins Gleiche zu bringen , und durch meine Anzeige die Polizei aufzufordern , ihm das Handwerk , wo nicht ganz zu legen , doch solchem eine zweckmäßigere Richtung für das gemeine Beste zu geben .« Wie Sabathier am Ende seines lehrreichen	9450	38	thuemmel_provinz_provinz.tsv
PTKNEG	PTKNEG		PTKNEG	nicht		Schöneren Gewinn könnte das Kreuz	nicht	– « Sie warf nur leicht die Achsel zurück : » Wer arm ist , muß dienen « , und ergriff einen der Spielstäbe .	er mit besonderer Liebe daran hänge .Schöneren Gewinn könnte das Kreuz nicht – « Sie warf nur leicht die Achsel zurück : » Wer arm ist , muß dienen « , und ergriff einen der Spielstäbe .Ich bat zur heiligen Jungfrau , mich	1194	5	jensen_hansa3_hansa3.tsv
PTKNEG	PTKNEG		PTKNEG	nicht		» Welch eine grauenhafte Macht diese Furcht im Leben der Heiden bedeutet , können wir , die wir uns in Gottes Hand sicher wissen ,	nicht	ausdenken .	als die Ahnherrin der gotischen Kathedrale .» Welch eine grauenhafte Macht diese Furcht im Leben der Heiden bedeutet , können wir , die wir uns in Gottes Hand sicher wissen , nicht ausdenken .Gottes Wege sind unerforschlich .	2189	25	ernstp_credo_credo.tsv
PTKNEG	PTKNEG		PTKNEG	nicht		– Er war von Natur anspruchslos und bescheiden , und die schwierige Kunst , sich auf das äußerste einzuschränken , lernte er , da er auch besonnen und ehrenhaft war , verhältnismäßig schnell und leicht ; aber bei aller Sparsamkeit , der er sich befleißigte , gingen seine geringen Geldmittel nach kurzer Zeit schon auf die Neige , und er sah , daß der Tag	nicht	mehr fern war , wo er gänzlich verarmt dastehen würde .	wohl meine Mutter sehr lieb gehabt ?– Er war von Natur anspruchslos und bescheiden , und die schwierige Kunst , sich auf das äußerste einzuschränken , lernte er , da er auch besonnen und ehrenhaft war , verhältnismäßig schnell und leicht ; aber bei aller Sparsamkeit , der er sich befleißigte , gingen seine geringen Geldmittel nach kurzer Zeit schon auf die Neige , und er sah , daß der Tag nicht mehr fern war , wo er gänzlich verarmt dastehen würde .– Wie tief der Eindruck gewesen sein	119	65	lindaur_ganzlebn_ganzlebn.tsv
PTKNEG	PTKNEG		PTKNEG	nicht		» Du wirst es mir	nicht	übel nehmen ?	fleischigen Füßen , welche Nachschieber hießen .» Du wirst es mir nicht übel nehmen ?Dabei belehrte er mich , daß die	4072	5	berthold_gymnasia_gymnasia.tsv
PTKNEG	PTKNEG		PTKNEG	nicht		Es war eine gefährliche Genossenschaft ,	nicht	immer vermochte die eiserne Härte der alten Zeit sie zu bändigen .	täglich ein Pfund Fleisch haben müsse .Es war eine gefährliche Genossenschaft , nicht immer vermochte die eiserne Härte der alten Zeit sie zu bändigen .Auf Kirchhöfen und öffentlichen Plätzen lagen die	3591	6	freytag_dvergang_dvergang.tsv
PTKNEG	PTKNEG		PTKNEG	nicht		« » Hätt's lieber auch verkaufen sollen , die Liegenschaften von meinem seligen Weib , « sagte er , » die Wirtschaft ist unter fremden Händen	nicht	besser geworden ; alle Jahr' einmal hinreisen , das ist zu weit .	Der mußte auf der Stelle abdanken .« » Hätt's lieber auch verkaufen sollen , die Liegenschaften von meinem seligen Weib , « sagte er , » die Wirtschaft ist unter fremden Händen nicht besser geworden ; alle Jahr' einmal hinreisen , das ist zu weit .Das Meer lag in matter Bläue ,	1594	26	rosegger_abelsber_abelsber.tsv
PTKNEG	PTKNEG		PTKNEG	nicht		» Wie , Väterchen , das soll	nicht	Dubrowskij sein ?	zu erscheinen .» Wie , Väterchen , das soll nicht Dubrowskij sein ?« Der Abend war dunkel , der	1319	7	puschkin_erzaehlg_dubrowsk.tsv
