DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
$.	$.		$.	!		Man kann sie ja gar nicht zeigen da unten	!		wird sich Frisur und Robe zerdrücken .Man kann sie ja gar nicht zeigen da unten !Nun kam über ihn die Angst eines	5388	9	stratz_deutwund_deutwund.tsv
$.	$.		$.	!		Alle Leichen von der ganzen Welt bringt man uns her	!		, auch noch die Sterbegewänder liefern .Alle Leichen von der ganzen Welt bringt man uns her !» Unerhört !	1010	10	alejchem_hochzeit_hochzeit.tsv
$.	$.		$.	!		Chaibe	!		.Chaibe !.	2660	1	bierbaum_yankeedo_yankeedo.tsv
$.	$.		$.	.		Ruhelos warf sie sich umher auf ihrem Lager , und mit heißem Kopf erhob sie sich in aller Herrgottsfrühe	.		» Die silbernen Salzlöffelchen , Auguste !Ruhelos warf sie sich umher auf ihrem Lager , und mit heißem Kopf erhob sie sich in aller Herrgottsfrühe .Meiner Seel , Fräulein Liesel , wenn	381	19	heimburg_altelieb_altelieb.tsv
$.	$.		$.	.		Auf / und wo der nechste Back-Ofen ist / da steckt den Betrüger in die volle Glut	.		gedencken einer Rebellion schuldig zu seyn .Auf / und wo der nechste Back-Ofen ist / da steckt den Betrüger in die volle Glut .Geon .	1259	17	weise_masaniel_masaniel.tsv
$.	$.		$.	.		Zu sterben schien mir ein Genuß , Das Leben war nur Todeskuß	.		'n Und sollte mehr geschmackvoll sein .Zu sterben schien mir ein Genuß , Das Leben war nur Todeskuß .Fragte nicht , ob sie glücklich ist	605	12	dauthend_balzer_balzer.tsv
$.	$.		$.	.		Eine feine , alte Dame in Schwarz tritt auf mich zu und spricht mich an	.		, als ich es so ansah .Eine feine , alte Dame in Schwarz tritt auf mich zu und spricht mich an .Als ich die Ähnlichkeit zum ersten Male	130	15	auburtin_feuillet_feuillet.tsv
$.	$.		$.	.		Sie hätte gern die Neugier gestillt , die in ihr lebendig wurde , aber Wicho schob sie vor den Hag hinaus und schloß hinter ihr das Tor	.		kam Heilwig von den Ställen her .Sie hätte gern die Neugier gestillt , die in ihr lebendig wurde , aber Wicho schob sie vor den Hag hinaus und schloß hinter ihr das Tor .Wicho sprang hinaus auf die offene Lände	5152	27	ganghofe_martinsk_martinsk.tsv
$.	$.		$.	.		Chor : Nicht hilf den Menschen fürder über alles Maß , Des eignen Unheils unbekümmert ; denn ich bin Der festen Hoffnung , daß du einst noch , dieser Qual Entfesselt , nicht von mindrer Macht wirst sein denn Zeus	.		dem Götterknecht , kein Wort gegönnt !Chor : Nicht hilf den Menschen fürder über alles Maß , Des eignen Unheils unbekümmert ; denn ich bin Der festen Hoffnung , daß du einst noch , dieser Qual Entfesselt , nicht von mindrer Macht wirst sein denn Zeus .Drum wirst du Hüter dieses öden Felsens	239	40	aischylo_promethe_promethe.tsv
$.	$.		$.	.		Ich habe Dich in meinem Brief um häufige und ausführliche Nachricht gebeten über alles , was im Hauptquartier vorgeht ; schreibe mir oft , aber ich beschwöre Dich , schreibe mir nie die Wahrheit , schreibe mir nichts von dem , was wirklich dort geschieht , nichts von dem , was ihr hofft und fürchtet – nur das eine , daß Du lebst und meiner gedenkst	.		die Hände des abgehenden Kuriers legt .Ich habe Dich in meinem Brief um häufige und ausführliche Nachricht gebeten über alles , was im Hauptquartier vorgeht ; schreibe mir oft , aber ich beschwöre Dich , schreibe mir nie die Wahrheit , schreibe mir nichts von dem , was wirklich dort geschieht , nichts von dem , was ihr hofft und fürchtet – nur das eine , daß Du lebst und meiner gedenkst .« rief Pawjel , seinen Handjar weit	2491	66	meding_plewna_plewna.tsv
