DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
PRELAT	PRELAT		PRELAT	die		Beide Eigenschaften ,	deren	innige Wechselwirkung und Vereinigung den Poeten eigentlich ausmacht , finden sich bei diesem Schriftsteller in ungewöhnlich hohem Grad , und nichts fehlt , als daß sie sich auch wirklich miteinander vereinigt äußerten , daß seine Selbsttätigkeit sich mehr in sein Empfinden , daß seine Empfänglichkeit sich mehr in sein Denken mischte .	behaupten , seinem Leser mitteilen muß .Beide Eigenschaften , deren innige Wechselwirkung und Vereinigung den Poeten eigentlich ausmacht , finden sich bei diesem Schriftsteller in ungewöhnlich hohem Grad , und nichts fehlt , als daß sie sich auch wirklich miteinander vereinigt äußerten , daß seine Selbsttätigkeit sich mehr in sein Empfinden , daß seine Empfänglichkeit sich mehr in sein Denken mischte .Sein ernster Charakter läßt ihn zwar nie	434	3	96456-Schiller__Friedrich.tsv
PRELAT	PRELAT		PRELAT	die		Gegen Abend landete Kai-Koumou am Fuße der Berge ,	deren	erste Ausläufer an dem schmalen Ufer lothrecht herabfielen .	Stücke Papier , die aneinander hingen .Gegen Abend landete Kai-Koumou am Fuße der Berge , deren erste Ausläufer an dem schmalen Ufer lothrecht herabfielen .Man mußte einen Hammer gebrauchen , weil	4370	9	107493-Verne__Jules.tsv
PRELAT	PRELAT		PRELAT	die		– Kann das Menschen zurückhalten ,	deren	Sitten man so verdorben schildert und die man wirklich entsittlicht hat ?	Das Gewissen ?– Kann das Menschen zurückhalten , deren Sitten man so verdorben schildert und die man wirklich entsittlicht hat ?Wir brauchen hier nicht weit umzuspähen ,	1818	6	83703-Otto__Louise.tsv
PRELAT	PDS		PRELAT	die		« waren die Weindörfer Wiesen mit Laternen besät , bei	deren	Schein die Bewohner ihren Dünger bis aufs letzte Hälmchen wieder heimholten .	zwei Tage aus einem zu machen .« waren die Weindörfer Wiesen mit Laternen besät , bei deren Schein die Bewohner ihren Dünger bis aufs letzte Hälmchen wieder heimholten .So war nun das Dorf , wo	38	10	110322-Wildermuth__Ottilie.tsv
PRELAT	PRELAT		PRELAT	die		Der Castellan , seine Frau , seine Tochter , eine Magd und ein alter Invalid , der ehemals unter dem Vater der Gräfin Spanien gedient hatte und hier das Gnadenbrot verzehrte , das ihm die Gräfin reichte , waren die Bewohner des Schlosses ,	deren	Anzahl nun ganz unerwartet vermehrt wurde .	Rinaldo Weiberstimmen und Kindergeschrei zu hören .Der Castellan , seine Frau , seine Tochter , eine Magd und ein alter Invalid , der ehemals unter dem Vater der Gräfin Spanien gedient hatte und hier das Gnadenbrot verzehrte , das ihm die Gräfin reichte , waren die Bewohner des Schlosses , deren Anzahl nun ganz unerwartet vermehrt wurde .In den unterirdischen Winkeln war die Verwirrung	2037	44	107705-Vulpius__Christian_August.tsv
PRELAT	PDS		PDS	die		262 Der Philosophus Democritus hat immer gelacht / wenn er etwas neues gesehen / entgegen Heraclitus stets geweinet / wenn er der Leute Muthwillen betrachtet ; Anitzo solt Heraclitus der Welt Boßheit und Vngebühr / sonderlich der unbendigen Jugend / und	deren	Mütter verzärtlung ansehen / würd er sich drüber verwundern .	Regentenbuch pag. 644 .262 Der Philosophus Democritus hat immer gelacht / wenn er etwas neues gesehen / entgegen Heraclitus stets geweinet / wenn er der Leute Muthwillen betrachtet ; Anitzo solt Heraclitus der Welt Boßheit und Vngebühr / sonderlich der unbendigen Jugend / und deren Mütter verzärtlung ansehen / würd er sich drüber verwundern .238 Gottwinus ein Engelländischer Fürst wolt sich	1905	41	57929-Hammer__Matth_us.tsv
PRELAT	PDS		PDS	die		Als sie in	deren	Haus gelangt waren und sie nun so zwischen beiden saß , begann Titus , um die Schönheit der Braut seines Freundes zu betrachten , sie aufmerksam anzuschauen , und bald gefiel ihm jeder Teil an ihr so über alle Maßen , daß er sich , während er jene still bei sich lobte , so heftig für sie entflammte , wie irgendein Liebender sich je für ein Weib entzündete , jedoch ohne daß ein äußeres Zeichen dies verriet .	sobald wie möglich in Ordnung bringen .Als sie in deren Haus gelangt waren und sie nun so zwischen beiden saß , begann Titus , um die Schönheit der Braut seines Freundes zu betrachten , sie aufmerksam anzuschauen , und bald gefiel ihm jeder Teil an ihr so über alle Maßen , daß er sich , während er jene still bei sich lobte , so heftig für sie entflammte , wie irgendein Liebender sich je für ein Weib entzündete , jedoch ohne daß ein äußeres Zeichen dies verriet .So antwortete sie ihm denn entschlossen ,	6894	3	13915-Boccaccio__Giovanni.tsv
PRELAT	PDS		PDS	die		Wie könnte sie 's aber verwalten , da oft über einige Pelze an der Hudsonbai , über einige Flecken am Paraguaistrom in	deren	Lage bisweilen die Kriegführenden selbst sich geirrt haben , über einen Hafenplatz im Stillen Meer , Über Neckereien der Gouverneurs gegeneinander weltverwüstende Kriege geführt werden ?	A. d.H .Wie könnte sie 's aber verwalten , da oft über einige Pelze an der Hudsonbai , über einige Flecken am Paraguaistrom in deren Lage bisweilen die Kriegführenden selbst sich geirrt haben , über einen Hafenplatz im Stillen Meer , Über Neckereien der Gouverneurs gegeneinander weltverwüstende Kriege geführt werden ?214 D. i. der Wahrheit immer zu	5548	22	61283-Herder__Johann_Gottfried.tsv
PRELAT	PRELAT		PRELAT	die		In der Mitte derselben aber gewahrten sie auf einer großen Steinplatte , wie auf einem Bette hingestreckt , eine nackte Jungfrau ,	deren	Brust und Arme reich mit goldenen Ketten und Ringen geschmückt waren und aus deren dunklem Gelock goldene Spangen und schimmerndes Edelgestein blitzte .	ein geweihtes Licht spärlich erhellt wurden .In der Mitte derselben aber gewahrten sie auf einer großen Steinplatte , wie auf einem Bette hingestreckt , eine nackte Jungfrau , deren Brust und Arme reich mit goldenen Ketten und Ringen geschmückt waren und aus deren dunklem Gelock goldene Spangen und schimmerndes Edelgestein blitzte .) Vor Jahren hatte sich eine Anzahl	4	22	54074-Gr_sse__Johann_Georg_Theodor.tsv
PRELAT	PRELAT		PRELAT	die		« Dem Naturforscher Gaimard genügte die Kunde , die man bis jetzt von den , wahrscheinlich durch den Knall der Feuerwaffen vertriebenen Einwohnern erhalten hatte , noch nicht , und er beschloß , beseelt von dem Wunsche ,	deren	ganze Lebensweise näher kennen zu lernen , ein Stück in das Innere des Landes einzudringen .	ebenen und runden Berggipfeln des Eilandes .« Dem Naturforscher Gaimard genügte die Kunde , die man bis jetzt von den , wahrscheinlich durch den Knall der Feuerwaffen vertriebenen Einwohnern erhalten hatte , noch nicht , und er beschloß , beseelt von dem Wunsche , deren ganze Lebensweise näher kennen zu lernen , ein Stück in das Innere des Landes einzudringen .Am Meeresstrande bemerkt man hier und da	860	38	107559-Verne__Jules.tsv
