DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
PWAV	PWAV		PWAV	warum			Warum	wollt Ihr denn bloß wissen , worin des Christen Bestimmung und Beruf bestehe , warum nicht vor Allem erfahren , was des Menschen würdig ist ?	Zuhörer in Menge um sich versammeln !Warum wollt Ihr denn bloß wissen , worin des Christen Bestimmung und Beruf bestehe , warum nicht vor Allem erfahren , was des Menschen würdig ist ?Laßt die Lehrer , die man Prediger	91	0	stirner_texte_gegenwor.tsv
PWAV	PWAV		PWAV	warum		Und ihr kam die Frage ,	warum	der Geliebte nicht hier sein könnte , in diesen Räumen , statt des anderen , für den ihr Herz längst erstorben war .	stieg ihr unwillkürlich Stassingks Bild auf .Und ihr kam die Frage , warum der Geliebte nicht hier sein könnte , in diesen Räumen , statt des anderen , für den ihr Herz längst erstorben war .Dann , Maria , wirft Du vielleicht	483	6	ompteda_maria_maria.tsv
PWAV	PWAV		PWAV	warum		Warum wollt Ihr denn bloß wissen , worin des Christen Bestimmung und Beruf bestehe ,	warum	nicht vor Allem erfahren , was des Menschen würdig ist ?	Zuhörer in Menge um sich versammeln !Warum wollt Ihr denn bloß wissen , worin des Christen Bestimmung und Beruf bestehe , warum nicht vor Allem erfahren , was des Menschen würdig ist ?Laßt die Lehrer , die man Prediger	91	15	stirner_texte_gegenwor.tsv
PWAV	PWAV		PWAV	wie		Du gehst , wie ein Geist ohne Leib , dir selber zum kalten und staunenden Grauen ,	Wie	die Wolken , die unter dir sich fußlos an Abgründen halten .	Eisländer sich wie weiße indische Pfauen .Du gehst , wie ein Geist ohne Leib , dir selber zum kalten und staunenden Grauen , Wie die Wolken , die unter dir sich fußlos an Abgründen halten .Als ob im hohen , blauen Nichts	1188	17	dauthend_geflerde_geflerde.tsv
PWAV	PWAV		PWAV	wie			Wie	kann sie's nur wagen , anständige Personen um ihren Besuch zu bitten , alles bloß , um ihnen etwas von ihrer Unschuld vorzuklagen ?	hat , ist kaum zu glauben .Wie kann sie's nur wagen , anständige Personen um ihren Besuch zu bitten , alles bloß , um ihnen etwas von ihrer Unschuld vorzuklagen ?.	1292	0	fontane_5schloes_5schloes.tsv
PWAV	PWAV		PWAV	wie			Wie	ich genauer hinsehe , erkenne ich in allen Dingen dieselbe Schwermut , jeder Menschenblick ist ängstlich und falsch , jeder Ton gebrochen ... Auf allen Dingen liegt ein grauer Nebel , der jedes Licht verdeckt und jede Freude erstickt .	Wir fahren immer weiter und weiter .Wie ich genauer hinsehe , erkenne ich in allen Dingen dieselbe Schwermut , jeder Menschenblick ist ängstlich und falsch , jeder Ton gebrochen ... Auf allen Dingen liegt ein grauer Nebel , der jedes Licht verdeckt und jede Freude erstickt .Daß er ein Mensch war , der	1600	0	antholog_pfeiffen_pfeiffen.tsv
PWAV	PWAV		PWAV	wie		« » Da kam mir , Königsohn , der Gedanke : ›	Wie	, wenn ich mich nun noch weiter in athemlose Selbstverlierung verlöre ?	oder findet , oder finden wird .« » Da kam mir , Königsohn , der Gedanke : › Wie , wenn ich mich nun noch weiter in athemlose Selbstverlierung verlöre ?‹ » Was da gegründet ward von	4143	12	neumannk_buddho2_buddho2.tsv
PWAV	KOKOM		PWAV	wie		« » Wir haben das ganze Schloß durchsucht , das Mittelgebäude sowohl	wie	die drei Türme dort , denn zu allen von außen sichtbaren Zimmern derselben führten Treppen und Korridore .	Mon dieu !« » Wir haben das ganze Schloß durchsucht , das Mittelgebäude sowohl wie die drei Türme dort , denn zu allen von außen sichtbaren Zimmern derselben führten Treppen und Korridore .« » Wie , das tut er	635	12	galen_jasmund2_jasmund2.tsv
PWAV	PWAV		PWAV	wie		Du gehst ,	wie	ein Geist ohne Leib , dir selber zum kalten und staunenden Grauen , Wie die Wolken , die unter dir sich fußlos an Abgründen halten .	Eisländer sich wie weiße indische Pfauen .Du gehst , wie ein Geist ohne Leib , dir selber zum kalten und staunenden Grauen , Wie die Wolken , die unter dir sich fußlos an Abgründen halten .Als ob im hohen , blauen Nichts	1188	3	dauthend_geflerde_geflerde.tsv
PWAV	PWAV		PWAV	wie		Nun solle ich sehen , rief sie ,	wie	sie marschieren könne , und schlug einen Schritt ein , den ich sogleich zu mäßigen suchte .	Aber nein !Nun solle ich sehen , rief sie , wie sie marschieren könne , und schlug einen Schritt ein , den ich sogleich zu mäßigen suchte .Ich sagte aber , das gäbe sich	5080	8	kuegelgn_altmann_altmann.tsv
