DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
PAV	PROAV		PROAV	dabei		Weil er nun	dabei	selbst sang und die Musiker begünstigte , so fand man es nicht ganz seiner Würde gemäß , und die eingeladenen Gäste sowohl als die übrigen Landsleute erlaubten sich darüber manche lustige Anmerkung .	Affenbach lebte damals in gutem Ansehen .Weil er nun dabei selbst sang und die Musiker begünstigte , so fand man es nicht ganz seiner Würde gemäß , und die eingeladenen Gäste sowohl als die übrigen Landsleute erlaubten sich darüber manche lustige Anmerkung .Der Name von Affenbach ist bekannt .	4056	3	goethe_dichwah1_dichwah1.tsv
PAV	PROAV		PROAV	dabei		Die Zeremonien des Festes , die	dabei	handelnden oder zuschauenden Personen , Senatoren , Magistrate , Zünfte , Ritter und Volk , schöne Frauen , der Held des Tages , ein Poet im Gewande eines Königs , und der altertümliche , mit Teppichen und Blumen verzierte Saal im Kapitole Roms würden sich zu einem der glanzvollsten und seltsamsten Gemälde des Mittelalters vereinigen , wenn wir noch imstande wären , dasselbe getreu darzustellen .	Neugierde , bei vielen schwärmerische Begeisterung .Die Zeremonien des Festes , die dabei handelnden oder zuschauenden Personen , Senatoren , Magistrate , Zünfte , Ritter und Volk , schöne Frauen , der Held des Tages , ein Poet im Gewande eines Königs , und der altertümliche , mit Teppichen und Blumen verzierte Saal im Kapitole Roms würden sich zu einem der glanzvollsten und seltsamsten Gemälde des Mittelalters vereinigen , wenn wir noch imstande wären , dasselbe getreu darzustellen .Zu den Krönungen von Kaisern und Päpsten	28297	6	gregorov_stadtrom_stadtrom.tsv
PAV	PROAV		PROAV	dafür		Man hat sie nur von Helsingfors aus mit so großer Vorsicht weitergegeben , weil man keine Erklärung	dafür	weiß und daher an eine Täuschung denken mußte .	; eine andere Erklärung ist undenkbar .Man hat sie nur von Helsingfors aus mit so großer Vorsicht weitergegeben , weil man keine Erklärung dafür weiß und daher an eine Täuschung denken mußte .Allerdings konnte dieser wegen leichten Nebels ,	1569	17	lasswitz_auf2plan_auf2plan.tsv
PAV	PROAV		PROAV	dagegen		«	Dagegen	hatten alle angesehensten Männer ihm versichert , daß , wenn nur in England die Agitation fortgesetzt würde , der gegen das bestehende Gesetz geführte Schlag eine Aenderung hervorbringen könne und der angenehmen Hoffnung nachgebend , daß die besten Männer den schlechtesten gewachsen seien , drang er in mich , so viele Kräfte für seine Seite anzuwerben als möglich , und besonders , da er Scott's Ansprüche zu seinem Schlachtruf gemacht hatte , Lockhart Lockhart war der Schwiegersohn Sir Walter Scott's und sein Biograph .	diesen Punkt nicht lange in Zweifel .« Dagegen hatten alle angesehensten Männer ihm versichert , daß , wenn nur in England die Agitation fortgesetzt würde , der gegen das bestehende Gesetz geführte Schlag eine Aenderung hervorbringen könne und der angenehmen Hoffnung nachgebend , daß die besten Männer den schlechtesten gewachsen seien , drang er in mich , so viele Kräfte für seine Seite anzuwerben als möglich , und besonders , da er Scott's Ansprüche zu seinem Schlachtruf gemacht hatte , Lockhart Lockhart war der Schwiegersohn Sir Walter Scott's und sein Biograph .Er ging mit keiner ausdrücklichen Absicht nach	3997	1	forsterj_dickens-online_dickens1_dickens1.tsv
PAV	PROAV		PROAV	daher		Man hat sie nur von Helsingfors aus mit so großer Vorsicht weitergegeben , weil man keine Erklärung dafür weiß und	daher	an eine Täuschung denken mußte .	; eine andere Erklärung ist undenkbar .Man hat sie nur von Helsingfors aus mit so großer Vorsicht weitergegeben , weil man keine Erklärung dafür weiß und daher an eine Täuschung denken mußte .Allerdings konnte dieser wegen leichten Nebels ,	1569	20	lasswitz_auf2plan_auf2plan.tsv
PAV	PROAV		PTKVZ	dahin		In wechselnder Folge der Gedanken , Gefühle und Entwürfe , ohne sich um die eingebrochene Nacht , um die ringsher niederfallenden Schneeflocken , oder die Mahnungen des nüchternen Magens , zu kümmern , schritt er hastig	dahin	.	rief Flavian .In wechselnder Folge der Gedanken , Gefühle und Entwürfe , ohne sich um die eingebrochene Nacht , um die ringsher niederfallenden Schneeflocken , oder die Mahnungen des nüchternen Magens , zu kümmern , schritt er hastig dahin .Verflucht sei das Gesindel !	629	36	zschokke_disentis_disentis.tsv
PAV	PROAV		PROAV	darauf		« Sie stand auf , näherte sich der Tür und sagte kläglich : » Und ich freute mich schon so	darauf	, auch mal herauszukommen und ,.. die schönen Chrysanthemen zu sehen .	die bei solchen Abreisen üblich sind .« Sie stand auf , näherte sich der Tür und sagte kläglich : » Und ich freute mich schon so darauf , auch mal herauszukommen und ,.. die schönen Chrysanthemen zu sehen .– Ein Durcheinander von Stimmen ging hin	3833	20	heyking_liebedip_liebedip.tsv
PAV	PROAV		PROAV	daraus		Aber siehe , nun kommen die Ovambos und fischen mit feinen Pinzetten etwas Leuchtendes	daraus	heraus .	Zentrum sich schwarze Steine angesammelt haben .Aber siehe , nun kommen die Ovambos und fischen mit feinen Pinzetten etwas Leuchtendes daraus heraus .Die Wüste siebt sich ganz von selbst	168	14	faber_tausend_tausend.tsv
PAV	PROAV		PROAV	darin		» Ich habe irgendwo gelesen , der Hauptnutzen der Philosophie liege	darin	, daß sie sterben lehre .	» Wie weit gegangen , Herr ?» Ich habe irgendwo gelesen , der Hauptnutzen der Philosophie liege darin , daß sie sterben lehre .» Indessen , « setzte er hinzu	962	11	fielding_tomjone6_tomjone6.tsv
PAV	PROAV		PROAV	darin		Der Hauptzeitvertreib der Kinder der Nachbarschaft hatte	darin	bestanden , sich in Haufen auf den Türschwellen zu versammeln und , zum großen Behagen der Nächstwohnenden überhaupt und der nervenschwachen Dame gegenüber insbesondere , unaufhörliche Klopfübungen aller Art anzustellen .	Zeit begann unsere Bekanntschaft mit ihm .Der Hauptzeitvertreib der Kinder der Nachbarschaft hatte darin bestanden , sich in Haufen auf den Türschwellen zu versammeln und , zum großen Behagen der Nächstwohnenden überhaupt und der nervenschwachen Dame gegenüber insbesondere , unaufhörliche Klopfübungen aller Art anzustellen .Der Besitzer geriet in Verlegenheit und das	165	7	dickens_londoner_londoner.tsv
