DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
FM.la	NN		NN	anden		Leur couche est plus épaisse vers Pinantura que sur des points plus rapprochés d' Antisana. L'état fragmentaire est un effet du soulèvement local , et souvent dans la Cordillère des	Andes	les tremblements de terre peuvent être produits par des tassements .	prétendue coulée d' Antisana vers Pinantura .Leur couche est plus épaisse vers Pinantura que sur des points plus rapprochés d' Antisana. L'état fragmentaire est un effet du soulèvement local , et souvent dans la Cordillère des Andes les tremblements de terre peuvent être produits par des tassements .« Ich bin weit entfernt an dem	5224	30	humbolda_kosmos_kosmos.tsv
FM.la	NE		NE	charmides			Charmides	.	Charmides .Charmides .Aber einem Ehrenmann Ist es doch der	1124	0	plautus_trinumm_trinumm.tsv
FM.la	NE		NE	christel		Un	Christel	meent , he sall man en Jüdscher sinn .	de Stuben sind ooch all tapziert .Un Christel meent , he sall man en Jüdscher sinn .Ich denke , so nächste Woche .	1561	1	fontane_adultera_adultera.tsv
FM.la	FM		NE	cordillere		Leur couche est plus épaisse vers Pinantura que sur des points plus rapprochés d' Antisana. L'état fragmentaire est un effet du soulèvement local , et souvent dans la	Cordillère	des Andes les tremblements de terre peuvent être produits par des tassements .	prétendue coulée d' Antisana vers Pinantura .Leur couche est plus épaisse vers Pinantura que sur des points plus rapprochés d' Antisana. L'état fragmentaire est un effet du soulèvement local , et souvent dans la Cordillère des Andes les tremblements de terre peuvent être produits par des tassements .« Ich bin weit entfernt an dem	5224	28	humbolda_kosmos_kosmos.tsv
FM.la	FM		NE	dans		Leur couche est plus épaisse vers Pinantura que sur des points plus rapprochés d' Antisana. L'état fragmentaire est un effet du soulèvement local , et souvent	dans	la Cordillère des Andes les tremblements de terre peuvent être produits par des tassements .	prétendue coulée d' Antisana vers Pinantura .Leur couche est plus épaisse vers Pinantura que sur des points plus rapprochés d' Antisana. L'état fragmentaire est un effet du soulèvement local , et souvent dans la Cordillère des Andes les tremblements de terre peuvent être produits par des tassements .« Ich bin weit entfernt an dem	5224	26	humbolda_kosmos_kosmos.tsv
FM.la	NE		NE	de		Leur couche est plus épaisse vers Pinantura que sur des points plus rapprochés d' Antisana. L'état fragmentaire est un effet du soulèvement local , et souvent dans la Cordillère des Andes les tremblements	de	terre peuvent être produits par des tassements .	prétendue coulée d' Antisana vers Pinantura .Leur couche est plus épaisse vers Pinantura que sur des points plus rapprochés d' Antisana. L'état fragmentaire est un effet du soulèvement local , et souvent dans la Cordillère des Andes les tremblements de terre peuvent être produits par des tassements .« Ich bin weit entfernt an dem	5224	33	humbolda_kosmos_kosmos.tsv
FM.la	ART		ART	des		Leur couche est plus épaisse vers Pinantura que sur des points plus rapprochés d' Antisana. L'état fragmentaire est un effet du soulèvement local , et souvent dans la Cordillère	des	Andes les tremblements de terre peuvent être produits par des tassements .	prétendue coulée d' Antisana vers Pinantura .Leur couche est plus épaisse vers Pinantura que sur des points plus rapprochés d' Antisana. L'état fragmentaire est un effet du soulèvement local , et souvent dans la Cordillère des Andes les tremblements de terre peuvent être produits par des tassements .« Ich bin weit entfernt an dem	5224	29	humbolda_kosmos_kosmos.tsv
FM.la	ART		ART	des		Leur couche est plus épaisse vers Pinantura que sur des points plus rapprochés d' Antisana. L'état fragmentaire est un effet du soulèvement local , et souvent dans la Cordillère des Andes les tremblements de terre peuvent être produits par	des	tassements .	prétendue coulée d' Antisana vers Pinantura .Leur couche est plus épaisse vers Pinantura que sur des points plus rapprochés d' Antisana. L'état fragmentaire est un effet du soulèvement local , et souvent dans la Cordillère des Andes les tremblements de terre peuvent être produits par des tassements .« Ich bin weit entfernt an dem	5224	39	humbolda_kosmos_kosmos.tsv
FM.la	ADJA		NE	et		Leur couche est plus épaisse vers Pinantura que sur des points plus rapprochés d' Antisana. L'état fragmentaire est un effet du soulèvement local ,	et	souvent dans la Cordillère des Andes les tremblements de terre peuvent être produits par des tassements .	prétendue coulée d' Antisana vers Pinantura .Leur couche est plus épaisse vers Pinantura que sur des points plus rapprochés d' Antisana. L'état fragmentaire est un effet du soulèvement local , et souvent dans la Cordillère des Andes les tremblements de terre peuvent être produits par des tassements .« Ich bin weit entfernt an dem	5224	24	humbolda_kosmos_kosmos.tsv
FM.la	ADJD		FM	he		Un Christel meent ,	he	sall man en Jüdscher sinn .	de Stuben sind ooch all tapziert .Un Christel meent , he sall man en Jüdscher sinn .Ich denke , so nächste Woche .	1561	4	fontane_adultera_adultera.tsv
