DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
VVINF	VVINF		VVINF	atmen		Die Schwester : Ich weiß : Du liebst ... Als der Vorhang gefallen war und der Kronleuchter aufflammte , herrschte Schweigen , in dem man sie	atmen	hörte .	« , riefen sie im Chor .Die Schwester : Ich weiß : Du liebst ... Als der Vorhang gefallen war und der Kronleuchter aufflammte , herrschte Schweigen , in dem man sie atmen hörte .Sie wuchsen vor ihm empor .	1093	26	schickel_benkal_benkal.tsv
VVINF	VVINF		VVINF	behängen		Mir erscheint es vielmehr komisch , mit nackten Beinen in den Urwald zu wollen und das Pferd mit Flittern zu	behängen	, während der Reiter die Hose und Jacke voller Flecke und Löcher hat .	nichts Gewalttätiges und Hinterlistiges unternehmen werden ?Mir erscheint es vielmehr komisch , mit nackten Beinen in den Urwald zu wollen und das Pferd mit Flittern zu behängen , während der Reiter die Hose und Jacke voller Flecke und Löcher hat .Ich werde sie durchsuchen lassen !	10443	20	may_sendado1_sendado1.tsv
VVINF	VVINF		VVINF	benützen		Er könne die Mittel übrigens ohne meine Beihilfe auf hunderterlei andere Art erhalten , wenn auch nicht ganz so leicht wie von mir – vielleicht werde er sie überhaupt nicht brauchen , und es falle ihm auch vorderhand nicht im entferntesten ein , sie zu	benützen	.	könne mir das ja gleichgültig sein .Er könne die Mittel übrigens ohne meine Beihilfe auf hunderterlei andere Art erhalten , wenn auch nicht ganz so leicht wie von mir – vielleicht werde er sie überhaupt nicht brauchen , und es falle ihm auch vorderhand nicht im entferntesten ein , sie zu benützen .Er meinte , zu nichts Bösem ;	18784	45	dickens_chuzzlew_chuzzlew.tsv
VVINF	VVINF		VVINF	erzählen		« » Er wüsste aber genug zu	erzählen	« , fuhr Kurt eifrig fort .	mehr mit diesen zwei zusammenkommen müsste !« » Er wüsste aber genug zu erzählen « , fuhr Kurt eifrig fort .» Ja , wenn du nur dabei	869	7	spyri_wildenst_wildenst.tsv
VVINF	VVINF		VVINF	fühlen		Sie tummelten sich mitten im ärgsten Sturme auf dem Eise herum und schienen sich dabei außerordentlich wohl zu	fühlen	.	vergessen , wie das eigentlich war .Sie tummelten sich mitten im ärgsten Sturme auf dem Eise herum und schienen sich dabei außerordentlich wohl zu fühlen .Welch seltsames Gefühl , die Füße wieder	870	18	nansen_nachtei3_nachtei3.tsv
VVINF	VVINF		VVINF	hinaufschießen		Ihre Antwort sollte das Mädchen auf ein Zettelchen schreiben , diesen mit ein wenig Wachs oder Pech an einen Rohrpfeil kleben und durch ihren Bruder zu mir	hinaufschießen	lassen .	einer Antwort von ihrer Seite fest .Ihre Antwort sollte das Mädchen auf ein Zettelchen schreiben , diesen mit ein wenig Wachs oder Pech an einen Rohrpfeil kleben und durch ihren Bruder zu mir hinaufschießen lassen .Aber dennoch arbeitete ich im Geiste schon	10	27	seidelh_lindenbm_lindenbm.tsv
VVINF	VVFIN		VVINF	kleben		Ihre Antwort sollte das Mädchen auf ein Zettelchen schreiben , diesen mit ein wenig Wachs oder Pech an einen Rohrpfeil	kleben	und durch ihren Bruder zu mir hinaufschießen lassen .	einer Antwort von ihrer Seite fest .Ihre Antwort sollte das Mädchen auf ein Zettelchen schreiben , diesen mit ein wenig Wachs oder Pech an einen Rohrpfeil kleben und durch ihren Bruder zu mir hinaufschießen lassen .Aber dennoch arbeitete ich im Geiste schon	10	20	seidelh_lindenbm_lindenbm.tsv
VVINF	VVINF		VVINF	lassen		Ihre Antwort sollte das Mädchen auf ein Zettelchen schreiben , diesen mit ein wenig Wachs oder Pech an einen Rohrpfeil kleben und durch ihren Bruder zu mir hinaufschießen	lassen	.	einer Antwort von ihrer Seite fest .Ihre Antwort sollte das Mädchen auf ein Zettelchen schreiben , diesen mit ein wenig Wachs oder Pech an einen Rohrpfeil kleben und durch ihren Bruder zu mir hinaufschießen lassen .Aber dennoch arbeitete ich im Geiste schon	10	28	seidelh_lindenbm_lindenbm.tsv
VVINF	VVINF		VVINF	machen		Als ich , wie mir der Narr , der schöne Bogislaus gerathen hatte , von hinten an ihn heranzukommen suchte , um ihm meinen Dank für den Doktor der Weltweisheit mit Rührung anzubringen , und Sie mich mit aus seiner Stube schoben , um , wie Sie sagten , der greulichen Scene ein Ende zu	machen	, da habe ich freilich schon merken können , in was für einer heiteren Schule er Sie gehabt hat , Rosine .	Können Sie Verwesung riechen ?Als ich , wie mir der Narr , der schöne Bogislaus gerathen hatte , von hinten an ihn heranzukommen suchte , um ihm meinen Dank für den Doktor der Weltweisheit mit Rührung anzubringen , und Sie mich mit aus seiner Stube schoben , um , wie Sie sagten , der greulichen Scene ein Ende zu machen , da habe ich freilich schon merken können , in was für einer heiteren Schule er Sie gehabt hat , Rosine .Können Sie Blut sehen ?	2986	55	raabe_lar_lar.tsv
VVINF	VVINF		VVINF	machen		Mein Wirt freute sich , dieses Gespräch mit angehört zu haben , und sagte mir : » Da Sie die Absicht haben , einige Zeit hier am Orte zu verweilen , so tun Sie gut , wenn Sie dem Capitano oder Landvogt einen Besuch	machen	.	für einige Augenblicke beraubt gewesen bin .Mein Wirt freute sich , dieses Gespräch mit angehört zu haben , und sagte mir : » Da Sie die Absicht haben , einige Zeit hier am Orte zu verweilen , so tun Sie gut , wenn Sie dem Capitano oder Landvogt einen Besuch machen .Nach den Menuetten kamen die Kontertänze an	6475	44	casanova_band06_casa6.tsv
