DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
ADJA	NN		NN	alt		Wenn alle Künstler , welche εποιησε gebraucht , unter die späten gehören : so gehören darum nicht alle , die sich des εποιει bedienet , unter die	ältern	.	Winckelmann selbst mag hierüber Richter sein !Wenn alle Künstler , welche εποιησε gebraucht , unter die späten gehören : so gehören darum nicht alle , die sich des εποιει bedienet , unter die ältern .Sehr wohl ; Longins Worte , aber	419	27	73654-Lessing__Gotthold_Ephraim.tsv
ADJA	ADJA		ADJA	anmutig		Der Gedanke , die Talente dieser	anmutigen	Künstlerin mit den seinigen zu verbinden , ihre beiden Existenzen zu einer zu verschmelzen , eine künftige Familie kleiner , ihres Vaters und ihrer Mutter würdiger Cascabels zu gründen , lag für den wackeren Gaukler auf der Hand .	scharfsinnigen Manne gewiß nicht überraschen wird .Der Gedanke , die Talente dieser anmutigen Künstlerin mit den seinigen zu verbinden , ihre beiden Existenzen zu einer zu verschmelzen , eine künftige Familie kleiner , ihres Vaters und ihrer Mutter würdiger Cascabels zu gründen , lag für den wackeren Gaukler auf der Hand .... « fiel Ortik ein .	2928	6	107522-Verne__Jules.tsv
ADJA	ADJA		ADJA	ausgezeichnet		Ich habe schon im vergangenen Jahre in Neapel ( 1821 ) die Beobachtung gemacht , daß	ausgezeichnete	Musik – auch ein gutes Ballett , ich denke an » Othello « und » Die Vestalin « , Balletts von Viganò , – mich an das denken macht , was tagsüber schon der Gegenstand meiner Träumereien war , und daß ich dabei meine besten Einfälle habe .	, in eine köstliche Frucht verwandelt .Ich habe schon im vergangenen Jahre in Neapel ( 1821 ) die Beobachtung gemacht , daß ausgezeichnete Musik – auch ein gutes Ballett , ich denke an » Othello « und » Die Vestalin « , Balletts von Viganò , – mich an das denken macht , was tagsüber schon der Gegenstand meiner Träumereien war , und daß ich dabei meine besten Einfälle habe .Ist unsre Geliebte unsre vertrauteste Freundin geworden	2182	16	99251-Stendhal.tsv
ADJA	ADJA		ADJA	biologisch		Dies heißt , vielmehr hieße , rassenhygienisch in die Sexualkrise entwirrend eingreifen , den Menschen ihr natürliches Anrecht an ein vollerfülltes	biologisches	Schicksal und damit jenes natürliche Glücksgefühl wiedergeben , dessen Mangel selbst die stolzesten Naturen in ihrer Elastizität zerbricht , sie zu verkümmernden , entartenden Sonderlingen macht / es hieße der schamlosen Verkehrung des Werbekampfes mit ihren verhängnisvollen Folgen auf die Früchte dieses Kampfes Einhalt tun und normale Früchte des Rasseprozesses / befreit von einer verfälschten Auslese / erzielen .	, die die Rasse nicht schädigt .Dies heißt , vielmehr hieße , rassenhygienisch in die Sexualkrise entwirrend eingreifen , den Menschen ihr natürliches Anrecht an ein vollerfülltes biologisches Schicksal und damit jenes natürliche Glücksgefühl wiedergeben , dessen Mangel selbst die stolzesten Naturen in ihrer Elastizität zerbricht , sie zu verkümmernden , entartenden Sonderlingen macht / es hieße der schamlosen Verkehrung des Werbekampfes mit ihren verhängnisvollen Folgen auf die Früchte dieses Kampfes Einhalt tun und normale Früchte des Rasseprozesses / befreit von einer verfälschten Auslese / erzielen .Diese Möglichkeit ist nur zu erzielen :	3220	21	79544-Meisel_Hess__Grete.tsv
ADJA	ADJA		ADJA	entartend		Dies heißt , vielmehr hieße , rassenhygienisch in die Sexualkrise entwirrend eingreifen , den Menschen ihr natürliches Anrecht an ein vollerfülltes biologisches Schicksal und damit jenes natürliche Glücksgefühl wiedergeben , dessen Mangel selbst die stolzesten Naturen in ihrer Elastizität zerbricht , sie zu verkümmernden ,	entartenden	Sonderlingen macht / es hieße der schamlosen Verkehrung des Werbekampfes mit ihren verhängnisvollen Folgen auf die Früchte dieses Kampfes Einhalt tun und normale Früchte des Rasseprozesses / befreit von einer verfälschten Auslese / erzielen .	, die die Rasse nicht schädigt .Dies heißt , vielmehr hieße , rassenhygienisch in die Sexualkrise entwirrend eingreifen , den Menschen ihr natürliches Anrecht an ein vollerfülltes biologisches Schicksal und damit jenes natürliche Glücksgefühl wiedergeben , dessen Mangel selbst die stolzesten Naturen in ihrer Elastizität zerbricht , sie zu verkümmernden , entartenden Sonderlingen macht / es hieße der schamlosen Verkehrung des Werbekampfes mit ihren verhängnisvollen Folgen auf die Früchte dieses Kampfes Einhalt tun und normale Früchte des Rasseprozesses / befreit von einer verfälschten Auslese / erzielen .Diese Möglichkeit ist nur zu erzielen :	3220	45	79544-Meisel_Hess__Grete.tsv
ADJA	ADJA		VVPP	fad		Dit künn dei Mann yrst recht nich	fåten	un saer tau dei Fruu : » Ja , Koenich sin is doch nich slicht !	un haer ne groote Kroon up .Dit künn dei Mann yrst recht nich fåten un saer tau dei Fruu : » Ja , Koenich sin is doch nich slicht !« – Un as dei Mann hen	125	7	64836-Jahn__Ulrich.tsv
ADJA	ADJA		ADJA	gut		Ich habe schon im vergangenen Jahre in Neapel ( 1821 ) die Beobachtung gemacht , daß ausgezeichnete Musik – auch ein gutes Ballett , ich denke an » Othello « und » Die Vestalin « , Balletts von Viganò , – mich an das denken macht , was tagsüber schon der Gegenstand meiner Träumereien war , und daß ich dabei meine	besten	Einfälle habe .	, in eine köstliche Frucht verwandelt .Ich habe schon im vergangenen Jahre in Neapel ( 1821 ) die Beobachtung gemacht , daß ausgezeichnete Musik – auch ein gutes Ballett , ich denke an » Othello « und » Die Vestalin « , Balletts von Viganò , – mich an das denken macht , was tagsüber schon der Gegenstand meiner Träumereien war , und daß ich dabei meine besten Einfälle habe .Ist unsre Geliebte unsre vertrauteste Freundin geworden	2182	61	99251-Stendhal.tsv
ADJA	ADJA		ADJA	gut		Ich habe schon im vergangenen Jahre in Neapel ( 1821 ) die Beobachtung gemacht , daß ausgezeichnete Musik – auch ein	gutes	Ballett , ich denke an » Othello « und » Die Vestalin « , Balletts von Viganò , – mich an das denken macht , was tagsüber schon der Gegenstand meiner Träumereien war , und daß ich dabei meine besten Einfälle habe .	, in eine köstliche Frucht verwandelt .Ich habe schon im vergangenen Jahre in Neapel ( 1821 ) die Beobachtung gemacht , daß ausgezeichnete Musik – auch ein gutes Ballett , ich denke an » Othello « und » Die Vestalin « , Balletts von Viganò , – mich an das denken macht , was tagsüber schon der Gegenstand meiner Träumereien war , und daß ich dabei meine besten Einfälle habe .Ist unsre Geliebte unsre vertrauteste Freundin geworden	2182	21	99251-Stendhal.tsv
ADJA	ADJA		ADJA	künftig		Der Gedanke , die Talente dieser anmutigen Künstlerin mit den seinigen zu verbinden , ihre beiden Existenzen zu einer zu verschmelzen , eine	künftige	Familie kleiner , ihres Vaters und ihrer Mutter würdiger Cascabels zu gründen , lag für den wackeren Gaukler auf der Hand .	scharfsinnigen Manne gewiß nicht überraschen wird .Der Gedanke , die Talente dieser anmutigen Künstlerin mit den seinigen zu verbinden , ihre beiden Existenzen zu einer zu verschmelzen , eine künftige Familie kleiner , ihres Vaters und ihrer Mutter würdiger Cascabels zu gründen , lag für den wackeren Gaukler auf der Hand .... « fiel Ortik ein .	2928	23	107522-Verne__Jules.tsv
ADJA	ADJA		ADJA	letzte		Die Gefangene – denn es war eine weibliche Stimme , welche ich vernommen hatte – hatte mit ihren Worten wohl ihre	letzten	Kräfte erschöpft .	« » Wo hast du ihn ?Die Gefangene – denn es war eine weibliche Stimme , welche ich vernommen hatte – hatte mit ihren Worten wohl ihre letzten Kräfte erschöpft .Von hier bis Wam-poa braucht ein Dampfer	1861	21	79318-May__Karl.tsv
ADJA	ADJA		ADJA	natürlich		Dies heißt , vielmehr hieße , rassenhygienisch in die Sexualkrise entwirrend eingreifen , den Menschen ihr natürliches Anrecht an ein vollerfülltes biologisches Schicksal und damit jenes	natürliche	Glücksgefühl wiedergeben , dessen Mangel selbst die stolzesten Naturen in ihrer Elastizität zerbricht , sie zu verkümmernden , entartenden Sonderlingen macht / es hieße der schamlosen Verkehrung des Werbekampfes mit ihren verhängnisvollen Folgen auf die Früchte dieses Kampfes Einhalt tun und normale Früchte des Rasseprozesses / befreit von einer verfälschten Auslese / erzielen .	, die die Rasse nicht schädigt .Dies heißt , vielmehr hieße , rassenhygienisch in die Sexualkrise entwirrend eingreifen , den Menschen ihr natürliches Anrecht an ein vollerfülltes biologisches Schicksal und damit jenes natürliche Glücksgefühl wiedergeben , dessen Mangel selbst die stolzesten Naturen in ihrer Elastizität zerbricht , sie zu verkümmernden , entartenden Sonderlingen macht / es hieße der schamlosen Verkehrung des Werbekampfes mit ihren verhängnisvollen Folgen auf die Früchte dieses Kampfes Einhalt tun und normale Früchte des Rasseprozesses / befreit von einer verfälschten Auslese / erzielen .Diese Möglichkeit ist nur zu erzielen :	3220	26	79544-Meisel_Hess__Grete.tsv
ADJA	ADJA		ADJA	natürlich		– Hypothesen sind Wesen , die vater- und mutterlos sind , die indeß Vernunft und Erfahrung zu	natürlichen	Vormündern haben .	Mensch , der ohne Täuschungen wäre ?– Hypothesen sind Wesen , die vater- und mutterlos sind , die indeß Vernunft und Erfahrung zu natürlichen Vormündern haben .– Doch glaub' ich mich an dem	5153	17	62296-Hippel__Theodor_Gottlieb_von.tsv
