DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
PTKA	PTKA		PTKA	allzu		Als aber nach anderthalb Jahren die Frau von U. starb und der Herr Sohn das Gut übernahm , wurde sein sträfliches , wiewohl vergebliches Bemühen nur	allzu	offenbar .	, das sich überall Liebe erwarb .Als aber nach anderthalb Jahren die Frau von U. starb und der Herr Sohn das Gut übernahm , wurde sein sträfliches , wiewohl vergebliches Bemühen nur allzu offenbar .« Die Schrift schien nicht von derselben	213	26	rochlitz_eichengr_eichengr.tsv
PTKA	PTKA		PTKA	am		Kurzum der letzte , von dem man angenommen hätte , er sei mit Gedanken belastet ,	am	wenigsten mit gefährlichen Gedanken , wie sie einen Verschwörer , der ernstliche Pläne hat , oder auch den Agenten eines solchen Mannes unvermeidlich beschäftigen müssen .	Kanone lehnte und lachte und redete .Kurzum der letzte , von dem man angenommen hätte , er sei mit Gedanken belastet , am wenigsten mit gefährlichen Gedanken , wie sie einen Verschwörer , der ernstliche Pläne hat , oder auch den Agenten eines solchen Mannes unvermeidlich beschäftigen müssen .Im allgemeinen formen die Offiziere eines Kriegsschiffes	1135	16	melville_billybud_billybud.tsv
PTKA	PTKA		PTKA	am		In meinen Jahren friert man noch nicht –	am	wenigsten an die Beine .	man auch als Kind keine Diphtheritis !In meinen Jahren friert man noch nicht – am wenigsten an die Beine .Melchior Sagen Sie mir endlich , wer	1720	8	wedekind_erwachen_erwachen.tsv
PTKA	PTKA		PTKA	am		Die historische Darstellung kann zwar jeden Charakter annehmen , sie findet gute Gegenstände von der sanften und gefälligen Art , doch	am	liebsten wählt sie rührende , erschütternde Gegenstände .	ja zuweilen selbst Götter darinnen auf .Die historische Darstellung kann zwar jeden Charakter annehmen , sie findet gute Gegenstände von der sanften und gefälligen Art , doch am liebsten wählt sie rührende , erschütternde Gegenstände .Was die Stellung des Laokoons betrifft ,	1408	21	goethe_propylae_propylae.tsv
PTKA	APPR		APPR	zu		« » Des schadd nix , die hun e bissi	zu	viel gefresse .	Fassad von owe bis unne verdreckst .« » Des schadd nix , die hun e bissi zu viel gefresse .» Was los is , frage Se	374	10	stoltze_humoresk_humoresk.tsv
PTKA	PTKA		PTKA	zu		« In diesem Augenblicke und während der Herzog mit dem , was vor seinen Augen vorging ,	zu	sehr beschäftigt war , als daß er hätte darauf achten können , was hinter ihm geschah , schlich sich Oliver le Dain hinter den König und flüsterte ihm ins Ohr : » Es ist der Zigeuner Hayraddin Maugrabin !	« – » Amen !« In diesem Augenblicke und während der Herzog mit dem , was vor seinen Augen vorging , zu sehr beschäftigt war , als daß er hätte darauf achten können , was hinter ihm geschah , schlich sich Oliver le Dain hinter den König und flüsterte ihm ins Ohr : » Es ist der Zigeuner Hayraddin Maugrabin !– Nun denn , Dunois , so	3471	17	scott_quentind_quentind.tsv
PTKA	PTKA		PTKA	zu		Ich bin belohnt genug , daß ich nicht	zu	spät kam , um seine Rechnung und sein Vergehn gegen Sie ins Gleiche zu bringen , und durch meine Anzeige die Polizei aufzufordern , ihm das Handwerk , wo nicht ganz zu legen , doch solchem eine zweckmäßigere Richtung für das gemeine Beste zu geben .	über alle gemeine Mitgesellen seiner Kunst .Ich bin belohnt genug , daß ich nicht zu spät kam , um seine Rechnung und sein Vergehn gegen Sie ins Gleiche zu bringen , und durch meine Anzeige die Polizei aufzufordern , ihm das Handwerk , wo nicht ganz zu legen , doch solchem eine zweckmäßigere Richtung für das gemeine Beste zu geben .« Wie Sabathier am Ende seines lehrreichen	9450	8	thuemmel_provinz_provinz.tsv
PTKA	APPR		APPR	zu		Ihre Stirn wurde auch	zu	gelb ; und da ihre Schläfen zu glänzen anfingen , legte sie Weiß auf und stellte die Adern der Jugend durch leichte blaue Netze dar .	malerisch » Wagenräder « genannt wurden .Ihre Stirn wurde auch zu gelb ; und da ihre Schläfen zu glänzen anfingen , legte sie Weiß auf und stellte die Adern der Jugend durch leichte blaue Netze dar .« Madame Soudry erlaubte sich , Mademoiselle	444	4	balzac_landleb_landleb.tsv
PTKA	PTKA		PTKA	zu		« » Hätt's lieber auch verkaufen sollen , die Liegenschaften von meinem seligen Weib , « sagte er , » die Wirtschaft ist unter fremden Händen nicht besser geworden ; alle Jahr' einmal hinreisen , das ist	zu	weit .	Der mußte auf der Stelle abdanken .« » Hätt's lieber auch verkaufen sollen , die Liegenschaften von meinem seligen Weib , « sagte er , » die Wirtschaft ist unter fremden Händen nicht besser geworden ; alle Jahr' einmal hinreisen , das ist zu weit .Das Meer lag in matter Bläue ,	1594	37	rosegger_abelsber_abelsber.tsv
PTKA	APPR		APPR	zu		Die Locken glänzten und dufteten	zu	beiden Seiten des Scheitels .	Sein Anzug war untadelhaft .Die Locken glänzten und dufteten zu beiden Seiten des Scheitels .Er hatte einen Spaziergang gemacht , der	3204	5	keyserlg_rosaherz_rosaherz.tsv
PTKA	APPR		PTKA	zu		Seine Einfalt war	zu	witzig und seine Niederlage zu wohlverdient , um Mitleid zu erwecken .	Wozu soll es denn führen ?Seine Einfalt war zu witzig und seine Niederlage zu wohlverdient , um Mitleid zu erwecken .» Was heißt denn das : verzichten	8838	3	wasserma_wahnscha_wahnscha.tsv
PTKA	APPR		PTKA	zu		Seine Einfalt war zu witzig und seine Niederlage	zu	wohlverdient , um Mitleid zu erwecken .	Wozu soll es denn führen ?Seine Einfalt war zu witzig und seine Niederlage zu wohlverdient , um Mitleid zu erwecken .» Was heißt denn das : verzichten	8838	8	wasserma_wahnscha_wahnscha.tsv
PTKA	APPR		PTKA	zu		Die Preussen , Dänen , Schweden und Russen geben sich zwar alle Mühe , ihre Produkten selbst den Spaniern zuführen zu können ; allein es hält schwer , die Handlung aus einem alten Gang zu bringen , und viele Kaufleute in Norden finden den Zwischenhandel der Hamburger	zu	gemächlich und zum Theil auch zu vortheilhaft für sich , als daß diese in Gefahr stünden , diesen Handlungskanal ganz zu verlieren .	sehr vortheilhaft für die hiesigen Kaufleute .Die Preussen , Dänen , Schweden und Russen geben sich zwar alle Mühe , ihre Produkten selbst den Spaniern zuführen zu können ; allein es hält schwer , die Handlung aus einem alten Gang zu bringen , und viele Kaufleute in Norden finden den Zwischenhandel der Hamburger zu gemächlich und zum Theil auch zu vortheilhaft für sich , als daß diese in Gefahr stünden , diesen Handlungskanal ganz zu verlieren .Das hiesige Gewerbe beruht freylich größtentheils nur	2250	47	riesbeck_brfranz2_brfranz2.tsv
PTKA	APPR		PTKA	zu		Die Preussen , Dänen , Schweden und Russen geben sich zwar alle Mühe , ihre Produkten selbst den Spaniern zuführen zu können ; allein es hält schwer , die Handlung aus einem alten Gang zu bringen , und viele Kaufleute in Norden finden den Zwischenhandel der Hamburger zu gemächlich und zum Theil auch	zu	vortheilhaft für sich , als daß diese in Gefahr stünden , diesen Handlungskanal ganz zu verlieren .	sehr vortheilhaft für die hiesigen Kaufleute .Die Preussen , Dänen , Schweden und Russen geben sich zwar alle Mühe , ihre Produkten selbst den Spaniern zuführen zu können ; allein es hält schwer , die Handlung aus einem alten Gang zu bringen , und viele Kaufleute in Norden finden den Zwischenhandel der Hamburger zu gemächlich und zum Theil auch zu vortheilhaft für sich , als daß diese in Gefahr stünden , diesen Handlungskanal ganz zu verlieren .Das hiesige Gewerbe beruht freylich größtentheils nur	2250	53	riesbeck_brfranz2_brfranz2.tsv
PTKA	PTKA		PTKA	zu		« » Wenn 's nicht	zu	teuer ist « , meinte Ruth .	an ihm von meiner Kindheit an .« » Wenn 's nicht zu teuer ist « , meinte Ruth .Ein chronisches Leiden .	2243	5	dickens_chuzzlew_chuzzlew.tsv
PTKA	APPR		PTKA	zu		« kommt herausgetrudelt , Atem hat er draußen geschöpft , und was er nun sagt , hört sich ungefähr folgendermaßen an : » Dein dämliches Gefrage ehrt den gemeinen Mann – der Majestät des Todes kann niemand entgehn – Wenn Sie meinen , daß Fantasia gut ist – mir soll sie nicht	zu	dick sein .	Sie mit !« kommt herausgetrudelt , Atem hat er draußen geschöpft , und was er nun sagt , hört sich ungefähr folgendermaßen an : » Dein dämliches Gefrage ehrt den gemeinen Mann – der Majestät des Todes kann niemand entgehn – Wenn Sie meinen , daß Fantasia gut ist – mir soll sie nicht zu dick sein .Sag ich Ihnen !	948	52	tucholsk_panterti_panterti.tsv
PTKA	APPR		APPR	zu		» Ja « , sagte der Commerzienrath seufzend , » meine Leber ist drei Zoll	zu	groß – sie paßt mir nicht mehr und trägt sich auch nicht ab – sie wird immer größer , bis sie mir einmal das Herz abdrückt .	Schritten im Zimmer auf und nieder .» Ja « , sagte der Commerzienrath seufzend , » meine Leber ist drei Zoll zu groß – sie paßt mir nicht mehr und trägt sich auch nicht ab – sie wird immer größer , bis sie mir einmal das Herz abdrückt .« fragte der Commerzienrath , während die	795	15	gerstaec_mahlhube_mahlhube.tsv
PTKA	APPR		PTKA	zu		Ich war ihnen als Waare schon fast	zu	schlecht ; auf Gerathewohl und aus einem geringen , thierischen Mitleid luden sie mich auf .	auch an Kleidern , Mangel litt .Ich war ihnen als Waare schon fast zu schlecht ; auf Gerathewohl und aus einem geringen , thierischen Mitleid luden sie mich auf .Bettelnd gelangte ich in der unbekannten Gegend	786	7	tieck_grkaiser_grkaiser.tsv
PTKA	PTKA		PTKA	zu		Ich glaube übrigens , es ist für das eine schon	zu	spät ; denn ich bin bereits tot !	recht , und Swaantje hat recht .Ich glaube übrigens , es ist für das eine schon zu spät ; denn ich bin bereits tot !Hennecke versuchte in seiner ruhigen Art dem	128	10	loens_2gesicht_2gesicht.tsv
PTKA	APPR		APPR	zu		Mit innerer Ungeduld verbrannte er ein Zündholz nach dem anderen , und dachte endlich : Es ist	zu	feucht oder zu windig hier .	den Blick sogleich gezwungen wieder fort .Mit innerer Ungeduld verbrannte er ein Zündholz nach dem anderen , und dachte endlich : Es ist zu feucht oder zu windig hier .– so dachte er , und er	81	17	huchfr_mao_mao.tsv
