DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
ART	ART		ART	d			Dem	Schmerz des Grafen Hugo , der zufälligen persönlichen Anwesenheit des Herrn von Asselyn beim Unglück mit Angiolina Pötzl trug er mit unverstellter Theilnahme Rechnung .	Wie konnte er dagegen protestiren – !Dem Schmerz des Grafen Hugo , der zufälligen persönlichen Anwesenheit des Herrn von Asselyn beim Unglück mit Angiolina Pötzl trug er mit unverstellter Theilnahme Rechnung .Bonaventura war gegen den damaligen so nüchternen	3359	0	gutzkow_zauber6_zauber6.tsv
ART	ART		ART	d			Der	Graf , die Komtesse , Amalie waren beruhigt .	deren Patrouille die Reisenden eskortiert hatte .Der Graf , die Komtesse , Amalie waren beruhigt .Schlagen Sie ein zu dem Bunde ...	3558	0	alexis_cabanis_cabanis.tsv
ART	ART		ART	d		Gülnahar	Die	Prophetenwahl Adamsruh Die Korrektur des Weibes Achmed , der unverbesserliche Menschenfreund Aus Klio's Notizbuch Rollt ein Wagen durch die schwüle Hardt , Fern nach Welschland auf der Hochzeitsfahrt .	lichte Himmelsbotin , eine Peri anzuschauen .Gülnahar Die Prophetenwahl Adamsruh Die Korrektur des Weibes Achmed , der unverbesserliche Menschenfreund Aus Klio's Notizbuch Rollt ein Wagen durch die schwüle Hardt , Fern nach Welschland auf der Hochzeitsfahrt .Sahst Du je in eines Gartens duft'gen	786	1	spittelr_balladen_balladen.tsv
ART	ART		ART	d		Gülnahar Die Prophetenwahl Adamsruh	Die	Korrektur des Weibes Achmed , der unverbesserliche Menschenfreund Aus Klio's Notizbuch Rollt ein Wagen durch die schwüle Hardt , Fern nach Welschland auf der Hochzeitsfahrt .	lichte Himmelsbotin , eine Peri anzuschauen .Gülnahar Die Prophetenwahl Adamsruh Die Korrektur des Weibes Achmed , der unverbesserliche Menschenfreund Aus Klio's Notizbuch Rollt ein Wagen durch die schwüle Hardt , Fern nach Welschland auf der Hochzeitsfahrt .Sahst Du je in eines Gartens duft'gen	786	4	spittelr_balladen_balladen.tsv
ART	ART		ART	d		Hier wohnte unten eine Kinderhälterin unehelicher Sprossen , die an dem erworbenen Monatsgeld langsam zu Tode hungerte ,	das	obere wohnungsähnliche Gelaß hatte der Große Geist bezogen .	soeben gekreuzten anspruchsvollen Bürgerzeile nichts nachgab .Hier wohnte unten eine Kinderhälterin unehelicher Sprossen , die an dem erworbenen Monatsgeld langsam zu Tode hungerte , das obere wohnungsähnliche Gelaß hatte der Große Geist bezogen .Der Straßenzug des Sandgangs lief quer über	271	18	barlach_gestmond_gestmond.tsv
ART	ART		ART	d		« » Wir haben	das	ganze Schloß durchsucht , das Mittelgebäude sowohl wie die drei Türme dort , denn zu allen von außen sichtbaren Zimmern derselben führten Treppen und Korridore .	Mon dieu !« » Wir haben das ganze Schloß durchsucht , das Mittelgebäude sowohl wie die drei Türme dort , denn zu allen von außen sichtbaren Zimmern derselben führten Treppen und Korridore .« » Wie , das tut er	635	4	galen_jasmund2_jasmund2.tsv
ART	ART		ART	d		« » Wir haben das ganze Schloß durchsucht ,	das	Mittelgebäude sowohl wie die drei Türme dort , denn zu allen von außen sichtbaren Zimmern derselben führten Treppen und Korridore .	Mon dieu !« » Wir haben das ganze Schloß durchsucht , das Mittelgebäude sowohl wie die drei Türme dort , denn zu allen von außen sichtbaren Zimmern derselben führten Treppen und Korridore .« » Wie , das tut er	635	9	galen_jasmund2_jasmund2.tsv
ART	ART		ART	d		Hier wohnte unten eine Kinderhälterin unehelicher Sprossen , die an	dem	erworbenen Monatsgeld langsam zu Tode hungerte , das obere wohnungsähnliche Gelaß hatte der Große Geist bezogen .	soeben gekreuzten anspruchsvollen Bürgerzeile nichts nachgab .Hier wohnte unten eine Kinderhälterin unehelicher Sprossen , die an dem erworbenen Monatsgeld langsam zu Tode hungerte , das obere wohnungsähnliche Gelaß hatte der Große Geist bezogen .Der Straßenzug des Sandgangs lief quer über	271	10	barlach_gestmond_gestmond.tsv
ART	ART		ART	d		Hier wohnte unten eine Kinderhälterin unehelicher Sprossen , die an dem erworbenen Monatsgeld langsam zu Tode hungerte , das obere wohnungsähnliche Gelaß hatte	der	Große Geist bezogen .	soeben gekreuzten anspruchsvollen Bürgerzeile nichts nachgab .Hier wohnte unten eine Kinderhälterin unehelicher Sprossen , die an dem erworbenen Monatsgeld langsam zu Tode hungerte , das obere wohnungsähnliche Gelaß hatte der Große Geist bezogen .Der Straßenzug des Sandgangs lief quer über	271	23	barlach_gestmond_gestmond.tsv
ART	ART		ART	d		Gülnahar Die Prophetenwahl Adamsruh Die Korrektur des Weibes Achmed ,	der	unverbesserliche Menschenfreund Aus Klio's Notizbuch Rollt ein Wagen durch die schwüle Hardt , Fern nach Welschland auf der Hochzeitsfahrt .	lichte Himmelsbotin , eine Peri anzuschauen .Gülnahar Die Prophetenwahl Adamsruh Die Korrektur des Weibes Achmed , der unverbesserliche Menschenfreund Aus Klio's Notizbuch Rollt ein Wagen durch die schwüle Hardt , Fern nach Welschland auf der Hochzeitsfahrt .Sahst Du je in eines Gartens duft'gen	786	10	spittelr_balladen_balladen.tsv
