DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
ADJD	ADJD		ADJD	abwesend		Länger werde ich nicht	abwesend	sein .	Quai besorgen , was wir brauchen .Länger werde ich nicht abwesend sein .– Also , Mr. Treskow , es	2841	4	79314-May__Karl.tsv
ADJD	ADJA		ADJD	angenehm		Ich erwartete , daß sie Durst empfinden würde , und hatte zu dem Ende ein	angenehm	stärkendes Getränk bereitet .	des Antheils unterbrach hier die Erzählung .Ich erwartete , daß sie Durst empfinden würde , und hatte zu dem Ende ein angenehm stärkendes Getränk bereitet .Diesen Moment durfte ich nicht versäumen ,	1807	15	83756-Paalzow__Henriette_von.tsv
ADJD	ADJD		ADJD	deutlich		Wer in Kanzleien hat kollationieren hören , kann sich eine Vorstellung von dieser Vorlesung machen , schnell , eintönig , aber doch artikuliert und	deutlich	genug .	zu Wasser auf der Brenta fort .Wer in Kanzleien hat kollationieren hören , kann sich eine Vorstellung von dieser Vorlesung machen , schnell , eintönig , aber doch artikuliert und deutlich genug .ich wüßte nichts , als daß ich	2071	24	32620-Goethe__Johann_Wolfgang.tsv
ADJD	ADJD		ADJD	einstimmig		« sprachen sie deshalb	einstimmig	: » Wir wissen es nicht !	der Fahrt über Bord gefallen sei .« sprachen sie deshalb einstimmig : » Wir wissen es nicht !Sie wollten schreien ; aber schon stand	125	4	64828-Jahn__Ulrich.tsv
ADJD	ADJD		NN	eintönig		Wer in Kanzleien hat kollationieren hören , kann sich eine Vorstellung von dieser Vorlesung machen , schnell ,	eintönig	, aber doch artikuliert und deutlich genug .	zu Wasser auf der Brenta fort .Wer in Kanzleien hat kollationieren hören , kann sich eine Vorstellung von dieser Vorlesung machen , schnell , eintönig , aber doch artikuliert und deutlich genug .ich wüßte nichts , als daß ich	2071	18	32620-Goethe__Johann_Wolfgang.tsv
ADJD	ADJD		ADJD	fertig		Ich bin mit dir	fertig	.	kein Offizier , sondern ein Schurke !Ich bin mit dir fertig .Meinst du , daß dieser Feigling es	2298	4	79322-May__Karl.tsv
ADJD	ADJD		ADJD	froh		Jeder bejahte regelmäßig die Frage darnach und war	froh	, nicht über sich selbst sprechen zu müssen .	ein besonderes Vergehen zu sein schien .Jeder bejahte regelmäßig die Frage darnach und war froh , nicht über sich selbst sprechen zu müssen .» Hast du am Hause erklärt ,	6029	8	66066-Keller__Gottfried.tsv
ADJD	ADJD		ADJD	furchtbar		Aber so schnell war dieser Schreck , so groß die Furcht Annas vor ihrem Vater , und so	furchtbar	sein Anblick , daß sie zu schwanken anfing , und hätte der General sie nicht unterstützt , sie wäre in die Kniee gesunken .	Beschauenden eine dumpfe , wohlbekannte Stimme .Aber so schnell war dieser Schreck , so groß die Furcht Annas vor ihrem Vater , und so furchtbar sein Anblick , daß sie zu schwanken anfing , und hätte der General sie nicht unterstützt , sie wäre in die Kniee gesunken .» Anna !	719	18	58305-Hauff__Wilhelm.tsv
ADJD	ADJD		ADJD	gewöhnlich		Warum hatten sie die sechshunderteinundsechzigtausend Einwohner des Staates , der die Hälfte des	gewöhnlich	Neuengland genannten Gebietes einnimmt , um zwei Einheiten vermehrt ?	Wie steht es mit Lissy Wag ?Warum hatten sie die sechshunderteinundsechzigtausend Einwohner des Staates , der die Hälfte des gewöhnlich Neuengland genannten Gebietes einnimmt , um zwei Einheiten vermehrt ?« entgegnete Jovita , als sie auf	5865	13	107536-Verne__Jules.tsv
ADJD	ADJD		ADJD	glücklich		« » Ich würde den Ausspruch des Herrn Barons als Überzeugung hochschätzen und mit Ihrem Ziele für identisch halten , « meinte Pawlowitsch mit dem scharfen Akzent des Russen zu Else Gerstenbergk gewandt , » Ihr Glücklichsein ist	glücklich	machen .	die Polizei ist ja nicht hier !« » Ich würde den Ausspruch des Herrn Barons als Überzeugung hochschätzen und mit Ihrem Ziele für identisch halten , « meinte Pawlowitsch mit dem scharfen Akzent des Russen zu Else Gerstenbergk gewandt , » Ihr Glücklichsein ist glücklich machen .» Walzer und Polka und ähnliche neckische	5296	38	14314-Braun__Lily.tsv
ADJD	ADJD		ADJD	groß		Aber so schnell war dieser Schreck , so	groß	die Furcht Annas vor ihrem Vater , und so furchtbar sein Anblick , daß sie zu schwanken anfing , und hätte der General sie nicht unterstützt , sie wäre in die Kniee gesunken .	Beschauenden eine dumpfe , wohlbekannte Stimme .Aber so schnell war dieser Schreck , so groß die Furcht Annas vor ihrem Vater , und so furchtbar sein Anblick , daß sie zu schwanken anfing , und hätte der General sie nicht unterstützt , sie wäre in die Kniee gesunken .» Anna !	719	8	58305-Hauff__Wilhelm.tsv
ADJD	ADJD		ADJD	höflich		« Als sie darauf bejahend nickte , fragte er	höflich	: » Sind Sie schon lange in Jalta ?	besucht , « dachte er sich .« Als sie darauf bejahend nickte , fragte er höflich : » Sind Sie schon lange in Jalta ?Man wußte nicht , wohin man sich	101	9	17686-_echov__Anton_Pavlovi_.tsv
ADJD	ADJD		ADJD	identisch		« » Ich würde den Ausspruch des Herrn Barons als Überzeugung hochschätzen und mit Ihrem Ziele für	identisch	halten , « meinte Pawlowitsch mit dem scharfen Akzent des Russen zu Else Gerstenbergk gewandt , » Ihr Glücklichsein ist glücklich machen .	die Polizei ist ja nicht hier !« » Ich würde den Ausspruch des Herrn Barons als Überzeugung hochschätzen und mit Ihrem Ziele für identisch halten , « meinte Pawlowitsch mit dem scharfen Akzent des Russen zu Else Gerstenbergk gewandt , » Ihr Glücklichsein ist glücklich machen .» Walzer und Polka und ähnliche neckische	5296	17	14314-Braun__Lily.tsv
ADJD	ADJD		ADJD	kindisch		über welches abgelaufene Zeitalter schwebte ihr Geist – auf welcher Staffel der Vergangenheit mußte sie mich stehen sehen , als ihre ausgestreckte Hand mir das Bild des sterbenden Heilandes mit der herzzerreißenden Frage vorhielt : Nun diesen Fittich senkt , und	kindisch	sich verweilt , Auf einen Hügel hebt , Wie sie den bescheidnen Wänden Auf Blumen schwebend sich nur von ihrem Aushauche nährt .	So höre wenigstens mich ihr nachlallen .über welches abgelaufene Zeitalter schwebte ihr Geist – auf welcher Staffel der Vergangenheit mußte sie mich stehen sehen , als ihre ausgestreckte Hand mir das Bild des sterbenden Heilandes mit der herzzerreißenden Frage vorhielt : Nun diesen Fittich senkt , und kindisch sich verweilt , Auf einen Hügel hebt , Wie sie den bescheidnen Wänden Auf Blumen schwebend sich nur von ihrem Aushauche nährt .die geübtesten Wortführer der Natur würden daran	915	41	104263-Th_mmel__Moritz_August_von.tsv
ADJD	NN		ADJD	lang			Länger	werde ich nicht abwesend sein .	Quai besorgen , was wir brauchen .Länger werde ich nicht abwesend sein .– Also , Mr. Treskow , es	2841	0	79314-May__Karl.tsv
ADJD	ADJD		ADJD	regelmäßig		Jeder bejahte	regelmäßig	die Frage darnach und war froh , nicht über sich selbst sprechen zu müssen .	ein besonderes Vergehen zu sein schien .Jeder bejahte regelmäßig die Frage darnach und war froh , nicht über sich selbst sprechen zu müssen .» Hast du am Hause erklärt ,	6029	2	66066-Keller__Gottfried.tsv
ADJD	ADJD		ADJD	schnell		Aber so	schnell	war dieser Schreck , so groß die Furcht Annas vor ihrem Vater , und so furchtbar sein Anblick , daß sie zu schwanken anfing , und hätte der General sie nicht unterstützt , sie wäre in die Kniee gesunken .	Beschauenden eine dumpfe , wohlbekannte Stimme .Aber so schnell war dieser Schreck , so groß die Furcht Annas vor ihrem Vater , und so furchtbar sein Anblick , daß sie zu schwanken anfing , und hätte der General sie nicht unterstützt , sie wäre in die Kniee gesunken .» Anna !	719	2	58305-Hauff__Wilhelm.tsv
ADJD	ADJD		ADJD	schnell		Wer in Kanzleien hat kollationieren hören , kann sich eine Vorstellung von dieser Vorlesung machen ,	schnell	, eintönig , aber doch artikuliert und deutlich genug .	zu Wasser auf der Brenta fort .Wer in Kanzleien hat kollationieren hören , kann sich eine Vorstellung von dieser Vorlesung machen , schnell , eintönig , aber doch artikuliert und deutlich genug .ich wüßte nichts , als daß ich	2071	16	32620-Goethe__Johann_Wolfgang.tsv
