DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
FM.la	NE		NE	credas		Franciscus Petrarcha spricht : ( Sic michi	credas	, magnis promissoribus nil credas .	dem letsten meine Augen mög erlüstigen .Franciscus Petrarcha spricht : ( Sic michi credas , magnis promissoribus nil credas .Sie sprachen : › Warumb ?	6232	7	84231-Pauli__Johannes.tsv
FM.la	FM		NE	credas		Franciscus Petrarcha spricht : ( Sic michi credas , magnis promissoribus nil	credas	.	dem letsten meine Augen mög erlüstigen .Franciscus Petrarcha spricht : ( Sic michi credas , magnis promissoribus nil credas .Sie sprachen : › Warumb ?	6232	12	84231-Pauli__Johannes.tsv
FM.la	NE		NE	de		Unde	de	Fresen togen mit groten Eren to Hus unde leten St .	dar se dat Lant beschermen muchten .Unde de Fresen togen mit groten Eren to Hus unde leten St .Word De Konink Abel hadde de Fresen	3	1	80486-M_llenhoff__Karl.tsv
FM.la	FM		NE	dulci		Omne tulit punctum , qui miscuit utile	dulci	.	unpartheyischen Urtheil des geneigten Lesers überlassen .Omne tulit punctum , qui miscuit utile dulci .Es scheinen die Papagey auch die menschliche	8549	7	68510-Kobolt__Willibald.tsv
FM.la	NN		NE	felices			Felices	feliciter loquuntur .	doch wenig krafft vnd nachtrucks haben .Felices feliciter loquuntur .Vnd kräht so offt wie ein Hahn	3352	0	82843-Moscherosch__Johann_Michael.tsv
FM.la	ADJA		ADJA	feliciter		Felices	feliciter	loquuntur .	doch wenig krafft vnd nachtrucks haben .Felices feliciter loquuntur .Vnd kräht so offt wie ein Hahn	3352	1	82843-Moscherosch__Johann_Michael.tsv
FM.la	NE		NE	franciscus			Franciscus	Petrarcha spricht : ( Sic michi credas , magnis promissoribus nil credas .	dem letsten meine Augen mög erlüstigen .Franciscus Petrarcha spricht : ( Sic michi credas , magnis promissoribus nil credas .Sie sprachen : › Warumb ?	6232	0	84231-Pauli__Johannes.tsv
FM.la	NE		NE	fresen		Unde de	Fresen	togen mit groten Eren to Hus unde leten St .	dar se dat Lant beschermen muchten .Unde de Fresen togen mit groten Eren to Hus unde leten St .Word De Konink Abel hadde de Fresen	3	2	80486-M_llenhoff__Karl.tsv
FM.la	VVFIN		NN	loquuntur		Felices feliciter	loquuntur	.	doch wenig krafft vnd nachtrucks haben .Felices feliciter loquuntur .Vnd kräht so offt wie ein Hahn	3352	2	82843-Moscherosch__Johann_Michael.tsv
FM.la	NE		NE	magnis		Franciscus Petrarcha spricht : ( Sic michi credas ,	magnis	promissoribus nil credas .	dem letsten meine Augen mög erlüstigen .Franciscus Petrarcha spricht : ( Sic michi credas , magnis promissoribus nil credas .Sie sprachen : › Warumb ?	6232	9	84231-Pauli__Johannes.tsv
FM.la	NE		NE	michi		Franciscus Petrarcha spricht : ( Sic	michi	credas , magnis promissoribus nil credas .	dem letsten meine Augen mög erlüstigen .Franciscus Petrarcha spricht : ( Sic michi credas , magnis promissoribus nil credas .Sie sprachen : › Warumb ?	6232	6	84231-Pauli__Johannes.tsv
FM.la	ADJA		NE	miscuit		Omne tulit punctum , qui	miscuit	utile dulci .	unpartheyischen Urtheil des geneigten Lesers überlassen .Omne tulit punctum , qui miscuit utile dulci .Es scheinen die Papagey auch die menschliche	8549	5	68510-Kobolt__Willibald.tsv
FM.la	VVFIN		NN	nil		Franciscus Petrarcha spricht : ( Sic michi credas , magnis promissoribus	nil	credas .	dem letsten meine Augen mög erlüstigen .Franciscus Petrarcha spricht : ( Sic michi credas , magnis promissoribus nil credas .Sie sprachen : › Warumb ?	6232	11	84231-Pauli__Johannes.tsv
FM.la	NE		NN	omne			Omne	tulit punctum , qui miscuit utile dulci .	unpartheyischen Urtheil des geneigten Lesers überlassen .Omne tulit punctum , qui miscuit utile dulci .Es scheinen die Papagey auch die menschliche	8549	0	68510-Kobolt__Willibald.tsv
FM.la	NE		NE	petrarca		Franciscus	Petrarcha	spricht : ( Sic michi credas , magnis promissoribus nil credas .	dem letsten meine Augen mög erlüstigen .Franciscus Petrarcha spricht : ( Sic michi credas , magnis promissoribus nil credas .Sie sprachen : › Warumb ?	6232	1	84231-Pauli__Johannes.tsv
FM.la	ADJD		NE	praebuit		so viel davon : Gigantæus mons etiam propter metalla & lapillos clarus , etiam ab Italis scripto celebratos ; Hactenus Auri , argenti , Æris , Germmarum , indicia ostendit , magnum utilitatis fructū nondum	præbuit	.	, sicut Priscillianus dixit , anathemasit .so viel davon : Gigantæus mons etiam propter metalla & lapillos clarus , etiam ab Italis scripto celebratos ; Hactenus Auri , argenti , Æris , Germmarum , indicia ostendit , magnum utilitatis fructū nondum præbuit .Mit Johann. I. und der Herr sandte	583	35	85695-Praetorius__Johannes.tsv
FM.la	NE		NE	promissoribus		Franciscus Petrarcha spricht : ( Sic michi credas , magnis	promissoribus	nil credas .	dem letsten meine Augen mög erlüstigen .Franciscus Petrarcha spricht : ( Sic michi credas , magnis promissoribus nil credas .Sie sprachen : › Warumb ?	6232	10	84231-Pauli__Johannes.tsv
FM.la	ADJD		NN	punctum		Omne tulit	punctum	, qui miscuit utile dulci .	unpartheyischen Urtheil des geneigten Lesers überlassen .Omne tulit punctum , qui miscuit utile dulci .Es scheinen die Papagey auch die menschliche	8549	2	68510-Kobolt__Willibald.tsv
FM.la	ADJD		NE	qui		Omne tulit punctum ,	qui	miscuit utile dulci .	unpartheyischen Urtheil des geneigten Lesers überlassen .Omne tulit punctum , qui miscuit utile dulci .Es scheinen die Papagey auch die menschliche	8549	4	68510-Kobolt__Willibald.tsv
FM.la	NE		NE	sic		Franciscus Petrarcha spricht : (	Sic	michi credas , magnis promissoribus nil credas .	dem letsten meine Augen mög erlüstigen .Franciscus Petrarcha spricht : ( Sic michi credas , magnis promissoribus nil credas .Sie sprachen : › Warumb ?	6232	5	84231-Pauli__Johannes.tsv
FM.la	VVFIN		VVFIN	spricht		Franciscus Petrarcha	spricht	: ( Sic michi credas , magnis promissoribus nil credas .	dem letsten meine Augen mög erlüstigen .Franciscus Petrarcha spricht : ( Sic michi credas , magnis promissoribus nil credas .Sie sprachen : › Warumb ?	6232	2	84231-Pauli__Johannes.tsv
FM.la	VVFIN		VVFIN	togen		Unde de Fresen	togen	mit groten Eren to Hus unde leten St .	dar se dat Lant beschermen muchten .Unde de Fresen togen mit groten Eren to Hus unde leten St .Word De Konink Abel hadde de Fresen	3	3	80486-M_llenhoff__Karl.tsv
FM.la	VVFIN		NN	tulit		Omne	tulit	punctum , qui miscuit utile dulci .	unpartheyischen Urtheil des geneigten Lesers überlassen .Omne tulit punctum , qui miscuit utile dulci .Es scheinen die Papagey auch die menschliche	8549	1	68510-Kobolt__Willibald.tsv
