DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
PRF	PRF		PRF	dich		« fragte sie , » ich freue mich ja , daß ich	dich	einmal ganz für mich hab' .	inzwischen ein ganzes Jahr vergangen war .« fragte sie , » ich freue mich ja , daß ich dich einmal ganz für mich hab' .» Sie sind da , « stammelte	3959	12	102326-Sudermann__Hermann.tsv
PRF	PRF		PRF	dich		Wenn du das nicht anerkennst , so lasse ich	dich	einfach sitzen !	ja , Wiegenlied – – – !Wenn du das nicht anerkennst , so lasse ich dich einfach sitzen !« » Warum ?	9231	9	79315-May__Karl.tsv
PRF	PRF		PRF	mich		Mir ging an der Seite des Bruders und mitten im civilisirten Leben eine neue Welt auf , von der ich	mich	nicht trennen zu können vermeinte .	Geiste des Krieges und der Waffen .Mir ging an der Seite des Bruders und mitten im civilisirten Leben eine neue Welt auf , von der ich mich nicht trennen zu können vermeinte .Aber ebenso wuchs auch das Verlangen des	1967	20	79370-May__Karl.tsv
PRF	PRF		PRF	mich		Als aber die Herbstferien für Hochschule und Gemeindeschule kamen , fühlte ich	mich	sehr ermüdet und beschloß , etwas für meine Gesundheit zu tun .	dem Zorn über seine Anmaßung schwankte .Als aber die Herbstferien für Hochschule und Gemeindeschule kamen , fühlte ich mich sehr ermüdet und beschloß , etwas für meine Gesundheit zu tun .Armer Dichter !	7790	12	79882-Meysenbug__Malwida_Freiin_von.tsv
PRF	PRF		PRF	sich		Es dauert auch nicht lange , so kömmt die Schule und die Geistlichkeit mit dem Kreuze voran , stellen	sich	neben der Bahre auf , singen zwei Lieder und eine Arie und dann setzt sich der Zug nach dem Kirchhofe zu in Bewegung .	soll es einem den Hals umdrehen .Es dauert auch nicht lange , so kömmt die Schule und die Geistlichkeit mit dem Kreuze voran , stellen sich neben der Bahre auf , singen zwei Lieder und eine Arie und dann setzt sich der Zug nach dem Kirchhofe zu in Bewegung .Wenn man aber in der Neujahrsnacht unter	9	19	52796-Gr_sse__Johann_Georg_Theodor.tsv
PRF	PRF		PRF	sich		Es dauert auch nicht lange , so kömmt die Schule und die Geistlichkeit mit dem Kreuze voran , stellen sich neben der Bahre auf , singen zwei Lieder und eine Arie und dann setzt	sich	der Zug nach dem Kirchhofe zu in Bewegung .	soll es einem den Hals umdrehen .Es dauert auch nicht lange , so kömmt die Schule und die Geistlichkeit mit dem Kreuze voran , stellen sich neben der Bahre auf , singen zwei Lieder und eine Arie und dann setzt sich der Zug nach dem Kirchhofe zu in Bewegung .Wenn man aber in der Neujahrsnacht unter	9	34	52796-Gr_sse__Johann_Georg_Theodor.tsv
PRF	PRF		PRF	sich		Nur eine Art beklommener Scheu kam jetzt doch über den jungen Fürsten , eine gewisse Verlegenheit , ja wenn er ganz aufrichtig sagen wollte , was ihm geschah , so mußte er eingestehen , ein gewisses Mistrauen regte	sich	in ihm , und ein wenig auf dem Stuhle rückend , gleichsam als wollte er abbrechen , sagte er : Was ist ?	über des Mannes ganzer Erscheinung lag .Nur eine Art beklommener Scheu kam jetzt doch über den jungen Fürsten , eine gewisse Verlegenheit , ja wenn er ganz aufrichtig sagen wollte , was ihm geschah , so mußte er eingestehen , ein gewisses Mistrauen regte sich in ihm , und ein wenig auf dem Stuhle rückend , gleichsam als wollte er abbrechen , sagte er : Was ist ?Er hatte also einen werdenden Autor vor	30348	38	56355-Gutzkow__Karl.tsv
PRF	PRF		PRF	sich		Wenn er am Lager ankam , waren jedenfalls alle Augen und Ohren auf ihn gerichtet , und so bekam er die Weisung ,	sich	ungefähr zehn Minuten nach unserer Entfernung bei den Feuern sehen zu lassen .	ebenso unbemerkt hinter sie zu schleichen .Wenn er am Lager ankam , waren jedenfalls alle Augen und Ohren auf ihn gerichtet , und so bekam er die Weisung , sich ungefähr zehn Minuten nach unserer Entfernung bei den Feuern sehen zu lassen .Für den Jäger konnte es keinen schönern	6663	23	79315-May__Karl.tsv
PRF	PRF		PRF	sich		Beide Eigenschaften , deren innige Wechselwirkung und Vereinigung den Poeten eigentlich ausmacht , finden	sich	bei diesem Schriftsteller in ungewöhnlich hohem Grad , und nichts fehlt , als daß sie sich auch wirklich miteinander vereinigt äußerten , daß seine Selbsttätigkeit sich mehr in sein Empfinden , daß seine Empfänglichkeit sich mehr in sein Denken mischte .	behaupten , seinem Leser mitteilen muß .Beide Eigenschaften , deren innige Wechselwirkung und Vereinigung den Poeten eigentlich ausmacht , finden sich bei diesem Schriftsteller in ungewöhnlich hohem Grad , und nichts fehlt , als daß sie sich auch wirklich miteinander vereinigt äußerten , daß seine Selbsttätigkeit sich mehr in sein Empfinden , daß seine Empfänglichkeit sich mehr in sein Denken mischte .Sein ernster Charakter läßt ihn zwar nie	434	14	96456-Schiller__Friedrich.tsv
PRF	PRF		PRF	sich		Beide Eigenschaften , deren innige Wechselwirkung und Vereinigung den Poeten eigentlich ausmacht , finden sich bei diesem Schriftsteller in ungewöhnlich hohem Grad , und nichts fehlt , als daß sie	sich	auch wirklich miteinander vereinigt äußerten , daß seine Selbsttätigkeit sich mehr in sein Empfinden , daß seine Empfänglichkeit sich mehr in sein Denken mischte .	behaupten , seinem Leser mitteilen muß .Beide Eigenschaften , deren innige Wechselwirkung und Vereinigung den Poeten eigentlich ausmacht , finden sich bei diesem Schriftsteller in ungewöhnlich hohem Grad , und nichts fehlt , als daß sie sich auch wirklich miteinander vereinigt äußerten , daß seine Selbsttätigkeit sich mehr in sein Empfinden , daß seine Empfänglichkeit sich mehr in sein Denken mischte .Sein ernster Charakter läßt ihn zwar nie	434	30	96456-Schiller__Friedrich.tsv
