DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
VAPP	VAPP		VAPP	haben		Ich habe das Glück	gehabt	, hier mehrere Menschen zu finden , mit denen es möglich ist , einen sehr interessanten Umgang zu haben .	was man nie beiseite setzen muß .Ich habe das Glück gehabt , hier mehrere Menschen zu finden , mit denen es möglich ist , einen sehr interessanten Umgang zu haben .Das kann mich immer tief verdrießen ;	3538	4	humboldw_briefe2_briefe.tsv
VAPP	VAPP		VAPP	haben		Aber sie sind auch dahintergekommen , daß er falsche Gewichte	gehabt	hat , und das gab den Ausschlag .	« rief Nolten .Aber sie sind auch dahintergekommen , daß er falsche Gewichte gehabt hat , und das gab den Ausschlag .« » Ach was !	3512	10	gerstaec_gold_gold.tsv
VAPP	VAPP		VAPP	haben		Der » Sloughi « hatte also das Unglück	gehabt	, auf einer Insel und nicht auf einem Festlande zu scheitern .	nennen sollte , meldete sich Costar .Der » Sloughi « hatte also das Unglück gehabt , auf einer Insel und nicht auf einem Festlande zu scheitern .Würde man nicht bei weiterer Ausdehnung dieser	3047	8	verne_ferien1_ferien1.tsv
VAPP	VAPP		VAPP	haben		Erhoben fühlte sie sich von ihnen ; hatte doch ihr Mann » ihnen « herausgesagt , wozu sie selbst nicht den Mut	gehabt	hätte .	den sie auf Nachime hervorbrachten .Erhoben fühlte sie sich von ihnen ; hatte doch ihr Mann » ihnen « herausgesagt , wozu sie selbst nicht den Mut gehabt hätte .Wunderbar war jedoch der Eindruck .	4638	22	kompert_ampflug_ampflug.tsv
VAPP	VAPP		VAPP	sein		Es war nicht seine Schuld , daß seine Eltern nicht verheiratet	gewesen	.	rechnete , wie Sie sehen werden .Es war nicht seine Schuld , daß seine Eltern nicht verheiratet gewesen .Die Thür der Sacristei war von starkem	1938	11	collins_frweiss4_frweiss4.tsv
VAPP	VAPP		VAPP	sein		Doch Viktor Amadeus tat nicht weiter dergleichen , und abgesehen von dem kurzen Befehl an seinen Lakaien führte er das Gespräch ununterbrochen fort , als ob nichts	gewesen	wäre .	von neuem unser Kaiser zu sein .Doch Viktor Amadeus tat nicht weiter dergleichen , und abgesehen von dem kurzen Befehl an seinen Lakaien führte er das Gespräch ununterbrochen fort , als ob nichts gewesen wäre .» Mit oder ohne Talar , «	1180	27	ruettena_nackkais_nackkais.tsv
VAPP	VAPP		VAPP	sein		– Anders war dort	gewesen	, ja , seinerzeit einmal ; hatte mit dem Vater so im Vorübergehen davon gesprochen .	sie doch Gott sei Dank allein .– Anders war dort gewesen , ja , seinerzeit einmal ; hatte mit dem Vater so im Vorübergehen davon gesprochen .Es klang zugleich böse und gut .	14258	4	duun_juwikin1_juwikin1.tsv
VAPP	VAPP		VAPP	sein		Freilich wären es der königlichen Vettern und Basen an die zehntausend	gewesen	.	Königs heiratete und das Geschäft fortsetzte .Freilich wären es der königlichen Vettern und Basen an die zehntausend gewesen .Dieser holte sogleich einige herbei , und	1794	11	kurz_denkwuer_denkwuer.tsv
VAPP	VAPP		VAPP	sein		Ihr Gesicht war so gut und still , und erinnerte mich so sehr an die heitern , frischen Tage meiner Schulzeit in Canterbury und den weingefüllten und tabakdurchräucherten Jämmerling , der ich den Mond vorher	gewesen	war , daß es meiner Reue und Beschämung freien Lauf ließ , und – kurz , mich wie ein Kind benahm .	» Und was tatest du ?Ihr Gesicht war so gut und still , und erinnerte mich so sehr an die heitern , frischen Tage meiner Schulzeit in Canterbury und den weingefüllten und tabakdurchräucherten Jämmerling , der ich den Mond vorher gewesen war , daß es meiner Reue und Beschämung freien Lauf ließ , und – kurz , mich wie ein Kind benahm .« Damit war es abgemacht .	4089	35	dickens_copperf1_copperf1.tsv
VAPP	VAPP		VAPP	sein		Er sei eben im Begriffe	gewesen	, Herrn Gutmann um eine Unterredung bitten zu lassen ; es sei so liebenswürdig von Herrn Gutmann , daß er ihm zuvorgekommen sei .	beruhigt , als Walter gemeldet wurde .Er sei eben im Begriffe gewesen , Herrn Gutmann um eine Unterredung bitten zu lassen ; es sei so liebenswürdig von Herrn Gutmann , daß er ihm zuvorgekommen sei .Walter traf Herrn von Sonnenstein , als	644	5	spielhag_inreih2_inreih2.tsv
