DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
FM.la	NE		ADJA	antisana.		Leur couche est plus épaisse vers Pinantura que sur des points plus rapprochés d'	Antisana.	L'état fragmentaire est un effet du soulèvement local , et souvent dans la Cordillère des Andes les tremblements de terre peuvent être produits par des tassements .	prétendue coulée d' Antisana vers Pinantura .Leur couche est plus épaisse vers Pinantura que sur des points plus rapprochés d' Antisana. L'état fragmentaire est un effet du soulèvement local , et souvent dans la Cordillère des Andes les tremblements de terre peuvent être produits par des tassements .« Ich bin weit entfernt an dem	5224	14	humbolda_kosmos_kosmos.tsv
FM.la	ADJA		FM	couche		Leur	couche	est plus épaisse vers Pinantura que sur des points plus rapprochés d' Antisana. L'état fragmentaire est un effet du soulèvement local , et souvent dans la Cordillère des Andes les tremblements de terre peuvent être produits par des tassements .	prétendue coulée d' Antisana vers Pinantura .Leur couche est plus épaisse vers Pinantura que sur des points plus rapprochés d' Antisana. L'état fragmentaire est un effet du soulèvement local , et souvent dans la Cordillère des Andes les tremblements de terre peuvent être produits par des tassements .« Ich bin weit entfernt an dem	5224	1	humbolda_kosmos_kosmos.tsv
FM.la	ADJA		NE	d'		Leur couche est plus épaisse vers Pinantura que sur des points plus rapprochés	d'	Antisana. L'état fragmentaire est un effet du soulèvement local , et souvent dans la Cordillère des Andes les tremblements de terre peuvent être produits par des tassements .	prétendue coulée d' Antisana vers Pinantura .Leur couche est plus épaisse vers Pinantura que sur des points plus rapprochés d' Antisana. L'état fragmentaire est un effet du soulèvement local , et souvent dans la Cordillère des Andes les tremblements de terre peuvent être produits par des tassements .« Ich bin weit entfernt an dem	5224	13	humbolda_kosmos_kosmos.tsv
FM.la	FM		FM	de		Simulacri , historie et figure	de	la morte .	wo beide mit den Holzschnitten übereinkommen .Simulacri , historie et figure de la morte .Seine Kupferstiche sind wesentlich davon verschieden ,	1883	5	hegner_holbein_holbein.tsv
FM.la	ART		ART	des		Leur couche est plus épaisse vers Pinantura que sur	des	points plus rapprochés d' Antisana. L'état fragmentaire est un effet du soulèvement local , et souvent dans la Cordillère des Andes les tremblements de terre peuvent être produits par des tassements .	prétendue coulée d' Antisana vers Pinantura .Leur couche est plus épaisse vers Pinantura que sur des points plus rapprochés d' Antisana. L'état fragmentaire est un effet du soulèvement local , et souvent dans la Cordillère des Andes les tremblements de terre peuvent être produits par des tassements .« Ich bin weit entfernt an dem	5224	9	humbolda_kosmos_kosmos.tsv
FM.la	PPER		NE	du		Leur couche est plus épaisse vers Pinantura que sur des points plus rapprochés d' Antisana. L'état fragmentaire est un effet	du	soulèvement local , et souvent dans la Cordillère des Andes les tremblements de terre peuvent être produits par des tassements .	prétendue coulée d' Antisana vers Pinantura .Leur couche est plus épaisse vers Pinantura que sur des points plus rapprochés d' Antisana. L'état fragmentaire est un effet du soulèvement local , et souvent dans la Cordillère des Andes les tremblements de terre peuvent être produits par des tassements .« Ich bin weit entfernt an dem	5224	20	humbolda_kosmos_kosmos.tsv
FM.la	VVFIN		NE	effet		Leur couche est plus épaisse vers Pinantura que sur des points plus rapprochés d' Antisana. L'état fragmentaire est un	effet	du soulèvement local , et souvent dans la Cordillère des Andes les tremblements de terre peuvent être produits par des tassements .	prétendue coulée d' Antisana vers Pinantura .Leur couche est plus épaisse vers Pinantura que sur des points plus rapprochés d' Antisana. L'état fragmentaire est un effet du soulèvement local , et souvent dans la Cordillère des Andes les tremblements de terre peuvent être produits par des tassements .« Ich bin weit entfernt an dem	5224	19	humbolda_kosmos_kosmos.tsv
FM.la	ADJA		FM	est		Leur couche	est	plus épaisse vers Pinantura que sur des points plus rapprochés d' Antisana. L'état fragmentaire est un effet du soulèvement local , et souvent dans la Cordillère des Andes les tremblements de terre peuvent être produits par des tassements .	prétendue coulée d' Antisana vers Pinantura .Leur couche est plus épaisse vers Pinantura que sur des points plus rapprochés d' Antisana. L'état fragmentaire est un effet du soulèvement local , et souvent dans la Cordillère des Andes les tremblements de terre peuvent être produits par des tassements .« Ich bin weit entfernt an dem	5224	2	humbolda_kosmos_kosmos.tsv
FM.la	ADJD		FM	est		Leur couche est plus épaisse vers Pinantura que sur des points plus rapprochés d' Antisana. L'état fragmentaire	est	un effet du soulèvement local , et souvent dans la Cordillère des Andes les tremblements de terre peuvent être produits par des tassements .	prétendue coulée d' Antisana vers Pinantura .Leur couche est plus épaisse vers Pinantura que sur des points plus rapprochés d' Antisana. L'état fragmentaire est un effet du soulèvement local , et souvent dans la Cordillère des Andes les tremblements de terre peuvent être produits par des tassements .« Ich bin weit entfernt an dem	5224	17	humbolda_kosmos_kosmos.tsv
FM.la	VVFIN		ADJA	fragmentaire		Leur couche est plus épaisse vers Pinantura que sur des points plus rapprochés d' Antisana. L'état	fragmentaire	est un effet du soulèvement local , et souvent dans la Cordillère des Andes les tremblements de terre peuvent être produits par des tassements .	prétendue coulée d' Antisana vers Pinantura .Leur couche est plus épaisse vers Pinantura que sur des points plus rapprochés d' Antisana. L'état fragmentaire est un effet du soulèvement local , et souvent dans la Cordillère des Andes les tremblements de terre peuvent être produits par des tassements .« Ich bin weit entfernt an dem	5224	16	humbolda_kosmos_kosmos.tsv
